gidro_num,identifier,dt,temp,temptype
3940,24725,1995-01-10,-24.4,Макс. температура
3940,24725,1995-01-12,-33.1,Мин. температура
3940,24725,1995-01-18,-13.4,Макс. температура
3940,24725,1995-02-01,-22.1,Макс. температура
3940,24725,1995-03-26,-18.1,Мин. температура
3940,24725,1995-06-04,13.1,Макс. температура
3940,24725,1995-06-13,7.8,Мин. температура
3940,24725,1995-08-14,10.3,Мин. температура
3940,24725,1995-09-12,0.1,Мин. температура
3940,24725,1995-09-13,5.2,Макс. температура
3940,24725,1995-10-01,-4.1,Мин. температура
3940,24725,1996-01-10,-35.6,Мин. температура
3940,24725,1996-01-25,-16.6,Макс. температура
3940,24725,1996-02-18,-18.0,Макс. температура
3940,24725,1996-03-07,-18.7,Мин. температура
3940,24725,1996-05-12,3.9,Макс. температура
3940,24725,1996-06-04,23.3,Макс. температура
3940,24725,1996-10-13,-1.8,Мин. температура
3940,24725,1996-11-08,-25.2,Макс. температура
3940,24725,1996-12-06,-23.8,Мин. температура
3940,24725,1997-01-11,-35.6,Мин. температура
3940,24725,1997-01-31,-35.4,Мин. температура
3940,24725,1997-02-24,-33.1,Мин. температура
3940,24725,1997-05-17,15.2,Макс. температура
3940,24725,1997-05-17,0.6,Мин. температура
3940,24725,1997-05-22,7.7,Мин. температура
3940,24725,1997-06-20,17.7,Макс. температура
3940,24725,1997-08-13,16.2,Мин. температура
3940,24725,1997-08-24,10.6,Мин. температура
3940,24725,1997-09-22,8.1,Макс. температура
3940,24725,1997-10-11,3.4,Макс. температура
3940,24725,1997-10-17,-2.5,Макс. температура
3940,24725,1997-11-01,-10.2,Мин. температура
3940,24725,1997-11-06,0.8,Макс. температура
3940,24725,1998-01-10,-38.5,Мин. температура
3940,24725,1998-01-22,-19.9,Макс. температура
3940,24725,1998-02-09,-39.1,Мин. температура
3940,24725,1998-04-27,-7.8,Мин. температура
3940,24725,1998-04-30,-0.8,Макс. температура
3940,24725,1998-05-09,-2.8,Мин. температура
3940,24725,1998-06-02,19.8,Макс. температура
3940,24725,1998-06-12,12.6,Мин. температура
3940,24725,1998-08-11,8.9,Мин. температура
3940,24725,1998-08-22,14.0,Мин. температура
3940,24725,1998-08-29,12.8,Мин. температура
3940,24725,1998-09-22,-2.1,Мин. температура
3940,24725,1998-10-13,-10.2,Мин. температура
3940,24725,1998-11-27,-39.6,Мин. температура
3940,24725,1999-01-08,-40.4,Мин. температура
3940,24725,1999-03-10,-30.6,Мин. температура
3940,24725,1999-04-15,-1.0,Мин. температура
3940,24725,1999-05-03,-15.7,Мин. температура
3940,24725,1999-05-07,-3.9,Мин. температура
3940,24725,1999-05-12,10.3,Макс. температура
3940,24725,1999-07-04,11.1,Мин. температура
3940,24725,1999-08-02,13.1,Мин. температура
3940,24725,1999-10-16,-5.3,Макс. температура
3940,24725,1999-11-18,-29.6,Мин. температура
3940,24725,2000-01-07,-43.0,Макс. температура
3940,24725,2000-03-10,-21.9,Мин. температура
3940,24725,2000-03-16,-28.3,Мин. температура
3940,24725,2000-04-13,-8.1,Мин. температура
3940,24725,2000-05-20,14.4,Макс. температура
3940,24725,2000-07-12,18.4,Макс. температура
3940,24725,2000-07-22,18.5,Макс. температура
3940,24725,2000-07-30,22.4,Макс. температура
3940,24725,2000-09-29,-1.7,Мин. температура
3940,24725,2000-11-20,-24.6,Мин. температура
3940,24725,2000-12-13,-38.2,Мин. температура
3940,24725,2000-12-14,-31.7,Макс. температура
3940,24725,2000-12-21,-32.5,Макс. температура
3940,24725,2001-01-02,-46.0,Мин. температура
3940,24725,2001-01-04,-33.3,Макс. температура
3940,24725,2001-01-05,-39.3,Мин. температура
3940,24725,2001-02-28,-28.1,Макс. температура
3940,24725,2001-04-10,-14.8,Мин. температура
3940,24725,2001-06-07,17.8,Макс. температура
3940,24725,2001-07-20,15.4,Мин. температура
3940,24725,2001-07-22,16.8,Мин. температура
3940,24725,2001-09-01,21.1,Макс. температура
3940,24725,2001-09-15,-2.5,Мин. температура
3940,24725,2001-09-23,7.3,Макс. температура
3940,24725,2001-09-28,7.0,Макс. температура
3940,24725,2001-10-01,-0.3,Мин. температура
3940,24725,2001-10-16,-3.5,Макс. температура
3940,24725,2001-10-20,2.2,Макс. температура
3940,24725,2001-10-27,-15.3,Мин. температура
3940,24725,2001-11-23,-21.0,Макс. температура
3940,24725,2001-12-18,-22.3,Мин. температура
3940,24725,2002-01-06,-35.1,Мин. температура
3940,24725,2002-01-26,-15.0,Макс. температура
3940,24725,2002-01-29,-25.5,Макс. температура
3940,24725,2002-02-15,-30.9,Макс. температура
3940,24725,2002-03-02,-8.6,Макс. температура
3940,24725,2002-03-12,-7.9,Мин. температура
3940,24725,2002-03-28,-5.0,Макс. температура
3940,24725,2002-04-08,-20.0,Мин. температура
3940,24725,2002-04-21,-13.2,Мин. температура
3940,24725,2002-05-11,16.4,Макс. температура
3940,24725,2002-05-27,6.6,Мин. температура
3940,24725,2002-06-07,2.0,Мин. температура
3940,24725,2002-06-09,5.0,Мин. температура
3940,24725,2002-06-26,21.4,Макс. температура
3940,24725,2002-08-02,19.0,Макс. температура
3940,24725,2002-08-09,20.0,Макс. температура
3940,24725,2002-08-10,13.8,Мин. температура
3940,24725,2002-08-12,9.0,Мин. температура
3940,24725,2002-08-18,21.4,Макс. температура
3940,24725,2002-09-23,0.7,Мин. температура
3940,24725,2002-10-01,-0.2,Макс. температура
3940,24725,2002-10-03,6.7,Макс. температура
3940,24725,2002-11-12,-24.2,Макс. температура
3940,24725,2002-11-27,-4.0,Макс. температура
3940,24725,2002-12-01,-41.1,Мин. температура
3940,24725,2002-12-23,-21.8,Макс. температура
3940,24725,2003-01-05,-22.5,Макс. температура
3940,24725,2003-01-14,-20.6,Макс. температура
