gidro_num,identifier,dt,temp,temptype
90002,21824,2005-01-02,-36.0,Макс. температура
90002,21824,2005-01-02,-38.9,Мин. температура
90002,21824,2005-05-21,3.0,Макс. температура
90002,21824,2005-05-29,-0.8,Макс. температура
90002,21824,2005-06-05,1.5,Макс. температура
90002,21824,2005-06-14,10.1,Макс. температура
90002,21824,2005-06-19,1.2,Мин. температура
90002,21824,2005-08-22,11.6,Макс. температура
90002,21824,2005-09-29,0.6,Мин. температура
90002,21824,2005-12-28,-21.5,Макс. температура
90002,21824,2005-12-29,-28.9,Мин. температура
90002,21824,2006-01-04,-25.4,Макс. температура
90002,21824,2006-01-08,-40.1,Мин. температура
90002,21824,2006-02-03,-27.3,Мин. температура
90002,21824,2006-02-06,-23.8,Макс. температура
90002,21824,2006-03-02,-23.8,Макс. температура
90002,21824,2006-04-20,-33.0,Мин. температура
90002,21824,2006-05-15,-9.4,Мин. температура
90002,21824,2006-05-25,0.3,Мин. температура
90002,21824,2006-06-07,11.1,Макс. температура
90002,21824,2006-06-11,-0.4,Мин. температура
90002,21824,2006-07-30,7.7,Мин. температура
90002,21824,2006-11-01,-18.7,Макс. температура
90002,21824,2006-11-03,-28.9,Мин. температура
90002,21824,2006-12-25,-19.2,Макс. температура
90002,21824,2007-01-07,-23.8,Макс. температура
90002,21824,2007-01-26,-22.7,Мин. температура
90002,21824,2007-01-31,-39.4,Мин. температура
90002,21824,2007-05-08,-12.6,Мин. температура
90002,21824,2007-05-11,-6.2,Мин. температура
90002,21824,2007-05-15,3.6,Макс. температура
90002,21824,2007-07-17,4.2,Мин. температура
90002,21824,2007-07-20,8.6,Макс. температура
90002,21824,2007-07-24,20.2,Макс. температура
90002,21824,2007-11-28,-33.8,Мин. температура
90002,21824,2007-12-08,-28.5,Мин. температура
90002,21824,2007-12-22,-37.2,Мин. температура
90002,21824,2008-01-23,-39.6,Мин. температура
90002,21824,2008-01-29,-19.6,Макс. температура
90002,21824,2008-03-07,-30.2,Мин. температура
90002,21824,2008-03-22,-17.2,Макс. температура
90002,21824,2008-04-15,-23.3,Макс. температура
90002,21824,2008-04-21,-17.0,Макс. температура
90002,21824,2008-05-11,4.3,Макс. температура
90002,21824,2008-05-20,-3.2,Макс. температура
90002,21824,2008-05-22,-7.2,Мин. температура
90002,21824,2008-06-09,0.4,Макс. температура
90002,21824,2008-07-30,3.8,Макс. температура
90002,21824,2008-08-05,11.0,Мин. температура
90002,21824,2008-08-31,3.2,Мин. температура
90002,21824,2008-09-25,2.0,Макс. температура
90002,21824,2009-01-26,-29.7,Макс. температура
90002,21824,2009-03-25,-17.4,Макс. температура
90002,21824,2009-04-27,-19.0,Мин. температура
90002,21824,2009-05-14,-12.4,Мин. температура
90002,21824,2009-06-08,0.3,Мин. температура
90002,21824,2009-08-20,18.1,Макс. температура
90002,21824,2009-10-03,-1.8,Мин. температура
90002,21824,2009-10-25,-6.9,Макс. температура
90002,21824,2009-11-08,-23.0,Мин. температура
90002,21824,2009-12-15,-25.6,Мин. температура
90002,21824,2010-01-03,-30.9,Макс. температура
90002,21824,2010-01-05,-26.8,Макс. температура
90002,21824,2010-01-11,-22.2,Мин. температура
90002,21824,2010-03-16,-16.5,Макс. температура
90002,21824,2010-04-03,-25.2,Мин. температура
90002,21824,2010-04-09,-21.5,Макс. температура
90002,21824,2010-04-10,-28.9,Мин. температура
90002,21824,2010-04-26,-14.6,Мин. температура
90002,21824,2010-05-04,-21.1,Мин. температура
90002,21824,2010-05-29,-0.1,Макс. температура
90002,21824,2010-07-09,8.9,Макс. температура
90002,21824,2010-08-22,11.4,Макс. температура
90002,21824,2010-09-03,2.7,Мин. температура
90002,21824,2010-09-25,0.6,Мин. температура
90002,21824,2010-09-28,-4.8,Мин. температура
90002,21824,2010-09-30,-9.7,Мин. температура
90002,21824,2010-11-06,-13.3,Макс. температура
90002,21824,2010-11-25,-19.7,Макс. температура
90002,21824,2011-01-12,-40.4,Мин. температура
90002,21824,2011-03-07,-18.8,Макс. температура
90002,21824,2011-03-12,-29.9,Мин. температура
90002,21824,2011-04-08,-21.7,Макс. температура
90002,21824,2011-05-11,-12.0,Мин. температура
90002,21824,2011-05-18,-6.8,Макс. температура
90002,21824,2011-07-05,6.2,Макс. температура
90002,21824,2011-07-05,4.0,Мин. температура
90002,21824,2011-08-20,14.8,Макс. температура
90002,21824,2011-08-23,9.8,Макс. температура
90002,21824,2011-09-18,-0.4,Мин. температура
90002,21824,2011-12-25,-39.9,Мин. температура
90002,21824,2012-01-02,-18.4,Макс. температура
90002,21824,2012-04-15,-15.3,Макс. температура
90002,21824,2012-04-23,-17.7,Мин. температура
90002,21824,2012-05-12,-9.0,Мин. температура
90002,21824,2012-08-28,5.8,Мин. температура
90002,21824,2012-08-30,4.9,Мин. температура
90002,21824,2012-09-09,1.7,Мин. температура
90002,21824,2012-10-06,-4.4,Макс. температура
90002,21824,2012-10-25,-18.7,Макс. температура
90002,21824,2012-10-26,-25.7,Мин. температура
90002,21824,2012-10-31,-15.7,Макс. температура
90002,21824,2012-11-15,-25.5,Мин. температура
90002,21824,2012-12-30,-32.4,Мин. температура
90002,21824,2013-01-01,-36.1,Мин. температура
90002,21824,2013-01-20,-33.2,Макс. температура
90002,21824,2013-04-08,-18.8,Макс. температура
90002,21824,2013-05-28,3.7,Макс. температура
90002,21824,2013-06-18,2.9,Мин. температура
90002,21824,2013-06-19,4.9,Макс. температура
90002,21824,2013-07-05,7.7,Макс. температура
90002,21824,2013-10-21,-6.5,Макс. температура
90002,21824,2013-10-30,-10.3,Макс. температура
90002,21824,2013-11-05,-21.7,Макс. температура
90002,21824,2013-11-12,-22.2,Мин. температура
90002,21824,2013-12-08,-29.5,Мин. температура
90002,21824,2013-12-22,-24.6,Мин. температура
90002,21824,2013-12-25,-30.8,Мин. температура
90002,21824,2014-02-24,-35.1,Макс. температура
90002,21824,2005-02-10,-24.3,Макс. температура
90002,21824,2005-04-10,-4.3,Макс. температура
90002,21824,2005-04-15,-22.4,Мин. температура
90002,21824,2005-05-20,1.7,Макс. температура
90002,21824,2005-05-23,-3.7,Мин. температура
90002,21824,2005-05-30,-2.1,Мин. температура
90002,21824,2005-06-07,0.9,Макс. температура
90002,21824,2005-08-12,5.4,Мин. температура
90002,21824,2005-08-29,8.1,Макс. температура
90002,21824,2005-10-19,-8.1,Макс. температура
90002,21824,2005-11-09,-20.5,Макс. температура
90002,21824,2005-12-07,-21.9,Мин. температура
90002,21824,2005-12-22,-32.8,Мин. температура
90002,21824,2005-12-28,-28.5,Мин. температура
90002,21824,2006-01-03,-28.7,Мин. температура
90002,21824,2006-01-16,-25.1,Макс. температура
90002,21824,2006-02-12,-38.8,Мин. температура
90002,21824,2006-02-14,-38.6,Мин. температура
90002,21824,2006-04-23,-25.7,Мин. температура
90002,21824,2006-05-31,-1.4,Мин. температура
90002,21824,2006-06-19,4.4,Мин. температура
90002,21824,2006-06-29,3.1,Мин. температура
90002,21824,2006-07-11,28.6,Макс. температура
90002,21824,2006-09-06,3.4,Макс. температура
90002,21824,2006-10-04,-9.2,Мин. температура
90002,21824,2006-10-24,-12.7,Мин. температура
90002,21824,2006-11-16,-27.4,Мин. температура
90002,21824,2006-11-30,-15.4,Макс. температура
90002,21824,2007-02-10,-34.5,Мин. температура
90002,21824,2007-03-13,-26.5,Макс. температура
90002,21824,2007-04-18,-6.8,Макс. температура
90002,21824,2007-04-29,-15.2,Мин. температура
90002,21824,2007-06-30,7.7,Макс. температура
90002,21824,2007-08-24,3.9,Мин. температура
90002,21824,2007-09-24,4.1,Макс. температура
90002,21824,2007-10-07,-3.8,Мин. температура
90002,21824,2007-10-22,-17.6,Мин. температура
90002,21824,2007-11-08,-23.3,Мин. температура
90002,21824,2007-11-21,-20.0,Макс. температура
90002,21824,2008-02-06,-17.4,Макс. температура
90002,21824,2008-02-27,-30.0,Макс. температура
90002,21824,2008-03-12,-27.4,Макс. температура
90002,21824,2008-03-26,-8.5,Макс. температура
90002,21824,2008-04-19,-27.7,Мин. температура
90002,21824,2008-05-14,-0.6,Макс. температура
90002,21824,2008-05-20,-7.0,Мин. температура
