gidro_num,identifier,dt,temp,temptype
90020,21931,1995-01-11,-28.2,Макс. температура
90020,21931,1995-01-12,-38.0,Мин. температура
90020,21931,1995-01-16,-30.9,Макс. температура
90020,21931,1995-01-24,-29.2,Макс. температура
90020,21931,1995-02-02,-14.6,Макс. температура
90020,21931,1995-07-24,6.0,Мин. температура
90020,21931,1995-09-22,4.7,Макс. температура
90020,21931,1995-10-24,-1.7,Макс. температура
90020,21931,1995-11-28,-29.5,Макс. температура
90020,21931,1995-12-06,-32.9,Мин. температура
90020,21931,1996-01-01,-31.0,Макс. температура
90020,21931,1998-08-08,8.5,Мин. температура
90020,21931,1998-09-06,4.5,Мин. температура
90020,21931,1998-09-24,-4.3,Мин. температура
90020,21931,1998-10-04,-6.4,Макс. температура
90020,21931,1998-11-05,-28.9,Мин. температура
90020,21931,1998-11-22,-33.8,Мин. температура
90020,21931,1998-11-29,-41.4,Макс. температура
90020,21931,1999-01-17,-28.8,Макс. температура
90020,21931,1999-03-06,-39.5,Мин. температура
90020,21931,1999-03-31,-36.2,Мин. температура
90020,21931,1999-04-28,-21.7,Мин. температура
90020,21931,1999-05-06,6.3,Макс. температура
90020,21931,1999-06-23,16.6,Макс. температура
90020,21931,1999-07-24,11.0,Мин. температура
90020,21931,1999-08-03,15.4,Макс. температура
90020,21931,1999-08-03,8.3,Мин. температура
90020,21931,1999-09-12,3.4,Макс. температура
90020,21931,1999-12-12,-38.5,Макс. температура
90020,21931,1999-12-29,-40.1,Мин. температура
90020,21931,2000-01-10,-44.3,Мин. температура
90020,21931,2000-02-08,-23.8,Макс. температура
90020,21931,2000-04-22,-8.9,Макс. температура
90020,21931,2000-06-21,0.9,Мин. температура
90020,21931,2000-06-28,13.9,Макс. температура
90020,21931,2000-07-29,12.8,Мин. температура
90020,21931,2000-08-02,6.7,Мин. температура
90020,21931,2000-08-30,18.2,Макс. температура
90020,21931,2000-09-08,3.1,Макс. температура
90020,21931,2000-09-17,1.6,Макс. температура
90020,21931,2000-10-30,-27.3,Мин. температура
90020,21931,2000-11-17,-26.5,Мин. температура
90020,21931,2000-12-04,-43.8,Мин. температура
90020,21931,2001-01-01,-47.3,Мин. температура
90020,21931,2001-01-03,-39.3,Макс. температура
90020,21931,2001-01-08,-20.1,Макс. температура
90020,21931,2001-02-09,-39.9,Макс. температура
90020,21931,2001-04-02,-18.0,Макс. температура
90020,21931,2001-05-26,5.0,Макс. температура
90020,21931,2001-06-02,2.6,Макс. температура
90020,21931,2001-06-06,-4.3,Мин. температура
90020,21931,2001-06-09,6.9,Мин. температура
90020,21931,2001-06-17,-1.7,Мин. температура
90020,21931,2001-07-13,11.2,Мин. температура
90020,21931,2001-07-22,17.5,Макс. температура
90020,21931,2001-11-22,-39.5,Мин. температура
90020,21931,2001-12-02,-24.5,Макс. температура
90020,21931,2002-02-01,-43.3,Макс. температура
90020,21931,2002-02-27,-38.3,Макс. температура
90020,21931,2002-03-31,-15.7,Макс. температура
90020,21931,2002-04-03,-8.2,Макс. температура
90020,21931,2002-05-07,-12.6,Мин. температура
90020,21931,2002-05-11,-1.4,Макс. температура
90020,21931,2002-06-27,,Мин. температура
90020,21931,2002-06-29,,Макс. температура
90020,21931,2002-07-03,15.8,Макс. температура
90020,21931,2002-07-04,4.6,Мин. температура
90020,21931,2002-08-22,,Мин. температура
90020,21931,2002-08-26,,Макс. температура
90020,21931,2002-09-16,-3.3,Макс. температура
90020,21931,2002-11-05,-28.3,Мин. температура
90020,21931,2002-11-09,-15.0,Макс. температура
90020,21931,2003-01-12,-29.7,Макс. температура
90020,21931,2003-02-09,-42.3,Мин. температура
90020,21931,2003-03-15,-20.0,Мин. температура
90020,21931,2003-06-03,7.6,Макс. температура
90020,21931,2003-06-05,2.5,Мин. температура
90020,21931,2003-06-26,11.0,Макс. температура
90020,21931,2003-07-06,13.9,Макс. температура
90020,21931,2003-08-06,25.8,Макс. температура
90020,21931,2003-09-02,6.2,Мин. температура
90020,21931,2003-11-09,-10.5,Макс. температура
90020,21931,2003-11-28,-31.8,Мин. температура
90020,21931,2003-12-11,-16.9,Макс. температура
90020,21931,2004-01-09,-37.3,Мин. температура
90020,21931,2004-01-17,-40.1,Мин. температура
90020,21931,2004-03-13,-19.8,Макс. температура
90020,21931,2004-03-31,-24.6,Макс. температура
90020,21931,2004-06-07,4.5,Макс. температура
90020,21931,2004-07-09,13.5,Мин. температура
90020,21931,2004-10-30,-33.1,Мин. температура
90020,21931,2004-11-14,-25.0,Мин. температура
90020,21931,2004-11-20,-23.0,Макс. температура
90020,21931,2004-12-12,-41.8,Макс. температура
90020,21931,2004-12-19,-44.3,Мин. температура
90020,21931,1995-01-26,-33.9,Макс. температура
90020,21931,1995-02-06,-27.8,Мин. температура
90020,21931,1995-05-24,-1.8,Макс. температура
90020,21931,1995-06-01,11.0,Макс. температура
90020,21931,1995-06-04,22.2,Макс. температура
90020,21931,1995-06-10,16.6,Макс. температура
90020,21931,1995-08-21,3.4,Мин. температура
90020,21931,1995-08-25,23.5,Макс. температура
90020,21931,1995-09-28,-3.4,Мин. температура
90020,21931,1995-09-29,-5.0,Мин. температура
90020,21931,1995-10-16,-18.3,Мин. температура
90020,21931,1995-10-25,-18.3,Мин. температура
90020,21931,1995-10-29,-23.9,Мин. температура
90020,21931,1995-11-07,-30.9,Мин. температура
90020,21931,1995-11-08,-24.7,Макс. температура
90020,21931,1995-11-09,-25.5,Макс. температура
90020,21931,1995-11-18,-29.0,Мин. температура
90020,21931,1995-12-05,-24.3,Макс. температура
90020,21931,1995-12-09,-32.4,Мин. температура
90020,21931,1995-12-10,-30.7,Макс. температура
90020,21931,1995-12-24,-37.6,Макс. температура
90020,21931,1998-08-01,10.2,Макс. температура
90020,21931,1998-08-02,7.5,Макс. температура
90020,21931,1998-08-14,3.3,Мин. температура
