gidro_num,identifier,dt,temp,temptype
90018,21821,2019-11-14,-16.7,Макс. температура
90018,21821,2020-01-02,-31.9,Макс. температура
90018,21821,2020-02-01,-27.5,Мин. температура
90018,21821,2020-06-22,5.5,Мин. температура
90018,21821,2020-07-13,14.9,Мин. температура
90018,21821,2020-10-24,-2.0,Макс. температура
90018,21821,2021-07-01,8.6,Мин. температура
90018,21821,2021-07-12,7.7,Мин. температура
90018,21821,2021-12-23,-28.0,Мин. температура
90018,21821,2022-01-29,-21.7,Мин. температура
90018,21821,2022-02-06,-27.0,Мин. температура
90018,21821,2022-03-02,-28.8,Макс. температура
90018,21821,2022-03-28,-26.1,Мин. температура
90018,21821,2022-04-15,-24.7,Мин. температура
90018,21821,2022-06-09,7.2,Макс. температура
90018,21821,2022-06-13,3.0,Мин. температура
90018,21821,2022-06-21,2.9,Мин. температура
90018,21821,2022-06-25,1.4,Мин. температура
90018,21821,2022-07-05,8.7,Макс. температура
90018,21821,2022-10-04,-3.2,Мин. температура
90018,21821,2022-10-18,-6.4,Мин. температура
90018,21821,2022-10-24,-2.0,Макс. температура
90018,21821,2022-11-09,-15.9,Макс. температура
90018,21821,2022-12-09,-14.5,Макс. температура
90018,21821,2022-12-30,-27.2,Мин. температура
90018,21821,2023-01-27,-38.3,Мин. температура
90018,21821,2023-01-30,-36.5,Мин. температура
90018,21821,2023-02-01,-22.7,Мин. температура
90018,21821,2023-04-14,-7.7,Макс. температура
90018,21821,2023-05-08,-15.2,Мин. температура
90018,21821,2023-05-19,-9.6,Мин. температура
90018,21821,2023-05-29,2.7,Мин. температура
90018,21821,2023-07-03,7.8,Макс. температура
90018,21821,2023-08-17,7.9,Мин. температура
90018,21821,2023-10-11,-3.2,Макс. температура
90018,21821,2023-10-17,-8.9,Мин. температура
90018,21821,2023-10-24,-8.7,Мин. температура
90018,21821,2023-11-23,-27.5,Мин. температура
90018,21821,2023-11-24,-30.8,Мин. температура
90018,21821,2023-12-16,-18.6,Макс. температура
90018,21821,2023-12-31,-30.0,Макс. температура
90018,21821,2024-03-14,-30.1,Мин. температура
90018,21821,2024-03-15,-24.0,Макс. температура
90018,21821,2024-03-30,-27.2,Мин. температура
90018,21821,2024-07-07,6.4,Мин. температура
90018,21821,2024-08-03,12.0,Макс. температура
90018,21821,2024-08-11,5.3,Мин. температура
90018,21821,2024-08-12,6.3,Макс. температура
90018,21821,2024-08-12,3.2,Мин. температура
90018,21821,2024-11-22,-16.5,Макс. температура
90018,21821,2019-12-03,-32.3,Мин. температура
90018,21821,2020-03-08,-26.4,Мин. температура
90018,21821,2020-04-13,-6.2,Мин. температура
90018,21821,2020-05-13,0.2,Макс. температура
90018,21821,2020-08-08,13.9,Мин. температура
90018,21821,2020-09-26,8.6,Макс. температура
90018,21821,2020-10-09,-5.5,Мин. температура
90018,21821,2020-10-14,-7.0,Мин. температура
90018,21821,2021-01-11,-29.8,Мин. температура
90018,21821,2021-02-12,-24.8,Мин. температура
90018,21821,2021-04-25,-3.7,Макс. температура
90018,21821,2021-05-25,1.7,Макс. температура
90018,21821,2021-08-19,13.2,Мин. температура
90018,21821,2021-11-15,-20.8,Макс. температура
90018,21821,2021-12-11,-22.0,Макс. температура
90018,21821,2022-03-06,-28.6,Мин. температура
90018,21821,2022-04-16,-19.1,Макс. температура
90018,21821,2022-05-30,-4.5,Мин. температура
90018,21821,2022-06-07,4.2,Макс. температура
90018,21821,2022-06-18,-1.9,Мин. температура
90018,21821,2022-07-12,4.9,Мин. температура
90018,21821,2022-08-27,11.4,Макс. температура
90018,21821,2022-09-12,3.8,Мин. температура
90018,21821,2022-10-27,-9.8,Мин. температура
90018,21821,2022-12-30,-20.8,Макс. температура
90018,21821,2023-01-17,-34.4,Мин. температура
90018,21821,2023-01-23,-31.7,Мин. температура
90018,21821,2023-01-30,-32.8,Макс. температура
90018,21821,2023-03-06,-29.2,Макс. температура
90018,21821,2023-03-25,-11.5,Макс. температура
90018,21821,2023-07-22,15.2,Макс. температура
90018,21821,2023-07-31,5.0,Мин. температура
90018,21821,2023-10-09,-3.2,Макс. температура
90018,21821,2023-10-29,-12.8,Мин. температура
90018,21821,2023-11-29,-15.8,Мин. температура
90018,21821,2024-01-07,-31.7,Мин. температура
90018,21821,2024-01-12,-30.8,Макс. температура
90018,21821,2024-01-20,-31.2,Макс. температура
90018,21821,2024-01-27,-20.7,Макс. температура
90018,21821,2024-02-13,-36.7,Мин. температура
90018,21821,2024-02-23,-22.5,Макс. температура
90018,21821,2024-03-06,-26.5,Макс. температура
90018,21821,2024-03-07,-30.0,Мин. температура
90018,21821,2024-03-23,-29.3,Мин. температура
90018,21821,2024-04-02,-22.9,Мин. температура
90018,21821,2024-05-07,0.7,Макс. температура
90018,21821,2024-05-26,15.5,Макс. температура
90018,21821,2024-05-28,-0.8,Мин. температура
90018,21821,2024-08-16,10.4,Мин. температура
90018,21821,2024-08-24,9.5,Макс. температура
90018,21821,2024-09-03,8.0,Мин. температура
90018,21821,2024-09-30,-0.1,Макс. температура
90018,21821,2024-11-19,-30.7,Мин. температура
90018,21821,2024-12-08,-18.7,Макс. температура
90018,21821,2024-12-13,-27.6,Макс. температура
90018,21821,2024-12-14,-16.5,Макс. температура
90018,21821,2019-12-01,-33.6,Мин. температура
90018,21821,2019-12-19,-24.7,Мин. температура
90018,21821,2020-01-28,-32.0,Мин. температура
90018,21821,2020-01-31,-23.3,Мин. температура
90018,21821,2020-03-21,-19.6,Макс. температура
90018,21821,2020-04-10,0.8,Макс. температура
90018,21821,2020-07-04,5.9,Макс. температура
90018,21821,2020-08-13,6.1,Мин. температура
90018,21821,2020-10-10,-1.4,Макс. температура
90018,21821,2021-04-14,-15.5,Мин. температура
90018,21821,2021-08-01,8.2,Мин. температура
90018,21821,2021-09-18,,Макс. температура
90018,21821,2021-12-29,-19.0,Макс. температура
90018,21821,2022-01-19,-14.9,Макс. температура
90018,21821,2022-01-29,-15.6,Макс. температура
90018,21821,2022-02-18,-29.4,Макс. температура
90018,21821,2022-03-04,-30.4,Мин. температура
90018,21821,2022-05-19,-7.1,Мин. температура
90018,21821,2022-06-28,6.8,Макс. температура
90018,21821,2022-08-07,7.3,Мин. температура
90018,21821,2022-09-10,5.3,Макс. температура
90018,21821,2022-09-14,6.1,Макс. температура
90018,21821,2022-09-14,4.3,Мин. температура
90018,21821,2022-09-19,0.9,Мин. температура
