gidro_num,identifier,dt,temp,temptype
3906,24643,2019-11-30,-29.5,Мин. температура
3906,24643,2020-01-03,-36.3,Макс. температура
3906,24643,2020-01-13,-34.5,Мин. температура
3906,24643,2020-01-29,-39.9,Мин. температура
3906,24643,2020-03-01,-14.2,Макс. температура
3906,24643,2020-06-18,26.6,Макс. температура
3906,24643,2020-08-04,5.3,Мин. температура
3906,24643,2020-08-22,6.7,Мин. температура
3906,24643,2020-09-15,14.2,Макс. температура
3906,24643,2020-09-27,8.5,Макс. температура
3906,24643,2020-10-01,3.4,Макс. температура
3906,24643,2020-10-03,-5.0,Мин. температура
3906,24643,2020-10-22,-4.7,Макс. температура
3906,24643,2020-10-24,-4.0,Макс. температура
3906,24643,2020-11-28,-27.8,Мин. температура
3906,24643,2020-12-16,-45.5,Мин. температура
3906,24643,2021-04-07,-28.6,Мин. температура
3906,24643,2021-04-12,-3.1,Макс. температура
3906,24643,2021-04-13,-27.0,Мин. температура
3906,24643,2021-05-20,-2.1,Мин. температура
3906,24643,2021-07-29,8.4,Мин. температура
3906,24643,2021-11-08,-16.4,Макс. температура
3906,24643,2021-11-15,-36.7,Мин. температура
3906,24643,2022-01-14,-37.9,Мин. температура
3906,24643,2022-02-11,-43.3,Мин. температура
3906,24643,2022-02-13,-29.1,Макс. температура
3906,24643,2022-02-22,-26.4,Мин. температура
3906,24643,2022-03-04,-34.6,Мин. температура
3906,24643,2022-03-31,-6.9,Макс. температура
3906,24643,2022-04-08,-0.4,Макс. температура
3906,24643,2022-04-14,-9.9,Мин. температура
3906,24643,2022-05-17,9.5,Макс. температура
3906,24643,2022-05-26,10.7,Макс. температура
3906,24643,2022-06-06,27.7,Макс. температура
3906,24643,2022-06-11,23.0,Макс. температура
3906,24643,2022-08-05,15.4,Мин. температура
3906,24643,2022-08-06,20.4,Макс. температура
3906,24643,2022-08-07,11.5,Мин. температура
3906,24643,2022-08-22,8.6,Мин. температура
3906,24643,2022-09-25,1.3,Мин. температура
3906,24643,2022-10-06,-0.9,Макс. температура
3906,24643,2022-11-04,-21.1,Мин. температура
3906,24643,2022-12-06,-33.6,Макс. температура
3906,24643,2022-12-18,-47.6,Мин. температура
3906,24643,2022-12-27,-27.2,Макс. температура
3906,24643,2023-02-13,-29.1,Макс. температура
3906,24643,2023-03-23,-16.6,Макс. температура
3906,24643,2023-04-17,-3.0,Мин. температура
3906,24643,2023-04-21,-1.1,Макс. температура
3906,24643,2023-04-22,-9.6,Мин. температура
3906,24643,2023-06-02,6.1,Мин. температура
3906,24643,2023-06-06,17.1,Макс. температура
3906,24643,2023-06-30,25.6,Макс. температура
3906,24643,2023-07-09,22.8,Макс. температура
3906,24643,2023-08-06,14.6,Мин. температура
3906,24643,2023-08-07,8.0,Мин. температура
3906,24643,2023-11-04,-35.1,Мин. температура
3906,24643,2024-03-18,-10.6,Макс. температура
3906,24643,2024-07-21,9.5,Мин. температура
3906,24643,2024-08-06,19.6,Макс. температура
3906,24643,2024-11-04,-23.4,Мин. температура
3906,24643,2024-11-22,-17.6,Макс. температура
3906,24643,2019-10-03,-7.6,Мин. температура
3906,24643,2019-10-08,-2.1,Мин. температура
3906,24643,2019-11-19,-22.5,Мин. температура
3906,24643,2019-12-11,-40.0,Мин. температура
3906,24643,2019-12-14,-37.7,Мин. температура
3906,24643,2019-12-24,-36.1,Мин. температура
3906,24643,2019-12-30,-45.1,Мин. температура
3906,24643,2020-01-02,-44.1,Мин. температура
3906,24643,2020-01-26,-39.8,Мин. температура
3906,24643,2020-02-06,-47.6,Мин. температура
3906,24643,2020-03-28,-28.3,Мин. температура
3906,24643,2020-03-30,-21.0,Мин. температура
3906,24643,2020-04-06,-15.1,Мин. температура
3906,24643,2020-04-15,-5.6,Мин. температура
3906,24643,2020-04-30,4.8,Макс. температура
3906,24643,2020-06-16,25.0,Макс. температура
3906,24643,2020-07-31,10.4,Мин. температура
3906,24643,2020-08-05,27.6,Макс. температура
3906,24643,2020-08-09,8.9,Мин. температура
3906,24643,2020-08-21,19.1,Макс. температура
3906,24643,2020-09-18,16.4,Макс. температура
3906,24643,2020-09-29,8.8,Макс. температура
3906,24643,2020-12-13,-51.0,Мин. температура
3906,24643,2021-01-02,-42.0,Мин. температура
3906,24643,2021-01-07,-37.7,Макс. температура
3906,24643,2021-01-19,-50.3,Мин. температура
3906,24643,2021-01-22,-47.2,Макс. температура
3906,24643,2021-01-27,-46.4,Макс. температура
3906,24643,2021-03-15,-14.9,Макс. температура
3906,24643,2021-04-26,3.9,Макс. температура
3906,24643,2021-05-05,12.1,Макс. температура
3906,24643,2021-07-13,13.7,Мин. температура
3906,24643,2021-07-15,11.7,Мин. температура
3906,24643,2021-08-12,11.0,Мин. температура
3906,24643,2021-09-23,3.6,Мин. температура
3906,24643,2021-10-01,-2.2,Макс. температура
3906,24643,2021-11-03,-8.3,Макс. температура
3906,24643,2021-11-20,-33.6,Мин. температура
