gidro_num,identifier,dt,temp,temptype
3919,24959,2015-01-05,-36.1,Мин. температура
3919,24959,2015-03-15,-3.3,Макс. температура
3919,24959,2015-03-30,-6.7,Макс. температура
3919,24959,2015-03-30,-23.5,Мин. температура
3919,24959,2015-05-03,-2.1,Мин. температура
3919,24959,2015-05-26,0.1,Мин. температура
3919,24959,2015-06-03,15.4,Макс. температура
3919,24959,2015-06-28,8.6,Мин. температура
3919,24959,2015-06-29,13.9,Макс. температура
3919,24959,2015-06-30,8.9,Мин. температура
3919,24959,2015-07-02,22.8,Макс. температура
3919,24959,2015-07-08,11.7,Мин. температура
3919,24959,2015-09-03,15.9,Макс. температура
3919,24959,2015-09-04,17.6,Макс. температура
3919,24959,2015-10-19,-13.7,Мин. температура
3919,24959,2015-11-07,-31.1,Мин. температура
3919,24959,2015-12-12,-31.4,Мин. температура
3919,24959,2016-01-24,-26.7,Макс. температура
3919,24959,2016-02-04,-33.9,Макс. температура
3919,24959,2016-03-31,-20.2,Мин. температура
3919,24959,2016-04-03,-9.7,Мин. температура
3919,24959,2016-06-14,11.3,Мин. температура
3919,24959,2016-06-21,18.5,Макс. температура
3919,24959,2016-07-12,9.6,Мин. температура
3919,24959,2016-07-24,22.2,Макс. температура
3919,24959,2016-08-13,25.3,Макс. температура
3919,24959,2016-08-19,20.4,Макс. температура
3919,24959,2016-08-19,11.1,Мин. температура
3919,24959,2016-11-05,-17.0,Макс. температура
3919,24959,2016-11-10,-27.6,Мин. температура
3919,24959,2017-02-07,-31.6,Макс. температура
3919,24959,2017-03-01,-21.7,Макс. температура
3919,24959,2017-03-26,-12.5,Мин. температура
3919,24959,2017-06-21,12.5,Мин. температура
3919,24959,2017-06-26,29.6,Макс. температура
3919,24959,2017-06-26,14.0,Мин. температура
3919,24959,2017-07-01,15.3,Мин. температура
3919,24959,2017-09-23,10.5,Макс. температура
3919,24959,2018-02-07,-42.4,Мин. температура
3919,24959,2018-02-25,-24.9,Макс. температура
3919,24959,2018-03-01,-35.4,Мин. температура
3919,24959,2018-03-08,-20.5,Макс. температура
3919,24959,2018-03-12,-15.3,Макс. температура
3919,24959,2018-03-27,-1.9,Макс. температура
3919,24959,2018-04-30,4.3,Макс. температура
3919,24959,2018-05-22,16.7,Макс. температура
3919,24959,2018-06-03,19.3,Макс. температура
3919,24959,2018-06-09,25.5,Макс. температура
3919,24959,2018-07-07,32.7,Макс. температура
3919,24959,2018-07-17,25.0,Макс. температура
3919,24959,2018-07-29,21.5,Макс. температура
3919,24959,2018-09-06,-1.4,Мин. температура
3919,24959,2018-09-16,15.5,Макс. температура
3919,24959,2018-10-03,-4.0,Мин. температура
3919,24959,2018-10-20,-8.2,Мин. температура
3919,24959,2018-11-23,-26.4,Макс. температура
3919,24959,2019-04-23,6.0,Макс. температура
3919,24959,2019-05-28,17.1,Макс. температура
3919,24959,2019-07-04,20.1,Макс. температура
3919,24959,2019-07-21,5.1,Мин. температура
3919,24959,2019-08-20,15.9,Макс. температура
3919,24959,2019-09-17,5.2,Макс. температура
3919,24959,2019-10-01,5.4,Макс. температура
3919,24959,2019-10-14,-8.1,Мин. температура
3919,24959,2019-12-03,-33.8,Макс. температура
3919,24959,2019-12-20,-37.8,Макс. температура
3919,24959,2020-02-07,-42.4,Мин. температура
3919,24959,2020-06-12,8.9,Мин. температура
3919,24959,2020-07-04,15.8,Мин. температура
3919,24959,2020-07-05,17.5,Макс. температура
3919,24959,2020-07-18,28.3,Макс. температура
3919,24959,2020-07-23,27.6,Макс. температура
3919,24959,2020-07-25,29.1,Макс. температура
3919,24959,2020-08-04,26.9,Макс. температура
3919,24959,2020-10-13,-6.7,Мин. температура
3919,24959,2020-10-26,-5.0,Макс. температура
3919,24959,2021-01-01,-31.0,Макс. температура
3919,24959,2021-02-07,-35.9,Макс. температура
3919,24959,2021-02-10,-37.7,Мин. температура
3919,24959,2021-02-16,-25.1,Макс. температура
3919,24959,2021-05-16,-1.7,Мин. температура
3919,24959,2021-06-01,8.2,Мин. температура
3919,24959,2021-06-16,10.8,Мин. температура
3919,24959,2021-08-07,26.2,Макс. температура
3919,24959,2021-10-12,3.4,Макс. температура
3919,24959,2021-10-12,-5.9,Мин. температура
3919,24959,2021-11-14,-22.7,Макс. температура
3919,24959,2021-11-23,-29.0,Макс. температура
3919,24959,2022-02-03,-35.8,Мин. температура
3919,24959,2022-04-09,-15.8,Мин. температура
3919,24959,2022-04-17,1.7,Макс. температура
3919,24959,2022-05-03,-4.0,Мин. температура
3919,24959,2022-05-07,-3.2,Мин. температура
3919,24959,2022-05-15,5.6,Макс. температура
3919,24959,2022-05-16,0.6,Мин. температура
3919,24959,2022-07-18,31.6,Макс. температура
3919,24959,2022-08-18,16.8,Макс. температура
3919,24959,2022-11-05,-11.1,Макс. температура
3919,24959,2022-11-22,-28.0,Макс. температура
3919,24959,2022-12-11,-39.7,Макс. температура
3919,24959,2023-03-27,-19.8,Мин. температура
3919,24959,2023-04-18,-6.5,Мин. температура
3919,24959,2023-05-31,22.4,Макс. температура
3919,24959,2023-07-12,19.4,Мин. температура
3919,24959,2023-09-03,15.7,Макс. температура
3919,24959,2023-10-18,-6.7,Мин. температура
3919,24959,2023-11-30,-13.1,Макс. температура
3919,24959,2023-12-18,-39.5,Макс. температура
3919,24959,2024-01-08,-43.7,Макс. температура
3919,24959,2024-01-19,-37.9,Макс. температура
3919,24959,2024-02-06,-39.4,Мин. температура
3919,24959,2024-03-07,-16.3,Макс. температура
3919,24959,2024-03-15,-24.0,Мин. температура
3919,24959,2024-06-05,18.3,Макс. температура
3919,24959,2024-06-19,9.4,Мин. температура
3919,24959,2024-06-29,8.2,Мин. температура
3919,24959,2024-09-22,-2.6,Мин. температура
3919,24959,2024-10-24,-5.0,Макс. температура
3919,24959,2024-11-21,-27.0,Макс. температура
3919,24959,2015-01-28,-34.9,Мин. температура
3919,24959,2015-01-31,-27.6,Макс. температура
3919,24959,2015-02-05,-25.0,Макс. температура
3919,24959,2015-04-17,2.2,Макс. температура
3919,24959,2015-04-30,0.8,Мин. температура
3919,24959,2015-07-05,12.8,Мин. температура
3919,24959,2015-07-27,21.2,Макс. температура
3919,24959,2015-10-07,7.0,Макс. температура
3919,24959,2015-10-24,-20.3,Мин. температура
3919,24959,2015-11-07,-19.4,Макс. температура
3919,24959,2015-11-17,-22.3,Макс. температура
3919,24959,2015-12-21,-37.1,Макс. температура
3919,24959,2016-01-04,-39.3,Мин. температура
3919,24959,2016-02-13,-29.5,Макс. температура
3919,24959,2016-04-01,-6.1,Мин. температура
3919,24959,2016-04-07,-3.5,Макс. температура
3919,24959,2016-05-07,-3.0,Мин. температура
3919,24959,2016-06-03,3.5,Мин. температура
3919,24959,2016-08-05,7.4,Мин. температура
3919,24959,2016-08-14,17.5,Макс. температура
3919,24959,2016-08-17,14.6,Мин. температура
3919,24959,2016-09-25,-0.1,Мин. температура
3919,24959,2016-10-27,-10.9,Макс. температура
3919,24959,2016-11-04,-20.2,Мин. температура
3919,24959,2017-01-01,-34.0,Макс. температура
3919,24959,2017-02-15,-35.3,Мин. температура
3919,24959,2017-04-08,0.7,Макс. температура
3919,24959,2017-05-01,-0.5,Мин. температура
3919,24959,2017-05-31,17.5,Макс. температура
3919,24959,2017-06-23,13.0,Мин. температура
3919,24959,2017-07-22,8.5,Мин. температура
3919,24959,2017-08-22,7.6,Мин. температура
3919,24959,2017-09-28,14.6,Макс. температура
3919,24959,2017-12-02,-38.6,Мин. температура
3919,24959,2017-12-20,-36.2,Макс. температура
3919,24959,2018-01-28,-24.4,Макс. температура
3919,24959,2018-02-04,-39.9,Мин. температура
3919,24959,2018-04-26,2.5,Макс. температура
3919,24959,2018-04-30,-2.3,Мин. температура
3919,24959,2018-05-27,26.4,Макс. температура
3919,24959,2018-05-29,19.0,Макс. температура
3919,24959,2018-08-08,8.4,Мин. температура
3919,24959,2018-08-10,8.3,Мин. температура
3919,24959,2018-11-27,-37.3,Мин. температура
3919,24959,2019-01-20,-38.4,Макс. температура
3919,24959,2019-01-22,-38.3,Мин. температура
3919,24959,2019-03-10,-6.4,Макс. температура
3919,24959,2019-03-26,-15.7,Мин. температура
3919,24959,2019-03-30,-24.9,Мин. температура
3919,24959,2019-05-07,-2.6,Мин. температура
3919,24959,2019-06-17,10.2,Мин. температура
3919,24959,2019-08-06,26.5,Макс. температура
3919,24959,2019-08-08,27.4,Макс. температура
3919,24959,2019-08-24,19.6,Макс. температура
3919,24959,2019-11-05,-13.8,Мин. температура
3919,24959,2019-11-24,-31.4,Мин. температура
3919,24959,2019-11-27,-33.2,Макс. температура
3919,24959,2020-01-16,-27.0,Макс. температура
3919,24959,2020-01-18,-31.6,Макс. температура
3919,24959,2020-02-18,-23.9,Макс. температура
3919,24959,2020-03-04,-27.9,Мин. температура
3919,24959,2020-04-27,-4.1,Мин. температура
3919,24959,2020-05-21,20.3,Макс. температура
3919,24959,2020-06-05,6.7,Мин. температура
3919,24959,2020-06-07,6.7,Мин. температура
3919,24959,2020-08-01,26.8,Макс. температура
3919,24959,2020-08-07,27.2,Макс. температура
3919,24959,2020-08-26,0.0,Мин. температура
3919,24959,2020-09-28,13.9,Макс. температура
3919,24959,2020-10-05,-4.1,Мин. температура
3919,24959,2020-11-25,-25.7,Мин. температура
3919,24959,2020-12-03,-21.0,Макс. температура
3919,24959,2020-12-03,-23.5,Мин. температура
3919,24959,2021-01-06,-41.6,Макс. температура
3919,24959,2021-01-27,-43.0,Макс. температура
3919,24959,2021-02-09,-40.0,Мин. температура
3919,24959,2021-02-14,-22.3,Мин. температура
3919,24959,2021-02-15,-21.1,Макс. температура
3919,24959,2021-03-16,-9.4,Макс. температура
3919,24959,2021-04-13,-10.3,Мин. температура
3919,24959,2021-05-01,13.1,Макс. температура
3919,24959,2021-05-01,-0.8,Мин. температура
3919,24959,2021-08-04,15.6,Мин. температура
3919,24959,2021-08-22,17.1,Мин. температура
3919,24959,2021-08-26,12.3,Мин. температура
3919,24959,2021-10-01,-3.0,Мин. температура
3919,24959,2021-10-25,-9.4,Мин. температура
3919,24959,2021-11-04,-13.9,Мин. температура
3919,24959,2022-02-03,-29.9,Макс. температура
3919,24959,2022-02-17,-33.6,Мин. температура
3919,24959,2022-08-21,16.5,Макс. температура
3919,24959,2022-09-22,2.6,Макс. температура
3919,24959,2022-12-06,-34.8,Макс. температура
3919,24959,2022-12-10,-38.1,Макс. температура
3919,24959,2023-02-08,-41.6,Макс. температура
3919,24959,2023-03-05,-20.3,Мин. температура
3919,24959,2023-04-27,6.7,Макс. температура
3919,24959,2023-06-10,22.3,Макс. температура
3919,24959,2023-06-15,22.4,Макс. температура
3919,24959,2023-07-10,29.4,Макс. температура
3919,24959,2023-08-12,18.5,Мин. температура
3919,24959,2023-08-16,18.2,Макс. температура
3919,24959,2023-09-08,-0.5,Мин. температура
3919,24959,2023-09-11,7.2,Макс. температура
3919,24959,2023-11-04,-20.9,Макс. температура
3919,24959,2023-11-29,-19.9,Макс. температура
3919,24959,2023-12-12,-32.1,Макс. температура
3919,24959,2024-01-31,-34.7,Макс. температура
3919,24959,2024-03-30,-11.4,Макс. температура
3919,24959,2024-04-21,7.7,Макс. температура
