gidro_num,identifier,dt,temp,temptype
3915,24766,2013-02-09,-50.7,Мин. температура
3915,24766,2013-03-28,-24.6,Мин. температура
3915,24766,2013-03-29,-23.0,Мин. температура
3915,24766,2013-04-26,7.2,Макс. температура
3915,24766,2013-05-26,8.2,Мин. температура
3915,24766,2013-06-01,8.6,Мин. температура
3915,24766,2013-06-08,12.6,Макс. температура
3915,24766,2013-07-21,25.5,Макс. температура
3915,24766,2013-08-02,26.3,Макс. температура
3915,24766,2013-08-14,12.6,Мин. температура
3915,24766,2013-08-28,7.8,Мин. температура
3915,24766,2013-09-26,-1.6,Мин. температура
3915,24766,2013-10-09,-1.8,Макс. температура
3915,24766,2013-10-17,-3.3,Макс. температура
3915,24766,2013-11-12,-27.6,Макс. температура
3915,24766,2013-11-26,-27.5,Макс. температура
3915,24766,2013-12-15,-34.3,Мин. температура
3915,24766,2014-01-01,-36.6,Макс. температура
3915,24766,2014-01-11,-43.1,Макс. температура
3915,24766,2014-03-03,-24.4,Макс. температура
3915,24766,2014-05-02,3.3,Макс. температура
3915,24766,2014-05-04,-2.7,Мин. температура
3915,24766,2014-05-23,4.8,Мин. температура
3915,24766,2014-06-06,4.5,Мин. температура
3915,24766,2014-07-03,23.6,Макс. температура
3915,24766,2014-07-09,24.8,Макс. температура
3915,24766,2014-07-27,17.8,Макс. температура
3915,24766,2014-08-20,7.3,Мин. температура
3915,24766,2014-10-06,-2.0,Макс. температура
3915,24766,2014-10-19,-3.1,Макс. температура
3915,24766,2014-11-12,-42.7,Мин. температура
3915,24766,2014-12-05,-41.6,Мин. температура
3915,24766,2014-12-12,-47.8,Мин. температура
3915,24766,2013-01-14,-46.5,Макс. температура
3915,24766,2013-01-26,-34.2,Макс. температура
3915,24766,2013-01-28,-48.0,Мин. температура
3915,24766,2013-02-14,-30.7,Макс. температура
3915,24766,2013-04-18,6.4,Макс. температура
3915,24766,2013-08-02,16.4,Мин. температура
3915,24766,2013-08-22,13.6,Макс. температура
3915,24766,2013-10-31,-28.4,Мин. температура
3915,24766,2014-01-10,-46.5,Мин. температура
3915,24766,2014-02-10,-35.6,Мин. температура
3915,24766,2014-03-09,-35.2,Мин. температура
3915,24766,2014-03-30,-4.3,Макс. температура
3915,24766,2014-04-12,11.8,Макс. температура
3915,24766,2014-04-18,-10.9,Мин. температура
3915,24766,2014-06-14,15.9,Мин. температура
3915,24766,2014-06-17,21.6,Макс. температура
3915,24766,2014-06-23,13.9,Мин. температура
3915,24766,2014-07-12,11.4,Мин. температура
3915,24766,2014-07-24,25.0,Макс. температура
3915,24766,2014-07-29,22.2,Макс. температура
3915,24766,2014-08-02,22.0,Макс. температура
3915,24766,2014-08-16,15.6,Макс. температура
3915,24766,2014-09-10,2.9,Мин. температура
3915,24766,2014-10-08,-1.6,Макс. температура
3915,24766,2014-12-04,-31.9,Макс. температура
3915,24766,2014-12-27,-42.5,Мин. температура
3915,24766,2014-12-28,-39.8,Макс. температура
3915,24766,2014-12-29,-43.5,Мин. температура
3915,24766,2013-01-30,-39.6,Мин. температура
3915,24766,2013-04-18,-6.5,Мин. температура
3915,24766,2013-05-05,19.8,Макс. температура
3915,24766,2013-06-26,22.2,Макс. температура
3915,24766,2013-07-05,25.4,Макс. температура
3915,24766,2013-07-20,28.6,Макс. температура
3915,24766,2013-07-20,15.0,Мин. температура
3915,24766,2013-08-23,4.8,Мин. температура
3915,24766,2013-08-25,20.2,Макс. температура
3915,24766,2013-08-25,-1.4,Мин. температура
3915,24766,2013-09-18,7.5,Макс. температура
3915,24766,2013-11-14,-36.6,Мин. температура
3915,24766,2013-12-07,-26.1,Макс. температура
3915,24766,2014-02-28,-22.6,Макс. температура
3915,24766,2014-03-22,-28.0,Мин. температура
