gidro_num,identifier,dt,temp,temptype
3903,24338,2005-01-01,-43.3,Мин. температура
3903,24338,2005-03-03,-26.2,Мин. температура
3903,24338,2005-03-10,-33.5,Мин. температура
3903,24338,2005-03-16,-35.6,Мин. температура
3903,24338,2005-05-02,-4.4,Мин. температура
3903,24338,2005-06-30,16.1,Мин. температура
3903,24338,2005-07-02,18.2,Мин. температура
3903,24338,2005-07-10,22.4,Макс. температура
3903,24338,2005-07-13,6.9,Мин. температура
3903,24338,2005-09-09,16.2,Макс. температура
3903,24338,2005-09-28,-2.7,Мин. температура
3903,24338,2005-10-17,-11.0,Макс. температура
3903,24338,2005-11-24,-28.3,Макс. температура
3903,24338,2005-12-18,-33.4,Мин. температура
3903,24338,2006-01-09,-49.8,Мин. температура
3903,24338,2006-02-23,-40.1,Мин. температура
3903,24338,2006-03-01,-21.1,Макс. температура
3903,24338,2006-03-18,-15.4,Макс. температура
3903,24338,2006-03-27,-16.8,Макс. температура
3903,24338,2006-04-06,-14.8,Макс. температура
3903,24338,2006-04-16,-25.3,Мин. температура
3903,24338,2006-06-08,8.7,Макс. температура
3903,24338,2006-06-21,17.0,Макс. температура
3903,24338,2006-07-23,12.1,Мин. температура
3903,24338,2006-08-06,19.8,Макс. температура
3903,24338,2006-08-18,22.2,Макс. температура
3903,24338,2006-09-25,2.9,Мин. температура
3903,24338,2006-10-04,-1.7,Макс. температура
3903,24338,2006-10-07,-15.6,Мин. температура
3903,24338,2006-10-22,-10.6,Макс. температура
3903,24338,2006-10-28,-23.2,Макс. температура
3903,24338,2006-11-01,-23.8,Макс. температура
3903,24338,2006-11-19,-21.5,Макс. температура
3903,24338,2006-12-11,-32.7,Мин. температура
3903,24338,2007-01-25,-10.5,Макс. температура
3903,24338,2007-02-02,-35.4,Мин. температура
3903,24338,2007-03-01,-39.5,Мин. температура
3903,24338,2007-04-26,-12.0,Мин. температура
3903,24338,2007-05-17,-4.6,Мин. температура
3903,24338,2007-07-01,20.2,Макс. температура
3903,24338,2007-07-21,17.2,Макс. температура
3903,24338,2007-08-23,0.0,Мин. температура
3903,24338,2007-09-27,-3.0,Мин. температура
3903,24338,2007-11-06,-8.1,Макс. температура
3903,24338,2007-11-15,-30.9,Мин. температура
3903,24338,2007-12-08,-28.9,Мин. температура
3903,24338,2007-12-20,-43.0,Макс. температура
3903,24338,2008-02-18,-12.3,Макс. температура
3903,24338,2008-04-26,2.0,Макс. температура
3903,24338,2008-05-12,7.8,Макс. температура
3903,24338,2008-05-14,5.8,Макс. температура
3903,24338,2008-06-20,15.4,Макс. температура
3903,24338,2008-06-24,17.3,Макс. температура
3903,24338,2008-06-28,25.7,Макс. температура
3903,24338,2008-07-20,18.2,Макс. температура
3903,24338,2008-07-22,12.3,Макс. температура
3903,24338,2008-08-14,12.6,Мин. температура
3903,24338,2008-08-20,17.0,Макс. температура
3903,24338,2008-08-30,4.6,Мин. температура
3903,24338,2008-09-10,-4.0,Мин. температура
3903,24338,2008-10-05,0.3,Макс. температура
3903,24338,2008-12-14,-38.6,Макс. температура
3903,24338,2009-01-11,-37.6,Мин. температура
3903,24338,2009-03-05,-40.3,Мин. температура
3903,24338,2009-03-18,-37.8,Мин. температура
3903,24338,2009-04-23,7.1,Макс. температура
3903,24338,2009-05-03,-5.8,Мин. температура
3903,24338,2009-05-20,-3.4,Мин. температура
3903,24338,2009-07-22,22.4,Макс. температура
3903,24338,2009-08-01,8.6,Мин. температура
3903,24338,2009-08-27,12.7,Макс. температура
3903,24338,2009-11-14,-11.6,Макс. температура
3903,24338,2010-01-05,-39.2,Макс. температура
3903,24338,2010-01-07,-37.3,Мин. температура
3903,24338,2010-01-25,-36.3,Макс. температура
3903,24338,2010-01-26,-41.1,Мин. температура
3903,24338,2010-02-14,-34.4,Мин. температура
3903,24338,2010-04-06,-13.4,Макс. температура
3903,24338,2010-04-15,2.3,Макс. температура
3903,24338,2010-05-27,15.8,Макс. температура
3903,24338,2010-05-31,1.3,Мин. температура
3903,24338,2010-06-09,6.5,Мин. температура
3903,24338,2010-06-29,9.3,Мин. температура
3903,24338,2010-07-11,8.1,Мин. температура
3903,24338,2010-08-10,15.5,Макс. температура
3903,24338,2010-09-15,-0.7,Мин. температура
3903,24338,2010-10-08,-11.9,Мин. температура
3903,24338,2010-11-21,-32.4,Мин. температура
3903,24338,2010-11-27,-36.5,Макс. температура
3903,24338,2011-01-04,-15.2,Макс. температура
3903,24338,2011-01-29,-27.2,Макс. температура
3903,24338,2011-02-21,-29.5,Макс. температура
3903,24338,2011-04-30,-4.8,Мин. температура
3903,24338,2011-05-05,-6.6,Мин. температура
3903,24338,2011-05-30,5.6,Мин. температура
3903,24338,2011-06-29,7.4,Мин. температура
3903,24338,2011-07-30,22.2,Макс. температура
3903,24338,2011-08-06,27.1,Макс. температура
3903,24338,2011-09-12,-2.8,Мин. температура
3903,24338,2011-10-14,-4.0,Макс. температура
3903,24338,2011-10-16,-5.2,Макс. температура
3903,24338,2011-10-22,-16.0,Мин. температура
3903,24338,2011-11-06,-31.0,Мин. температура
3903,24338,2011-11-08,-31.7,Мин. температура
3903,24338,2011-11-30,-40.0,Мин. температура
3903,24338,2012-01-26,-32.4,Мин. температура
3903,24338,2012-03-08,-20.0,Макс. температура
3903,24338,2012-04-16,-0.8,Макс. температура
3903,24338,2012-04-25,-8.9,Макс. температура
3903,24338,2012-05-21,8.9,Макс. температура
3903,24338,2012-06-15,26.5,Макс. температура
3903,24338,2012-09-15,9.6,Макс. температура
3903,24338,2012-10-26,-20.0,Макс. температура
3903,24338,2012-11-22,-28.4,Макс. температура
3903,24338,2012-12-05,-41.6,Мин. температура
3903,24338,2013-01-03,-40.8,Мин. температура
3903,24338,2013-01-09,-40.2,Мин. температура
3903,24338,2013-01-15,-39.6,Мин. температура
3903,24338,2013-02-01,-46.4,Мин. температура
3903,24338,2005-01-03,-29.0,Макс. температура
3903,24338,2005-01-06,-37.6,Макс. температура
3903,24338,2005-01-10,-35.3,Мин. температура
3903,24338,2005-01-19,-32.5,Макс. температура
3903,24338,2005-04-17,4.8,Макс. температура
3903,24338,2005-05-22,-1.6,Мин. температура
3903,24338,2005-05-23,4.4,Макс. температура
3903,24338,2005-06-10,23.7,Макс. температура
3903,24338,2005-06-28,15.4,Мин. температура
3903,24338,2005-07-15,7.3,Мин. температура
3903,24338,2005-07-17,10.5,Мин. температура
3903,24338,2005-07-20,26.4,Макс. температура
3903,24338,2005-10-31,-0.2,Макс. температура
3903,24338,2005-11-11,-27.2,Мин. температура
3903,24338,2005-11-13,-29.4,Мин. температура
3903,24338,2005-11-15,-20.1,Макс. температура
3903,24338,2005-12-08,-30.7,Мин. температура
3903,24338,2005-12-16,-33.0,Макс. температура
3903,24338,2005-12-19,-32.6,Мин. температура
3903,24338,2005-12-30,-39.4,Макс. температура
3903,24338,2006-01-26,-42.6,Мин. температура
3903,24338,2006-01-29,-31.3,Макс. температура
3903,24338,2006-03-02,-26.3,Мин. температура
3903,24338,2006-03-05,-38.0,Мин. температура
3903,24338,2006-03-08,-23.5,Макс. температура
3903,24338,2006-03-12,-24.8,Мин. температура
3903,24338,2006-03-21,-15.4,Макс. температура
3903,24338,2006-04-04,-28.7,Мин. температура
3903,24338,2006-05-02,-7.8,Мин. температура
3903,24338,2006-06-15,9.8,Мин. температура
3903,24338,2006-07-25,27.8,Макс. температура
3903,24338,2006-07-27,23.8,Макс. температура
3903,24338,2006-08-03,17.2,Мин. температура
3903,24338,2006-08-09,10.1,Мин. температура
3903,24338,2006-08-26,13.2,Макс. температура
