gidro_num,identifier,dt,temp,temptype
3904,24477,2019-10-21,-18.6,Мин. температура
3904,24477,2019-11-08,-20.0,Макс. температура
3904,24477,2019-11-14,-23.5,Макс. температура
3904,24477,2020-01-26,-55.6,Мин. температура
3904,24477,2020-04-03,-30.2,Мин. температура
3904,24477,2020-06-02,13.0,Макс. температура
3904,24477,2020-06-16,17.4,Макс. температура
3904,24477,2020-07-23,11.5,Мин. температура
3904,24477,2020-08-16,8.4,Макс. температура
3904,24477,2020-12-06,-31.0,Макс. температура
3904,24477,2020-12-11,-52.9,Мин. температура
3904,24477,2020-12-21,-49.7,Мин. температура
3904,24477,2021-01-26,-51.0,Макс. температура
3904,24477,2021-01-29,-51.5,Мин. температура
3904,24477,2021-02-28,-46.7,Мин. температура
3904,24477,2021-03-07,-43.4,Мин. температура
3904,24477,2021-04-15,-9.4,Макс. температура
3904,24477,2021-06-01,-1.0,Мин. температура
3904,24477,2021-07-03,14.6,Мин. температура
3904,24477,2021-07-10,13.3,Мин. температура
3904,24477,2021-07-14,8.6,Мин. температура
3904,24477,2021-07-23,23.0,Макс. температура
3904,24477,2021-07-28,13.7,Макс. температура
3904,24477,2021-08-01,5.4,Мин. температура
3904,24477,2021-10-01,1.0,Макс. температура
3904,24477,2021-10-14,-14.6,Мин. температура
3904,24477,2021-11-03,-13.5,Мин. температура
3904,24477,2021-12-19,-48.1,Макс. температура
3904,24477,2022-02-04,-44.2,Мин. температура
3904,24477,2022-02-22,-26.4,Макс. температура
3904,24477,2022-02-22,-32.3,Мин. температура
3904,24477,2022-06-11,12.2,Макс. температура
3904,24477,2022-06-21,13.1,Макс. температура
3904,24477,2022-07-04,28.2,Макс. температура
3904,24477,2022-07-10,20.5,Макс. температура
3904,24477,2022-08-05,9.6,Мин. температура
3904,24477,2022-09-04,7.2,Макс. температура
3904,24477,2022-09-04,-0.3,Мин. температура
3904,24477,2022-09-08,3.8,Мин. температура
3904,24477,2022-09-22,1.0,Макс. температура
3904,24477,2022-10-12,-15.2,Мин. температура
3904,24477,2022-10-24,-17.0,Мин. температура
3904,24477,2022-12-18,-32.4,Макс. температура
3904,24477,2023-01-13,-46.4,Макс. температура
3904,24477,2023-01-31,-30.3,Макс. температура
3904,24477,2023-01-31,-47.9,Мин. температура
3904,24477,2023-02-03,-33.9,Макс. температура
3904,24477,2023-02-23,-45.2,Мин. температура
3904,24477,2023-03-17,-30.2,Мин. температура
3904,24477,2023-03-25,-24.7,Мин. температура
3904,24477,2023-04-01,-29.6,Мин. температура
3904,24477,2023-04-06,-14.9,Макс. температура
3904,24477,2023-04-08,-10.9,Макс. температура
3904,24477,2023-07-23,16.6,Макс. температура
3904,24477,2023-08-20,7.0,Мин. температура
3904,24477,2023-12-29,-50.9,Макс. температура
3904,24477,2024-01-04,-51.0,Мин. температура
3904,24477,2024-01-06,-51.0,Мин. температура
3904,24477,2024-04-04,-19.5,Мин. температура
3904,24477,2024-04-05,-5.1,Макс. температура
3904,24477,2024-05-05,6.4,Макс. температура
3904,24477,2024-05-08,4.6,Макс. температура
3904,24477,2024-06-16,9.7,Мин. температура
3904,24477,2024-07-09,8.1,Мин. температура
3904,24477,2024-08-17,18.6,Макс. температура
3904,24477,2024-09-04,5.4,Макс. температура
3904,24477,2024-10-14,-8.5,Макс. температура
3904,24477,2024-10-30,-31.0,Мин. температура
3904,24477,2024-10-31,-24.4,Макс. температура
3904,24477,2019-10-29,-16.4,Макс. температура
3904,24477,2019-11-13,-26.1,Мин. температура
3904,24477,2019-11-17,-30.3,Мин. температура
3904,24477,2019-12-21,-36.6,Макс. температура
3904,24477,2020-02-16,-47.6,Мин. температура
3904,24477,2020-02-23,-40.8,Мин. температура
3904,24477,2020-03-19,-40.0,Мин. температура
3904,24477,2020-06-20,8.0,Мин. температура
3904,24477,2020-07-17,8.9,Мин. температура
3904,24477,2020-07-27,19.8,Макс. температура
3904,24477,2020-08-16,-2.0,Мин. температура
3904,24477,2020-08-29,13.5,Макс. температура
3904,24477,2020-09-21,-1.6,Мин. температура
3904,24477,2020-09-23,-5.2,Мин. температура
3904,24477,2020-11-17,-31.5,Мин. температура
3904,24477,2020-12-05,-43.4,Мин. температура
3904,24477,2021-01-13,-52.2,Мин. температура
3904,24477,2021-01-15,-47.5,Макс. температура
3904,24477,2021-03-06,-25.6,Макс. температура
3904,24477,2021-03-09,-24.8,Макс. температура
3904,24477,2021-03-14,-24.1,Мин. температура
3904,24477,2021-04-03,-17.4,Мин. температура
3904,24477,2021-04-07,-15.8,Макс. температура
3904,24477,2021-04-21,-4.6,Макс. температура
3904,24477,2021-04-25,-22.1,Мин. температура
3904,24477,2021-07-01,-11.3,Мин. температура
3904,24477,2021-07-03,29.4,Макс. температура
3904,24477,2021-07-30,19.3,Макс. температура
3904,24477,2021-08-24,14.1,Макс. температура
3904,24477,2021-08-26,18.0,Макс. температура
3904,24477,2021-09-03,7.9,Мин. температура
3904,24477,2021-09-06,-1.4,Мин. температура
3904,24477,2021-12-25,-46.3,Макс. температура
3904,24477,2022-01-03,-44.4,Макс. температура
3904,24477,2022-02-11,-41.3,Макс. температура
3904,24477,2022-03-05,-34.6,Мин. температура
3904,24477,2022-03-08,-29.4,Макс. температура
3904,24477,2022-03-13,-38.9,Мин. температура
3904,24477,2022-04-07,-21.6,Мин. температура
3904,24477,2022-07-14,23.9,Макс. температура
3904,24477,2022-07-29,28.1,Макс. температура
3904,24477,2022-09-17,1.2,Мин. температура
3904,24477,2022-09-24,-6.2,Мин. температура
3904,24477,2022-11-14,-18.5,Макс. температура
3904,24477,2022-11-17,-38.2,Макс. температура
3904,24477,2022-12-17,-48.4,Мин. температура
3904,24477,2023-01-02,-48.5,Мин. температура
3904,24477,2023-01-03,-49.5,Макс. температура
3904,24477,2023-01-27,-42.0,Макс. температура
3904,24477,2023-02-23,-37.5,Макс. температура
3904,24477,2023-04-28,4.4,Макс. температура
3904,24477,2023-05-18,2.3,Мин. температура
3904,24477,2023-08-13,26.0,Макс. температура
3904,24477,2023-10-02,6.6,Макс. температура
3904,24477,2023-11-11,-41.5,Мин. температура
3904,24477,2023-11-20,-38.8,Мин. температура
3904,24477,2023-12-07,-51.9,Мин. температура
3904,24477,2024-01-11,-53.1,Макс. температура
3904,24477,2024-03-03,-27.9,Макс. температура
3904,24477,2024-04-01,-34.9,Мин. температура
3904,24477,2024-06-07,24.2,Макс. температура
3904,24477,2024-06-15,13.9,Макс. температура
3904,24477,2024-07-27,16.8,Макс. температура
3904,24477,2024-09-07,7.2,Макс. температура
3904,24477,2024-11-10,-28.1,Мин. температура
3904,24477,2024-12-12,-42.1,Макс. температура
3904,24477,2024-12-17,-44.0,Мин. температура
3904,24477,2019-10-22,-15.3,Макс. температура
3904,24477,2020-01-04,-44.6,Мин. температура
3904,24477,2020-02-06,-44.6,Макс. температура
3904,24477,2020-02-19,-36.2,Макс. температура
3904,24477,2020-02-27,-26.0,Макс. температура
3904,24477,2020-03-10,-26.4,Макс. температура
3904,24477,2020-03-13,-45.8,Мин. температура
3904,24477,2020-04-07,-15.1,Мин. температура
3904,24477,2020-05-03,-4.1,Макс. температура
3904,24477,2020-05-17,-2.6,Мин. температура
3904,24477,2020-05-29,-0.6,Мин. температура
3904,24477,2020-09-08,3.2,Мин. температура
3904,24477,2020-10-18,-10.9,Макс. температура
3904,24477,2021-02-13,-37.8,Мин. температура
3904,24477,2021-03-26,-34.1,Мин. температура
3904,24477,2021-03-28,-15.9,Мин. температура
3904,24477,2021-04-26,-1.9,Макс. температура
3904,24477,2021-05-06,6.1,Макс. температура
3904,24477,2021-06-12,17.8,Макс. температура
3904,24477,2021-06-15,15.9,Макс. температура
3904,24477,2021-07-20,21.7,Макс. температура
3904,24477,2021-08-13,17.7,Макс. температура
3904,24477,2021-10-23,-12.8,Макс. температура
3904,24477,2021-11-02,-11.0,Макс. температура
3904,24477,2021-11-20,-36.6,Мин. температура
3904,24477,2022-01-30,-43.5,Мин. температура
3904,24477,2022-03-04,-37.2,Мин. температура
3904,24477,2022-04-02,-14.6,Макс. температура
3904,24477,2022-05-08,-12.8,Мин. температура
3904,24477,2022-05-11,-18.7,Мин. температура
3904,24477,2022-09-19,-2.4,Мин. температура
3904,24477,2022-11-05,-32.2,Мин. температура
3904,24477,2022-11-25,-45.4,Мин. температура
3904,24477,2022-12-22,-22.5,Макс. температура
3904,24477,2022-12-24,-40.4,Мин. температура
3904,24477,2023-01-24,-52.5,Мин. температура
3904,24477,2023-01-30,-40.2,Макс. температура
3904,24477,2023-04-05,-8.1,Макс. температура
3904,24477,2023-04-21,-1.0,Макс. температура
3904,24477,2023-04-21,-10.6,Мин. температура
3904,24477,2023-04-22,-10.1,Мин. температура
3904,24477,2023-05-17,17.5,Макс. температура
3904,24477,2023-05-21,-1.2,Мин. температура
3904,24477,2023-06-12,13.8,Макс. температура
3904,24477,2023-07-03,15.7,Мин. температура
3904,24477,2023-07-08,16.6,Макс. температура
3904,24477,2023-07-24,21.0,Макс. температура
3904,24477,2023-08-01,6.5,Мин. температура
3904,24477,2023-12-14,-38.5,Макс. температура
3904,24477,2024-02-13,-45.0,Макс. температура
3904,24477,2024-04-21,4.4,Макс. температура
3904,24477,2024-05-06,-0.4,Мин. температура
3904,24477,2024-07-05,2.0,Мин. температура
3904,24477,2024-08-02,12.0,Макс. температура
3904,24477,2024-08-09,6.4,Мин. температура
3904,24477,2024-08-16,16.2,Макс. температура
3904,24477,2024-08-31,-0.6,Мин. температура
3904,24477,2024-11-11,-26.1,Макс. температура
3904,24477,2024-11-12,-32.5,Макс. температура
3904,24477,2024-11-21,-43.9,Мин. температура
3904,24477,2024-12-09,-35.1,Макс. температура
3904,24477,2024-12-25,-36.2,Макс. температура
3904,24477,2019-09-30,-2.8,Макс. температура
3904,24477,2019-10-11,-9.4,Макс. температура
3904,24477,2020-01-27,-56.6,Мин. температура
3904,24477,2020-02-08,-44.8,Макс. температура
3904,24477,2020-03-31,-8.2,Макс. температура
3904,24477,2020-06-03,-1.0,Мин. температура
3904,24477,2020-06-29,10.4,Мин. температура
3904,24477,2020-07-14,19.1,Макс. температура
3904,24477,2020-09-03,5.0,Мин. температура
3904,24477,2020-11-01,-35.4,Макс. температура
3904,24477,2020-11-04,-41.0,Мин. температура
3904,24477,2020-12-09,-52.1,Мин. температура
