gidro_num,identifier,dt,temp,temptype
3510,24588,2015-01-10,-27.9,Макс. температура
3510,24588,2015-01-15,-30.1,Макс. температура
3510,24588,2015-02-13,-30.2,Макс. температура
3510,24588,2015-04-25,-17.0,Мин. температура
3510,24588,2015-11-16,-42.0,Мин. температура
3510,24588,2015-12-10,-50.2,Макс. температура
3510,24588,2015-12-16,-48.5,Макс. температура
3510,24588,2016-03-01,-44.9,Мин. температура
3510,24588,2016-05-02,10.8,Макс. температура
3510,24588,2016-08-22,-0.9,Мин. температура
3510,24588,2016-09-06,3.6,Мин. температура
3510,24588,2016-10-29,-12.6,Макс. температура
3510,24588,2016-11-29,-40.3,Мин. температура
3510,24588,2017-01-02,-50.2,Макс. температура
3510,24588,2017-03-06,-29.1,Мин. температура
3510,24588,2017-03-08,-12.4,Макс. температура
3510,24588,2017-04-22,-15.9,Мин. температура
3510,24588,2017-05-07,-3.2,Мин. температура
3510,24588,2017-05-25,-2.4,Мин. температура
3510,24588,2017-06-19,6.9,Мин. температура
3510,24588,2017-07-11,28.5,Макс. температура
3510,24588,2017-08-06,26.0,Макс. температура
3510,24588,2018-01-05,-50.0,Мин. температура
3510,24588,2018-01-26,-48.0,Мин. температура
3510,24588,2018-01-29,-42.7,Мин. температура
3510,24588,2018-02-27,-40.3,Мин. температура
3510,24588,2018-03-08,-33.3,Мин. температура
3510,24588,2018-03-17,-26.2,Макс. температура
3510,24588,2018-05-29,-3.2,Мин. температура
3510,24588,2018-06-07,6.2,Мин. температура
3510,24588,2018-06-27,18.5,Макс. температура
3510,24588,2018-08-05,6.9,Мин. температура
3510,24588,2018-08-28,-1.4,Мин. температура
3510,24588,2018-09-21,6.9,Макс. температура
3510,24588,2018-10-09,-6.4,Макс. температура
3510,24588,2018-10-09,-19.8,Мин. температура
3510,24588,2018-10-15,-17.4,Мин. температура
3510,24588,2018-10-19,-12.4,Макс. температура
3510,24588,2018-12-06,-31.0,Макс. температура
3510,24588,2019-01-31,-49.0,Макс. температура
3510,24588,2019-04-08,-19.9,Мин. температура
3510,24588,2019-04-09,-20.0,Мин. температура
3510,24588,2019-04-28,3.0,Макс. температура
3510,24588,2019-05-15,15.6,Макс. температура
3510,24588,2019-06-17,23.6,Макс. температура
3510,24588,2019-09-05,10.8,Макс. температура
3510,24588,2019-11-25,-46.6,Мин. температура
3510,24588,2019-12-17,-43.6,Макс. температура
3510,24588,2019-12-17,-48.6,Мин. температура
3510,24588,2020-01-27,-56.5,Мин. температура
3510,24588,2020-02-04,-52.2,Мин. температура
3510,24588,2020-03-15,-38.3,Мин. температура
3510,24588,2020-03-17,-43.2,Мин. температура
3510,24588,2020-04-03,-30.0,Мин. температура
3510,24588,2020-06-01,9.4,Макс. температура
3510,24588,2020-06-04,5.5,Мин. температура
3510,24588,2020-06-25,7.5,Мин. температура
