gidro_num,identifier,dt,temp,temptype
3429,24266,1995-01-29,-39.0,Макс. температура
3429,24266,1995-04-29,-0.4,Макс. температура
3429,24266,1995-05-10,2.9,Макс. температура
3429,24266,1995-06-12,9.0,Мин. температура
3429,24266,1995-06-16,12.2,Мин. температура
3429,24266,1995-09-05,13.6,Макс. температура
3429,24266,1995-09-16,5.3,Макс. температура
3429,24266,1995-10-04,-0.2,Макс. температура
3429,24266,1995-10-13,-14.3,Мин. температура
3429,24266,1995-10-20,-1.5,Макс. температура
3429,24266,1995-10-22,0.8,Макс. температура
3429,24266,1995-11-04,-18.2,Мин. температура
3429,24266,1995-11-11,-23.3,Макс. температура
3429,24266,1995-12-18,-47.7,Мин. температура
3429,24266,1995-12-28,-45.8,Мин. температура
3429,24266,1996-01-25,-45.1,Макс. температура
3429,24266,1996-03-19,-31.7,Мин. температура
3429,24266,1996-03-24,-19.0,Мин. температура
3429,24266,1996-04-17,-13.4,Мин. температура
3429,24266,1996-05-23,2.4,Мин. температура
3429,24266,1996-06-02,6.2,Макс. температура
3429,24266,1996-06-04,5.1,Мин. температура
3429,24266,1996-07-18,7.5,Мин. температура
3429,24266,1996-07-19,14.5,Мин. температура
3429,24266,1996-08-17,17.9,Макс. температура
3429,24266,1996-09-04,2.0,Мин. температура
3429,24266,1996-09-26,6.6,Макс. температура
3429,24266,1996-10-27,-25.2,Макс. температура
3429,24266,1996-12-05,-48.6,Макс. температура
3429,24266,1997-01-09,-22.3,Макс. температура
3429,24266,1997-01-13,-53.4,Мин. температура
3429,24266,1997-01-16,-53.2,Макс. температура
3429,24266,1997-03-06,-44.4,Мин. температура
3429,24266,1997-03-20,-33.9,Мин. температура
3429,24266,1997-03-30,-17.4,Макс. температура
3429,24266,1997-05-26,8.1,Макс. температура
3429,24266,1997-07-21,5.8,Мин. температура
3429,24266,1997-07-24,11.6,Мин. температура
3429,24266,1997-07-29,25.1,Макс. температура
3429,24266,1997-08-22,7.8,Мин. температура
3429,24266,1997-08-28,2.8,Мин. температура
3429,24266,1997-12-12,-52.6,Мин. температура
3429,24266,1998-01-24,-38.6,Макс. температура
3429,24266,1998-01-30,-46.7,Макс. температура
3429,24266,1998-03-07,-43.9,Мин. температура
3429,24266,1998-04-14,-6.1,Макс. температура
3429,24266,1998-07-13,17.4,Мин. температура
3429,24266,1998-09-01,11.8,Макс. температура
3429,24266,1998-09-28,-11.8,Мин. температура
3429,24266,1998-10-25,-21.5,Мин. температура
3429,24266,1998-10-29,-29.7,Макс. температура
3429,24266,1998-12-17,-54.4,Мин. температура
3429,24266,1999-04-07,-33.5,Мин. температура
3429,24266,1999-06-01,0.2,Макс. температура
3429,24266,1999-06-05,25.5,Макс. температура
3429,24266,1999-06-25,27.1,Макс. температура
3429,24266,1999-07-23,27.2,Макс. температура
3429,24266,1999-09-06,12.6,Макс. температура
3429,24266,1999-09-18,5.2,Макс. температура
3429,24266,1999-11-19,-28.5,Макс. температура
3429,24266,1999-12-03,-46.0,Макс. температура
3429,24266,1999-12-23,-41.6,Мин. температура
3429,24266,1999-12-30,-47.2,Мин. температура
3429,24266,2000-01-13,-51.3,Макс. температура
3429,24266,2000-03-31,-7.7,Макс. температура
3429,24266,2000-07-28,15.0,Мин. температура
3429,24266,2000-08-11,8.5,Макс. температура
3429,24266,2000-09-11,9.7,Макс. температура
3429,24266,2000-09-13,3.1,Макс. температура
3429,24266,2000-10-30,-38.1,Мин. температура
3429,24266,2000-12-12,-47.6,Мин. температура
3429,24266,2000-12-21,-37.9,Макс. температура
3429,24266,2000-12-31,-48.8,Макс. температура
3429,24266,2001-01-11,-52.1,Мин. температура
3429,24266,2001-01-16,-52.4,Мин. температура
3429,24266,2001-04-02,-17.2,Макс. температура
3429,24266,2001-05-07,15.2,Макс. температура
3429,24266,2001-06-23,16.9,Макс. температура
3429,24266,2001-07-01,31.1,Макс. температура
3429,24266,2001-07-05,13.2,Мин. температура
3429,24266,2001-08-03,9.9,Мин. температура
3429,24266,2001-08-23,8.1,Макс. температура
3429,24266,2001-09-02,11.3,Макс. температура
3429,24266,2001-09-14,1.0,Макс. температура
3429,24266,2001-09-19,-2.2,Мин. температура
3429,24266,2001-10-01,0.8,Макс. температура
3429,24266,2001-11-06,-13.0,Макс. температура
3429,24266,2001-11-22,-46.7,Мин. температура
3429,24266,2002-02-09,-57.9,Мин. температура
3429,24266,2002-02-14,-26.6,Макс. температура
3429,24266,2002-03-06,-27.0,Макс. температура
3429,24266,2002-03-07,-20.9,Макс. температура
3429,24266,2002-03-29,-15.8,Макс. температура
3429,24266,2002-05-12,0.4,Мин. температура
3429,24266,2002-05-28,16.3,Макс. температура
3429,24266,2002-07-11,16.5,Мин. температура
3429,24266,2002-12-19,-52.3,Макс. температура
3429,24266,2002-12-27,-55.7,Мин. температура
3429,24266,2003-02-20,-50.1,Мин. температура
3429,24266,2003-02-21,-48.1,Мин. температура
3429,24266,2003-02-23,-37.5,Макс. температура
3429,24266,2003-03-06,-43.2,Мин. температура
3429,24266,2003-05-07,-7.0,Мин. температура
3429,24266,2003-05-09,9.6,Макс. температура
3429,24266,2003-05-22,-3.1,Мин. температура
3429,24266,2003-06-28,26.9,Макс. температура
3429,24266,2003-06-30,8.9,Мин. температура
