gidro_num,identifier,dt,temp,temptype
3048,24753,1995-01-03,-35.4,Мин. температура
3048,24753,1995-02-27,-36.4,Мин. температура
3048,24753,1995-03-17,-39.4,Мин. температура
3048,24753,1995-03-25,-32.5,Мин. температура
3048,24753,1995-06-11,18.5,Макс. температура
3048,24753,1995-06-30,18.8,Мин. температура
3048,24753,1995-07-19,23.2,Макс. температура
3048,24753,1995-07-20,29.2,Макс. температура
3048,24753,1995-07-26,23.8,Макс. температура
3048,24753,1995-07-31,12.8,Мин. температура
3048,24753,1995-08-14,5.3,Мин. температура
3048,24753,1995-09-01,13.2,Макс. температура
3048,24753,1995-10-10,-4.2,Мин. температура
3048,24753,1995-11-30,-18.4,Макс. температура
3048,24753,1995-11-30,-39.6,Мин. температура
3048,24753,1996-01-02,-31.6,Макс. температура
3048,24753,1996-01-03,-45.6,Мин. температура
3048,24753,1996-02-12,-43.4,Мин. температура
3048,24753,1996-02-26,-32.9,Мин. температура
3048,24753,1996-03-21,-15.2,Макс. температура
3048,24753,1996-03-25,-11.7,Макс. температура
3048,24753,1996-05-22,10.2,Макс. температура
3048,24753,1996-05-31,13.7,Макс. температура
3048,24753,1996-07-14,15.3,Мин. температура
3048,24753,1996-07-24,8.6,Мин. температура
3048,24753,1996-08-11,9.3,Мин. температура
3048,24753,1996-08-29,6.3,Мин. температура
3048,24753,1996-09-02,8.5,Макс. температура
3048,24753,1996-10-06,-3.9,Мин. температура
3048,24753,1996-10-09,3.8,Макс. температура
3048,24753,1996-12-14,-50.5,Макс. температура
3048,24753,1997-01-07,-39.2,Мин. температура
3048,24753,1997-01-25,-44.9,Мин. температура
3048,24753,1997-03-21,-12.6,Макс. температура
3048,24753,1997-03-27,-21.6,Мин. температура
3048,24753,1997-04-11,-20.1,Мин. температура
3048,24753,1997-04-17,-6.4,Мин. температура
3048,24753,1997-05-25,15.7,Макс. температура
3048,24753,1997-07-03,12.4,Мин. температура
3048,24753,1997-07-07,19.7,Макс. температура
3048,24753,1997-07-08,22.9,Макс. температура
3048,24753,1997-08-01,27.7,Макс. температура
3048,24753,1997-08-23,10.9,Мин. температура
3048,24753,1997-09-09,-1.4,Мин. температура
3048,24753,1997-09-16,-0.6,Мин. температура
