gidro_num,identifier,dt,temp,temptype
3431,24266,2005-02-05,-30.5,Макс. температура
3431,24266,2005-02-15,-39.1,Макс. температура
3431,24266,2005-02-17,-47.0,Мин. температура
3431,24266,2005-02-22,-34.3,Макс. температура
3431,24266,2005-04-11,-23.1,Мин. температура
3431,24266,2005-04-18,-19.6,Мин. температура
3431,24266,2005-05-08,1.4,Мин. температура
3431,24266,2005-05-21,14.8,Макс. температура
3431,24266,2005-06-01,5.0,Мин. температура
3431,24266,2005-06-30,26.1,Макс. температура
3431,24266,2005-07-13,8.8,Мин. температура
3431,24266,2005-08-04,18.4,Макс. температура
3431,24266,2005-08-21,2.5,Мин. температура
3431,24266,2005-10-01,0.9,Мин. температура
3431,24266,2005-11-09,-35.4,Мин. температура
3431,24266,2005-11-17,-19.4,Макс. температура
3431,24266,2006-01-25,-42.0,Макс. температура
3431,24266,2006-03-03,-45.2,Мин. температура
3431,24266,2006-04-10,-35.2,Мин. температура
3431,24266,2006-04-11,-36.3,Мин. температура
3431,24266,2006-05-22,13.1,Макс. температура
3431,24266,2006-06-14,19.7,Макс. температура
3431,24266,2006-06-25,10.2,Макс. температура
3431,24266,2006-06-25,6.0,Мин. температура
3431,24266,2006-07-10,15.0,Мин. температура
3431,24266,2006-07-15,26.9,Макс. температура
3431,24266,2006-07-22,6.5,Мин. температура
3431,24266,2006-08-02,28.4,Макс. температура
3431,24266,2006-09-01,10.9,Макс. температура
3431,24266,2006-10-22,-11.8,Макс. температура
3431,24266,2006-11-02,-22.0,Макс. температура
3431,24266,2006-11-05,-18.3,Макс. температура
3431,24266,2007-01-15,-32.5,Макс. температура
3431,24266,2007-01-16,-41.2,Мин. температура
3431,24266,2007-01-20,-47.4,Мин. температура
3431,24266,2007-01-26,-30.6,Мин. температура
3431,24266,2007-03-08,-50.8,Мин. температура
3431,24266,2007-04-14,-16.4,Мин. температура
3431,24266,2007-05-17,6.6,Макс. температура
3431,24266,2007-06-20,23.9,Макс. температура
3431,24266,2007-06-26,16.7,Мин. температура
3431,24266,2007-06-27,14.1,Мин. температура
3431,24266,2007-07-30,22.0,Макс. температура
3431,24266,2007-09-10,-4.3,Мин. температура
3431,24266,2007-09-30,-4.2,Мин. температура
3431,24266,2007-10-25,-27.8,Мин. температура
3431,24266,2007-11-01,-27.4,Мин. температура
3431,24266,2008-01-07,-48.6,Макс. температура
3431,24266,2008-02-04,-45.5,Мин. температура
3431,24266,2008-06-24,10.5,Мин. температура
3431,24266,2008-07-07,23.5,Макс. температура
3431,24266,2008-07-14,30.3,Макс. температура
3431,24266,2008-07-31,11.0,Макс. температура
3431,24266,2008-10-17,-19.0,Мин. температура
3431,24266,2008-11-02,-18.9,Макс. температура
3431,24266,2008-11-17,-36.5,Макс. температура
3431,24266,2008-11-20,-44.5,Мин. температура
3431,24266,2009-01-14,-26.0,Макс. температура
3431,24266,2009-02-08,-49.5,Мин. температура
3431,24266,2009-03-01,-34.4,Макс. температура
3431,24266,2009-03-27,0.4,Макс. температура
3431,24266,2009-04-20,5.2,Макс. температура
