gidro_num,identifier,dt,temp,temptype
3321,24738,2019-10-04,2.8,Макс. температура
3321,24738,2019-10-05,2.3,Макс. температура
3321,24738,2019-10-17,1.0,Мин. температура
3321,24738,2019-11-04,-13.2,Мин. температура
3321,24738,2019-11-28,-15.8,Мин. температура
3321,24738,2019-12-01,-28.4,Мин. температура
3321,24738,2019-12-10,-36.9,Мин. температура
3321,24738,2020-01-29,-28.7,Мин. температура
3321,24738,2020-02-29,-22.6,Мин. температура
3321,24738,2020-03-20,-13.4,Мин. температура
3321,24738,2020-08-09,10.2,Мин. температура
3321,24738,2020-08-20,19.4,Макс. температура
3321,24738,2020-08-22,19.1,Макс. температура
3321,24738,2020-10-06,12.1,Макс. температура
3321,24738,2020-11-16,-13.1,Макс. температура
3321,24738,2021-01-01,-29.1,Мин. температура
3321,24738,2021-02-15,-27.0,Макс. температура
3321,24738,2021-06-06,7.8,Мин. температура
3321,24738,2021-07-12,27.4,Макс. температура
3321,24738,2021-08-08,15.9,Мин. температура
3321,24738,2021-09-25,-3.7,Мин. температура
3321,24738,2021-09-29,1.7,Макс. температура
3321,24738,2021-10-08,2.4,Макс. температура
3321,24738,2021-11-29,-32.9,Мин. температура
3321,24738,2021-12-14,-36.8,Макс. температура
3321,24738,2021-12-26,-28.5,Мин. температура
3321,24738,2022-01-13,-37.1,Мин. температура
3321,24738,2022-02-21,-22.9,Мин. температура
3321,24738,2022-03-03,-16.5,Мин. температура
3321,24738,2022-03-26,1.6,Макс. температура
3321,24738,2022-04-17,-12.1,Мин. температура
3321,24738,2022-04-25,-1.5,Мин. температура
3321,24738,2022-09-09,12.8,Макс. температура
3321,24738,2022-09-30,1.7,Макс. температура
3321,24738,2022-10-26,1.0,Макс. температура
3321,24738,2022-11-01,-6.8,Макс. температура
3321,24738,2022-12-16,-26.4,Макс. температура
3321,24738,2023-03-03,-2.3,Макс. температура
3321,24738,2023-03-11,-13.3,Макс. температура
3321,24738,2023-03-27,3.0,Макс. температура
3321,24738,2023-04-08,-2.4,Макс. температура
3321,24738,2023-04-15,-9.6,Мин. температура
3321,24738,2023-04-30,12.2,Макс. температура
3321,24738,2023-05-05,12.7,Макс. температура
3321,24738,2023-05-13,-0.4,Мин. температура
3321,24738,2023-05-28,8.4,Мин. температура
3321,24738,2023-06-15,16.7,Макс. температура
3321,24738,2023-08-14,20.5,Макс. температура
3321,24738,2023-10-29,-9.9,Мин. температура
3321,24738,2023-12-17,-30.0,Макс. температура
3321,24738,2023-12-18,-36.2,Макс. температура
3321,24738,2023-12-19,-36.0,Мин. температура
3321,24738,2024-02-23,-15.6,Макс. температура
3321,24738,2024-03-04,-23.5,Мин. температура
3321,24738,2024-04-18,-10.7,Мин. температура
3321,24738,2024-05-23,2.8,Мин. температура
3321,24738,2024-06-10,26.4,Макс. температура
3321,24738,2024-06-13,29.0,Макс. температура
3321,24738,2024-07-13,16.1,Мин. температура
3321,24738,2024-12-16,-25.5,Макс. температура
3321,24738,2024-12-23,-18.3,Макс. температура
3321,24738,2019-10-01,-0.5,Мин. температура
3321,24738,2019-10-28,-4.7,Макс. температура
3321,24738,2019-12-04,-44.9,Мин. температура
3321,24738,2019-12-11,-39.1,Мин. температура
3321,24738,2019-12-18,-29.8,Макс. температура
3321,24738,2020-01-07,-5.6,Макс. температура
3321,24738,2020-02-10,-11.7,Макс. температура
3321,24738,2020-03-03,-23.0,Мин. температура
3321,24738,2020-03-13,-21.4,Мин. температура
3321,24738,2020-03-14,-31.8,Мин. температура
3321,24738,2020-03-22,-16.0,Мин. температура
3321,24738,2020-05-04,11.0,Макс. температура
3321,24738,2020-06-04,7.4,Мин. температура
3321,24738,2020-07-05,17.5,Макс. температура
3321,24738,2020-07-12,18.5,Мин. температура
3321,24738,2020-07-14,29.1,Макс. температура
3321,24738,2020-07-18,13.7,Мин. температура
3321,24738,2020-07-19,11.2,Мин. температура
3321,24738,2020-08-22,2.0,Мин. температура
3321,24738,2020-10-24,-4.2,Мин. температура
3321,24738,2020-10-31,-17.4,Макс. температура
3321,24738,2020-11-15,-13.7,Мин. температура
3321,24738,2020-12-12,-47.1,Мин. температура
3321,24738,2021-01-03,-32.5,Мин. температура
3321,24738,2021-01-25,-48.1,Мин. температура
3321,24738,2021-02-06,-37.6,Макс. температура
3321,24738,2021-02-25,-26.0,Макс. температура
3321,24738,2021-03-18,-4.7,Макс. температура
3321,24738,2021-04-01,-0.5,Макс. температура
3321,24738,2021-06-03,31.0,Макс. температура
3321,24738,2021-06-22,17.8,Мин. температура
3321,24738,2021-07-10,17.2,Макс. температура
3321,24738,2021-08-22,20.7,Макс. температура
3321,24738,2021-10-03,-7.9,Мин. температура
3321,24738,2021-11-08,-8.4,Мин. температура
3321,24738,2021-11-24,-38.6,Мин. температура
3321,24738,2022-01-10,-40.4,Мин. температура
3321,24738,2022-01-18,-34.8,Макс. температура
3321,24738,2022-02-17,-37.7,Мин. температура
3321,24738,2022-03-07,-10.6,Макс. температура
3321,24738,2022-04-21,-8.6,Мин. температура
3321,24738,2022-04-26,-7.7,Мин. температура
3321,24738,2022-05-25,16.0,Макс. температура
3321,24738,2022-06-05,25.2,Макс. температура
3321,24738,2022-06-17,11.4,Мин. температура
3321,24738,2022-06-30,10.3,Мин. температура
3321,24738,2022-07-24,33.2,Макс. температура
3321,24738,2022-08-02,20.7,Макс. температура
3321,24738,2022-10-04,1.2,Макс. температура
3321,24738,2022-10-05,0.4,Макс. температура
3321,24738,2022-11-12,-3.6,Макс. температура
3321,24738,2022-11-19,-29.1,Мин. температура
3321,24738,2022-11-26,-35.6,Макс. температура
3321,24738,2023-04-04,-5.6,Мин. температура
3321,24738,2023-04-26,-2.7,Мин. температура
3321,24738,2023-05-30,4.5,Мин. температура
3321,24738,2023-07-13,11.2,Мин. температура
3321,24738,2023-07-17,26.3,Макс. температура
3321,24738,2023-08-25,24.1,Макс. температура
3321,24738,2023-09-08,0.8,Мин. температура
3321,24738,2023-09-17,11.2,Макс. температура
3321,24738,2023-11-15,-9.1,Мин. температура
3321,24738,2023-11-20,-15.4,Мин. температура
3321,24738,2024-01-01,-28.5,Мин. температура
3321,24738,2024-02-19,-31.0,Мин. температура
3321,24738,2024-03-03,-31.5,Мин. температура
3321,24738,2024-03-09,-14.8,Мин. температура
3321,24738,2024-08-06,23.2,Макс. температура
3321,24738,2024-08-12,26.1,Макс. температура
3321,24738,2024-09-27,8.7,Макс. температура
3321,24738,2024-10-01,6.1,Макс. температура
3321,24738,2024-10-09,0.7,Макс. температура
3321,24738,2024-10-12,-0.6,Макс. температура
3321,24738,2024-10-19,-9.5,Мин. температура
3321,24738,2024-11-02,-12.3,Мин. температура
3321,24738,2024-11-19,-6.3,Макс. температура
3321,24738,2024-11-23,-3.4,Мин. температура
3321,24738,2019-11-24,-24.6,Макс. температура
3321,24738,2020-01-18,-17.8,Мин. температура
3321,24738,2020-01-20,-19.8,Макс. температура
3321,24738,2020-03-30,-6.4,Мин. температура
3321,24738,2020-04-14,-4.1,Мин. температура
3321,24738,2020-04-18,-3.5,Макс. температура
3321,24738,2020-04-24,10.1,Макс. температура
3321,24738,2020-05-07,-3.9,Мин. температура
3321,24738,2020-05-10,-2.8,Мин. температура
3321,24738,2020-07-20,13.8,Мин. температура
3321,24738,2020-10-27,-7.8,Макс. температура
3321,24738,2020-12-07,-23.6,Мин. температура
3321,24738,2020-12-25,-41.6,Макс. температура
3321,24738,2021-01-25,-48.1,Макс. температура
3321,24738,2021-01-28,-51.5,Мин. температура
3321,24738,2021-02-02,-35.9,Макс. температура
3321,24738,2021-02-27,-34.6,Мин. температура
3321,24738,2021-04-15,3.7,Макс. температура
3321,24738,2021-05-21,1.3,Мин. температура
3321,24738,2021-06-10,8.0,Мин. температура
3321,24738,2021-06-15,25.0,Макс. температура
3321,24738,2021-06-17,11.8,Мин. температура
3321,24738,2021-06-20,33.0,Макс. температура
3321,24738,2021-07-21,27.3,Макс. температура
3321,24738,2021-08-04,16.6,Мин. температура
3321,24738,2021-09-11,3.9,Мин. температура
3321,24738,2021-09-22,-0.3,Мин. температура
3321,24738,2021-10-20,1.2,Мин. температура
3321,24738,2021-11-09,-0.1,Макс. температура
3321,24738,2021-11-23,-36.4,Мин. температура
3321,24738,2021-12-06,-29.3,Мин. температура
3321,24738,2022-01-06,-41.5,Мин. температура
3321,24738,2022-02-18,-27.1,Макс. температура
3321,24738,2022-03-11,-11.3,Макс. температура
3321,24738,2022-05-11,-2.6,Мин. температура
3321,24738,2022-05-22,21.8,Макс. температура
3321,24738,2022-06-16,26.9,Макс. температура
3321,24738,2022-07-04,26.7,Макс. температура
3321,24738,2022-07-06,23.2,Макс. температура
3321,24738,2022-07-29,18.4,Мин. температура
3321,24738,2022-08-12,15.2,Мин. температура
3321,24738,2022-08-26,13.0,Макс. температура
3321,24738,2022-08-31,10.6,Макс. температура
3321,24738,2022-09-11,2.5,Мин. температура
3321,24738,2022-10-25,-1.3,Мин. температура
3321,24738,2022-11-30,-26.6,Макс. температура
3321,24738,2022-12-25,-36.9,Мин. температура
3321,24738,2022-12-26,-29.1,Макс. температура
3321,24738,2022-12-27,-28.8,Мин. температура
