gidro_num,identifier,dt,temp,temptype
3445,24263,1985-02-12,-31.2,Макс. температура
3445,24263,1985-03-03,-13.2,Макс. температура
3445,24263,1985-03-12,-22.7,Макс. температура
3445,24263,1985-04-03,-29.2,Мин. температура
3445,24263,1985-06-26,14.1,Макс. температура
3445,24263,1985-06-28,24.6,Макс. температура
3445,24263,1985-07-02,8.4,Мин. температура
3445,24263,1985-07-16,22.2,Макс. температура
3445,24263,1985-07-18,11.2,Мин. температура
3445,24263,1985-08-09,16.5,Макс. температура
3445,24263,1985-08-30,17.7,Макс. температура
3445,24263,1985-09-17,7.6,Макс. температура
3445,24263,1985-12-09,-23.4,Макс. температура
3445,24263,1986-02-20,-44.7,Мин. температура
3445,24263,1986-03-07,-29.5,Макс. температура
3445,24263,1986-04-10,-17.2,Мин. температура
3445,24263,1986-05-24,-6.8,Мин. температура
3445,24263,1986-06-09,20.1,Макс. температура
3445,24263,1986-06-19,24.0,Макс. температура
3445,24263,1986-07-06,13.1,Мин. температура
3445,24263,1986-07-13,25.5,Макс. температура
3445,24263,1986-08-11,17.3,Макс. температура
3445,24263,1986-08-28,5.1,Мин. температура
3445,24263,1986-09-17,5.7,Макс. температура
3445,24263,1986-10-03,-7.6,Мин. температура
3445,24263,1986-11-23,-35.2,Мин. температура
3445,24263,1987-01-09,-45.2,Мин. температура
3445,24263,1987-01-29,-50.3,Мин. температура
3445,24263,1987-02-25,-30.6,Макс. температура
3445,24263,1987-03-09,-29.9,Мин. температура
3445,24263,1987-03-19,-31.3,Мин. температура
3445,24263,1987-04-12,-21.2,Мин. температура
3445,24263,1987-05-13,-4.3,Макс. температура
3445,24263,1987-06-27,12.8,Мин. температура
3445,24263,1987-07-10,12.6,Макс. температура
3445,24263,1987-07-14,4.4,Мин. температура
3445,24263,1987-11-27,-45.2,Мин. температура
3445,24263,1987-12-16,-42.5,Макс. температура
3445,24263,1987-12-19,-51.5,Мин. температура
3445,24263,1988-03-28,-15.2,Мин. температура
3445,24263,1988-04-05,-6.8,Макс. температура
3445,24263,1988-04-14,-7.0,Макс. температура
3445,24263,1988-08-20,18.4,Макс. температура
3445,24263,1988-08-25,1.6,Мин. температура
3445,24263,1988-12-14,-27.3,Макс. температура
3445,24263,1990-01-02,-44.8,Мин. температура
3445,24263,1990-01-20,-50.2,Мин. температура
3445,24263,1990-03-13,-18.2,Мин. температура
3445,24263,1990-04-18,1.2,Макс. температура
3445,24263,1990-06-12,1.5,Мин. температура
3445,24263,1990-06-20,4.4,Мин. температура
3445,24263,1990-07-20,7.4,Макс. температура
3445,24263,1990-09-07,8.7,Макс. температура
3445,24263,1990-09-12,7.8,Макс. температура
3445,24263,1990-10-05,-5.1,Мин. температура
3445,24263,1990-10-06,-1.0,Макс. температура
3445,24263,1990-10-28,-8.6,Макс. температура
3445,24263,1990-12-06,-36.9,Макс. температура
3445,24263,1990-12-11,-42.1,Мин. температура
3445,24263,1990-12-23,-33.2,Мин. температура
3445,24263,1991-04-05,-12.3,Мин. температура
3445,24263,1991-04-16,3.6,Макс. температура
3445,24263,1991-06-05,11.5,Макс. температура
3445,24263,1991-06-28,4.9,Мин. температура
3445,24263,1991-07-10,18.1,Мин. температура
3445,24263,1991-08-11,16.0,Мин. температура
3445,24263,1991-10-26,-31.2,Мин. температура
3445,24263,1991-11-30,-42.5,Макс. температура
3445,24263,1991-12-29,-30.7,Макс. температура
3445,24263,1993-01-09,-22.4,Макс. температура
3445,24263,1993-01-20,-35.3,Макс. температура
3445,24263,1993-02-26,32.3,Макс. температура
3445,24263,1993-04-03,-30.5,Мин. температура
