gidro_num,identifier,dt,temp,temptype
3225,24871,2019-10-18,3.0,Макс. температура
3225,24871,2019-10-20,1.0,Макс. температура
3225,24871,2019-11-27,-43.5,Мин. температура
3225,24871,2020-01-22,-40.0,Мин. температура
3225,24871,2020-02-26,-20.2,Макс. температура
3225,24871,2020-05-05,-5.3,Мин. температура
3225,24871,2020-05-12,-1.1,Мин. температура
3225,24871,2020-05-26,10.9,Мин. температура
3225,24871,2020-06-28,28.4,Макс. температура
3225,24871,2020-07-12,13.6,Мин. температура
3225,24871,2020-10-17,-6.5,Макс. температура
3225,24871,2020-10-24,-4.6,Макс. температура
3225,24871,2020-11-04,-19.0,Макс. температура
3225,24871,2020-12-29,-43.4,Макс. температура
3225,24871,2021-02-02,-42.4,Макс. температура
3225,24871,2021-02-11,-30.2,Мин. температура
3225,24871,2021-02-24,-37.5,Мин. температура
3225,24871,2021-04-19,-3.5,Мин. температура
3225,24871,2021-04-21,0.6,Макс. температура
3225,24871,2021-05-03,2.5,Мин. температура
3225,24871,2021-05-10,-1.6,Мин. температура
3225,24871,2021-06-26,13.5,Мин. температура
3225,24871,2021-07-26,24.0,Макс. температура
3225,24871,2021-10-01,1.1,Мин. температура
3225,24871,2021-10-30,-13.0,Мин. температура
3225,24871,2021-11-22,-36.3,Макс. температура
3225,24871,2022-02-25,-29.9,Мин. температура
3225,24871,2022-03-13,-16.7,Макс. температура
3225,24871,2022-05-13,-1.8,Мин. температура
3225,24871,2022-05-31,17.4,Макс. температура
3225,24871,2022-06-09,26.2,Макс. температура
3225,24871,2022-06-10,19.8,Макс. температура
3225,24871,2022-06-29,17.2,Мин. температура
3225,24871,2022-08-06,20.2,Мин. температура
3225,24871,2022-08-27,10.2,Мин. температура
3225,24871,2022-09-30,-0.8,Макс. температура
3225,24871,2022-10-13,-6.2,Мин. температура
3225,24871,2022-11-28,-39.5,Макс. температура
3225,24871,2022-12-28,-31.6,Макс. температура
3225,24871,2023-02-17,-37.2,Макс. температура
3225,24871,2023-05-15,14.0,Макс. температура
3225,24871,2023-05-28,2.5,Мин. температура
3225,24871,2023-06-03,24.7,Макс. температура
3225,24871,2023-06-07,20.3,Макс. температура
3225,24871,2023-06-11,23.2,Макс. температура
3225,24871,2023-06-30,31.0,Макс. температура
3225,24871,2023-07-02,16.6,Мин. температура
3225,24871,2023-08-15,13.9,Мин. температура
3225,24871,2023-09-19,2.7,Макс. температура
3225,24871,2023-09-27,-3.4,Мин. температура
3225,24871,2023-10-05,0.4,Макс. температура
3225,24871,2023-12-02,-39.4,Мин. температура
3225,24871,2024-01-05,-38.4,Макс. температура
3225,24871,2024-04-16,3.0,Макс. температура
3225,24871,2024-05-25,15.9,Макс. температура
3225,24871,2024-06-27,8.9,Мин. температура
3225,24871,2024-08-09,21.8,Макс. температура
3225,24871,2024-08-13,19.8,Макс. температура
3225,24871,2024-09-04,9.5,Мин. температура
3225,24871,2024-10-28,-14.3,Макс. температура
3225,24871,2024-11-08,-26.2,Мин. температура
3225,24871,2024-11-13,-23.6,Макс. температура
3225,24871,2024-12-24,-26.9,Макс. температура
3225,24871,2019-10-07,3.9,Макс. температура
3225,24871,2019-12-02,-34.4,Макс. температура
3225,24871,2019-12-27,-42.4,Макс. температура
3225,24871,2020-01-15,-39.3,Макс. температура
3225,24871,2020-02-01,-35.4,Мин. температура
3225,24871,2020-02-06,-40.5,Макс. температура
3225,24871,2020-02-08,-41.4,Макс. температура
3225,24871,2020-03-19,-12.5,Макс. температура
3225,24871,2020-04-18,-27.4,Мин. температура
3225,24871,2020-06-11,8.6,Мин. температура
3225,24871,2020-06-22,8.6,Мин. температура
3225,24871,2020-08-16,18.6,Макс. температура
3225,24871,2020-08-19,16.3,Макс. температура
3225,24871,2020-09-17,14.2,Макс. температура
3225,24871,2020-10-17,-9.1,Мин. температура
3225,24871,2020-10-21,-4.5,Макс. температура
3225,24871,2020-10-22,-6.8,Мин. температура
3225,24871,2020-10-25,-9.5,Мин. температура
3225,24871,2020-11-24,-38.1,Мин. температура
3225,24871,2020-12-16,-39.9,Макс. температура
3225,24871,2020-12-22,-72.9,Мин. температура
3225,24871,2021-01-03,-50.0,Мин. температура
3225,24871,2021-01-11,-46.1,Макс. температура
3225,24871,2021-04-22,-18.0,Мин. температура
3225,24871,2021-05-25,19.3,Макс. температура
3225,24871,2021-06-05,27.7,Макс. температура
3225,24871,2021-06-25,28.5,Макс. температура
3225,24871,2021-07-25,24.8,Макс. температура
3225,24871,2021-07-28,11.6,Мин. температура
3225,24871,2021-08-07,10.2,Мин. температура
3225,24871,2021-08-31,13.8,Макс. температура
3225,24871,2021-12-29,-43.8,Макс. температура
3225,24871,2022-05-01,9.3,Макс. температура
3225,24871,2022-05-04,7.6,Макс. температура
3225,24871,2022-06-30,21.6,Макс. температура
3225,24871,2022-07-28,31.1,Макс. температура
3225,24871,2022-08-06,26.3,Макс. температура
3225,24871,2022-08-21,18.4,Макс. температура
3225,24871,2022-09-23,3.0,Макс. температура
3225,24871,2022-09-27,2.2,Мин. температура
3225,24871,2022-10-02,0.4,Макс. температура
3225,24871,2022-10-24,-11.6,Мин. температура
3225,24871,2022-11-08,-30.1,Мин. температура
3225,24871,2022-11-20,-19.1,Мин. температура
3225,24871,2022-12-05,-35.9,Макс. температура
3225,24871,2023-02-09,-51.9,Мин. температура
3225,24871,2023-04-04,-3.2,Макс. температура
3225,24871,2023-04-13,3.1,Макс. температура
3225,24871,2023-05-08,1.1,Мин. температура
3225,24871,2023-07-03,17.7,Мин. температура
3225,24871,2023-07-16,12.9,Мин. температура
3225,24871,2023-07-23,26.6,Макс. температура
3225,24871,2023-08-30,7.1,Мин. температура
3225,24871,2023-09-05,7.2,Мин. температура
3225,24871,2023-09-06,5.7,Мин. температура
3225,24871,2023-10-10,0.2,Макс. температура
3225,24871,2023-12-09,-32.3,Макс. температура
3225,24871,2023-12-20,-49.0,Мин. температура
3225,24871,2024-01-20,-47.0,Макс. температура
3225,24871,2024-02-02,-32.0,Макс. температура
3225,24871,2024-03-05,-35.0,Мин. температура
3225,24871,2024-03-24,-7.1,Макс. температура
3225,24871,2024-04-14,-22.6,Мин. температура
3225,24871,2024-06-12,23.3,Макс. температура
3225,24871,2024-07-20,16.7,Мин. температура
3225,24871,2024-07-23,16.7,Мин. температура
3225,24871,2024-09-21,-3.2,Мин. температура
3225,24871,2024-10-17,-13.5,Мин. температура
3225,24871,2024-10-18,-7.8,Макс. температура
3225,24871,2024-11-17,-33.2,Мин. температура
3225,24871,2024-12-12,-43.9,Мин. температура
3225,24871,2019-11-26,-43.9,Мин. температура
3225,24871,2019-12-24,-43.4,Макс. температура
3225,24871,2020-01-07,-29.9,Мин. температура
3225,24871,2020-01-13,-45.3,Мин. температура
3225,24871,2020-02-04,-44.7,Мин. температура
3225,24871,2020-05-09,2.4,Мин. температура
3225,24871,2020-07-30,20.9,Макс. температура
3225,24871,2020-08-06,20.2,Макс. температура
3225,24871,2020-09-04,3.7,Мин. температура
3225,24871,2020-09-18,-2.7,Мин. температура
3225,24871,2020-10-10,4.1,Макс. температура
3225,24871,2020-12-02,-25.3,Мин. температура
3225,24871,2020-12-11,-46.0,Мин. температура
3225,24871,2021-01-08,-37.9,Макс. температура
3225,24871,2021-02-19,-31.2,Макс. температура
3225,24871,2021-03-29,-19.6,Мин. температура
3225,24871,2021-04-14,-25.5,Мин. температура
3225,24871,2021-04-27,2.7,Мин. температура
3225,24871,2021-06-07,12.5,Мин. температура
3225,24871,2021-06-08,21.7,Макс. температура
3225,24871,2021-06-19,28.7,Макс. температура
3225,24871,2021-06-24,26.9,Макс. температура
3225,24871,2021-09-01,16.7,Макс. температура
3225,24871,2021-10-04,-1.5,Мин. температура
3225,24871,2021-11-12,-10.3,Макс. температура
3225,24871,2021-11-20,-22.0,Макс. температура
3225,24871,2021-12-12,-39.1,Макс. температура
3225,24871,2021-12-26,-48.9,Макс. температура
3225,24871,2022-02-13,-30.5,Макс. температура
3225,24871,2022-02-21,-33.2,Макс. температура
3225,24871,2022-02-26,-22.0,Макс. температура
3225,24871,2022-03-18,-5.3,Макс. температура
3225,24871,2022-05-14,9.0,Макс. температура
3225,24871,2022-06-21,14.3,Мин. температура
3225,24871,2022-07-01,27.1,Макс. температура
3225,24871,2022-08-08,21.7,Макс. температура
3225,24871,2022-08-09,21.8,Макс. температура
3225,24871,2022-09-11,3.2,Мин. температура
3225,24871,2022-09-16,1.0,Мин. температура
3225,24871,2022-12-01,-40.5,Мин. температура
3225,24871,2022-12-03,-46.0,Мин. температура
3225,24871,2023-01-24,-48.5,Мин. температура
3225,24871,2023-02-05,-35.6,Макс. температура
3225,24871,2023-02-22,-38.1,Мин. температура
3225,24871,2023-04-06,-12.8,Макс. температура
3225,24871,2023-05-15,2.2,Мин. температура
3225,24871,2023-05-16,3.2,Мин. температура
3225,24871,2023-05-20,1.4,Мин. температура
3225,24871,2023-05-21,8.5,Макс. температура
3225,24871,2023-06-09,21.1,Макс. температура
3225,24871,2023-07-31,8.1,Мин. температура
3225,24871,2023-08-03,23.1,Макс. температура
3225,24871,2023-08-12,17.8,Мин. температура
3225,24871,2023-09-18,0.0,Мин. температура
3225,24871,2023-11-12,-25.5,Мин. температура
3225,24871,2023-12-22,-47.2,Мин. температура
3225,24871,2024-01-01,-51.5,Мин. температура
3225,24871,2024-02-04,-38.4,Макс. температура
3225,24871,2024-03-02,-21.3,Макс. температура
3225,24871,2024-03-08,-24.5,Мин. температура
3225,24871,2024-03-17,-14.9,Макс. температура
3225,24871,2024-05-12,-5.2,Мин. температура
3225,24871,2024-05-24,5.9,Мин. температура
3225,24871,2024-06-07,18.8,Макс. температура
3225,24871,2024-08-26,20.1,Макс. температура
3225,24871,2024-09-23,1.4,Мин. температура
3225,24871,2024-10-19,-12.0,Макс. температура
3225,24871,2024-12-02,-27.5,Мин. температура
3225,24871,2024-12-31,-48.5,Макс. температура
3225,24871,2019-10-17,-4.3,Макс. температура
3225,24871,2019-11-08,-20.4,Макс. температура
3225,24871,2019-11-09,-32.0,Мин. температура
3225,24871,2019-11-10,-33.6,Мин. температура
3225,24871,2019-12-01,-36.5,Мин. температура
3225,24871,2019-12-28,-40.2,Макс. температура
3225,24871,2020-01-08,-21.4,Макс. температура
3225,24871,2020-02-05,-41.5,Макс. температура
3225,24871,2020-03-16,-36.4,Мин. температура
3225,24871,2020-05-17,0.7,Мин. температура
3225,24871,2020-07-13,15.5,Мин. температура
3225,24871,2020-08-05,8.6,Мин. температура
3225,24871,2020-08-12,17.8,Макс. температура
3225,24871,2021-01-09,-42.7,Макс. температура
3225,24871,2021-01-13,-51.9,Мин. температура
3225,24871,2021-02-09,-29.1,Макс. температура
3225,24871,2021-02-25,-28.6,Макс. температура
3225,24871,2021-04-07,-10.1,Макс. температура
3225,24871,2021-04-15,-1.8,Макс. температура
3225,24871,2021-04-16,-23.2,Мин. температура
3225,24871,2021-05-02,-2.1,Мин. температура
3225,24871,2021-05-28,5.8,Мин. температура
3225,24871,2021-07-22,23.0,Макс. температура
3225,24871,2021-10-07,3.0,Макс. температура
3225,24871,2021-11-17,-25.7,Макс. температура
3225,24871,2021-11-29,-35.0,Мин. температура
3225,24871,2021-12-13,-45.0,Мин. температура
3225,24871,2021-12-15,-41.0,Мин. температура
3225,24871,2022-03-09,-14.9,Макс. температура
3225,24871,2022-03-16,-13.8,Макс. температура
3225,24871,2022-04-27,-8.0,Мин. температура
3225,24871,2022-07-07,20.2,Мин. температура
3225,24871,2022-07-19,27.3,Макс. температура
3225,24871,2022-08-10,23.1,Макс. температура
3225,24871,2022-09-30,-2.7,Мин. температура
3225,24871,2022-11-03,-13.0,Макс. температура
3225,24871,2022-11-16,-36.6,Макс. температура
3225,24871,2023-01-07,-48.4,Мин. температура
3225,24871,2023-02-26,-14.3,Макс. температура
3225,24871,2023-05-14,10.0,Макс. температура
3225,24871,2023-08-24,15.8,Макс. температура
3225,24871,2023-10-26,-5.6,Макс. температура
3225,24871,2023-12-08,-39.0,Мин. температура
3225,24871,2024-01-14,-47.5,Мин. температура
3225,24871,2024-02-08,-46.9,Мин. температура
3225,24871,2024-02-09,-48.0,Мин. температура
3225,24871,2024-03-18,-27.5,Мин. температура
3225,24871,2024-05-30,26.7,Макс. температура
3225,24871,2024-06-10,20.2,Макс. температура
3225,24871,2024-06-17,22.0,Макс. температура
3225,24871,2024-07-14,15.7,Мин. температура
3225,24871,2024-08-07,9.7,Мин. температура
3225,24871,2024-08-21,4.9,Мин. температура
3225,24871,2024-09-06,9.2,Макс. температура
3225,24871,2024-10-15,-11.6,Мин. температура
3225,24871,2024-12-30,-48.7,Макс. температура
3225,24871,2019-11-26,-37.9,Макс. температура
3225,24871,2019-11-30,-31.6,Макс. температура
