gidro_num,identifier,dt,temp,temptype
3292,24962,2005-01-24,-38.4,Макс. температура
3292,24962,2005-03-09,-19.0,Макс. температура
3292,24962,2005-03-29,-3.8,Макс. температура
3292,24962,2005-05-06,2.8,Мин. температура
3292,24962,2005-06-20,7.2,Мин. температура
3292,24962,2005-07-03,10.2,Мин. температура
3292,24962,2005-07-18,15.5,Мин. температура
3292,24962,2005-10-03,-4.5,Мин. температура
3292,24962,2005-10-15,-3.5,Мин. температура
3292,24962,2005-10-26,-15.5,Макс. температура
3292,24962,2005-12-17,-42.7,Мин. температура
3292,24962,2005-12-22,-45.7,Мин. температура
3292,24962,2006-02-01,-31.7,Макс. температура
3292,24962,2006-04-19,-14.8,Мин. температура
3292,24962,2006-05-28,19.1,Макс. температура
3292,24962,2006-06-23,28.3,Макс. температура
3292,24962,2006-08-13,29.0,Макс. температура
3292,24962,2006-08-15,14.6,Мин. температура
3292,24962,2006-08-21,6.2,Мин. температура
3292,24962,2006-10-07,-5.9,Мин. температура
3292,24962,2006-11-24,-38.3,Макс. температура
3292,24962,2006-12-08,-33.2,Макс. температура
3292,24962,2007-01-03,-24.9,Макс. температура
3292,24962,2007-01-08,-50.5,Мин. температура
3292,24962,2007-03-15,-31.7,Мин. температура
3292,24962,2007-03-28,-6.0,Макс. температура
3292,24962,2007-06-13,2.5,Мин. температура
3292,24962,2007-06-15,22.2,Макс. температура
3292,24962,2007-08-13,28.1,Макс. температура
3292,24962,2007-08-17,15.0,Мин. температура
3292,24962,2007-08-29,12.0,Макс. температура
3292,24962,2007-09-10,10.2,Макс. температура
3292,24962,2007-09-14,9.9,Макс. температура
3292,24962,2007-09-23,7.7,Макс. температура
3292,24962,2007-09-27,10.6,Макс. температура
3292,24962,2007-10-31,-10.9,Мин. температура
3292,24962,2007-11-22,-36.8,Макс. температура
3292,24962,2007-11-23,-41.9,Мин. температура
3292,24962,2007-12-04,-36.7,Мин. температура
3292,24962,2008-01-31,-31.8,Макс. температура
3292,24962,2008-02-15,-43.0,Мин. температура
3292,24962,2008-02-24,-20.9,Макс. температура
3292,24962,2008-03-08,-12.0,Макс. температура
3292,24962,2008-03-09,-12.4,Макс. температура
3292,24962,2008-03-17,1.2,Макс. температура
