gidro_num,identifier,dt,temp,temptype
3801,21802,2005-02-20,-38.2,Макс. температура
3801,21802,2005-03-06,-23.5,Макс. температура
3801,21802,2005-03-14,-32.6,Мин. температура
3801,21802,2005-04-14,-22.7,Мин. температура
3801,21802,2005-05-15,-10.1,Мин. температура
3801,21802,2005-05-19,-8.0,Мин. температура
3801,21802,2005-06-12,3.8,Макс. температура
3801,21802,2005-07-07,7.4,Мин. температура
3801,21802,2005-08-13,4.2,Мин. температура
3801,21802,2005-08-25,8.7,Макс. температура
3801,21802,2005-10-19,-11.2,Макс. температура
3801,21802,2005-10-21,-13.4,Макс. температура
3801,21802,2005-11-13,-33.9,Мин. температура
3801,21802,2005-12-07,-32.3,Мин. температура
3801,21802,2005-12-20,-35.1,Мин. температура
3801,21802,2006-01-28,-41.8,Мин. температура
3801,21802,2006-02-18,-39.4,Мин. температура
3801,21802,2006-04-15,-24.7,Макс. температура
3801,21802,2006-06-28,4.5,Мин. температура
3801,21802,2006-07-19,9.7,Макс. температура
3801,21802,2006-07-23,28.0,Макс. температура
3801,21802,2006-08-01,15.1,Мин. температура
3801,21802,2006-09-12,-4.6,Мин. температура
3801,21802,2007-01-06,-44.8,Мин. температура
3801,21802,2007-01-07,-19.0,Макс. температура
3801,21802,2007-02-26,-46.5,Макс. температура
3801,21802,2007-03-30,-5.2,Макс. температура
3801,21802,2007-08-04,18.5,Макс. температура
3801,21802,2007-08-28,12.5,Макс. температура
3801,21802,2007-09-05,-0.8,Мин. температура
3801,21802,2007-11-08,-10.4,Макс. температура
3801,21802,2007-12-05,-30.3,Мин. температура
3801,21802,2008-01-26,-14.0,Макс. температура
3801,21802,2008-05-01,-10.1,Макс. температура
3801,21802,2008-05-10,7.0,Макс. температура
3801,21802,2008-09-08,-0.1,Мин. температура
3801,21802,2008-10-09,-8.6,Мин. температура
3801,21802,2009-01-30,-31.7,Макс. температура
3801,21802,2009-02-13,-34.6,Макс. температура
3801,21802,2009-02-26,-29.1,Макс. температура
3801,21802,2009-04-06,-19.7,Мин. температура
3801,21802,2009-06-14,1.9,Мин. температура
3801,21802,2009-08-15,3.6,Мин. температура
3801,21802,2009-08-22,4.7,Мин. температура
3801,21802,2009-10-14,-1.2,Макс. температура
3801,21802,2009-11-07,-12.2,Мин. температура
3801,21802,2009-11-16,-9.4,Макс. температура
3801,21802,2009-11-21,-23.5,Макс. температура
3801,21802,2009-12-02,-35.2,Мин. температура
3801,21802,2009-12-21,-30.4,Макс. температура
3801,21802,2010-01-14,-31.9,Мин. температура
3801,21802,2010-04-12,-15.8,Мин. температура
3801,21802,2010-04-25,-20.1,Мин. температура
3801,21802,2010-05-14,2.2,Макс. температура
3801,21802,2010-05-30,2.1,Макс. температура
3801,21802,2010-06-02,-0.2,Мин. температура
3801,21802,2010-08-07,4.6,Мин. температура
3801,21802,2010-09-06,1.6,Мин. температура
3801,21802,2010-09-23,2.0,Макс. температура
3801,21802,2010-10-02,-4.2,Мин. температура
3801,21802,2010-10-05,-6.1,Мин. температура
3801,21802,2010-12-01,-35.1,Макс. температура
3801,21802,2011-02-08,-39.7,Макс. температура
3801,21802,2011-03-10,-37.5,Мин. температура
3801,21802,2011-03-28,-8.8,Мин. температура
3801,21802,2011-04-03,-19.4,Мин. температура
3801,21802,2011-04-05,-29.9,Мин. температура
3801,21802,2011-04-24,-1.9,Мин. температура
3801,21802,2011-05-04,-17.0,Мин. температура
3801,21802,2011-07-09,4.5,Мин. температура
3801,21802,2011-08-26,13.7,Макс. температура
3801,21802,2011-08-28,11.2,Мин. температура
3801,21802,2011-09-16,2.5,Мин. температура
3801,21802,2011-11-06,-12.6,Макс. температура
3801,21802,2011-11-13,-21.5,Мин. температура
3801,21802,2011-12-02,-37.7,Мин. температура
3801,21802,2011-12-15,-27.6,Мин. температура
3801,21802,2012-01-05,-30.4,Макс. температура
3801,21802,2012-01-07,-36.7,Макс. температура
3801,21802,2012-01-30,-18.0,Макс. температура
3801,21802,2012-02-18,-34.6,Мин. температура
3801,21802,2012-04-01,-24.6,Мин. температура
3801,21802,2012-05-25,4.8,Макс. температура
3801,21802,2012-07-01,26.3,Макс. температура
3801,21802,2012-07-11,10.5,Мин. температура
3801,21802,2012-09-04,-2.8,Мин. температура
3801,21802,2012-09-07,15.1,Макс. температура
3801,21802,2012-09-23,2.3,Мин. температура
3801,21802,2012-10-25,-25.7,Мин. температура
3801,21802,2012-11-03,-3.2,Макс. температура
3801,21802,2012-12-01,-42.0,Мин. температура
3801,21802,2012-12-09,-37.2,Мин. температура
