gidro_num,identifier,dt,temp,temptype
1367,25206,2005-01-02,-43.4,Мин. температура
1367,25206,2005-03-18,-33.1,Мин. температура
1367,25206,2005-06-24,11.1,Мин. температура
1367,25206,2005-08-22,17.4,Макс. температура
1367,25206,2005-09-14,-0.8,Мин. температура
1367,25206,2005-11-03,-22.2,Мин. температура
1367,25206,2005-12-06,-28.7,Макс. температура
1367,25206,2005-12-07,-33.6,Мин. температура
1367,25206,2005-12-08,-20.5,Макс. температура
1367,25206,2005-12-12,-23.4,Макс. температура
1367,25206,2005-12-21,-37.3,Макс. температура
1367,25206,2006-01-14,-34.8,Макс. температура
1367,25206,2006-02-18,-19.8,Макс. температура
1367,25206,2006-04-25,-11.5,Макс. температура
1367,25206,2006-06-12,7.4,Мин. температура
1367,25206,2006-07-20,8.3,Мин. температура
1367,25206,2006-07-21,6.7,Мин. температура
1367,25206,2006-09-14,3.9,Макс. температура
1367,25206,2006-10-25,-28.3,Мин. температура
1367,25206,2006-11-05,-16.3,Макс. температура
1367,25206,2006-11-06,-24.3,Мин. температура
1367,25206,2006-12-08,-26.7,Макс. температура
1367,25206,2006-12-15,-36.4,Мин. температура
1367,25206,2007-01-15,-36.4,Мин. температура
1367,25206,2007-02-12,-32.9,Мин. температура
1367,25206,2007-03-06,-39.3,Мин. температура
1367,25206,2007-04-10,-1.3,Макс. температура
1367,25206,2007-04-23,-12.2,Мин. температура
1367,25206,2007-05-10,0.0,Мин. температура
1367,25206,2007-05-11,1.5,Макс. температура
1367,25206,2007-07-14,26.3,Макс. температура
1367,25206,2007-08-23,15.9,Макс. температура
1367,25206,2007-09-11,-0.2,Мин. температура
1367,25206,2007-09-12,11.7,Макс. температура
1367,25206,2007-10-31,-19.6,Мин. температура
1367,25206,2007-11-15,-33.5,Мин. температура
1367,25206,2008-05-10,-6.7,Мин. температура
1367,25206,2008-05-14,-2.1,Мин. температура
1367,25206,2008-06-03,-0.4,Мин. температура
1367,25206,2008-06-05,-2.6,Мин. температура
1367,25206,2008-07-15,5.6,Мин. температура
1367,25206,2008-07-24,7.4,Мин. температура
1367,25206,2008-07-25,5.1,Мин. температура
1367,25206,2008-08-02,14.0,Макс. температура
1367,25206,2008-08-05,22.1,Макс. температура
1367,25206,2008-08-30,13.5,Макс. температура
1367,25206,2008-09-10,6.4,Мин. температура
1367,25206,2008-09-14,4.0,Мин. температура
1367,25206,2008-10-06,-2.3,Мин. температура
1367,25206,2008-10-19,-8.8,Макс. температура
1367,25206,2008-11-25,-17.4,Макс. температура
1367,25206,2009-02-12,-41.9,Мин. температура
1367,25206,2009-02-26,-26.8,Макс. температура
1367,25206,2009-03-10,-42.0,Мин. температура
1367,25206,2009-04-01,-9.3,Мин. температура
1367,25206,2009-04-11,-6.0,Макс. температура
1367,25206,2009-04-13,-3.7,Макс. температура
1367,25206,2009-04-17,5.5,Макс. температура
1367,25206,2009-05-10,-6.6,Мин. температура
1367,25206,2009-06-29,26.6,Макс. температура
1367,25206,2009-08-09,21.1,Макс. температура
1367,25206,2009-09-20,2.3,Мин. температура
1367,25206,2009-10-01,4.9,Макс. температура
1367,25206,2009-11-18,-21.8,Макс. температура
1367,25206,2009-11-28,-35.6,Мин. температура
1367,25206,2009-11-30,-37.4,Мин. температура
1367,25206,2010-02-01,-25.8,Макс. температура
1367,25206,2010-03-13,-38.3,Мин. температура
1367,25206,2010-03-25,-16.7,Мин. температура
1367,25206,2010-05-09,14.0,Макс. температура
1367,25206,2010-05-17,-6.2,Мин. температура
1367,25206,2010-05-21,18.8,Макс. температура
1367,25206,2010-07-07,14.1,Мин. температура
1367,25206,2010-08-01,17.7,Мин. температура
1367,25206,2010-08-06,5.0,Мин. температура
1367,25206,2010-08-25,10.0,Макс. температура
1367,25206,2010-09-10,8.1,Макс. температура
1367,25206,2010-09-11,7.0,Макс. температура
1367,25206,2010-10-25,-10.1,Макс. температура
1367,25206,2010-12-18,-21.9,Мин. температура
1367,25206,2011-01-01,-28.6,Макс. температура
1367,25206,2011-03-05,-29.2,Мин. температура
1367,25206,2011-03-22,-22.9,Мин. температура
1367,25206,2011-03-23,-12.0,Макс. температура
1367,25206,2011-04-02,-18.8,Мин. температура
