gidro_num,identifier,dt,temp,temptype
3159,24944,1985-01-22,-38.1,Макс. температура
3159,24944,1985-01-29,-39.4,Мин. температура
3159,24944,1985-02-06,-30.3,Макс. температура
3159,24944,1985-03-19,-7.9,Макс. температура
3159,24944,1985-03-25,-23.5,Мин. температура
3159,24944,1985-04-07,-2.1,Макс. температура
3159,24944,1985-06-16,8.2,Мин. температура
3159,24944,1985-08-21,7.1,Мин. температура
3159,24944,1985-08-24,2.9,Мин. температура
3159,24944,1985-09-17,-1.6,Мин. температура
3159,24944,1985-09-28,9.7,Макс. температура
3159,24944,1985-10-28,-2.8,Макс. температура
3159,24944,1985-11-20,-21.6,Макс. температура
3159,24944,1985-11-25,-23.2,Макс. температура
3159,24944,1985-11-29,-25.8,Макс. температура
3159,24944,1985-12-05,-36.7,Мин. температура
3159,24944,1985-12-08,-23.9,Макс. температура
3159,24944,1985-12-31,-44.5,Мин. температура
3159,24944,1986-01-12,-32.7,Мин. температура
3159,24944,1986-04-26,4.2,Макс. температура
3159,24944,1986-04-27,-3.2,Мин. температура
3159,24944,1986-05-02,6.2,Макс. температура
3159,24944,1986-05-10,2.5,Макс. температура
3159,24944,1986-06-01,28.9,Макс. температура
3159,24944,1986-06-04,14.8,Макс. температура
3159,24944,1986-08-21,7.7,Мин. температура
3159,24944,1986-09-20,2.0,Мин. температура
3159,24944,1986-11-17,-33.8,Мин. температура
3159,24944,1986-12-16,-44.2,Мин. температура
3159,24944,1987-02-09,-31.9,Мин. температура
3159,24944,1987-02-12,-36.2,Мин. температура
3159,24944,1987-02-23,-23.6,Макс. температура
3159,24944,1987-03-08,-27.2,Мин. температура
3159,24944,1987-03-09,-14.9,Макс. температура
3159,24944,1987-03-15,-8.2,Макс. температура
3159,24944,1987-03-28,-29.6,Мин. температура
3159,24944,1987-04-02,-1.0,Макс. температура
3159,24944,1987-05-09,-4.0,Мин. температура
3159,24944,1987-06-12,12.4,Мин. температура
3159,24944,1987-08-03,11.9,Мин. температура
3159,24944,1987-08-08,11.0,Мин. температура
3159,24944,1987-10-15,-3.0,Мин. температура
3159,24944,1987-10-31,-6.1,Макс. температура
3159,24944,1987-11-04,-16.6,Мин. температура
3159,24944,1987-12-14,-47.8,Мин. температура
3159,24944,1988-01-21,-40.3,Мин. температура
3159,24944,1988-01-29,-24.3,Мин. температура
3159,24944,1988-01-31,-20.0,Макс. температура
3159,24944,1988-02-07,-36.3,Мин. температура
3159,24944,1988-03-20,-26.7,Мин. температура
3159,24944,1988-04-05,-0.7,Макс. температура
3159,24944,1988-04-19,-8.2,Мин. температура
3159,24944,1988-09-01,7.7,Мин. температура
3159,24944,1988-09-04,14.8,Макс. температура
3159,24944,1988-10-17,6.1,Макс. температура
3159,24944,1988-10-27,-3.1,Макс. температура
3159,24944,1988-11-01,-4.5,Макс. температура
3159,24944,1988-11-11,-16.4,Макс. температура
3159,24944,1988-11-26,-31.6,Мин. температура
3159,24944,1989-01-01,-5.0,Макс. температура
3159,24944,1989-02-06,-17.2,Макс. температура
3159,24944,1989-02-20,-33.0,Мин. температура
3159,24944,1989-03-25,-1.4,Макс. температура
3159,24944,1989-04-11,8.2,Макс. температура
3159,24944,1989-07-19,14.8,Мин. температура
3159,24944,1989-07-26,11.9,Мин. температура
3159,24944,1989-08-08,27.0,Макс. температура
3159,24944,1989-11-12,-15.1,Макс. температура
3159,24944,1990-04-27,3.4,Макс. температура
3159,24944,1990-05-08,14.3,Макс. температура
3159,24944,1990-06-20,8.7,Мин. температура
3159,24944,1990-06-23,8.8,Мин. температура
3159,24944,1990-08-02,14.4,Мин. температура
3159,24944,1990-08-03,31.5,Макс. температура
3159,24944,1990-09-03,12.8,Макс. температура
3159,24944,1990-10-02,2.8,Мин. температура
3159,24944,1990-10-13,0.2,Мин. температура
3159,24944,1990-11-12,-21.2,Мин. температура
3159,24944,1990-11-21,-29.5,Мин. температура
3159,24944,1990-11-25,-29.4,Мин. температура
3159,24944,1990-12-26,-37.6,Макс. температура
3159,24944,1991-01-01,-33.1,Макс. температура
3159,24944,1991-04-23,6.8,Макс. температура
3159,24944,1991-05-18,18.8,Макс. температура
3159,24944,1991-05-22,5.8,Макс. температура
3159,24944,1991-08-03,25.5,Макс. температура
3159,24944,1991-09-23,7.6,Макс. температура
3159,24944,1991-09-29,-5.3,Мин. температура
3159,24944,1991-10-03,3.5,Мин. температура
3159,24944,1991-10-12,-0.6,Макс. температура
3159,24944,1991-10-24,-11.6,Мин. температура
3159,24944,1991-11-15,-24.3,Мин. температура
3159,24944,1991-12-14,-38.0,Мин. температура
3159,24944,1992-01-30,-12.4,Макс. температура
3159,24944,1992-02-01,-16.6,Мин. температура
3159,24944,1992-04-30,-3.1,Мин. температура
3159,24944,1992-06-30,12.2,Мин. температура
3159,24944,1992-07-09,23.7,Макс. температура
3159,24944,1992-08-08,8.4,Мин. температура
3159,24944,1992-09-06,20.7,Макс. температура
3159,24944,1992-09-16,10.0,Макс. температура
3159,24944,1992-09-27,1.6,Мин. температура
3159,24944,1992-10-10,-5.4,Мин. температура
3159,24944,1992-12-06,-32.1,Макс. температура
3159,24944,1992-12-20,-24.9,Мин. температура
3159,24944,1992-12-26,-20.3,Макс. температура
3159,24944,1993-02-23,-14.7,Макс. температура
3159,24944,1993-03-22,-4.6,Мин. температура
3159,24944,1993-04-07,-9.5,Макс. температура
3159,24944,1993-04-19,-16.2,Мин. температура
3159,24944,1993-05-18,3.0,Мин. температура
3159,24944,1993-06-03,7.8,Мин. температура
3159,24944,1993-06-11,8.7,Мин. температура
3159,24944,1993-06-18,30.2,Макс. температура
3159,24944,1993-08-17,20.6,Макс. температура
3159,24944,1993-08-27,13.6,Макс. температура
3159,24944,1993-08-31,5.8,Мин. температура
3159,24944,1993-09-24,7.2,Макс. температура
3159,24944,1993-10-25,-6.3,Мин. температура
3159,24944,1985-02-23,-32.1,Мин. температура
3159,24944,1985-03-26,-21.4,Мин. температура
3159,24944,1985-04-08,-21.3,Мин. температура
3159,24944,1985-04-19,8.6,Макс. температура
3159,24944,1985-04-29,10.2,Макс. температура
3159,24944,1985-05-17,2.6,Мин. температура
3159,24944,1985-07-12,22.4,Макс. температура
3159,24944,1985-07-29,5.5,Мин. температура
3159,24944,1985-09-06,6.3,Мин. температура
3159,24944,1985-09-11,6.8,Мин. температура
3159,24944,1985-10-03,2.9,Макс. температура
3159,24944,1985-10-29,-11.8,Мин. температура
3159,24944,1985-11-06,-13.2,Макс. температура
3159,24944,1985-11-27,-22.7,Макс. температура
3159,24944,1985-12-15,-36.2,Мин. температура
3159,24944,1986-01-09,-35.4,Макс. температура
3159,24944,1986-01-20,-46.8,Мин. температура
3159,24944,1986-03-15,-7.0,Макс. температура
3159,24944,1986-04-03,-14.0,Мин. температура
3159,24944,1986-04-13,2.2,Макс. температура
3159,24944,1986-06-22,10.0,Мин. температура
3159,24944,1986-08-20,15.7,Макс. температура
3159,24944,1986-09-26,2.5,Макс. температура
3159,24944,1986-10-16,-2.8,Макс. температура
3159,24944,1986-10-31,-10.6,Мин. температура
3159,24944,1986-11-06,-20.2,Мин. температура
3159,24944,1987-01-16,-24.9,Макс. температура
3159,24944,1987-02-21,-19.5,Макс. температура
3159,24944,1987-03-06,-30.5,Мин. температура
