gidro_num,identifier,dt,temp,temptype
3210,24967,2019-10-14,-11.2,Мин. температура
3210,24967,2019-12-26,-48.6,Мин. температура
3210,24967,2020-01-12,-19.8,Макс. температура
3210,24967,2020-01-15,-28.2,Макс. температура
3210,24967,2020-05-27,29.3,Макс. температура
3210,24967,2020-07-07,6.4,Мин. температура
3210,24967,2020-07-14,26.2,Макс. температура
3210,24967,2020-07-30,23.0,Макс. температура
3210,24967,2020-08-12,17.2,Макс. температура
3210,24967,2020-09-04,-0.2,Мин. температура
3210,24967,2020-10-02,5.3,Макс. температура
3210,24967,2020-10-29,-27.7,Мин. температура
3210,24967,2021-01-17,-42.2,Макс. температура
3210,24967,2021-01-19,-56.4,Мин. температура
3210,24967,2021-02-09,-24.6,Макс. температура
3210,24967,2021-02-24,-43.4,Мин. температура
3210,24967,2021-04-06,-32.6,Мин. температура
3210,24967,2021-05-18,-4.6,Мин. температура
3210,24967,2021-06-07,23.5,Макс. температура
3210,24967,2021-06-26,27.7,Макс. температура
3210,24967,2021-08-07,16.6,Мин. температура
3210,24967,2021-09-21,11.0,Макс. температура
3210,24967,2021-10-08,-1.6,Мин. температура
3210,24967,2021-12-03,-30.5,Мин. температура
3210,24967,2021-12-25,-28.1,Макс. температура
3210,24967,2022-01-15,-32.6,Макс. температура
3210,24967,2022-03-17,-11.3,Макс. температура
3210,24967,2022-04-19,3.6,Макс. температура
3210,24967,2022-04-29,-11.0,Мин. температура
3210,24967,2022-05-14,0.0,Мин. температура
3210,24967,2022-05-20,3.1,Мин. температура
3210,24967,2022-06-28,10.8,Мин. температура
3210,24967,2022-08-06,24.1,Макс. температура
3210,24967,2022-10-11,-1.1,Мин. температура
3210,24967,2022-11-08,-32.3,Мин. температура
3210,24967,2022-11-22,-36.9,Мин. температура
3210,24967,2022-12-18,-46.2,Мин. температура
3210,24967,2023-02-07,-49.7,Мин. температура
3210,24967,2023-02-11,-45.6,Мин. температура
3210,24967,2023-02-12,-45.6,Мин. температура
3210,24967,2023-02-22,-31.4,Мин. температура
3210,24967,2023-04-26,5.2,Макс. температура
3210,24967,2023-05-09,-5.3,Мин. температура
3210,24967,2023-05-20,-0.5,Мин. температура
3210,24967,2023-09-04,-3.5,Мин. температура
3210,24967,2023-09-07,10.6,Макс. температура
3210,24967,2023-09-12,-5.4,Мин. температура
3210,24967,2023-10-22,-21.6,Мин. температура
3210,24967,2023-11-30,-17.4,Мин. температура
3210,24967,2023-12-27,-32.6,Макс. температура
3210,24967,2024-01-09,-48.7,Мин. температура
3210,24967,2024-02-28,-39.9,Мин. температура
3210,24967,2024-04-04,4.4,Макс. температура
3210,24967,2024-05-03,5.6,Макс. температура
3210,24967,2024-06-02,21.6,Макс. температура
3210,24967,2024-07-04,24.4,Макс. температура
3210,24967,2024-09-09,9.7,Макс. температура
3210,24967,2024-10-06,-3.8,Мин. температура
3210,24967,2024-11-27,-19.5,Макс. температура
3210,24967,2024-12-03,-22.9,Макс. температура
3210,24967,2024-12-08,-12.8,Макс. температура
3210,24967,2024-12-16,-35.4,Мин. температура
3210,24967,2019-10-11,-4.2,Макс. температура
3210,24967,2019-10-17,-4.8,Мин. температура
3210,24967,2019-11-05,-8.8,Макс. температура
3210,24967,2019-12-19,-46.0,Мин. температура
3210,24967,2020-03-03,-36.7,Мин. температура
3210,24967,2020-04-11,7.0,Макс. температура
3210,24967,2020-06-20,7.8,Мин. температура
3210,24967,2020-08-19,2.6,Мин. температура
3210,24967,2020-09-06,20.4,Макс. температура
3210,24967,2020-09-22,15.7,Макс. температура
3210,24967,2020-10-13,-4.3,Макс. температура
3210,24967,2021-01-30,-39.5,Макс. температура
