gidro_num,identifier,dt,temp,temptype
3616,21813,1985-02-19,-38.9,Мин. температура
3616,21813,1985-06-09,7.9,Макс. температура
3616,21813,1985-07-06,1.7,Мин. температура
3616,21813,1985-07-21,13.4,Макс. температура
3616,21813,1985-09-18,1.8,Макс. температура
3616,21813,1985-10-27,-13.8,Макс. температура
3616,21813,1985-12-18,-34.9,Мин. температура
3616,21813,1985-12-29,-46.2,Мин. температура
3616,21813,1986-01-06,-34.2,Макс. температура
3616,21813,1986-03-07,-23.5,Макс. температура
3616,21813,1986-03-23,-28.1,Мин. температура
3616,21813,1986-05-11,-16.6,Мин. температура
3616,21813,1986-06-13,9.2,Макс. температура
3616,21813,1986-07-02,3.6,Мин. температура
3616,21813,1986-07-06,6.0,Мин. температура
3616,21813,1986-10-04,-7.5,Мин. температура
3616,21813,1986-10-29,-30.2,Макс. температура
3616,21813,1986-11-19,-38.8,Мин. температура
3616,21813,1986-12-09,-17.9,Макс. температура
3616,21813,1987-01-09,-37.6,Мин. температура
3616,21813,1987-02-04,-47.4,Мин. температура
3616,21813,1987-02-26,-40.3,Мин. температура
3616,21813,1987-03-15,-25.5,Мин. температура
3616,21813,1987-04-09,-18.2,Макс. температура
3616,21813,1987-05-30,-9.4,Мин. температура
3616,21813,1987-07-02,12.6,Макс. температура
3616,21813,1987-08-17,16.5,Макс. температура
3616,21813,1987-08-28,7.5,Макс. температура
3616,21813,1987-10-04,-14.1,Мин. температура
3616,21813,1987-10-22,-10.7,Макс. температура
3616,21813,1987-10-26,-17.4,Мин. температура
3616,21813,1987-11-06,-29.7,Мин. температура
3616,21813,1987-11-24,-34.1,Макс. температура
3616,21813,1987-11-28,-41.2,Мин. температура
3616,21813,1987-12-13,-38.3,Мин. температура
3616,21813,1987-12-16,-30.4,Макс. температура
3616,21813,1988-01-05,-34.0,Макс. температура
3616,21813,1988-01-13,-29.1,Макс. температура
3616,21813,1988-07-28,21.4,Макс. температура
3616,21813,1988-09-06,-0.4,Мин. температура
3616,21813,1988-09-13,4.7,Макс. температура
3616,21813,1988-11-10,-38.4,Мин. температура
3616,21813,1988-11-16,-23.4,Макс. температура
3616,21813,1988-12-03,-28.0,Макс. температура
3616,21813,1988-12-26,-20.9,Макс. температура
3616,21813,1989-01-26,-45.6,Мин. температура
3616,21813,1989-02-25,-33.2,Мин. температура
3616,21813,1989-02-28,-25.6,Макс. температура
3616,21813,1989-05-30,2.2,Макс. температура
3616,21813,1989-07-10,1.0,Мин. температура
3616,21813,1989-09-20,-2.2,Мин. температура
3616,21813,1989-09-22,4.2,Макс. температура
3616,21813,1989-10-07,-2.1,Макс. температура
3616,21813,1989-11-18,-33.0,Макс. температура
3616,21813,1989-12-17,-32.0,Макс. температура
3616,21813,1990-01-17,-47.2,Макс. температура
3616,21813,1990-02-19,-33.8,Макс. температура
3616,21813,1990-03-17,-9.1,Макс. температура
3616,21813,1990-06-26,5.6,Макс. температура
3616,21813,1990-07-09,4.1,Мин. температура
3616,21813,1990-07-25,2.9,Мин. температура
3616,21813,1990-09-02,0.3,Мин. температура
3616,21813,1990-09-05,-0.2,Мин. температура
3616,21813,1990-09-07,6.0,Макс. температура
3616,21813,1990-09-14,4.5,Макс. температура
3616,21813,1990-10-19,-13.1,Макс. температура
3616,21813,1991-01-04,-40.8,Мин. температура
