gidro_num,identifier,dt,temp,temptype
3325,24644,1995-01-08,-37.2,Мин. температура
3325,24644,1995-01-30,-39.6,Мин. температура
3325,24644,1995-02-25,-36.6,Мин. температура
3325,24644,1995-03-08,-16.5,Макс. температура
3325,24644,1995-03-17,-39.2,Мин. температура
3325,24644,1995-03-24,-4.5,Макс. температура
3325,24644,1995-05-05,-9.1,Мин. температура
3325,24644,1995-05-06,16.4,Макс. температура
3325,24644,1995-06-22,11.6,Мин. температура
3325,24644,1995-08-13,2.2,Мин. температура
3325,24644,1995-09-01,5.6,Мин. температура
3325,24644,1995-10-08,2.2,Макс. температура
3325,24644,1995-12-29,-30.1,Мин. температура
3325,24644,1996-01-14,-28.3,Макс. температура
3325,24644,1996-02-08,-41.7,Мин. температура
3325,24644,1996-02-10,-27.6,Мин. температура
3325,24644,1996-04-15,-1.0,Макс. температура
3325,24644,1996-05-11,3.2,Мин. температура
3325,24644,1996-08-08,21.2,Макс. температура
3325,24644,1996-08-18,13.8,Макс. температура
3325,24644,1996-08-30,11.6,Макс. температура
3325,24644,1996-09-03,2.3,Мин. температура
3325,24644,1996-09-13,4.6,Мин. температура
3325,24644,1996-09-14,9.6,Макс. температура
3325,24644,1996-09-15,8.1,Макс. температура
3325,24644,1996-09-20,4.0,Макс. температура
3325,24644,1996-09-29,-2.0,Мин. температура
3325,24644,1996-10-23,-19.9,Мин. температура
3325,24644,1996-11-07,-28.1,Макс. температура
3325,24644,1996-12-07,-29.9,Макс. температура
3325,24644,1996-12-22,-49.5,Мин. температура
3325,24644,1997-02-16,-24.3,Макс. температура
3325,24644,1997-05-04,4.5,Макс. температура
3325,24644,1997-05-29,-0.2,Мин. температура
3325,24644,1997-06-11,15.2,Макс. температура
3325,24644,1997-06-27,21.2,Макс. температура
3325,24644,1997-06-27,10.7,Мин. температура
3325,24644,1997-07-11,22.9,Макс. температура
3325,24644,1997-07-17,18.5,Мин. температура
3325,24644,1997-08-13,15.2,Мин. температура
3325,24644,1997-09-13,8.7,Макс. температура
3325,24644,1997-09-22,2.0,Мин. температура
3325,24644,1997-09-23,9.5,Макс. температура
3325,24644,1997-12-26,-20.3,Макс. температура
3325,24644,1998-02-03,-12.8,Макс. температура
3325,24644,1998-03-03,-44.6,Мин. температура
3325,24644,1998-03-22,-22.0,Мин. температура
3325,24644,1998-03-27,-41.9,Мин. температура
3325,24644,1998-04-11,-0.5,Макс. температура
3325,24644,1998-04-14,-15.2,Мин. температура
3325,24644,1998-06-25,16.8,Мин. температура
3325,24644,1998-07-03,14.3,Мин. температура
3325,24644,1998-08-11,18.6,Макс. температура
3325,24644,1998-08-16,14.8,Мин. температура
3325,24644,1998-09-25,-1.2,Макс. температура
3325,24644,1998-10-21,-3.4,Макс. температура
3325,24644,1998-11-08,-36.5,Мин. температура
3325,24644,1998-11-26,-42.4,Макс. температура
3325,24644,1998-12-03,-28.2,Макс. температура
3325,24644,1998-12-04,-24.7,Макс. температура
3325,24644,1998-12-26,-39.5,Макс. температура
3325,24644,1999-01-04,-35.6,Макс. температура
3325,24644,1999-02-03,-31.2,Мин. температура
3325,24644,1999-02-12,-28.4,Макс. температура
3325,24644,1999-03-22,-17.0,Макс. температура
3325,24644,1999-04-01,-33.0,Мин. температура
3325,24644,1999-05-06,1.6,Макс. температура
3325,24644,1999-05-15,12.9,Макс. температура
3325,24644,1999-05-20,-1.4,Мин. температура
3325,24644,1999-07-07,10.9,Мин. температура
3325,24644,1999-07-12,29.7,Макс. температура
3325,24644,1999-07-20,19.3,Мин. температура
3325,24644,1999-08-14,4.7,Мин. температура
3325,24644,1999-08-18,13.8,Макс. температура
3325,24644,1999-11-11,-34.0,Мин. температура
3325,24644,1999-12-02,-20.1,Макс. температура
3325,24644,1999-12-09,-37.4,Макс. температура
3325,24644,1999-12-14,-49.1,Мин. температура
3325,24644,1999-12-24,-11.5,Макс. температура
3325,24644,2000-03-21,-31.4,Мин. температура
3325,24644,2000-05-23,4.4,Мин. температура
3325,24644,2000-07-06,17.4,Макс. температура
3325,24644,2000-07-31,13.2,Мин. температура
3325,24644,2000-08-06,24.3,Макс. температура
3325,24644,2000-11-23,-26.0,Макс. температура
3325,24644,2000-12-06,-36.7,Макс. температура
3325,24644,2000-12-30,-46.1,Макс. температура
3325,24644,2001-02-06,-28.6,Макс. температура
3325,24644,2001-03-13,-6.5,Макс. температура
3325,24644,2001-04-22,-7.3,Макс. температура
3325,24644,2001-05-12,0.4,Мин. температура
3325,24644,2001-06-16,12.8,Мин. температура
3325,24644,2001-07-09,18.1,Мин. температура
3325,24644,2001-07-12,11.8,Мин. температура
3325,24644,2001-08-13,14.3,Макс. температура
3325,24644,2001-08-16,22.3,Макс. температура
3325,24644,2001-08-22,13.7,Макс. температура
3325,24644,2001-10-08,6.6,Макс. температура
3325,24644,2001-10-22,-4.9,Макс. температура
3325,24644,2001-11-20,-18.0,Макс. температура
3325,24644,2002-01-12,-36.2,Макс. температура
3325,24644,2002-04-20,4.0,Макс. температура
3325,24644,2002-04-24,6.4,Макс. температура
3325,24644,2002-06-22,27.7,Макс. температура
3325,24644,2002-07-11,19.2,Мин. температура
3325,24644,2002-09-26,-0.2,Макс. температура
3325,24644,2002-12-03,-47.2,Макс. температура
3325,24644,2003-02-17,-46.3,Мин. температура
3325,24644,2003-03-22,-10.1,Мин. температура
3325,24644,2003-04-25,-6.5,Мин. температура
3325,24644,2003-05-09,-0.9,Мин. температура
3325,24644,2003-05-21,2.8,Макс. температура
3325,24644,2003-06-23,7.4,Мин. температура
3325,24644,2003-06-26,3.5,Мин. температура
3325,24644,2003-06-30,20.9,Макс. температура
3325,24644,2003-07-12,15.8,Мин. температура
3325,24644,2003-07-28,24.9,Макс. температура
3325,24644,2003-08-10,28.5,Макс. температура
3325,24644,2003-08-28,3.6,Мин. температура
3325,24644,1995-01-24,-39.6,Мин. температура
3325,24644,1995-03-01,-39.2,Мин. температура
3325,24644,1995-03-12,-33.4,Мин. температура
3325,24644,1995-03-18,-29.0,Мин. температура
3325,24644,1995-04-05,-24.0,Мин. температура
3325,24644,1995-04-29,4.8,Макс. температура
3325,24644,1995-06-26,33.1,Макс. температура
3325,24644,1995-07-10,13.4,Макс. температура
3325,24644,1995-08-05,30.7,Макс. температура
3325,24644,1995-08-25,22.4,Макс. температура
3325,24644,1996-03-01,-24.4,Макс. температура
3325,24644,1996-06-10,5.9,Макс. температура
3325,24644,1996-07-23,9.5,Мин. температура
3325,24644,1996-08-13,11.1,Мин. температура
3325,24644,1996-08-30,-0.9,Мин. температура
3325,24644,1996-10-12,0.1,Макс. температура
3325,24644,1996-11-20,-4.6,Макс. температура
3325,24644,1997-01-01,-35.2,Макс. температура
3325,24644,1997-01-06,-15.3,Макс. температура
3325,24644,1997-03-14,-36.5,Мин. температура
3325,24644,1997-07-19,13.4,Мин. температура
3325,24644,1997-09-05,2.3,Мин. температура
3325,24644,1997-09-08,-3.3,Мин. температура
3325,24644,1997-09-15,0.2,Мин. температура
3325,24644,1997-12-01,-42.0,Мин. температура
3325,24644,1998-02-02,-35.0,Мин. температура
3325,24644,1998-02-25,-18.6,Мин. температура
3325,24644,1998-03-01,-2.9,Макс. температура
3325,24644,1998-03-10,-18.5,Мин. температура
3325,24644,1998-04-18,-15.7,Мин. температура
3325,24644,1998-05-09,-0.5,Мин. температура
3325,24644,1998-05-25,4.9,Макс. температура
3325,24644,1998-07-21,28.2,Макс. температура
3325,24644,1998-08-06,15.0,Мин. температура
3325,24644,1998-08-11,10.1,Мин. температура
3325,24644,1998-09-15,-1.3,Мин. температура
3325,24644,1998-09-21,0.0,Макс. температура
3325,24644,1998-09-26,-6.1,Мин. температура
3325,24644,1998-10-02,-10.7,Мин. температура
3325,24644,1998-10-11,-17.2,Мин. температура
