gidro_num,identifier,dt,temp,temptype
3520,24691,1995-01-14,-31.0,Макс. температура
3520,24691,1995-02-25,-49.2,Мин. температура
3520,24691,1995-03-19,-45.4,Мин. температура
3520,24691,1995-03-22,-45.5,Мин. температура
3520,24691,1995-05-06,-12.2,Мин. температура
3520,24691,1995-05-28,-0.2,Мин. температура
3520,24691,1995-06-28,15.6,Макс. температура
3520,24691,1995-07-06,27.5,Макс. температура
3520,24691,1995-07-07,28.2,Макс. температура
3520,24691,1995-07-08,11.0,Мин. температура
3520,24691,1995-07-11,7.3,Мин. температура
3520,24691,1995-08-24,12.3,Макс. температура
3520,24691,1995-09-01,20.3,Макс. температура
3520,24691,1995-09-30,0.4,Макс. температура
3520,24691,1995-10-14,-12.8,Мин. температура
3520,24691,1995-11-17,-8.2,Макс. температура
3520,24691,1995-12-19,-51.5,Мин. температура
3520,24691,1995-12-22,-31.0,Макс. температура
3520,24691,1996-01-02,-31.0,Макс. температура
3520,24691,1996-02-22,-53.9,Мин. температура
3520,24691,1996-05-23,0.3,Мин. температура
3520,24691,1996-05-26,7.6,Макс. температура
3520,24691,1996-05-27,2.8,Макс. температура
3520,24691,1996-06-26,8.6,Мин. температура
3520,24691,1996-07-20,23.1,Макс. температура
3520,24691,1996-08-06,16.3,Макс. температура
3520,24691,1996-08-20,-0.4,Мин. температура
3520,24691,1996-09-03,5.9,Макс. температура
3520,24691,1996-09-27,6.1,Макс. температура
3520,24691,1996-10-11,-9.3,Макс. температура
3520,24691,1996-10-13,-7.1,Макс. температура
3520,24691,1996-10-17,-20.1,Мин. температура
3520,24691,1996-10-30,-20.1,Макс. температура
3520,24691,1996-11-13,-17.6,Макс. температура
3520,24691,1997-01-10,-55.9,Мин. температура
3520,24691,1997-01-12,-54.3,Мин. температура
3520,24691,1997-02-18,-53.0,Мин. температура
3520,24691,1997-04-07,-11.0,Макс. температура
3520,24691,1997-04-14,0.6,Макс. температура
3520,24691,1997-05-15,0.6,Макс. температура
3520,24691,1997-05-16,6.2,Макс. температура
3520,24691,1997-05-29,-1.3,Мин. температура
3520,24691,1997-07-18,5.8,Мин. температура
3520,24691,1997-08-03,3.0,Мин. температура
3520,24691,1997-08-31,17.7,Макс. температура
3520,24691,1997-08-31,-0.5,Мин. температура
3520,24691,1997-09-17,2.2,Макс. температура
3520,24691,1997-09-30,-6.0,Мин. температура
3520,24691,1997-10-11,-15.3,Мин. температура
3520,24691,1997-11-25,-48.6,Макс. температура
3520,24691,1998-01-28,-50.4,Мин. температура
3520,24691,1998-02-26,-49.6,Мин. температура
3520,24691,1998-06-11,20.6,Макс. температура
3520,24691,1998-06-15,26.6,Макс. температура
3520,24691,1998-07-28,28.4,Макс. температура
3520,24691,1998-08-18,0.2,Мин. температура
3520,24691,1998-12-07,-52.9,Мин. температура
3520,24691,1998-12-09,-51.5,Макс. температура
3520,24691,1999-01-29,-26.0,Макс. температура
3520,24691,1999-06-20,2.9,Мин. температура
3520,24691,1999-08-08,18.2,Макс. температура
3520,24691,1999-08-11,3.4,Мин. температура
3520,24691,1999-08-17,4.1,Мин. температура
3520,24691,1999-10-03,-10.2,Мин. температура
3520,24691,1999-10-17,-19.0,Мин. температура
3520,24691,1999-11-11,-32.5,Макс. температура
3520,24691,1999-11-18,-47.3,Мин. температура
3520,24691,1999-11-27,-44.0,Макс. температура
3520,24691,1999-12-03,-52.0,Мин. температура
3520,24691,2000-05-21,-1.6,Мин. температура
3520,24691,2000-05-24,10.5,Макс. температура
3520,24691,2000-05-28,2.2,Мин. температура
3520,24691,2000-06-15,17.8,Макс. температура
3520,24691,2000-07-20,30.0,Макс. температура
3520,24691,2000-08-01,16.7,Макс. температура
3520,24691,2000-08-11,4.5,Мин. температура
3520,24691,2001-02-08,-43.5,Мин. температура
3520,24691,2001-02-26,-39.3,Мин. температура
3520,24691,2001-02-27,-22.5,Макс. температура
3520,24691,2001-03-05,-46.0,Мин. температура
3520,24691,2001-04-11,-21.3,Мин. температура
3520,24691,2001-04-12,-9.0,Макс. температура
3520,24691,2001-06-24,15.3,Макс. температура
3520,24691,2001-06-30,1.9,Мин. температура
3520,24691,2001-07-04,20.6,Макс. температура
3520,24691,2001-07-12,5.6,Мин. температура
3520,24691,2001-08-11,20.4,Макс. температура
3520,24691,2001-08-17,-4.9,Мин. температура
3520,24691,2001-08-30,8.3,Макс. температура
3520,24691,2001-09-12,5.7,Макс. температура
3520,24691,2001-09-20,-12.8,Мин. температура
3520,24691,2001-10-21,-13.7,Макс. температура
3520,24691,2001-11-27,-20.0,Макс. температура
3520,24691,2002-01-04,-36.3,Макс. температура
3520,24691,2002-01-05,-47.8,Мин. температура
3520,24691,2002-01-30,-57.0,Мин. температура
3520,24691,2002-01-31,-51.5,Макс. температура
3520,24691,2002-02-01,-63.0,Мин. температура
3520,24691,2002-02-06,-48.8,Мин. температура
3520,24691,2002-04-04,-17.5,Мин. температура
3520,24691,2002-06-17,0.0,Мин. температура
3520,24691,2002-06-20,5.3,Мин. температура
3520,24691,2002-07-05,19.5,Макс. температура
3520,24691,2002-08-20,13.7,Макс. температура
3520,24691,2002-08-21,10.6,Макс. температура
3520,24691,2002-11-03,-21.8,Макс. температура
3520,24691,2002-12-13,-44.2,Мин. температура
3520,24691,2002-12-25,-46.0,Макс. температура
