gidro_num,identifier,dt,temp,temptype
3398,21921,2015-01-02,-46.2,Мин. температура
3398,21921,2015-01-12,-44.1,Мин. температура
3398,21921,2015-02-18,-33.7,Мин. температура
3398,21921,2015-02-24,-33.1,Мин. температура
3398,21921,2015-03-01,-38.1,Мин. температура
3398,21921,2015-03-06,-38.2,Мин. температура
3398,21921,2015-03-24,-13.7,Мин. температура
3398,21921,2015-05-27,-6.5,Мин. температура
3398,21921,2015-05-29,4.4,Макс. температура
3398,21921,2015-06-02,5.8,Макс. температура
3398,21921,2015-06-24,4.2,Мин. температура
3398,21921,2015-07-28,6.2,Мин. температура
3398,21921,2015-07-30,3.2,Мин. температура
3398,21921,2015-08-02,3.4,Мин. температура
3398,21921,2015-08-24,6.6,Мин. температура
3398,21921,2015-09-03,0.8,Мин. температура
3398,21921,2015-09-12,3.6,Мин. температура
3398,21921,2015-09-25,-2.2,Мин. температура
3398,21921,2015-09-28,-3.6,Мин. температура
3398,21921,2015-11-08,-38.0,Мин. температура
3398,21921,2015-11-12,-19.9,Мин. температура
3398,21921,2016-02-14,-44.3,Мин. температура
3398,21921,2016-02-20,-27.1,Мин. температура
3398,21921,2016-04-10,-7.1,Макс. температура
3398,21921,2016-05-02,-1.0,Макс. температура
3398,21921,2016-05-24,1.3,Макс. температура
3398,21921,2016-10-08,-4.8,Мин. температура
3398,21921,2016-11-07,-32.6,Мин. температура
3398,21921,2016-12-21,-30.2,Макс. температура
3398,21921,2017-01-27,-20.6,Макс. температура
3398,21921,2017-02-13,-22.0,Макс. температура
3398,21921,2017-02-21,-29.9,Макс. температура
3398,21921,2017-03-09,-27.5,Мин. температура
3398,21921,2017-04-28,-0.7,Макс. температура
3398,21921,2017-05-26,6.4,Макс. температура
3398,21921,2017-07-23,7.0,Мин. температура
3398,21921,2017-08-02,14.0,Макс. температура
3398,21921,2017-08-19,10.8,Макс. температура
3398,21921,2017-08-23,16.4,Макс. температура
3398,21921,2017-09-04,8.3,Мин. температура
3398,21921,2017-10-02,0.0,Макс. температура
3398,21921,2017-10-18,-14.0,Мин. температура
3398,21921,2017-12-03,-20.7,Макс. температура
3398,21921,2017-12-10,-20.3,Мин. температура
3398,21921,2018-01-06,-29.3,Макс. температура
3398,21921,2018-03-21,-11.2,Макс. температура
3398,21921,2018-04-07,-25.6,Мин. температура
3398,21921,2018-04-15,-9.7,Мин. температура
3398,21921,2018-05-07,-3.6,Макс. температура
3398,21921,2018-06-28,6.0,Мин. температура
3398,21921,2018-08-13,8.9,Мин. температура
3398,21921,2018-09-16,9.2,Макс. температура
3398,21921,2018-09-18,-0.5,Мин. температура
3398,21921,2018-11-11,-6.5,Макс. температура
3398,21921,2018-11-11,-13.6,Мин. температура
3398,21921,2018-11-21,-31.0,Макс. температура
3398,21921,2019-02-19,-23.6,Макс. температура
3398,21921,2019-03-13,-25.1,Мин. температура
3398,21921,2019-04-04,1.4,Макс. температура
3398,21921,2019-04-27,-0.1,Макс. температура
3398,21921,2019-05-06,-5.2,Мин. температура
3398,21921,2019-05-16,-10.0,Мин. температура
3398,21921,2019-05-26,5.0,Макс. температура
3398,21921,2019-05-29,0.6,Мин. температура
3398,21921,2019-07-26,12.4,Макс. температура
3398,21921,2019-08-06,10.4,Макс. температура
3398,21921,2019-08-13,19.6,Макс. температура
3398,21921,2019-09-15,0.6,Мин. температура
3398,21921,2019-12-05,-28.2,Макс. температура
3398,21921,2019-12-18,-37.6,Мин. температура
3398,21921,2020-02-02,-46.1,Мин. температура
3398,21921,2020-02-04,-37.3,Макс. температура
3398,21921,2020-02-16,-16.4,Макс. температура
3398,21921,2020-04-05,-20.2,Мин. температура
3398,21921,2020-05-07,-8.3,Мин. температура
3398,21921,2020-05-20,3.4,Мин. температура
3398,21921,2020-06-22,16.9,Мин. температура
3398,21921,2020-07-26,18.4,Макс. температура
3398,21921,2020-08-28,1.0,Мин. температура
