gidro_num,identifier,dt,temp,temptype
3872,21946,1985-01-09,-30.9,Макс. температура
3872,21946,1985-01-22,-34.2,Макс. температура
3872,21946,1985-01-27,-40.0,Мин. температура
3872,21946,1985-03-01,-36.2,Мин. температура
3872,21946,1985-03-25,-30.7,Мин. температура
3872,21946,1985-03-29,-19.4,Макс. температура
3872,21946,1985-03-30,-19.4,Макс. температура
3872,21946,1985-06-13,6.0,Мин. температура
3872,21946,1985-08-22,0.1,Мин. температура
3872,21946,1986-03-17,-17.7,Макс. температура
3872,21946,1986-04-03,-31.4,Мин. температура
3872,21946,1986-05-23,-4.5,Макс. температура
3872,21946,1986-07-07,16.2,Макс. температура
3872,21946,1986-07-10,3.2,Мин. температура
3872,21946,1986-07-16,18.0,Макс. температура
3872,21946,1986-07-23,10.9,Макс. температура
3872,21946,1986-08-06,1.9,Мин. температура
3872,21946,1986-09-17,-1.5,Мин. температура
3872,21946,1986-10-08,-6.2,Макс. температура
3872,21946,1986-11-26,-29.5,Макс. температура
3872,21946,1987-01-26,-33.8,Макс. температура
3872,21946,1987-03-15,-18.2,Макс. температура
3872,21946,1987-05-16,-7.5,Макс. температура
3872,21946,1987-06-02,-4.0,Мин. температура
3872,21946,1987-06-21,0.6,Мин. температура
3872,21946,1987-07-21,21.0,Макс. температура
3872,21946,1987-12-17,-35.8,Мин. температура
3872,21946,1988-01-02,-28.7,Мин. температура
3872,21946,1988-01-31,-27.6,Макс. температура
3872,21946,1988-02-02,-33.5,Макс. температура
3872,21946,1988-02-19,-39.4,Мин. температура
3872,21946,1988-02-27,-15.4,Макс. температура
3872,21946,1988-03-21,-18.4,Макс. температура
3872,21946,1988-04-25,-2.9,Макс. температура
3872,21946,1988-06-25,9.8,Макс. температура
3872,21946,1988-07-22,16.2,Макс. температура
3872,21946,1988-07-22,8.1,Мин. температура
3872,21946,1988-08-09,1.5,Мин. температура
3872,21946,1988-08-10,4.0,Мин. температура
3872,21946,1988-10-06,-1.3,Макс. температура
3872,21946,1988-11-01,-26.8,Мин. температура
3872,21946,1988-11-14,-24.1,Мин. температура
3872,21946,1988-11-24,-25.3,Макс. температура
3872,21946,1990-01-20,-33.0,Мин. температура
3872,21946,1990-02-28,-27.3,Мин. температура
3872,21946,1990-03-26,-14.0,Макс. температура
3872,21946,1990-05-03,-9.3,Мин. температура
3872,21946,1990-05-24,4.1,Макс. температура
3872,21946,1990-05-30,3.2,Мин. температура
3872,21946,1990-07-24,13.4,Макс. температура
3872,21946,1990-08-09,7.0,Мин. температура
3872,21946,1990-09-16,-0.9,Мин. температура
3872,21946,1990-10-05,-2.8,Макс. температура
3872,21946,1990-10-12,-4.9,Макс. температура
3872,21946,1990-10-23,-19.1,Макс. температура
3872,21946,1990-10-27,-18.8,Мин. температура
3872,21946,1990-11-16,-32.6,Мин. температура
3872,21946,1990-12-05,-37.1,Мин. температура
3872,21946,1991-01-15,-32.2,Макс. температура
3872,21946,1991-01-18,-29.6,Макс. температура
3872,21946,1991-02-03,-38.3,Мин. температура
3872,21946,1991-02-11,-33.6,Макс. температура
3872,21946,1991-04-27,-19.5,Мин. температура
3872,21946,1991-05-20,-13.6,Мин. температура
3872,21946,1991-05-23,-1.7,Макс. температура
3872,21946,1991-06-29,6.4,Макс. температура
3872,21946,1991-07-26,18.9,Макс. температура
3872,21946,1991-08-03,11.6,Мин. температура
3872,21946,1991-08-14,10.2,Мин. температура
3872,21946,1991-09-07,2.7,Мин. температура
3872,21946,1991-10-16,-10.5,Мин. температура
3872,21946,1991-10-30,-9.2,Макс. температура
3872,21946,1991-11-09,-21.0,Мин. температура
3872,21946,1992-01-21,-42.2,Мин. температура
3872,21946,1992-01-22,-42.7,Мин. температура
3872,21946,1992-02-03,-29.2,Макс. температура
3872,21946,1992-03-01,-39.1,Мин. температура
3872,21946,1992-03-07,-34.4,Мин. температура
3872,21946,1992-03-11,-39.0,Мин. температура
3872,21946,1992-05-19,-8.6,Мин. температура
3872,21946,1992-07-15,23.6,Макс. температура
3872,21946,1992-08-22,4.9,Макс. температура
3872,21946,1992-09-27,-7.8,Мин. температура
