gidro_num,identifier,dt,temp,temptype
1018,25400,1985-01-05,-34.0,Мин. температура
1018,25400,1985-03-04,-15.6,Макс. температура
1018,25400,1985-05-13,3.5,Макс. температура
1018,25400,1985-06-03,3.4,Макс. температура
1018,25400,1985-08-08,13.5,Макс. температура
1018,25400,1985-09-04,11.3,Макс. температура
1018,25400,1985-10-17,-20.4,Мин. температура
1018,25400,1985-11-24,-24.0,Мин. температура
1018,25400,1986-01-15,-39.6,Макс. температура
1018,25400,1986-01-18,-40.2,Макс. температура
1018,25400,1986-01-24,-46.0,Мин. температура
1018,25400,1986-03-28,-11.9,Макс. температура
1018,25400,1986-05-05,-11.1,Мин. температура
1018,25400,1986-05-29,0.8,Мин. температура
1018,25400,1986-06-30,30.4,Макс. температура
1018,25400,1986-07-05,8.2,Мин. температура
1018,25400,1986-07-21,8.0,Макс. температура
1018,25400,1986-10-12,-4.8,Макс. температура
1018,25400,1986-11-03,-22.6,Макс. температура
1018,25400,1987-01-19,-47.4,Мин. температура
1018,25400,1987-02-20,-35.4,Макс. температура
1018,25400,1987-03-25,-39.3,Мин. температура
1018,25400,1987-04-03,-26.1,Мин. температура
1018,25400,1987-05-15,1.0,Макс. температура
1018,25400,1987-05-26,-1.1,Мин. температура
1018,25400,1987-05-29,3.3,Мин. температура
1018,25400,1987-07-15,19.2,Макс. температура
1018,25400,1987-07-23,16.8,Мин. температура
1018,25400,1987-08-24,4.6,Мин. температура
1018,25400,1987-08-31,2.5,Мин. температура
1018,25400,1987-10-07,-2.5,Макс. температура
1018,25400,1987-10-17,-22.4,Мин. температура
1018,25400,1987-11-09,-32.7,Макс. температура
1018,25400,1987-11-29,-34.0,Мин. температура
1018,25400,1987-12-20,-35.0,Мин. температура
1018,25400,1988-01-05,-41.6,Мин. температура
1018,25400,1988-01-15,-39.0,Мин. температура
1018,25400,1988-02-18,-41.8,Мин. температура
1018,25400,1988-03-22,-33.2,Мин. температура
1018,25400,1988-03-30,-23.7,Мин. температура
1018,25400,1988-05-25,7.6,Макс. температура
1018,25400,1988-07-15,6.3,Мин. температура
1018,25400,1988-08-31,8.0,Макс. температура
1018,25400,1988-09-25,15.4,Макс. температура
1018,25400,1988-10-02,8.4,Макс. температура
1018,25400,1988-10-03,2.0,Макс. температура
1018,25400,1988-10-20,-12.8,Мин. температура
1018,25400,1988-10-28,-20.2,Мин. температура
1018,25400,1988-11-24,-36.5,Мин. температура
1018,25400,1988-11-29,-34.6,Мин. температура
1018,25400,1988-12-11,-34.8,Мин. температура
1018,25400,1989-01-09,-22.5,Макс. температура
1018,25400,1989-01-18,-39.3,Макс. температура
1018,25400,1989-02-24,-30.1,Макс. температура
1018,25400,1989-03-06,-31.1,Мин. температура
1018,25400,1989-03-09,-32.3,Мин. температура
1018,25400,1989-04-19,-2.3,Макс. температура
1018,25400,1989-04-30,-15.1,Мин. температура
1018,25400,1989-05-14,-2.6,Мин. температура
1018,25400,1989-05-21,14.0,Макс. температура
1018,25400,1989-06-15,26.0,Макс. температура
1018,25400,1989-08-01,20.0,Макс. температура
1018,25400,1989-08-17,25.4,Макс. температура
1018,25400,1989-10-17,-12.3,Макс. температура
1018,25400,1989-10-19,-12.3,Макс. температура
1018,25400,1990-02-24,-29.4,Макс. температура
1018,25400,1990-03-05,-21.8,Макс. температура
1018,25400,1990-05-23,-1.5,Мин. температура
1018,25400,1990-05-27,1.1,Мин. температура
1018,25400,1990-07-03,23.7,Макс. температура
