gidro_num,identifier,dt,temp,temptype
3307,24959,1995-01-25,-33.1,Макс. температура
3307,24959,1995-05-10,8.8,Макс. температура
3307,24959,1995-06-01,4.6,Мин. температура
3307,24959,1995-06-27,12.3,Мин. температура
3307,24959,1995-07-26,24.1,Макс. температура
3307,24959,1995-09-17,-2.0,Мин. температура
3307,24959,1995-10-26,-0.8,Макс. температура
3307,24959,1995-12-27,-35.5,Мин. температура
3307,24959,1995-12-31,-42.1,Мин. температура
3307,24959,1996-01-17,-37.6,Макс. температура
3307,24959,1996-01-20,-46.0,Мин. температура
3307,24959,1996-02-19,-31.7,Макс. температура
3307,24959,1996-05-15,-5.0,Мин. температура
3307,24959,1996-06-03,14.2,Макс. температура
3307,24959,1996-06-19,28.2,Макс. температура
3307,24959,1996-07-15,27.7,Макс. температура
3307,24959,1996-09-16,-0.9,Мин. температура
3307,24959,1996-10-11,-4.2,Мин. температура
3307,24959,1996-11-10,-33.5,Мин. температура
3307,24959,1996-11-13,-25.4,Макс. температура
3307,24959,1996-12-03,-34.6,Мин. температура
3307,24959,1996-12-07,-32.3,Макс. температура
3307,24959,1996-12-23,-40.2,Макс. температура
3307,24959,1997-03-10,-21.6,Макс. температура
3307,24959,1997-03-24,-10.1,Макс. температура
3307,24959,1997-04-05,-11.5,Мин. температура
3307,24959,1997-04-18,1.7,Макс. температура
3307,24959,1997-05-10,-4.3,Мин. температура
3307,24959,1997-06-12,3.6,Мин. температура
3307,24959,1997-06-17,11.5,Мин. температура
3307,24959,1997-07-05,26.0,Макс. температура
3307,24959,1997-10-29,-11.1,Мин. температура
3307,24959,1997-12-31,-51.7,Мин. температура
3307,24959,1998-01-02,-35.7,Макс. температура
3307,24959,1998-04-02,-10.5,Макс. температура
3307,24959,1998-04-15,1.3,Макс. температура
3307,24959,1998-04-26,4.5,Макс. температура
3307,24959,1998-05-25,8.4,Макс. температура
3307,24959,1998-06-17,29.5,Макс. температура
3307,24959,1998-06-17,14.6,Мин. температура
3307,24959,1998-07-10,16.2,Мин. температура
3307,24959,1998-07-31,16.1,Мин. температура
3307,24959,1998-08-10,13.8,Мин. температура
3307,24959,1998-08-15,24.4,Макс. температура
3307,24959,1998-08-25,22.3,Макс. температура
