gidro_num,identifier,dt,temp,temptype
3031,24934,1985-01-09,-40.6,Мин. температура
3031,24934,1985-02-11,-35.9,Макс. температура
3031,24934,1985-02-13,-32.0,Макс. температура
3031,24934,1985-04-17,11.0,Макс. температура
3031,24934,1985-04-25,4.6,Макс. температура
3031,24934,1985-05-16,14.7,Макс. температура
3031,24934,1985-05-20,5.2,Мин. температура
3031,24934,1985-05-28,18.0,Макс. температура
3031,24934,1985-05-29,4.3,Мин. температура
3031,24934,1985-06-01,5.3,Мин. температура
3031,24934,1985-06-08,3.0,Мин. температура
3031,24934,1985-06-10,20.3,Макс. температура
3031,24934,1985-07-20,22.1,Макс. температура
3031,24934,1985-09-03,1.3,Мин. температура
3031,24934,1985-09-25,1.0,Мин. температура
3031,24934,1985-10-10,-4.4,Мин. температура
3031,24934,1985-10-24,-4.4,Макс. температура
3031,24934,1985-12-05,-36.8,Мин. температура
3031,24934,1985-12-15,-43.5,Мин. температура
3031,24934,1986-01-27,-21.2,Макс. температура
3031,24934,1986-02-01,-31.2,Мин. температура
3031,24934,1986-03-15,-25.2,Мин. температура
3031,24934,1986-03-19,-7.7,Мин. температура
3031,24934,1986-04-03,-19.8,Мин. температура
3031,24934,1986-04-11,-7.4,Мин. температура
3031,24934,1986-04-25,-4.9,Мин. температура
3031,24934,1986-07-12,15.6,Мин. температура
3031,24934,1986-07-22,28.2,Макс. температура
3031,24934,1986-08-01,6.2,Мин. температура
3031,24934,1986-09-10,7.4,Мин. температура
3031,24934,1986-09-13,1.4,Мин. температура
3031,24934,1986-09-25,3.2,Макс. температура
3031,24934,1986-11-19,-17.6,Макс. температура
3031,24934,1987-01-12,-50.2,Мин. температура
3031,24934,1987-01-14,-19.6,Макс. температура
3031,24934,1987-01-30,-27.9,Мин. температура
3031,24934,1987-05-25,2.8,Мин. температура
3031,24934,1987-07-04,8.4,Мин. температура
3031,24934,1987-07-14,22.6,Макс. температура
3031,24934,1987-07-23,12.0,Мин. температура
3031,24934,1987-07-29,15.3,Мин. температура
3031,24934,1987-08-06,13.1,Мин. температура
3031,24934,1987-08-15,25.8,Макс. температура
3031,24934,1987-10-28,-26.2,Мин. температура
3031,24934,1987-11-21,-31.5,Макс. температура
3031,24934,1988-01-19,-8.9,Макс. температура
3031,24934,1988-01-26,-43.2,Мин. температура
3031,24934,1988-03-22,-24.7,Мин. температура
3031,24934,1988-03-28,-29.8,Мин. температура
3031,24934,1988-04-24,8.2,Макс. температура
3031,24934,1985-01-15,-51.4,Мин. температура
3031,24934,1985-03-21,-19.8,Мин. температура
3031,24934,1985-05-04,10.9,Макс. температура
3031,24934,1985-05-15,19.9,Макс. температура
3031,24934,1985-05-17,11.9,Макс. температура
3031,24934,1985-05-24,-0.4,Мин. температура
3031,24934,1985-06-01,21.0,Макс. температура
3031,24934,1985-07-07,21.6,Макс. температура
3031,24934,1985-07-31,2.9,Мин. температура
3031,24934,1985-08-22,20.0,Макс. температура
3031,24934,1985-09-28,9.4,Макс. температура
3031,24934,1985-11-03,-10.2,Мин. температура
3031,24934,1985-11-30,-36.2,Мин. температура
3031,24934,1985-12-13,-45.9,Мин. температура
3031,24934,1986-01-18,-51.1,Мин. температура
3031,24934,1986-01-29,-26.4,Макс. температура
3031,24934,1986-04-06,-19.8,Мин. температура
3031,24934,1986-05-10,-7.7,Мин. температура
3031,24934,1986-06-14,14.9,Макс. температура
3031,24934,1986-06-22,28.1,Макс. температура
3031,24934,1986-08-06,36.1,Макс. температура
3031,24934,1986-10-09,-5.2,Мин. температура
3031,24934,1986-12-04,-4.8,Макс. температура
3031,24934,1987-02-09,-36.4,Мин. температура
3031,24934,1987-04-10,-17.0,Мин. температура
3031,24934,1987-07-08,12.5,Мин. температура
3031,24934,1987-08-11,28.0,Макс. температура
3031,24934,1987-08-17,6.8,Мин. температура
3031,24934,1987-08-20,17.9,Макс. температура
3031,24934,1987-08-26,5.4,Мин. температура
3031,24934,1987-09-18,2.2,Мин. температура
3031,24934,1987-10-10,-2.1,Мин. температура
3031,24934,1987-11-12,-25.8,Макс. температура
3031,24934,1987-11-25,-46.4,Мин. температура
3031,24934,1987-12-05,-22.4,Мин. температура
3031,24934,1988-01-25,-29.4,Макс. температура
3031,24934,1988-05-27,17.7,Макс. температура
3031,24934,1988-06-11,23.4,Макс. температура
3031,24934,1988-06-27,24.2,Макс. температура
3031,24934,1985-02-10,-46.8,Мин. температура
3031,24934,1985-03-14,-6.6,Мин. температура
3031,24934,1985-03-26,-22.8,Мин. температура
3031,24934,1985-05-04,3.6,Мин. температура
3031,24934,1985-05-19,6.6,Мин. температура
3031,24934,1985-06-03,21.5,Макс. температура
3031,24934,1985-06-04,18.6,Макс. температура
3031,24934,1985-07-15,28.2,Макс. температура
3031,24934,1985-08-06,15.1,Макс. температура
3031,24934,1985-08-13,8.9,Мин. температура
3031,24934,1985-09-28,-2.9,Мин. температура
3031,24934,1985-10-27,-0.8,Макс. температура
3031,24934,1985-11-22,-25.9,Макс. температура
3031,24934,1985-11-23,-30.0,Мин. температура
3031,24934,1985-12-17,-14.8,Макс. температура
3031,24934,1986-01-04,-31.5,Макс. температура
3031,24934,1986-01-28,-22.6,Макс. температура
3031,24934,1986-02-18,-32.4,Мин. температура
3031,24934,1986-03-10,-27.6,Мин. температура
3031,24934,1986-04-13,2.7,Макс. температура
3031,24934,1986-05-22,15.6,Макс. температура
3031,24934,1986-07-14,34.5,Макс. температура
3031,24934,1986-07-18,14.6,Мин. температура
3031,24934,1986-08-08,18.1,Мин. температура
3031,24934,1986-09-27,-3.9,Мин. температура
3031,24934,1986-12-27,-49.1,Макс. температура
3031,24934,1987-01-04,-45.3,Мин. температура
3031,24934,1987-01-18,-24.0,Макс. температура
3031,24934,1987-01-20,-9.9,Макс. температура
3031,24934,1987-01-21,-24.4,Мин. температура
3031,24934,1987-02-13,-28.6,Макс. температура
3031,24934,1987-03-18,-21.6,Мин. температура
3031,24934,1987-03-20,-30.9,Мин. температура
3031,24934,1987-04-28,-0.6,Мин. температура
3031,24934,1987-05-10,1.8,Макс. температура
3031,24934,1987-05-13,-6.5,Мин. температура
3031,24934,1987-06-17,9.7,Мин. температура
3031,24934,1987-07-11,10.0,Мин. температура
3031,24934,1987-09-29,4.4,Мин. температура
3031,24934,1987-10-19,-9.8,Мин. температура
3031,24934,1987-10-25,-16.4,Мин. температура
3031,24934,1987-12-02,-19.2,Мин. температура
3031,24934,1988-03-04,-14.6,Макс. температура
3031,24934,1988-03-07,-26.6,Мин. температура
3031,24934,1988-03-08,-5.3,Макс. температура
3031,24934,1988-03-30,-7.1,Макс. температура
3031,24934,1988-04-08,-0.3,Мин. температура
3031,24934,1988-04-18,-11.7,Мин. температура
3031,24934,1988-04-20,6.1,Макс. температура
3031,24934,1988-04-21,-2.8,Мин. температура
3031,24934,1988-06-01,30.7,Макс. температура
3031,24934,1988-06-03,24.2,Макс. температура
3031,24934,1988-07-12,14.3,Мин. температура
3031,24934,1985-03-18,-17.8,Мин. температура
3031,24934,1985-03-31,-15.6,Мин. температура
3031,24934,1985-04-18,-4.8,Мин. температура
3031,24934,1985-04-20,0.4,Мин. температура
3031,24934,1985-05-03,0.9,Мин. температура
3031,24934,1985-05-11,0.1,Мин. температура
3031,24934,1985-06-22,27.5,Макс. температура
3031,24934,1985-07-14,26.7,Макс. температура
3031,24934,1985-08-02,22.6,Макс. температура
3031,24934,1985-08-18,9.5,Мин. температура
3031,24934,1985-08-23,21.4,Макс. температура
3031,24934,1985-09-09,10.9,Макс. температура
3031,24934,1985-10-13,-11.6,Мин. температура
3031,24934,1985-10-14,-0.7,Макс. температура
3031,24934,1985-10-28,-10.4,Мин. температура
3031,24934,1985-12-04,-28.1,Макс. температура
3031,24934,1985-12-11,-22.7,Макс. температура
3031,24934,1985-12-14,-44.7,Мин. температура
3031,24934,1986-03-22,-26.2,Мин. температура
3031,24934,1986-05-09,-9.2,Мин. температура
3031,24934,1986-07-01,27.0,Макс. температура
3031,24934,1986-07-26,11.6,Мин. температура
3031,24934,1986-08-13,8.6,Мин. температура
3031,24934,1986-10-16,-2.0,Макс. температура
3031,24934,1986-11-02,-11.4,Макс. температура
3031,24934,1986-11-09,-5.6,Макс. температура
3031,24934,1986-12-13,-28.9,Мин. температура
3031,24934,1986-12-19,-35.3,Мин. температура
3031,24934,1987-01-06,-49.2,Мин. температура
3031,24934,1987-01-08,-55.6,Мин. температура
3031,24934,1987-03-04,-20.1,Макс. температура
3031,24934,1987-03-10,-8.2,Макс. температура
3031,24934,1987-03-13,-37.8,Мин. температура
3031,24934,1987-03-28,-11.5,Макс. температура
3031,24934,1987-04-25,-6.9,Мин. температура
3031,24934,1987-05-04,-2.9,Мин. температура
3031,24934,1987-05-22,6.7,Макс. температура
3031,24934,1987-06-04,6.0,Мин. температура
3031,24934,1987-06-11,8.7,Мин. температура
3031,24934,1987-08-21,7.1,Мин. температура
3031,24934,1987-09-29,8.5,Макс. температура
3031,24934,1987-10-04,3.1,Макс. температура
3031,24934,1987-12-17,-41.8,Мин. температура
3031,24934,1987-12-19,-33.4,Мин. температура
3031,24934,1988-01-24,-31.6,Макс. температура
3031,24934,1988-01-25,-46.8,Мин. температура
3031,24934,1988-04-14,5.2,Мин. температура
3031,24934,1988-06-17,9.7,Мин. температура
3031,24934,1988-07-01,23.7,Макс. температура
3031,24934,1985-01-05,-38.5,Макс. температура
3031,24934,1985-01-25,-39.4,Макс. температура
3031,24934,1985-04-07,-7.4,Макс. температура
3031,24934,1985-04-11,-24.0,Мин. температура
3031,24934,1985-05-07,-0.8,Мин. температура
3031,24934,1985-05-19,17.6,Макс. температура
3031,24934,1985-06-09,21.8,Макс. температура
3031,24934,1985-06-18,28.5,Макс. температура
3031,24934,1985-07-04,24.4,Макс. температура
3031,24934,1985-07-11,22.6,Макс. температура
3031,24934,1985-08-30,9.9,Мин. температура
3031,24934,1985-09-07,4.4,Мин. температура
3031,24934,1985-09-14,4.6,Мин. температура
3031,24934,1985-10-24,-11.9,Мин. температура
3031,24934,1985-10-28,-0.6,Макс. температура
3031,24934,1985-11-19,-24.9,Мин. температура
3031,24934,1985-12-01,-20.8,Макс. температура
3031,24934,1985-12-08,-34.4,Мин. температура
3031,24934,1986-01-20,-49.2,Мин. температура
3031,24934,1986-01-24,-21.0,Макс. температура
3031,24934,1986-01-30,-40.4,Мин. температура
3031,24934,1986-02-01,-22.0,Макс. температура
3031,24934,1986-02-11,-11.7,Макс. температура
3031,24934,1986-03-29,-4.5,Макс. температура
3031,24934,1986-04-21,-8.6,Мин. температура
3031,24934,1986-05-03,-1.4,Мин. температура
3031,24934,1986-06-21,26.4,Макс. температура
3031,24934,1986-07-18,28.2,Макс. температура
3031,24934,1986-09-03,22.9,Макс. температура
3031,24934,1986-11-07,-3.3,Макс. температура
3031,24934,1987-01-21,-17.1,Макс. температура
3031,24934,1987-02-25,-17.8,Макс. температура
3031,24934,1987-03-19,-37.4,Мин. температура
3031,24934,1987-03-29,-8.2,Макс. температура
3031,24934,1987-05-15,-5.2,Мин. температура
3031,24934,1987-06-14,19.4,Макс. температура
3031,24934,1987-08-07,12.9,Мин. температура
3031,24934,1987-12-06,-4.1,Макс. температура
3031,24934,1987-12-21,-12.3,Макс. температура
3031,24934,1988-01-18,-33.2,Мин. температура
3031,24934,1988-01-19,-27.7,Мин. температура
3031,24934,1988-01-23,-40.3,Мин. температура
3031,24934,1988-04-05,1.6,Макс. температура
3031,24934,1988-07-24,,Макс. температура
3031,24934,1988-07-24,,Мин. температура
3031,24934,1988-07-31,,Макс. температура
3031,24934,1985-01-27,-42.9,Макс. температура
3031,24934,1985-02-02,-38.1,Макс. температура
3031,24934,1985-02-15,-45.1,Мин. температура
3031,24934,1985-02-28,-20.8,Макс. температура
3031,24934,1985-03-30,-20.8,Мин. температура
3031,24934,1985-04-04,-12.3,Мин. температура
3031,24934,1985-05-14,22.6,Макс. температура
3031,24934,1985-06-07,22.2,Макс. температура
3031,24934,1985-07-10,6.6,Мин. температура
3031,24934,1985-08-10,9.9,Мин. температура
3031,24934,1985-08-17,19.3,Макс. температура
3031,24934,1985-09-23,-2.9,Мин. температура
