gidro_num,identifier,dt,temp,temptype
3403,21908,2019-11-03,-23.2,Макс. температура
3403,21908,2019-11-16,-16.8,Макс. температура
3403,21908,2020-01-27,-35.4,Мин. температура
3403,21908,2020-01-31,-39.0,Мин. температура
3403,21908,2020-02-04,-42.3,Макс. температура
3403,21908,2020-02-09,-19.5,Макс. температура
3403,21908,2020-03-07,-31.9,Мин. температура
3403,21908,2020-07-10,8.2,Мин. температура
3403,21908,2020-07-17,11.4,Мин. температура
3403,21908,2020-08-19,10.4,Макс. температура
3403,21908,2020-09-08,9.2,Макс. температура
3403,21908,2020-10-18,-13.6,Мин. температура
3403,21908,2020-12-23,-48.7,Мин. температура
3403,21908,2020-12-30,-16.2,Макс. температура
3403,21908,2021-04-18,-10.5,Макс. температура
3403,21908,2021-04-27,-0.5,Макс. температура
3403,21908,2021-05-04,-4.8,Мин. температура
3403,21908,2021-05-16,-4.4,Макс. температура
3403,21908,2021-06-06,11.0,Макс. температура
3403,21908,2021-06-08,10.2,Макс. температура
3403,21908,2021-06-11,11.4,Макс. температура
3403,21908,2021-06-15,7.2,Мин. температура
3403,21908,2021-07-11,6.1,Мин. температура
3403,21908,2021-07-14,13.7,Макс. температура
3403,21908,2021-07-16,22.0,Макс. температура
3403,21908,2021-09-21,-0.6,Мин. температура
3403,21908,2021-10-02,-6.8,Мин. температура
3403,21908,2021-11-04,-21.9,Макс. температура
3403,21908,2021-11-17,-36.0,Макс. температура
3403,21908,2021-12-05,-34.2,Мин. температура
3403,21908,2021-12-07,-43.4,Мин. температура
3403,21908,2021-12-29,-21.3,Макс. температура
3403,21908,2021-12-30,-25.5,Макс. температура
3403,21908,2022-01-31,-42.6,Макс. температура
3403,21908,2022-02-10,-31.0,Мин. температура
3403,21908,2022-06-04,19.9,Макс. температура
3403,21908,2022-06-10,15.8,Макс. температура
3403,21908,2022-08-02,7.7,Мин. температура
3403,21908,2022-08-08,12.3,Макс. температура
3403,21908,2022-09-10,3.0,Мин. температура
3403,21908,2022-11-07,-37.3,Мин. температура
3403,21908,2022-11-22,-35.5,Макс. температура
3403,21908,2022-11-29,-32.7,Макс. температура
3403,21908,2022-12-16,-37.9,Макс. температура
3403,21908,2023-02-01,-24.1,Макс. температура
3403,21908,2023-02-13,-50.0,Мин. температура
3403,21908,2023-02-18,-41.7,Мин. температура
3403,21908,2023-02-24,-29.7,Макс. температура
3403,21908,2023-03-10,-26.7,Макс. температура
3403,21908,2023-04-07,-7.4,Макс. температура
3403,21908,2023-05-14,-14.8,Мин. температура
3403,21908,2023-06-05,2.6,Мин. температура
3403,21908,2023-06-09,16.9,Макс. температура
3403,21908,2023-06-23,24.9,Макс. температура
3403,21908,2023-07-17,16.5,Макс. температура
3403,21908,2023-10-28,-11.4,Макс. температура
3403,21908,2023-12-10,-38.4,Мин. температура
3403,21908,2024-03-04,-11.7,Макс. температура
3403,21908,2024-03-19,-21.4,Мин. температура
3403,21908,2024-05-02,-2.9,Мин. температура
3403,21908,2024-07-17,17.6,Макс. температура
3403,21908,2024-07-25,7.0,Мин. температура
3403,21908,2024-08-20,12.6,Мин. температура
3403,21908,2024-09-03,10.6,Макс. температура
3403,21908,2019-10-09,-6.4,Мин. температура
3403,21908,2019-10-12,-4.0,Макс. температура
3403,21908,2019-12-07,-40.2,Мин. температура
3403,21908,2019-12-09,-36.7,Мин. температура
3403,21908,2020-01-04,-39.6,Мин. температура
3403,21908,2020-01-26,-27.0,Макс. температура
3403,21908,2020-02-03,-44.7,Мин. температура
3403,21908,2020-03-13,-18.6,Макс. температура
3403,21908,2020-04-27,1.5,Макс. температура
3403,21908,2020-06-10,3.2,Мин. температура
3403,21908,2020-07-01,18.8,Мин. температура
3403,21908,2020-08-09,8.8,Мин. температура
3403,21908,2020-08-10,5.2,Мин. температура
3403,21908,2020-12-02,-9.8,Мин. температура
3403,21908,2020-12-07,-19.4,Макс. температура
3403,21908,2020-12-07,-36.8,Мин. температура
3403,21908,2020-12-12,-35.5,Макс. температура
3403,21908,2020-12-16,-44.2,Мин. температура
3403,21908,2020-12-20,-39.3,Макс. температура
3403,21908,2021-01-21,-37.9,Макс. температура
3403,21908,2021-02-11,-42.2,Мин. температура
3403,21908,2021-03-12,-19.3,Макс. температура
3403,21908,2021-03-13,-14.8,Макс. температура
3403,21908,2021-05-24,16.8,Макс. температура
3403,21908,2021-05-26,14.5,Макс. температура
3403,21908,2021-06-08,5.2,Мин. температура
3403,21908,2021-07-17,8.3,Мин. температура
3403,21908,2021-07-18,7.2,Мин. температура
3403,21908,2021-08-07,8.6,Мин. температура
3403,21908,2021-08-11,11.0,Мин. температура
3403,21908,2021-09-24,-1.4,Мин. температура
3403,21908,2021-10-20,1.5,Макс. температура
3403,21908,2021-11-03,-32.5,Мин. температура
3403,21908,2021-11-07,-10.9,Макс. температура
3403,21908,2021-11-20,-40.3,Мин. температура
3403,21908,2021-11-23,-40.8,Мин. температура
3403,21908,2021-12-20,-24.1,Макс. температура
3403,21908,2021-12-28,-22.8,Макс. температура
3403,21908,2022-01-08,-46.8,Мин. температура
3403,21908,2022-02-22,-28.0,Мин. температура
3403,21908,2022-06-20,5.5,Мин. температура
3403,21908,2022-07-19,11.3,Макс. температура
3403,21908,2022-08-09,21.7,Макс. температура
3403,21908,2022-11-22,-41.8,Мин. температура
3403,21908,2022-12-12,-26.9,Мин. температура
3403,21908,2022-12-19,-48.6,Мин. температура
3403,21908,2022-12-21,-47.1,Мин. температура
3403,21908,2022-12-23,-30.9,Мин. температура
3403,21908,2023-01-01,-14.5,Макс. температура
3403,21908,2023-01-21,-45.1,Мин. температура
3403,21908,2023-02-20,-19.9,Макс. температура
3403,21908,2023-03-14,-24.9,Мин. температура
3403,21908,2023-03-30,-14.9,Макс. температура
3403,21908,2023-04-03,-11.6,Мин. температура
3403,21908,2023-05-03,-9.1,Мин. температура
3403,21908,2023-07-15,12.8,Макс. температура
3403,21908,2023-08-06,18.4,Макс. температура
3403,21908,2023-08-16,16.4,Макс. температура
3403,21908,2023-08-21,8.2,Макс. температура
3403,21908,2023-08-26,26.9,Макс. температура
3403,21908,2023-09-03,2.7,Мин. температура
3403,21908,2023-10-07,-0.1,Макс. температура
3403,21908,2023-10-08,0.4,Макс. температура
3403,21908,2023-10-15,-3.6,Макс. температура
3403,21908,2023-10-25,-14.5,Мин. температура
3403,21908,2023-10-26,-11.5,Мин. температура
3403,21908,2023-11-16,-11.5,Макс. температура
3403,21908,2023-12-23,-29.3,Мин. температура
3403,21908,2024-01-02,-51.9,Мин. температура
3403,21908,2024-01-03,-49.1,Макс. температура
3403,21908,2024-02-23,-27.6,Макс. температура
3403,21908,2024-03-11,-18.7,Макс. температура
3403,21908,2024-03-11,-34.7,Мин. температура
3403,21908,2024-04-12,-16.1,Макс. температура
3403,21908,2024-04-16,-9.0,Мин. температура
3403,21908,2024-06-08,24.2,Макс. температура
3403,21908,2024-06-18,14.0,Макс. температура
3403,21908,2024-06-24,14.4,Мин. температура
3403,21908,2024-07-02,13.9,Мин. температура
3403,21908,2024-09-13,1.3,Мин. температура
3403,21908,2024-10-09,-7.3,Мин. температура
3403,21908,2024-12-14,-35.3,Макс. температура
3403,21908,2019-10-26,-11.9,Мин. температура
3403,21908,2019-11-08,-35.2,Макс. температура
3403,21908,2019-11-11,-34.2,Мин. температура
3403,21908,2019-11-14,-24.2,Макс. температура
3403,21908,2019-11-20,-14.8,Макс. температура
3403,21908,2019-11-23,-27.6,Макс. температура
3403,21908,2019-12-20,-37.3,Мин. температура
3403,21908,2020-02-28,-15.1,Макс. температура
3403,21908,2020-03-01,-25.0,Мин. температура
3403,21908,2020-04-22,3.8,Макс. температура
3403,21908,2020-04-30,-9.2,Мин. температура
3403,21908,2020-05-08,-7.8,Макс. температура
3403,21908,2020-06-27,27.5,Макс. температура
3403,21908,2020-06-28,14.4,Мин. температура
3403,21908,2020-07-28,5.2,Мин. температура
3403,21908,2020-09-14,-0.6,Мин. температура
3403,21908,2020-10-04,0.1,Макс. температура
3403,21908,2020-11-07,-11.0,Макс. температура
3403,21908,2020-11-09,-32.2,Мин. температура
3403,21908,2020-11-23,-11.1,Макс. температура
3403,21908,2020-11-30,-8.0,Макс. температура
3403,21908,2021-01-04,-30.9,Макс. температура
3403,21908,2021-02-05,-41.6,Макс. температура
3403,21908,2021-05-13,6.0,Макс. температура
3403,21908,2021-07-08,11.3,Мин. температура
3403,21908,2021-07-19,18.6,Макс. температура
3403,21908,2021-08-13,12.5,Макс. температура
3403,21908,2021-09-09,3.2,Мин. температура
3403,21908,2021-10-26,-15.6,Мин. температура
3403,21908,2021-10-30,-29.6,Мин. температура
3403,21908,2021-11-09,-25.5,Мин. температура
3403,21908,2021-11-16,-35.1,Макс. температура
3403,21908,2021-11-30,-44.9,Мин. температура
3403,21908,2021-12-06,-43.2,Мин. температура
3403,21908,2021-12-15,-34.3,Макс. температура
3403,21908,2022-01-09,-21.2,Макс. температура
3403,21908,2022-01-16,-45.3,Мин. температура
3403,21908,2022-02-21,-19.3,Макс. температура
3403,21908,2022-03-04,-24.9,Макс. температура
3403,21908,2022-03-13,-24.4,Макс. температура
3403,21908,2022-05-01,-5.1,Макс. температура
3403,21908,2022-07-13,8.2,Мин. температура
3403,21908,2022-07-27,15.5,Мин. температура
3403,21908,2022-08-19,7.0,Макс. температура
3403,21908,2022-08-26,7.2,Мин. температура
3403,21908,2022-08-28,8.4,Макс. температура
3403,21908,2022-08-30,14.5,Макс. температура
3403,21908,2022-10-26,-23.8,Мин. температура
3403,21908,2022-10-27,-7.7,Макс. температура
3403,21908,2022-10-29,-13.8,Макс. температура
3403,21908,2022-11-08,-36.8,Мин. температура
3403,21908,2022-12-23,-24.0,Макс. температура
3403,21908,2023-01-07,-56.7,Мин. температура
3403,21908,2023-01-17,-36.8,Макс. температура
3403,21908,2023-01-24,-43.3,Мин. температура
3403,21908,2023-03-23,-19.5,Мин. температура
3403,21908,2023-05-02,-2.5,Макс. температура
3403,21908,2023-05-10,-8.8,Макс. температура
3403,21908,2023-06-04,11.9,Макс. температура
3403,21908,2023-06-21,17.2,Макс. температура
3403,21908,2023-07-02,11.4,Мин. температура
3403,21908,2023-07-31,6.0,Мин. температура
3403,21908,2023-08-06,6.3,Мин. температура
3403,21908,2023-10-22,-4.9,Макс. температура
3403,21908,2023-12-19,-26.3,Макс. температура
3403,21908,2024-01-05,-43.5,Макс. температура
3403,21908,2024-03-10,-20.1,Макс. температура
3403,21908,2024-04-04,-21.8,Мин. температура
3403,21908,2024-04-08,-4.6,Макс. температура
3403,21908,2024-05-12,-2.1,Макс. температура
3403,21908,2024-07-07,9.5,Мин. температура
3403,21908,2024-07-17,12.5,Мин. температура
3403,21908,2024-08-17,23.2,Макс. температура
3403,21908,2024-09-04,3.9,Мин. температура
3403,21908,2024-11-12,-25.7,Макс. температура
3403,21908,2024-12-09,-37.7,Макс. температура
3403,21908,2019-10-13,-6.2,Мин. температура
3403,21908,2019-11-06,-27.6,Макс. температура
3403,21908,2019-12-01,-45.7,Мин. температура
3403,21908,2020-01-13,-29.6,Мин. температура
3403,21908,2020-02-17,-11.6,Макс. температура
3403,21908,2020-04-01,-23.9,Мин. температура
3403,21908,2020-06-01,7.6,Мин. температура
3403,21908,2020-06-10,12.5,Макс. температура
3403,21908,2020-06-20,16.1,Мин. температура
3403,21908,2020-09-22,14.0,Макс. температура
3403,21908,2020-10-30,-15.2,Макс. температура
3403,21908,2020-11-07,-14.6,Мин. температура
3403,21908,2020-12-26,-21.4,Макс. температура
3403,21908,2021-01-25,-51.1,Макс. температура
3403,21908,2021-02-09,-41.7,Макс. температура
3403,21908,2021-02-27,-37.5,Макс. температура
3403,21908,2021-02-28,-31.8,Макс. температура
3403,21908,2021-03-29,-23.1,Мин. температура
3403,21908,2021-05-11,0.3,Макс. температура
3403,21908,2021-07-25,26.0,Макс. температура
3403,21908,2021-08-31,1.4,Мин. температура
3403,21908,2021-09-11,18.3,Макс. температура
3403,21908,2021-12-08,-29.3,Макс. температура
3403,21908,2021-12-24,-44.0,Мин. температура
3403,21908,2022-04-29,-4.4,Мин. температура
3403,21908,2022-07-17,16.0,Макс. температура
3403,21908,2022-08-13,15.4,Макс. температура
3403,21908,2022-08-20,6.7,Макс. температура
3403,21908,2022-09-07,11.7,Макс. температура
3403,21908,2022-09-16,4.0,Макс. температура
3403,21908,2022-10-12,1.1,Макс. температура
3403,21908,2022-10-24,-12.8,Мин. температура
3403,21908,2022-11-28,-27.4,Макс. температура
3403,21908,2022-12-10,-26.6,Макс. температура
3403,21908,2023-01-10,-62.1,Мин. температура
3403,21908,2023-01-27,-44.0,Мин. температура
3403,21908,2023-02-03,-25.9,Макс. температура
3403,21908,2023-03-20,-32.8,Мин. температура
3403,21908,2023-04-05,-34.7,Мин. температура
3403,21908,2023-05-06,-20.6,Мин. температура
3403,21908,2023-05-28,6.3,Мин. температура
3403,21908,2023-06-18,7.3,Мин. температура
3403,21908,2023-07-08,7.9,Мин. температура
3403,21908,2023-08-25,10.3,Мин. температура
3403,21908,2023-09-24,-2.3,Мин. температура
3403,21908,2023-10-03,-8.2,Мин. температура
3403,21908,2023-10-14,-5.2,Мин. температура
3403,21908,2023-10-23,-7.7,Макс. температура
3403,21908,2023-11-14,-21.2,Мин. температура
3403,21908,2023-11-29,-9.1,Макс. температура
3403,21908,2023-12-18,-29.8,Макс. температура
3403,21908,2023-12-31,-49.8,Мин. температура
3403,21908,2024-01-30,-37.0,Мин. температура
3403,21908,2024-02-08,-35.9,Мин. температура
3403,21908,2024-03-15,-30.5,Мин. температура
3403,21908,2024-04-09,-5.5,Мин. температура
3403,21908,2024-05-03,5.8,Макс. температура
3403,21908,2024-05-24,1.2,Мин. температура
3403,21908,2024-05-27,0.1,Мин. температура
3403,21908,2024-06-07,17.6,Макс. температура
3403,21908,2024-06-26,10.4,Мин. температура
3403,21908,2024-07-12,23.9,Макс. температура
3403,21908,2024-09-02,13.3,Макс. температура
3403,21908,2024-09-10,1.3,Мин. температура
3403,21908,2024-10-19,-13.5,Мин. температура
3403,21908,2024-10-24,-30.6,Мин. температура
3403,21908,2024-11-08,-29.8,Мин. температура
3403,21908,2024-11-23,-37.1,Мин. температура
3403,21908,2019-10-22,-7.7,Макс. температура
3403,21908,2019-11-23,-36.0,Мин. температура
3403,21908,2019-11-24,-40.2,Мин. температура
3403,21908,2019-11-30,-25.9,Макс. температура
3403,21908,2019-12-24,-32.5,Макс. температура
3403,21908,2019-12-26,-35.3,Макс. температура
3403,21908,2019-12-27,-44.7,Макс. температура
3403,21908,2020-02-07,-23.9,Макс. температура
3403,21908,2020-02-12,-34.5,Макс. температура
3403,21908,2020-02-26,-7.7,Макс. температура
3403,21908,2020-03-18,-42.2,Мин. температура
3403,21908,2020-04-08,-2.2,Макс. температура
3403,21908,2020-07-11,13.7,Мин. температура
3403,21908,2020-07-18,10.7,Мин. температура
3403,21908,2020-08-27,22.6,Макс. температура
3403,21908,2020-12-03,-3.3,Макс. температура
3403,21908,2020-12-15,-41.3,Мин. температура
3403,21908,2021-01-22,-50.0,Мин. температура
3403,21908,2021-02-21,-46.3,Мин. температура
3403,21908,2021-03-15,-39.2,Мин. температура
3403,21908,2021-04-30,9.5,Макс. температура
3403,21908,2021-07-27,9.9,Мин. температура
3403,21908,2021-08-02,7.7,Мин. температура
3403,21908,2021-09-15,6.2,Макс. температура
3403,21908,2022-01-11,-28.9,Мин. температура
3403,21908,2022-04-02,-3.7,Макс. температура
3403,21908,2022-04-11,-23.1,Мин. температура
3403,21908,2022-04-15,-12.1,Макс. температура
3403,21908,2022-06-06,11.1,Макс. температура
3403,21908,2022-11-17,-32.4,Макс. температура
3403,21908,2023-01-22,-49.0,Мин. температура
3403,21908,2023-03-16,-3.6,Макс. температура
3403,21908,2023-03-29,-16.0,Макс. температура
3403,21908,2023-06-26,21.7,Макс. температура
3403,21908,2023-08-09,28.5,Макс. температура
3403,21908,2023-09-25,6.9,Макс. температура
3403,21908,2023-10-10,-0.1,Макс. температура
3403,21908,2023-11-09,-27.4,Мин. температура
3403,21908,2023-11-13,-22.1,Мин. температура
3403,21908,2023-11-22,-39.4,Мин. температура
3403,21908,2023-11-25,-37.8,Мин. температура
3403,21908,2023-12-10,-23.4,Макс. температура
3403,21908,2023-12-17,-22.3,Макс. температура
3403,21908,2023-12-30,-48.7,Мин. температура
3403,21908,2024-02-10,-39.6,Мин. температура
3403,21908,2024-03-05,-23.6,Макс. температура
3403,21908,2024-03-16,-17.3,Макс. температура
3403,21908,2024-04-02,-13.5,Макс. температура
3403,21908,2024-04-08,-18.9,Мин. температура
3403,21908,2024-04-20,-0.7,Мин. температура
3403,21908,2024-06-23,11.8,Мин. температура
3403,21908,2024-07-14,15.0,Мин. температура
3403,21908,2024-09-29,-0.5,Мин. температура
3403,21908,2024-10-28,-19.4,Мин. температура
3403,21908,2024-11-10,-28.0,Мин. температура
3403,21908,2019-12-07,-20.1,Макс. температура
3403,21908,2019-12-23,-37.6,Мин. температура
3403,21908,2020-01-10,-37.7,Мин. температура
3403,21908,2020-01-11,-20.3,Макс. температура
3403,21908,2020-01-21,-42.9,Мин. температура
3403,21908,2020-02-04,-45.3,Мин. температура
3403,21908,2020-03-14,-18.1,Макс. температура
3403,21908,2020-05-03,3.1,Макс. температура
3403,21908,2020-05-10,-1.6,Макс. температура
3403,21908,2020-05-16,11.0,Макс. температура
3403,21908,2020-06-21,14.4,Мин. температура
3403,21908,2020-08-24,-2.0,Мин. температура
3403,21908,2020-08-25,18.7,Макс. температура
3403,21908,2020-08-26,21.5,Макс. температура
3403,21908,2020-09-15,16.0,Макс. температура
3403,21908,2020-09-22,-0.4,Мин. температура
3403,21908,2020-10-14,-7.7,Мин. температура
3403,21908,2020-11-02,-23.6,Мин. температура
3403,21908,2020-11-13,-31.4,Мин. температура
3403,21908,2020-11-27,-29.2,Мин. температура
3403,21908,2021-01-16,-29.6,Макс. температура
3403,21908,2021-01-22,-31.4,Макс. температура
3403,21908,2021-02-16,-31.0,Мин. температура
3403,21908,2021-03-03,-49.1,Мин. температура
3403,21908,2021-03-11,-22.3,Макс. температура
3403,21908,2021-04-06,-8.4,Макс. температура
3403,21908,2021-04-17,-3.8,Макс. температура
3403,21908,2021-06-23,18.9,Макс. температура
3403,21908,2021-07-28,12.9,Мин. температура
3403,21908,2021-11-30,-43.1,Макс. температура
3403,21908,2021-12-18,-37.4,Макс. температура
3403,21908,2022-01-06,-36.8,Мин. температура
3403,21908,2022-02-16,-32.8,Макс. температура
3403,21908,2022-03-11,-39.0,Мин. температура
3403,21908,2022-03-16,-38.6,Мин. температура
3403,21908,2022-04-09,-1.4,Макс. температура
3403,21908,2022-04-27,-1.7,Макс. температура
3403,21908,2022-06-16,18.6,Макс. температура
3403,21908,2022-07-04,8.9,Мин. температура
3403,21908,2022-07-09,18.4,Макс. температура
3403,21908,2022-08-29,0.6,Мин. температура
3403,21908,2022-09-11,1.2,Мин. температура
3403,21908,2022-11-14,-25.3,Мин. температура
3403,21908,2022-11-19,-39.8,Мин. температура
3403,21908,2023-02-21,-19.6,Макс. температура
3403,21908,2023-02-24,-46.7,Мин. температура
3403,21908,2023-02-27,-25.4,Мин. температура
3403,21908,2023-06-09,8.0,Мин. температура
3403,21908,2023-07-04,21.2,Макс. температура
3403,21908,2023-07-16,5.9,Мин. температура
3403,21908,2023-07-19,20.1,Макс. температура
3403,21908,2023-09-08,4.2,Макс. температура
3403,21908,2023-09-11,5.4,Мин. температура
3403,21908,2023-10-28,-27.5,Мин. температура
3403,21908,2023-11-22,-34.4,Макс. температура
3403,21908,2023-12-26,-27.0,Мин. температура
3403,21908,2024-01-04,-50.3,Макс. температура
3403,21908,2024-02-14,-24.0,Макс. температура
3403,21908,2024-06-20,12.1,Мин. температура
3403,21908,2024-08-06,12.8,Макс. температура
3403,21908,2024-08-09,4.8,Мин. температура
3403,21908,2024-08-23,12.7,Мин. температура
3403,21908,2024-10-04,-1.0,Макс. температура
3403,21908,2024-11-19,-30.9,Мин. температура
3403,21908,2024-12-13,-43.8,Мин. температура
3403,21908,2019-12-08,-19.0,Макс. температура
3403,21908,2020-02-06,-46.4,Мин. температура
3403,21908,2020-02-16,-11.9,Макс. температура
3403,21908,2020-04-16,-19.4,Мин. температура
3403,21908,2020-05-01,-4.5,Макс. температура
3403,21908,2020-07-05,13.4,Макс. температура
3403,21908,2020-07-26,6.5,Макс. температура
3403,21908,2020-08-18,13.6,Макс. температура
3403,21908,2020-09-29,1.7,Макс. температура
3403,21908,2020-10-07,-1.2,Макс. температура
3403,21908,2020-10-25,-10.5,Макс. температура
3403,21908,2020-10-29,-16.5,Мин. температура
3403,21908,2020-11-13,-20.7,Макс. температура
3403,21908,2021-01-01,-23.3,Макс. температура
3403,21908,2021-01-23,-44.1,Мин. температура
3403,21908,2021-02-17,-33.5,Мин. температура
3403,21908,2021-03-06,-30.1,Макс. температура
3403,21908,2021-03-10,-31.3,Мин. температура
3403,21908,2021-03-28,-6.3,Макс. температура
3403,21908,2021-04-23,-12.4,Мин. температура
3403,21908,2021-06-04,4.0,Мин. температура
3403,21908,2021-06-18,16.7,Мин. температура
3403,21908,2021-07-13,18.5,Макс. температура
3403,21908,2021-07-31,25.9,Макс. температура
3403,21908,2021-08-15,7.7,Мин. температура
3403,21908,2021-12-16,-45.7,Мин. температура
3403,21908,2021-12-27,-26.6,Макс. температура
3403,21908,2022-02-12,-28.0,Мин. температура
3403,21908,2022-02-16,-41.1,Мин. температура
3403,21908,2022-03-08,-26.4,Макс. температура
3403,21908,2022-04-20,-20.6,Мин. температура
3403,21908,2022-04-25,-16.8,Мин. температура
3403,21908,2022-05-07,-4.1,Макс. температура
3403,21908,2022-06-11,10.3,Макс. температура
3403,21908,2022-07-29,14.3,Мин. температура
3403,21908,2022-08-30,-0.5,Мин. температура
3403,21908,2022-09-02,5.0,Мин. температура
3403,21908,2022-11-07,-33.8,Макс. температура
3403,21908,2022-11-13,-28.1,Макс. температура
3403,21908,2022-11-18,-33.4,Макс. температура
3403,21908,2023-01-17,-43.6,Мин. температура
3403,21908,2023-01-18,-31.4,Макс. температура
3403,21908,2023-04-27,-13.8,Мин. температура
3403,21908,2023-08-20,13.7,Макс. температура
3403,21908,2023-08-27,27.1,Макс. температура
3403,21908,2023-10-25,-7.4,Макс. температура
3403,21908,2023-11-08,-31.6,Мин. температура
3403,21908,2023-12-14,-23.2,Макс. температура
3403,21908,2023-12-25,-14.9,Макс. температура
3403,21908,2024-01-15,-48.0,Мин. температура
3403,21908,2024-01-19,-36.4,Мин. температура
3403,21908,2024-03-14,-29.9,Мин. температура
3403,21908,2024-05-29,20.7,Макс. температура
3403,21908,2024-06-14,8.9,Макс. температура
3403,21908,2024-06-16,10.8,Макс. температура
3403,21908,2024-06-23,17.9,Макс. температура
3403,21908,2024-07-16,22.8,Макс. температура
3403,21908,2024-08-07,5.8,Мин. температура
3403,21908,2024-09-21,1.0,Макс. температура
3403,21908,2024-09-29,0.3,Макс. температура
3403,21908,2024-11-29,-32.6,Мин. температура
3403,21908,2024-12-07,-23.4,Мин. температура
3403,21908,2024-12-11,-45.3,Макс. температура
3403,21908,2024-12-15,-40.8,Мин. температура
3403,21908,2024-12-25,-36.1,Мин. температура
3403,21908,2019-10-16,-6.4,Мин. температура
3403,21908,2019-10-24,-18.8,Мин. температура
3403,21908,2019-12-02,-47.4,Мин. температура
3403,21908,2020-02-14,-29.2,Мин. температура
3403,21908,2020-02-23,-21.0,Макс. температура
3403,21908,2020-03-23,-26.2,Мин. температура
3403,21908,2020-06-14,5.3,Мин. температура
3403,21908,2020-08-07,22.1,Макс. температура
3403,21908,2020-10-23,-5.0,Макс. температура
3403,21908,2020-10-31,-14.1,Макс. температура
3403,21908,2020-11-12,-22.2,Макс. температура
3403,21908,2020-11-20,-6.5,Макс. температура
3403,21908,2020-11-22,-13.0,Мин. температура
3403,21908,2020-12-09,-44.6,Мин. температура
3403,21908,2020-12-22,-43.4,Макс. температура
3403,21908,2021-01-31,-36.8,Макс. температура
3403,21908,2021-04-19,-9.4,Макс. температура
3403,21908,2021-05-01,10.9,Макс. температура
3403,21908,2021-05-07,2.8,Макс. температура
3403,21908,2021-05-15,-2.0,Мин. температура
3403,21908,2021-07-26,13.3,Мин. температура
3403,21908,2021-09-07,1.1,Мин. температура
3403,21908,2021-09-08,16.1,Макс. температура
3403,21908,2021-09-28,-3.1,Мин. температура
3403,21908,2021-12-01,-44.6,Макс. температура
3403,21908,2021-12-12,-35.7,Макс. температура
3403,21908,2021-12-25,-39.0,Макс. температура
3403,21908,2022-01-01,-48.4,Мин. температура
3403,21908,2022-01-21,-36.8,Мин. температура
3403,21908,2022-02-05,-25.3,Макс. температура
3403,21908,2022-04-05,-25.3,Мин. температура
3403,21908,2022-05-10,-10.4,Мин. температура
3403,21908,2022-06-27,10.1,Макс. температура
3403,21908,2022-06-28,3.7,Мин. температура
3403,21908,2022-10-07,-12.2,Мин. температура
3403,21908,2022-10-29,-24.3,Мин. температура
3403,21908,2022-11-03,-16.9,Мин. температура
3403,21908,2022-11-04,-10.0,Макс. температура
3403,21908,2022-11-14,-22.0,Макс. температура
3403,21908,2022-11-30,-30.1,Мин. температура
3403,21908,2022-12-06,-26.5,Мин. температура
3403,21908,2022-12-27,-34.2,Макс. температура
3403,21908,2023-02-02,-26.4,Мин. температура
3403,21908,2023-02-12,-53.0,Мин. температура
3403,21908,2023-06-12,16.3,Макс. температура
3403,21908,2023-06-14,10.3,Мин. температура
3403,21908,2023-06-16,16.2,Макс. температура
3403,21908,2023-06-27,12.4,Мин. температура
3403,21908,2023-06-29,18.1,Макс. температура
3403,21908,2023-07-13,4.3,Мин. температура
3403,21908,2023-07-14,5.3,Мин. температура
3403,21908,2023-08-03,5.3,Мин. температура
3403,21908,2023-11-06,-17.0,Макс. температура
3403,21908,2023-11-09,-18.7,Макс. температура
3403,21908,2023-11-19,-35.2,Мин. температура
