gidro_num,identifier,dt,temp,temptype
3366,24538,2019-10-30,-6.5,Макс. температура
3366,24538,2019-11-17,-18.6,Макс. температура
3366,24538,2020-01-12,-17.2,Макс. температура
3366,24538,2020-01-30,-19.7,Макс. температура
3366,24538,2020-03-12,-13.0,Макс. температура
3366,24538,2020-03-14,-15.0,Макс. температура
3366,24538,2020-03-28,-4.0,Макс. температура
3366,24538,2020-05-14,5.5,Макс. температура
3366,24538,2020-06-12,2.4,Мин. температура
3366,24538,2020-08-23,18.4,Макс. температура
3366,24538,2020-10-18,-20.5,Мин. температура
3366,24538,2020-10-21,-3.4,Макс. температура
3366,24538,2020-10-25,-1.0,Макс. температура
3366,24538,2020-11-18,-15.4,Макс. температура
3366,24538,2020-12-11,-45.9,Макс. температура
3366,24538,2020-12-21,-34.3,Макс. температура
3366,24538,2021-01-15,-36.4,Макс. температура
3366,24538,2021-01-21,-45.4,Макс. температура
3366,24538,2021-02-09,-39.4,Мин. температура
3366,24538,2021-02-22,-29.0,Макс. температура
3366,24538,2021-03-11,-10.8,Макс. температура
3366,24538,2021-03-16,-35.9,Мин. температура
3366,24538,2021-03-17,-12.2,Макс. температура
3366,24538,2021-04-04,-13.2,Макс. температура
3366,24538,2021-05-29,23.2,Макс. температура
3366,24538,2021-05-29,7.6,Мин. температура
3366,24538,2021-07-01,16.0,Мин. температура
3366,24538,2021-07-12,11.2,Мин. температура
3366,24538,2021-10-20,4.0,Макс. температура
3366,24538,2021-10-27,-4.6,Макс. температура
3366,24538,2021-12-02,-39.9,Мин. температура
3366,24538,2022-04-26,-13.0,Мин. температура
3366,24538,2022-05-07,11.2,Макс. температура
3366,24538,2022-05-08,-0.5,Мин. температура
3366,24538,2022-05-15,12.6,Макс. температура
3366,24538,2022-06-08,7.0,Мин. температура
3366,24538,2022-08-15,10.2,Мин. температура
3366,24538,2022-09-08,12.5,Макс. температура
3366,24538,2022-09-16,-4.8,Мин. температура
3366,24538,2022-10-17,2.0,Макс. температура
3366,24538,2022-10-21,4.0,Макс. температура
3366,24538,2022-10-28,-3.0,Макс. температура
3366,24538,2022-11-26,-39.7,Макс. температура
3366,24538,2022-12-06,-33.1,Мин. температура
3366,24538,2022-12-15,-43.9,Мин. температура
3366,24538,2022-12-22,-44.5,Мин. температура
3366,24538,2022-12-27,-34.7,Мин. температура
3366,24538,2023-01-31,-38.0,Макс. температура
3366,24538,2023-02-24,-20.5,Мин. температура
3366,24538,2023-04-12,0.0,Макс. температура
3366,24538,2023-04-19,-22.0,Мин. температура
3366,24538,2023-05-02,3.8,Макс. температура
3366,24538,2023-05-08,1.8,Макс. температура
3366,24538,2023-05-22,-5.3,Мин. температура
3366,24538,2023-05-29,6.7,Мин. температура
3366,24538,2023-06-19,21.2,Макс. температура
3366,24538,2023-06-20,14.6,Макс. температура
3366,24538,2023-07-24,14.2,Мин. температура
3366,24538,2023-08-02,25.7,Макс. температура
3366,24538,2023-08-14,12.2,Мин. температура
3366,24538,2023-10-05,2.0,Макс. температура
3366,24538,2023-11-11,-6.2,Макс. температура
3366,24538,2023-11-19,-11.2,Макс. температура
3366,24538,2023-12-31,-35.4,Мин. температура
3366,24538,2024-02-08,-28.6,Макс. температура
3366,24538,2024-02-12,-31.0,Мин. температура
3366,24538,2024-02-16,-45.4,Мин. температура
3366,24538,2024-03-28,-30.0,Мин. температура
3366,24538,2024-03-29,-23.9,Макс. температура
3366,24538,2024-04-25,-6.0,Мин. температура
3366,24538,2024-06-12,11.4,Мин. температура
3366,24538,2024-06-19,2.0,Мин. температура
3366,24538,2024-06-28,23.6,Макс. температура
3366,24538,2024-07-17,16.4,Мин. температура
3366,24538,2024-09-18,-0.6,Мин. температура
3366,24538,2024-10-09,-0.6,Макс. температура
3366,24538,2024-10-14,-10.1,Мин. температура
3366,24538,2024-10-20,-16.1,Мин. температура
3366,24538,2024-11-07,-20.0,Мин. температура
3366,24538,2024-12-08,-35.1,Мин. температура
3366,24538,2019-09-29,5.9,Макс. температура
3366,24538,2020-02-27,-13.5,Макс. температура
3366,24538,2020-03-01,-14.2,Мин. температура
3366,24538,2020-03-03,-9.1,Макс. температура
3366,24538,2020-03-26,-9.0,Макс. температура
3366,24538,2020-04-08,-13.1,Мин. температура
3366,24538,2020-06-02,2.4,Мин. температура
3366,24538,2020-07-04,10.9,Мин. температура
3366,24538,2020-07-09,25.5,Макс. температура
3366,24538,2020-10-10,0.2,Макс. температура
3366,24538,2020-10-24,0.0,Макс. температура
3366,24538,2020-11-13,-8.5,Мин. температура
3366,24538,2020-11-22,-20.4,Мин. температура
3366,24538,2020-12-28,-18.2,Мин. температура
3366,24538,2021-01-30,-47.1,Мин. температура
3366,24538,2021-05-13,15.2,Макс. температура
3366,24538,2021-05-23,14.6,Макс. температура
3366,24538,2021-05-28,11.6,Мин. температура
3366,24538,2021-07-27,16.0,Мин. температура
3366,24538,2021-07-30,26.6,Макс. температура
3366,24538,2021-08-01,23.6,Макс. температура
3366,24538,2021-08-30,6.4,Мин. температура
3366,24538,2021-10-29,-22.5,Мин. температура
3366,24538,2021-11-12,-10.5,Макс. температура
3366,24538,2021-11-23,-29.1,Макс. температура
3366,24538,2021-12-05,-32.6,Мин. температура
3366,24538,2022-01-15,-45.7,Мин. температура
3366,24538,2022-01-22,-36.9,Мин. температура
3366,24538,2022-02-18,-41.8,Мин. температура
3366,24538,2022-03-27,0.6,Макс. температура
3366,24538,2022-07-25,33.2,Макс. температура
3366,24538,2022-08-11,25.2,Макс. температура
3366,24538,2022-09-21,-2.0,Мин. температура
3366,24538,2022-10-02,0.0,Макс. температура
3366,24538,2022-10-16,3.6,Макс. температура
3366,24538,2022-11-24,-33.8,Макс. температура
3366,24538,2022-12-17,-44.5,Мин. температура
3366,24538,2022-12-20,-39.0,Мин. температура
3366,24538,2023-01-08,-38.2,Мин. температура
3366,24538,2023-03-04,-22.8,Мин. температура
3366,24538,2023-03-17,-19.6,Мин. температура
3366,24538,2023-04-07,-12.4,Мин. температура
3366,24538,2023-04-28,9.1,Макс. температура
3366,24538,2023-05-13,-2.1,Мин. температура
3366,24538,2023-06-26,25.2,Макс. температура
3366,24538,2023-06-26,19.3,Мин. температура
3366,24538,2023-07-06,10.7,Мин. температура
3366,24538,2023-09-05,3.5,Мин. температура
3366,24538,2023-09-17,3.0,Макс. температура
3366,24538,2023-09-17,1.8,Мин. температура
3366,24538,2023-09-24,13.2,Макс. температура
3366,24538,2024-01-12,-44.0,Мин. температура
3366,24538,2024-01-16,-18.9,Макс. температура
3366,24538,2024-02-22,-37.9,Мин. температура
3366,24538,2024-03-01,-14.9,Макс. температура
3366,24538,2024-03-03,-30.5,Мин. температура
3366,24538,2024-05-08,6.5,Макс. температура
3366,24538,2024-05-13,0.4,Мин. температура
3366,24538,2024-05-24,0.2,Мин. температура
3366,24538,2024-06-17,4.0,Мин. температура
3366,24538,2024-08-06,12.4,Мин. температура
3366,24538,2024-08-21,11.2,Мин. температура
3366,24538,2024-09-26,8.6,Макс. температура
3366,24538,2024-11-30,-23.0,Макс. температура
3366,24538,2024-12-07,-14.4,Мин. температура
3366,24538,2019-09-30,1.2,Макс. температура
3366,24538,2019-10-17,5.8,Макс. температура
3366,24538,2019-12-17,-39.6,Мин. температура
3366,24538,2020-02-02,-42.9,Мин. температура
3366,24538,2020-05-12,1.6,Макс. температура
3366,24538,2020-06-05,6.5,Мин. температура
3366,24538,2020-07-02,19.8,Мин. температура
3366,24538,2020-07-07,7.6,Мин. температура
3366,24538,2020-07-19,8.2,Мин. температура
