gidro_num,identifier,dt,temp,temptype
3270,31041,2019-11-10,-22.7,Макс. температура
3270,31041,2019-11-30,-19.6,Макс. температура
3270,31041,2019-12-10,-37.1,Макс. температура
3270,31041,2020-02-04,-34.2,Мин. температура
3270,31041,2020-02-12,-20.9,Мин. температура
3270,31041,2020-02-21,-22.5,Макс. температура
3270,31041,2020-05-06,-5.4,Мин. температура
3270,31041,2020-08-04,7.3,Мин. температура
3270,31041,2020-08-11,13.2,Мин. температура
3270,31041,2020-08-28,19.8,Макс. температура
3270,31041,2020-09-01,21.5,Макс. температура
3270,31041,2020-09-29,6.2,Макс. температура
3270,31041,2020-10-04,-7.8,Мин. температура
3270,31041,2020-10-08,-6.9,Мин. температура
3270,31041,2021-01-03,-35.4,Мин. температура
3270,31041,2021-01-06,-31.9,Макс. температура
3270,31041,2021-01-15,-51.7,Мин. температура
3270,31041,2021-01-16,-45.7,Макс. температура
3270,31041,2021-01-31,-36.3,Макс. температура
3270,31041,2021-02-13,-22.1,Мин. температура
3270,31041,2021-03-09,-7.4,Макс. температура
3270,31041,2021-04-01,-17.6,Мин. температура
3270,31041,2021-04-02,3.5,Макс. температура
3270,31041,2021-04-02,-11.0,Мин. температура
3270,31041,2021-05-10,-1.8,Мин. температура
3270,31041,2021-07-11,13.4,Мин. температура
3270,31041,2021-08-17,27.3,Макс. температура
3270,31041,2021-08-24,27.4,Макс. температура
3270,31041,2021-09-07,20.6,Макс. температура
3270,31041,2021-10-13,-1.5,Макс. температура
3270,31041,2021-12-10,-19.0,Макс. температура
3270,31041,2021-12-27,-46.7,Мин. температура
3270,31041,2022-01-04,-36.2,Макс. температура
3270,31041,2022-01-20,-33.8,Макс. температура
3270,31041,2022-01-28,-35.6,Макс. температура
3270,31041,2022-02-04,-30.1,Мин. температура
3270,31041,2022-02-12,-25.7,Макс. температура
3270,31041,2022-03-21,-7.1,Макс. температура
3270,31041,2022-04-01,-3.5,Макс. температура
3270,31041,2022-04-10,-17.4,Мин. температура
3270,31041,2022-04-28,-7.0,Мин. температура
3270,31041,2022-05-05,2.5,Мин. температура
3270,31041,2022-05-19,14.0,Макс. температура
3270,31041,2022-06-01,20.0,Макс. температура
3270,31041,2022-07-01,25.2,Макс. температура
3270,31041,2022-07-10,30.4,Макс. температура
3270,31041,2022-08-15,8.9,Мин. температура
3270,31041,2022-10-04,-1.2,Макс. температура
3270,31041,2022-12-11,-35.7,Мин. температура
3270,31041,2023-01-20,-43.6,Макс. температура
3270,31041,2023-01-27,-40.1,Макс. температура
3270,31041,2023-01-28,-34.7,Макс. температура
3270,31041,2023-05-28,15.8,Макс. температура
3270,31041,2023-06-18,25.4,Макс. температура
3270,31041,2023-06-20,23.8,Макс. температура
3270,31041,2023-07-20,13.4,Мин. температура
3270,31041,2023-08-03,19.4,Макс. температура
3270,31041,2023-09-02,5.2,Мин. температура
3270,31041,2023-09-09,-0.4,Мин. температура
3270,31041,2023-11-23,-31.5,Мин. температура
3270,31041,2023-12-08,-38.7,Мин. температура
3270,31041,2023-12-14,-39.2,Мин. температура
3270,31041,2024-02-20,-40.5,Мин. температура
3270,31041,2024-04-27,-4.8,Мин. температура
3270,31041,2024-05-28,21.3,Макс. температура
3270,31041,2024-07-10,22.2,Макс. температура
3270,31041,2024-07-12,15.3,Мин. температура
3270,31041,2024-08-04,24.3,Макс. температура
3270,31041,2024-08-12,8.3,Мин. температура
3270,31041,2024-08-13,29.5,Макс. температура
3270,31041,2024-10-23,-5.4,Макс. температура
3270,31041,2024-12-01,-20.3,Мин. температура
3270,31041,2019-10-10,-2.9,Мин. температура
3270,31041,2019-11-30,-29.8,Мин. температура
3270,31041,2019-12-11,-39.7,Мин. температура
3270,31041,2020-04-23,-10.8,Мин. температура
3270,31041,2020-06-19,27.4,Макс. температура
3270,31041,2020-06-22,7.4,Мин. температура
3270,31041,2020-07-04,12.7,Мин. температура
3270,31041,2020-07-27,26.3,Макс. температура
3270,31041,2020-08-16,17.6,Макс. температура
3270,31041,2020-10-03,5.0,Макс. температура
3270,31041,2020-11-16,-13.3,Мин. температура
3270,31041,2021-02-22,-33.6,Мин. температура
3270,31041,2021-03-04,-24.5,Макс. температура
3270,31041,2021-03-25,-9.4,Макс. температура
3270,31041,2021-04-11,-8.4,Мин. температура
3270,31041,2021-04-20,-7.5,Мин. температура
3270,31041,2021-06-06,28.5,Макс. температура
3270,31041,2021-09-16,4.2,Мин. температура
3270,31041,2021-10-12,3.4,Макс. температура
3270,31041,2021-10-17,-8.9,Мин. температура
3270,31041,2021-11-06,-13.4,Макс. температура
3270,31041,2021-11-11,-9.5,Мин. температура
3270,31041,2021-11-13,-15.7,Мин. температура
3270,31041,2021-11-20,-26.6,Мин. температура
3270,31041,2022-01-07,-48.2,Мин. температура
3270,31041,2022-01-16,-31.5,Мин. температура
3270,31041,2022-01-31,-21.0,Макс. температура
3270,31041,2022-02-18,-23.3,Макс. температура
3270,31041,2022-04-27,-8.0,Мин. температура
3270,31041,2022-06-27,11.3,Мин. температура
3270,31041,2022-07-14,17.8,Мин. температура
3270,31041,2022-08-23,9.1,Мин. температура
3270,31041,2022-11-03,-16.2,Мин. температура
3270,31041,2022-11-25,-31.8,Макс. температура
3270,31041,2022-12-22,-23.4,Макс. температура
3270,31041,2023-01-15,-52.8,Мин. температура
3270,31041,2023-02-03,-37.1,Мин. температура
3270,31041,2023-02-28,-29.4,Мин. температура
3270,31041,2023-03-06,-23.5,Мин. температура
3270,31041,2023-04-18,2.0,Макс. температура
3270,31041,2023-05-05,-1.8,Мин. температура
3270,31041,2023-05-14,-1.2,Мин. температура
3270,31041,2023-06-09,10.1,Мин. температура
3270,31041,2023-08-25,6.3,Мин. температура
3270,31041,2023-10-20,-8.9,Мин. температура
3270,31041,2023-11-01,-11.9,Макс. температура
3270,31041,2023-11-11,-21.4,Мин. температура
3270,31041,2023-12-01,-13.1,Макс. температура
3270,31041,2023-12-05,-40.2,Макс. температура
3270,31041,2023-12-13,-30.9,Мин. температура
3270,31041,2023-12-20,-43.4,Мин. температура
3270,31041,2024-01-06,-41.3,Макс. температура
3270,31041,2024-02-04,-21.5,Макс. температура
3270,31041,2024-03-05,-13.9,Макс. температура
3270,31041,2024-03-31,-14.1,Мин. температура
3270,31041,2024-04-03,1.5,Макс. температура
3270,31041,2024-05-09,0.8,Мин. температура
3270,31041,2024-06-06,-2.4,Мин. температура
3270,31041,2024-08-05,14.5,Мин. температура
3270,31041,2019-10-14,-3.4,Макс. температура
3270,31041,2019-11-12,-39.6,Мин. температура
3270,31041,2019-11-15,-22.5,Макс. температура
3270,31041,2019-11-17,-20.3,Макс. температура
3270,31041,2019-12-10,-43.3,Мин. температура
3270,31041,2019-12-17,-36.6,Мин. температура
3270,31041,2020-01-24,-31.1,Макс. температура
3270,31041,2020-01-28,-29.6,Мин. температура
3270,31041,2020-02-07,-33.6,Макс. температура
3270,31041,2020-02-29,-14.4,Макс. температура
3270,31041,2020-03-01,-10.4,Макс. температура
3270,31041,2020-05-17,22.2,Макс. температура
3270,31041,2020-06-06,15.7,Макс. температура
3270,31041,2020-07-19,29.3,Макс. температура
3270,31041,2020-08-01,12.5,Мин. температура
3270,31041,2020-08-05,24.3,Макс. температура
3270,31041,2020-08-14,15.3,Макс. температура
3270,31041,2020-09-02,6.8,Мин. температура
3270,31041,2020-09-10,18.0,Макс. температура
3270,31041,2020-09-28,13.0,Макс. температура
3270,31041,2020-10-08,10.9,Макс. температура
3270,31041,2020-12-28,-43.1,Мин. температура
3270,31041,2021-01-25,-46.2,Мин. температура
3270,31041,2021-03-26,-32.6,Мин. температура
3270,31041,2021-07-18,22.8,Макс. температура
3270,31041,2021-08-14,10.5,Мин. температура
3270,31041,2021-08-29,4.0,Мин. температура
3270,31041,2021-09-18,5.7,Макс. температура
3270,31041,2021-09-19,4.4,Макс. температура
3270,31041,2021-10-01,0.0,Мин. температура
3270,31041,2021-10-27,1.7,Макс. температура
3270,31041,2021-10-28,1.7,Макс. температура
3270,31041,2021-11-01,-4.0,Макс. температура
3270,31041,2021-11-10,-6.7,Макс. температура
3270,31041,2021-11-14,-16.1,Макс. температура
3270,31041,2021-11-19,-16.3,Макс. температура
3270,31041,2021-12-05,-18.2,Макс. температура
3270,31041,2021-12-23,-46.0,Мин. температура
3270,31041,2022-01-17,-27.8,Макс. температура
3270,31041,2022-01-24,-20.3,Мин. температура
3270,31041,2022-02-03,-36.3,Мин. температура
3270,31041,2022-02-19,-35.1,Мин. температура
3270,31041,2022-03-08,-28.8,Мин. температура
3270,31041,2022-03-11,-31.5,Мин. температура
3270,31041,2022-05-04,-3.2,Мин. температура
3270,31041,2022-08-28,0.6,Мин. температура
3270,31041,2022-09-06,4.8,Мин. температура
3270,31041,2022-09-15,2.4,Мин. температура
3270,31041,2022-12-17,-37.5,Макс. температура
3270,31041,2022-12-31,-29.6,Макс. температура
3270,31041,2023-01-16,-43.5,Макс. температура
3270,31041,2023-01-29,-40.1,Макс. температура
3270,31041,2023-03-01,-14.4,Макс. температура
3270,31041,2023-03-21,-19.5,Мин. температура
3270,31041,2023-04-13,-7.3,Мин. температура
3270,31041,2023-05-03,12.2,Макс. температура
3270,31041,2023-05-03,0.8,Мин. температура
3270,31041,2023-07-14,14.0,Мин. температура
3270,31041,2023-07-19,18.0,Мин. температура
3270,31041,2023-07-25,30.9,Макс. температура
3270,31041,2023-07-30,27.5,Макс. температура
3270,31041,2023-09-08,6.4,Макс. температура
3270,31041,2023-09-23,-1.0,Мин. температура
3270,31041,2023-09-27,-4.5,Мин. температура
3270,31041,2023-11-15,-12.9,Макс. температура
3270,31041,2024-02-01,-36.7,Мин. температура
3270,31041,2024-04-29,-6.4,Мин. температура
3270,31041,2024-05-07,17.8,Макс. температура
3270,31041,2024-05-10,5.7,Макс. температура
3270,31041,2024-06-01,28.0,Макс. температура
3270,31041,2024-07-04,17.0,Мин. температура
3270,31041,2024-08-11,27.0,Макс. температура
3270,31041,2024-08-28,19.6,Макс. температура
3270,31041,2024-09-26,-1.7,Мин. температура
3270,31041,2024-11-07,-12.5,Макс. температура
3270,31041,2024-11-15,-25.0,Мин. температура
3270,31041,2024-12-19,-27.2,Мин. температура
3270,31041,2019-11-04,-14.0,Мин. температура
3270,31041,2019-11-06,-12.4,Макс. температура
3270,31041,2019-12-08,-43.1,Мин. температура
3270,31041,2019-12-28,-48.4,Мин. температура
3270,31041,2020-01-02,-34.6,Макс. температура
3270,31041,2020-01-15,-21.9,Макс. температура
3270,31041,2020-02-02,-24.7,Макс. температура
3270,31041,2020-03-17,-25.0,Мин. температура
3270,31041,2020-04-13,5.7,Макс. температура
3270,31041,2020-05-01,-5.8,Мин. температура
3270,31041,2020-07-03,15.0,Мин. температура
3270,31041,2020-08-10,26.8,Макс. температура
3270,31041,2020-08-26,4.8,Мин. температура
3270,31041,2020-09-10,0.4,Мин. температура
3270,31041,2020-11-14,-4.4,Макс. температура
3270,31041,2020-11-25,-18.8,Макс. температура
3270,31041,2020-12-09,-38.6,Мин. температура
3270,31041,2020-12-17,-46.8,Мин. температура
3270,31041,2021-01-04,-44.6,Мин. температура
3270,31041,2021-03-15,-1.0,Макс. температура
3270,31041,2021-03-24,-24.0,Мин. температура
3270,31041,2021-03-28,-6.7,Мин. температура
3270,31041,2021-04-13,-19.6,Мин. температура
3270,31041,2021-04-16,6.2,Макс. температура
3270,31041,2021-04-17,7.2,Макс. температура
3270,31041,2021-04-24,-2.6,Мин. температура
3270,31041,2021-05-21,9.9,Макс. температура
3270,31041,2021-05-31,22.6,Макс. температура
3270,31041,2021-07-07,10.1,Мин. температура
3270,31041,2021-07-27,28.9,Макс. температура
3270,31041,2021-08-07,9.3,Мин. температура
3270,31041,2021-08-17,13.6,Мин. температура
3270,31041,2021-09-26,-4.0,Мин. температура
3270,31041,2021-11-26,-18.0,Макс. температура
3270,31041,2022-02-24,-22.2,Мин. температура
3270,31041,2022-03-20,-7.4,Макс. температура
3270,31041,2022-04-08,-16.7,Мин. температура
3270,31041,2022-05-20,5.0,Мин. температура
3270,31041,2022-07-01,17.6,Мин. температура
3270,31041,2022-07-29,13.1,Мин. температура
3270,31041,2022-12-01,-27.5,Макс. температура
3270,31041,2022-12-03,-32.3,Макс. температура
3270,31041,2022-12-27,-34.5,Мин. температура
3270,31041,2023-01-24,-45.7,Мин. температура
3270,31041,2023-02-13,-35.3,Мин. температура
3270,31041,2023-03-20,-27.1,Мин. температура
3270,31041,2023-03-23,-14.4,Макс. температура
3270,31041,2023-05-20,4.2,Мин. температура
3270,31041,2023-05-29,4.4,Мин. температура
3270,31041,2023-06-18,3.8,Мин. температура
3270,31041,2023-07-03,34.9,Макс. температура
3270,31041,2023-07-05,17.5,Мин. температура
3270,31041,2023-07-07,29.2,Макс. температура
3270,31041,2023-07-18,33.1,Макс. температура
3270,31041,2023-08-05,27.7,Макс. температура
3270,31041,2023-09-26,-3.6,Мин. температура
3270,31041,2023-10-03,11.1,Макс. температура
3270,31041,2023-12-22,-33.8,Макс. температура
3270,31041,2023-12-22,-40.5,Мин. температура
3270,31041,2023-12-27,-36.5,Мин. температура
3270,31041,2023-12-28,-42.1,Мин. температура
3270,31041,2023-12-31,-49.6,Мин. температура
3270,31041,2024-02-02,-37.7,Мин. температура
3270,31041,2024-02-03,-33.6,Мин. температура
3270,31041,2024-02-17,-38.3,Мин. температура
3270,31041,2024-03-10,-8.7,Макс. температура
3270,31041,2024-03-29,-6.9,Макс. температура
3270,31041,2024-04-04,3.3,Макс. температура
3270,31041,2024-07-27,15.0,Мин. температура
3270,31041,2024-08-29,11.9,Макс. температура
3270,31041,2024-09-13,8.5,Макс. температура
3270,31041,2024-09-29,-2.8,Мин. температура
3270,31041,2024-10-10,9.7,Макс. температура
3270,31041,2024-11-05,-17.8,Макс. температура
3270,31041,2024-11-14,-15.9,Макс. температура
3270,31041,2024-12-09,-33.5,Мин. температура
3270,31041,2024-12-10,-36.7,Мин. температура
3270,31041,2019-11-28,-29.5,Мин. температура
3270,31041,2019-12-17,-16.9,Макс. температура
3270,31041,2020-02-03,-24.2,Макс. температура
3270,31041,2020-02-22,-10.9,Макс. температура
3270,31041,2020-04-01,-13.2,Мин. температура
3270,31041,2020-04-02,-16.3,Мин. температура
3270,31041,2020-05-10,-0.6,Мин. температура
3270,31041,2020-05-28,29.9,Макс. температура
3270,31041,2020-05-30,0.3,Мин. температура
3270,31041,2020-06-02,1.4,Мин. температура
3270,31041,2020-06-08,21.2,Макс. температура
3270,31041,2020-06-13,7.0,Мин. температура
3270,31041,2020-06-17,26.5,Макс. температура
3270,31041,2020-06-27,27.5,Макс. температура
3270,31041,2020-08-09,26.3,Макс. температура
3270,31041,2020-08-14,1.8,Мин. температура
3270,31041,2020-08-15,19.4,Макс. температура
3270,31041,2020-10-23,-19.4,Мин. температура
3270,31041,2020-11-25,-21.3,Мин. температура
3270,31041,2021-01-03,-30.6,Макс. температура
3270,31041,2021-01-05,-42.6,Мин. температура
3270,31041,2021-01-07,-34.9,Мин. температура
3270,31041,2021-01-17,-49.7,Мин. температура
3270,31041,2021-02-16,-36.6,Мин. температура
3270,31041,2021-02-18,-40.1,Мин. температура
3270,31041,2021-02-25,-38.4,Мин. температура
3270,31041,2021-05-11,-2.0,Мин. температура
3270,31041,2021-05-20,12.2,Макс. температура
3270,31041,2021-07-18,11.5,Мин. температура
3270,31041,2021-08-15,11.4,Мин. температура
3270,31041,2021-12-12,-38.6,Мин. температура
3270,31041,2022-03-12,-30.4,Мин. температура
3270,31041,2022-03-22,-26.0,Мин. температура
3270,31041,2022-05-13,2.4,Мин. температура
3270,31041,2022-06-10,12.5,Мин. температура
3270,31041,2022-07-28,32.1,Макс. температура
3270,31041,2022-07-30,15.5,Мин. температура
3270,31041,2022-08-11,13.5,Мин. температура
3270,31041,2022-08-24,9.5,Мин. температура
3270,31041,2022-08-25,10.6,Макс. температура
3270,31041,2022-09-21,8.5,Макс. температура
3270,31041,2022-11-09,-32.5,Мин. температура
3270,31041,2022-11-11,-18.0,Мин. температура
3270,31041,2022-11-15,-33.7,Мин. температура
3270,31041,2022-12-14,-48.2,Мин. температура
3270,31041,2022-12-16,-33.8,Макс. температура
3270,31041,2023-01-07,-46.0,Мин. температура
3270,31041,2023-01-14,-44.1,Макс. температура
