gidro_num,identifier,dt,temp,temptype
3383,24525,2019-09-30,1.0,Макс. температура
3383,24525,2019-11-19,-18.7,Мин. температура
3383,24525,2020-01-06,-37.1,Мин. температура
3383,24525,2020-01-11,-14.0,Макс. температура
3383,24525,2020-01-17,-33.2,Макс. температура
3383,24525,2020-03-15,0.6,Макс. температура
3383,24525,2020-04-11,3.5,Макс. температура
3383,24525,2020-04-15,5.6,Макс. температура
3383,24525,2020-06-27,27.4,Макс. температура
3383,24525,2020-07-01,29.5,Макс. температура
3383,24525,2020-07-22,21.4,Макс. температура
3383,24525,2020-10-04,0.3,Мин. температура
3383,24525,2020-12-04,-10.6,Макс. температура
3383,24525,2020-12-08,-43.7,Мин. температура
3383,24525,2020-12-10,-46.4,Макс. температура
3383,24525,2021-01-06,-31.2,Мин. температура
3383,24525,2021-01-29,-44.2,Макс. температура
3383,24525,2021-02-21,-47.9,Мин. температура
3383,24525,2021-04-08,-6.1,Мин. температура
3383,24525,2021-04-11,-31.4,Мин. температура
3383,24525,2021-04-29,-16.5,Мин. температура
3383,24525,2021-07-11,25.9,Макс. температура
3383,24525,2021-07-18,9.0,Мин. температура
3383,24525,2021-08-10,8.2,Мин. температура
3383,24525,2021-10-04,3.4,Макс. температура
3383,24525,2021-12-08,-42.6,Макс. температура
3383,24525,2022-01-14,-42.9,Макс. температура
3383,24525,2022-01-14,-47.5,Мин. температура
3383,24525,2022-03-25,-33.0,Мин. температура
3383,24525,2022-04-19,-4.8,Макс. температура
3383,24525,2022-05-04,0.0,Мин. температура
3383,24525,2022-05-11,15.6,Макс. температура
3383,24525,2022-06-01,-2.2,Мин. температура
3383,24525,2022-06-17,25.9,Макс. температура
3383,24525,2022-06-18,7.9,Мин. температура
3383,24525,2022-07-22,24.0,Макс. температура
3383,24525,2022-08-02,15.2,Макс. температура
3383,24525,2022-09-21,-1.2,Мин. температура
3383,24525,2022-09-29,-3.8,Мин. температура
3383,24525,2022-11-03,-16.4,Мин. температура
3383,24525,2022-11-09,-22.9,Мин. температура
3383,24525,2022-11-25,-43.7,Мин. температура
3383,24525,2022-12-17,-47.5,Мин. температура
3383,24525,2023-03-17,-0.3,Макс. температура
3383,24525,2023-05-11,-8.1,Мин. температура
3383,24525,2023-06-07,16.6,Макс. температура
3383,24525,2023-06-11,19.9,Макс. температура
3383,24525,2023-07-10,9.8,Мин. температура
3383,24525,2023-07-23,32.3,Макс. температура
3383,24525,2023-08-01,24.5,Макс. температура
3383,24525,2023-08-22,17.8,Макс. температура
3383,24525,2023-08-23,-5.8,Мин. температура
3383,24525,2023-10-05,-5.1,Мин. температура
3383,24525,2023-10-30,-12.4,Макс. температура
3383,24525,2023-12-03,-45.7,Макс. температура
3383,24525,2023-12-19,-44.4,Мин. температура
3383,24525,2023-12-27,-44.3,Макс. температура
3383,24525,2024-01-01,-38.8,Мин. температура
3383,24525,2024-01-31,-33.1,Макс. температура
3383,24525,2024-02-25,-23.2,Макс. температура
3383,24525,2024-03-22,-33.7,Мин. температура
3383,24525,2024-03-25,-10.9,Макс. температура
3383,24525,2024-04-06,-10.4,Макс. температура
3383,24525,2024-05-23,-1.5,Мин. температура
3383,24525,2024-06-15,6.2,Мин. температура
3383,24525,2024-07-13,10.3,Мин. температура
3383,24525,2024-07-16,27.5,Макс. температура
3383,24525,2024-07-22,14.5,Мин. температура
3383,24525,2024-08-07,23.1,Макс. температура
3383,24525,2024-11-30,-44.7,Мин. температура
3383,24525,2019-10-05,-9.0,Мин. температура
3383,24525,2019-10-25,-6.2,Макс. температура
3383,24525,2019-11-25,-39.8,Макс. температура
3383,24525,2019-12-14,-27.8,Мин. температура
3383,24525,2020-02-11,-25.4,Макс. температура
3383,24525,2020-03-10,-24.3,Макс. температура
3383,24525,2020-03-12,-12.3,Макс. температура
3383,24525,2020-04-09,13.1,Макс. температура
3383,24525,2020-04-30,3.9,Макс. температура
3383,24525,2020-05-24,29.6,Макс. температура
3383,24525,2020-08-04,2.4,Мин. температура
3383,24525,2020-08-07,28.3,Макс. температура
3383,24525,2020-08-20,-1.4,Мин. температура
3383,24525,2020-09-10,9.3,Макс. температура
3383,24525,2020-11-12,-10.3,Мин. температура
3383,24525,2021-03-02,-54.9,Мин. температура
3383,24525,2021-04-15,2.3,Макс. температура
3383,24525,2021-05-28,1.1,Мин. температура
3383,24525,2021-06-07,12.1,Макс. температура
3383,24525,2021-07-03,24.7,Макс. температура
3383,24525,2021-08-20,23.1,Макс. температура
3383,24525,2021-10-19,1.4,Мин. температура
3383,24525,2021-10-22,-6.4,Мин. температура
3383,24525,2021-11-18,-32.6,Макс. температура
3383,24525,2021-12-31,-42.6,Макс. температура
3383,24525,2022-03-02,-37.0,Мин. температура
3383,24525,2022-03-10,-13.0,Макс. температура
3383,24525,2022-03-16,-42.9,Мин. температура
3383,24525,2022-03-27,-1.0,Макс. температура
3383,24525,2022-03-27,-23.4,Мин. температура
3383,24525,2022-04-18,-3.9,Мин. температура
3383,24525,2022-04-25,-9.0,Мин. температура
3383,24525,2022-05-02,-16.1,Мин. температура
3383,24525,2022-05-20,13.0,Макс. температура
3383,24525,2022-07-12,19.0,Макс. температура
3383,24525,2022-08-15,10.1,Мин. температура
3383,24525,2022-09-08,12.7,Макс. температура
3383,24525,2022-09-10,6.5,Макс. температура
3383,24525,2022-10-05,-1.4,Мин. температура
3383,24525,2022-10-07,0.4,Макс. температура
3383,24525,2023-03-24,-1.3,Макс. температура
3383,24525,2023-04-11,-6.6,Макс. температура
3383,24525,2023-05-06,4.8,Макс. температура
3383,24525,2023-05-18,6.7,Макс. температура
3383,24525,2023-05-26,10.7,Макс. температура
3383,24525,2023-06-09,0.2,Мин. температура
3383,24525,2023-06-25,4.3,Мин. температура
3383,24525,2023-07-24,30.7,Макс. температура
3383,24525,2023-07-29,27.1,Макс. температура
3383,24525,2023-08-26,26.7,Макс. температура
3383,24525,2023-09-09,7.1,Макс. температура
3383,24525,2023-09-09,-6.7,Мин. температура
3383,24525,2023-09-17,5.9,Макс. температура
3383,24525,2023-11-19,-18.6,Мин. температура
3383,24525,2024-01-31,-40.7,Мин. температура
