gidro_num,identifier,dt,temp,temptype
3155,24928,2019-10-07,0.0,Мин. температура
3155,24928,2019-11-13,-27.3,Макс. температура
3155,24928,2019-12-09,-17.7,Мин. температура
3155,24928,2020-01-05,-12.5,Мин. температура
3155,24928,2020-01-16,-10.7,Макс. температура
3155,24928,2020-01-22,-15.0,Макс. температура
3155,24928,2020-01-25,-31.6,Мин. температура
3155,24928,2020-02-19,-11.4,Макс. температура
3155,24928,2020-04-04,-4.7,Мин. температура
3155,24928,2020-04-18,-6.8,Мин. температура
3155,24928,2020-04-21,8.8,Макс. температура
3155,24928,2020-07-25,12.5,Мин. температура
3155,24928,2020-08-27,-3.6,Мин. температура
3155,24928,2020-10-01,2.6,Макс. температура
3155,24928,2020-12-13,-42.2,Макс. температура
3155,24928,2021-02-19,-34.8,Мин. температура
3155,24928,2021-03-07,-12.9,Мин. температура
3155,24928,2021-03-15,-26.3,Мин. температура
3155,24928,2021-03-21,-5.4,Макс. температура
3155,24928,2021-03-23,-6.7,Макс. температура
3155,24928,2021-04-14,-3.8,Мин. температура
3155,24928,2021-06-09,-2.4,Мин. температура
3155,24928,2021-08-01,23.9,Макс. температура
3155,24928,2021-08-17,20.7,Макс. температура
3155,24928,2021-08-19,5.8,Мин. температура
3155,24928,2021-08-28,22.8,Макс. температура
3155,24928,2021-09-04,-2.6,Мин. температура
3155,24928,2021-09-26,0.4,Мин. температура
3155,24928,2021-10-14,-13.5,Мин. температура
3155,24928,2021-10-18,0.8,Макс. температура
3155,24928,2021-11-03,-1.5,Макс. температура
3155,24928,2021-11-19,-23.8,Макс. температура
3155,24928,2022-01-12,-35.2,Мин. температура
3155,24928,2022-01-20,-33.6,Мин. температура
3155,24928,2022-02-10,-36.5,Мин. температура
3155,24928,2022-02-24,-16.2,Мин. температура
3155,24928,2022-05-15,20.3,Макс. температура
3155,24928,2022-07-01,12.4,Мин. температура
3155,24928,2022-07-06,22.6,Макс. температура
3155,24928,2022-07-13,17.0,Макс. температура
3155,24928,2022-07-15,13.6,Мин. температура
3155,24928,2022-07-26,13.6,Мин. температура
3155,24928,2022-09-13,7.4,Мин. температура
3155,24928,2022-10-07,-2.8,Мин. температура
3155,24928,2022-11-03,-2.0,Макс. температура
3155,24928,2022-11-25,-30.8,Макс. температура
3155,24928,2022-11-30,-20.8,Макс. температура
3155,24928,2022-12-04,-15.9,Макс. температура
3155,24928,2023-01-13,-34.3,Мин. температура
3155,24928,2023-01-18,-42.0,Макс. температура
3155,24928,2023-03-13,-9.0,Мин. температура
3155,24928,2023-03-16,-8.6,Мин. температура
3155,24928,2023-04-03,-25.5,Мин. температура
3155,24928,2023-05-13,-0.8,Мин. температура
3155,24928,2023-06-01,7.2,Мин. температура
3155,24928,2023-07-07,25.5,Макс. температура
3155,24928,2023-07-08,7.4,Мин. температура
3155,24928,2023-10-17,-1.1,Мин. температура
3155,24928,2024-01-12,-23.6,Макс. температура
3155,24928,2024-02-08,-36.8,Мин. температура
3155,24928,2024-02-18,-29.3,Макс. температура
3155,24928,2024-03-03,-23.5,Мин. температура
3155,24928,2024-03-09,-6.2,Макс. температура
3155,24928,2024-03-17,-5.4,Макс. температура
3155,24928,2024-04-09,-1.3,Макс. температура
3155,24928,2024-04-19,10.3,Макс. температура
3155,24928,2024-04-21,7.8,Макс. температура
3155,24928,2024-04-28,6.1,Макс. температура
3155,24928,2024-05-10,-2.2,Мин. температура
3155,24928,2024-05-30,3.4,Мин. температура
3155,24928,2024-06-15,19.0,Макс. температура
3155,24928,2024-06-20,6.4,Мин. температура
3155,24928,2024-09-13,6.9,Макс. температура
3155,24928,2024-09-19,1.0,Мин. температура
3155,24928,2024-12-10,-14.2,Макс. температура
3155,24928,2019-10-19,4.2,Макс. температура
3155,24928,2019-12-10,-20.7,Мин. температура
3155,24928,2019-12-19,-32.7,Мин. температура
3155,24928,2019-12-26,-22.6,Макс. температура
3155,24928,2020-01-23,-32.7,Мин. температура
3155,24928,2020-02-05,-37.7,Мин. температура
3155,24928,2020-02-07,-18.2,Мин. температура
3155,24928,2020-02-17,-9.5,Макс. температура
3155,24928,2020-06-21,27.2,Макс. температура
3155,24928,2020-08-15,15.6,Макс. температура
3155,24928,2020-11-05,-6.2,Макс. температура
3155,24928,2020-11-14,-8.4,Мин. температура
3155,24928,2020-11-28,-26.0,Мин. температура
3155,24928,2021-01-02,-36.4,Мин. температура
3155,24928,2021-01-16,-30.6,Макс. температура
3155,24928,2021-02-25,-19.5,Макс. температура
3155,24928,2021-03-12,-9.2,Мин. температура
3155,24928,2021-04-05,-14.7,Мин. температура
3155,24928,2021-04-06,0.4,Макс. температура
3155,24928,2021-04-13,-20.7,Мин. температура
3155,24928,2021-04-26,-1.0,Мин. температура
3155,24928,2021-05-17,-4.2,Мин. температура
3155,24928,2021-05-24,-4.8,Мин. температура
3155,24928,2021-07-01,12.1,Мин. температура
3155,24928,2021-07-10,20.8,Макс. температура
