gidro_num,identifier,dt,temp,temptype
3168,30089,2019-10-09,0.5,Макс. температура
3168,30089,2019-11-07,-34.3,Мин. температура
3168,30089,2019-11-11,-8.1,Макс. температура
3168,30089,2019-11-30,-28.7,Мин. температура
3168,30089,2019-12-17,-19.8,Макс. температура
3168,30089,2020-01-17,-24.7,Мин. температура
3168,30089,2020-01-19,-39.4,Мин. температура
3168,30089,2020-01-23,-33.1,Мин. температура
3168,30089,2020-03-03,-8.8,Макс. температура
3168,30089,2020-04-16,5.7,Макс. температура
3168,30089,2020-06-29,10.0,Мин. температура
3168,30089,2020-09-15,16.3,Макс. температура
3168,30089,2020-09-24,14.9,Макс. температура
3168,30089,2020-11-10,-4.8,Макс. температура
3168,30089,2020-12-10,-36.9,Мин. температура
3168,30089,2021-01-30,-39.2,Макс. температура
3168,30089,2021-02-12,-17.9,Макс. температура
3168,30089,2021-02-13,-16.4,Макс. температура
3168,30089,2021-03-06,-42.1,Мин. температура
3168,30089,2021-04-01,-9.6,Мин. температура
3168,30089,2021-04-11,-4.4,Макс. температура
3168,30089,2021-04-17,0.1,Мин. температура
3168,30089,2021-07-27,21.9,Макс. температура
3168,30089,2021-08-17,11.9,Мин. температура
3168,30089,2021-09-05,6.9,Мин. температура
3168,30089,2021-10-23,11.3,Макс. температура
3168,30089,2021-12-12,-34.1,Макс. температура
3168,30089,2021-12-19,-36.6,Макс. температура
3168,30089,2022-01-17,-39.1,Макс. температура
3168,30089,2022-02-18,-38.3,Мин. температура
3168,30089,2022-02-25,-18.4,Мин. температура
3168,30089,2022-04-13,-18.7,Мин. температура
3168,30089,2022-05-28,10.6,Макс. температура
3168,30089,2022-06-09,10.5,Мин. температура
3168,30089,2022-07-18,18.5,Мин. температура
3168,30089,2022-07-28,32.6,Макс. температура
3168,30089,2022-09-06,7.2,Мин. температура
3168,30089,2022-10-04,-1.3,Мин. температура
3168,30089,2022-10-12,-2.7,Мин. температура
3168,30089,2022-11-23,-24.6,Макс. температура
3168,30089,2023-01-06,-38.9,Мин. температура
3168,30089,2023-01-27,-39.7,Макс. температура
3168,30089,2023-02-15,-33.8,Мин. температура
3168,30089,2023-05-05,-3.9,Мин. температура
3168,30089,2023-05-14,13.0,Макс. температура
3168,30089,2023-05-28,1.6,Мин. температура
3168,30089,2023-08-26,0.1,Мин. температура
3168,30089,2023-09-11,13.1,Макс. температура
3168,30089,2023-10-01,13.5,Макс. температура
3168,30089,2023-10-12,18.1,Макс. температура
3168,30089,2023-11-15,-6.7,Мин. температура
3168,30089,2023-12-31,-44.8,Мин. температура
3168,30089,2024-01-17,-22.0,Макс. температура
3168,30089,2024-06-13,23.8,Макс. температура
3168,30089,2024-06-17,7.7,Мин. температура
3168,30089,2024-06-22,7.2,Мин. температура
3168,30089,2024-07-09,31.1,Макс. температура
3168,30089,2024-08-03,20.3,Макс. температура
3168,30089,2024-10-17,-0.4,Макс. температура
3168,30089,2024-10-20,-13.3,Мин. температура
3168,30089,2024-11-19,-16.9,Мин. температура
3168,30089,2024-12-09,-30.8,Мин. температура
3168,30089,2019-10-30,-13.4,Мин. температура
3168,30089,2020-01-12,-9.9,Мин. температура
3168,30089,2020-02-22,-11.8,Мин. температура
3168,30089,2020-05-16,4.7,Мин. температура
3168,30089,2020-07-17,15.7,Мин. температура
3168,30089,2020-08-06,5.8,Мин. температура
3168,30089,2020-08-23,1.9,Мин. температура
3168,30089,2020-11-01,-13.1,Макс. температура
3168,30089,2020-12-31,-25.3,Мин. температура
3168,30089,2021-02-04,-29.2,Макс. температура
3168,30089,2021-05-07,1.3,Мин. температура
3168,30089,2021-05-19,-4.2,Мин. температура
3168,30089,2021-06-21,11.4,Мин. температура
