gidro_num,identifier,dt,temp,temptype
3404,24219,2019-10-11,-11.2,Мин. температура
3404,24219,2019-10-16,-2.6,Мин. температура
3404,24219,2019-10-19,-5.5,Макс. температура
3404,24219,2019-10-28,-10.5,Макс. температура
3404,24219,2019-11-22,-32.1,Мин. температура
3404,24219,2019-12-15,-27.9,Макс. температура
3404,24219,2020-01-03,-36.3,Мин. температура
3404,24219,2020-01-15,-34.6,Мин. температура
3404,24219,2020-02-02,-42.0,Макс. температура
3404,24219,2020-03-05,-17.2,Мин. температура
3404,24219,2020-03-25,-11.1,Макс. температура
3404,24219,2020-03-31,-7.6,Макс. температура
3404,24219,2020-05-16,0.4,Мин. температура
3404,24219,2020-06-04,11.8,Мин. температура
3404,24219,2020-07-06,4.8,Мин. температура
3404,24219,2020-07-21,11.2,Мин. температура
3404,24219,2020-08-03,28.2,Макс. температура
3404,24219,2020-08-07,23.1,Макс. температура
3404,24219,2020-08-26,20.7,Макс. температура
3404,24219,2020-10-03,2.4,Макс. температура
3404,24219,2020-11-13,-19.7,Мин. температура
3404,24219,2020-11-17,-31.5,Мин. температура
3404,24219,2020-12-14,-36.1,Мин. температура
3404,24219,2020-12-16,-30.6,Мин. температура
3404,24219,2021-01-08,-11.1,Мин. температура
3404,24219,2021-01-29,-52.8,Мин. температура
3404,24219,2021-03-15,-29.9,Мин. температура
3404,24219,2021-04-16,-1.7,Макс. температура
3404,24219,2021-04-22,-1.5,Макс. температура
3404,24219,2021-05-21,5.9,Макс. температура
3404,24219,2021-05-24,17.0,Макс. температура
3404,24219,2021-06-22,12.6,Мин. температура
3404,24219,2021-06-23,12.6,Мин. температура
3404,24219,2021-07-29,14.4,Мин. температура
3404,24219,2021-08-10,15.3,Макс. температура
3404,24219,2021-08-12,6.6,Мин. температура
3404,24219,2021-08-31,-3.4,Мин. температура
3404,24219,2021-09-20,-1.8,Мин. температура
3404,24219,2021-10-17,-4.2,Макс. температура
3404,24219,2021-12-04,-20.5,Макс. температура
3404,24219,2022-03-27,-6.8,Макс. температура
3404,24219,2022-03-29,-20.7,Мин. температура
3404,24219,2022-06-06,14.3,Макс. температура
3404,24219,2022-06-09,20.4,Макс. температура
3404,24219,2022-07-04,15.5,Макс. температура
3404,24219,2022-07-10,10.1,Мин. температура
3404,24219,2022-08-22,2.0,Мин. температура
3404,24219,2022-09-09,3.6,Мин. температура
3404,24219,2022-10-30,-16.6,Мин. температура
3404,24219,2022-12-08,-45.5,Мин. температура
3404,24219,2023-02-01,-43.0,Макс. температура
3404,24219,2023-02-28,-15.0,Макс. температура
3404,24219,2023-03-10,-18.7,Макс. температура
3404,24219,2023-03-14,-9.4,Макс. температура
3404,24219,2023-04-05,-36.6,Мин. температура
3404,24219,2023-04-19,-0.6,Макс. температура
3404,24219,2023-05-11,1.8,Макс. температура
3404,24219,2023-06-14,,Мин. температура
3404,24219,2023-07-28,25.6,Макс. температура
3404,24219,2023-08-05,7.4,Мин. температура
3404,24219,2023-09-11,-2.0,Мин. температура
3404,24219,2023-09-23,10.4,Макс. температура
3404,24219,2023-10-06,0.6,Макс. температура
3404,24219,2023-11-04,-33.7,Мин. температура
3404,24219,2023-11-07,-15.0,Макс. температура
3404,24219,2023-11-10,-9.8,Мин. температура
3404,24219,2023-11-20,-28.6,Макс. температура
3404,24219,2023-11-20,-35.7,Мин. температура
3404,24219,2024-02-09,-32.5,Макс. температура
3404,24219,2024-03-12,-16.4,Макс. температура
3404,24219,2024-03-23,-16.3,Макс. температура
3404,24219,2024-05-18,-6.1,Мин. температура
3404,24219,2024-06-15,16.0,Макс. температура
3404,24219,2024-06-22,5.6,Мин. температура
3404,24219,2024-07-12,28.0,Макс. температура
3404,24219,2024-07-22,12.6,Мин. температура
3404,24219,2024-08-03,8.4,Мин. температура
3404,24219,2024-10-15,-11.8,Мин. температура
3404,24219,2024-10-19,-9.0,Макс. температура
3404,24219,2024-10-29,-18.0,Мин. температура
3404,24219,2024-11-11,-31.5,Мин. температура
3404,24219,2024-11-29,-20.4,Мин. температура
3404,24219,2019-10-30,-10.9,Макс. температура
3404,24219,2019-12-04,-36.4,Макс. температура
3404,24219,2020-01-26,-32.6,Мин. температура
3404,24219,2020-02-03,-43.0,Макс. температура
3404,24219,2020-02-11,-32.0,Мин. температура
3404,24219,2020-03-01,-16.4,Макс. температура
3404,24219,2020-03-18,-14.3,Макс. температура
3404,24219,2020-03-28,-18.9,Мин. температура
3404,24219,2020-06-08,6.2,Мин. температура
3404,24219,2020-06-14,3.2,Мин. температура
3404,24219,2020-07-22,11.6,Макс. температура
3404,24219,2020-09-13,15.0,Макс. температура
3404,24219,2020-09-17,17.6,Макс. температура
3404,24219,2020-10-18,-25.2,Мин. температура
3404,24219,2020-10-19,-4.6,Макс. температура
3404,24219,2020-10-21,-13.1,Мин. температура
3404,24219,2020-11-11,-1.1,Макс. температура
3404,24219,2020-11-19,-7.7,Макс. температура
3404,24219,2020-11-22,-7.4,Мин. температура
3404,24219,2021-03-14,-12.4,Макс. температура
3404,24219,2021-05-03,-4.4,Мин. температура
3404,24219,2021-05-17,-7.2,Мин. температура
3404,24219,2021-06-14,14.9,Макс. температура
3404,24219,2021-06-24,23.6,Макс. температура
3404,24219,2021-07-07,13.9,Макс. температура
3404,24219,2021-07-22,19.0,Макс. температура
3404,24219,2021-07-31,19.8,Макс. температура
3404,24219,2021-11-13,-33.5,Мин. температура
3404,24219,2021-12-27,-31.9,Макс. температура
3404,24219,2022-01-01,-45.4,Мин. температура
3404,24219,2022-02-20,-17.0,Мин. температура
3404,24219,2022-02-22,-23.7,Мин. температура
3404,24219,2022-03-03,-26.0,Мин. температура
3404,24219,2022-05-18,2.4,Мин. температура
