gidro_num,identifier,dt,temp,temptype
3207,24843,2019-11-03,0.8,Макс. температура
3207,24843,2019-12-03,-36.0,Макс. температура
3207,24843,2020-01-28,-24.4,Макс. температура
3207,24843,2020-01-31,-24.6,Мин. температура
3207,24843,2020-02-06,-35.0,Макс. температура
3207,24843,2020-02-15,-21.0,Макс. температура
3207,24843,2020-03-11,-40.0,Мин. температура
3207,24843,2020-04-20,-20.9,Мин. температура
3207,24843,2020-05-04,-8.4,Мин. температура
3207,24843,2020-05-24,23.1,Макс. температура
3207,24843,2020-06-12,-1.0,Мин. температура
3207,24843,2020-07-14,28.5,Макс. температура
3207,24843,2020-07-25,24.4,Макс. температура
3207,24843,2020-08-10,20.6,Макс. температура
3207,24843,2020-09-01,17.2,Макс. температура
3207,24843,2020-10-05,4.8,Макс. температура
3207,24843,2020-10-15,-7.0,Мин. температура
3207,24843,2020-11-24,-15.1,Макс. температура
3207,24843,2020-12-03,-9.8,Макс. температура
3207,24843,2021-01-04,-41.5,Макс. температура
3207,24843,2021-01-20,-36.5,Макс. температура
3207,24843,2021-01-27,-51.6,Мин. температура
3207,24843,2021-02-11,-38.8,Мин. температура
3207,24843,2021-03-13,-14.5,Мин. температура
3207,24843,2021-05-05,11.2,Макс. температура
3207,24843,2021-05-29,25.0,Макс. температура
3207,24843,2021-08-26,17.6,Макс. температура
3207,24843,2021-08-29,21.8,Макс. температура
3207,24843,2021-09-08,-3.6,Мин. температура
3207,24843,2021-09-17,5.8,Макс. температура
3207,24843,2021-10-04,-14.2,Мин. температура
3207,24843,2021-12-13,-38.2,Макс. температура
3207,24843,2022-03-02,-13.0,Макс. температура
3207,24843,2022-04-09,2.5,Макс. температура
3207,24843,2022-04-26,-17.4,Мин. температура
3207,24843,2022-05-02,3.5,Макс. температура
3207,24843,2022-06-23,4.4,Мин. температура
3207,24843,2022-08-04,24.6,Макс. температура
3207,24843,2022-08-05,14.1,Мин. температура
3207,24843,2022-08-16,20.3,Макс. температура
3207,24843,2022-08-24,11.2,Макс. температура
3207,24843,2022-10-17,1.0,Макс. температура
3207,24843,2022-11-23,-26.5,Макс. температура
3207,24843,2022-12-06,-36.0,Мин. температура
3207,24843,2022-12-27,-45.3,Мин. температура
3207,24843,2023-01-12,-47.0,Мин. температура
3207,24843,2023-02-12,-27.8,Макс. температура
3207,24843,2023-03-08,-45.4,Мин. температура
3207,24843,2023-04-05,-15.4,Мин. температура
3207,24843,2023-05-30,20.7,Макс. температура
3207,24843,2023-07-17,23.1,Макс. температура
3207,24843,2023-08-15,13.9,Мин. температура
3207,24843,2023-08-22,-1.1,Мин. температура
3207,24843,2023-08-25,-4.8,Мин. температура
3207,24843,2023-08-28,2.9,Мин. температура
3207,24843,2023-09-20,8.6,Макс. температура
3207,24843,2023-10-26,-2.0,Макс. температура
3207,24843,2023-11-02,-30.2,Мин. температура
3207,24843,2024-02-24,-16.5,Макс. температура
3207,24843,2024-03-14,-32.0,Мин. температура
3207,24843,2024-04-23,4.2,Макс. температура
3207,24843,2024-04-24,4.6,Макс. температура
3207,24843,2024-05-15,4.9,Мин. температура
3207,24843,2024-07-25,32.0,Макс. температура
3207,24843,2024-08-04,24.9,Макс. температура
3207,24843,2024-08-07,13.3,Мин. температура
3207,24843,2024-08-27,0.1,Мин. температура
3207,24843,2024-08-31,12.5,Макс. температура
3207,24843,2024-09-22,-2.0,Мин. температура
3207,24843,2024-10-01,3.2,Макс. температура
3207,24843,2024-10-31,-25.0,Мин. температура
3207,24843,2024-11-19,-12.5,Макс. температура
3207,24843,2024-11-22,-10.4,Макс. температура
3207,24843,2024-12-25,-23.1,Макс. температура
3207,24843,2019-10-27,-5.4,Макс. температура
3207,24843,2019-10-28,-3.8,Макс. температура
3207,24843,2019-10-29,-21.2,Мин. температура
3207,24843,2019-11-16,-25.0,Мин. температура
3207,24843,2019-12-29,-42.0,Макс. температура
3207,24843,2020-02-02,-41.7,Мин. температура
3207,24843,2020-03-28,-22.4,Мин. температура
3207,24843,2020-04-07,9.1,Макс. температура
3207,24843,2020-04-19,-4.1,Макс. температура
3207,24843,2020-05-14,-5.0,Мин. температура
3207,24843,2020-05-27,8.9,Мин. температура
3207,24843,2020-06-23,25.4,Макс. температура
3207,24843,2020-07-16,10.8,Мин. температура
3207,24843,2020-08-02,2.2,Мин. температура
3207,24843,2020-09-03,6.7,Мин. температура
3207,24843,2020-09-09,-5.2,Мин. температура
3207,24843,2020-11-27,-18.2,Мин. температура
3207,24843,2020-12-28,-20.5,Макс. температура
3207,24843,2021-01-02,-38.0,Мин. температура
3207,24843,2021-03-24,-12.8,Макс. температура
