gidro_num,identifier,dt,temp,temptype
3499,24684,2005-01-05,-45.4,Макс. температура
3499,24684,2005-02-05,-33.1,Мин. температура
3499,24684,2005-02-10,-49.1,Мин. температура
3499,24684,2005-04-20,-20.4,Мин. температура
3499,24684,2005-04-29,-13.3,Мин. температура
3499,24684,2005-09-09,-3.2,Мин. температура
3499,24684,2005-09-26,-5.7,Мин. температура
3499,24684,2005-10-20,-14.4,Макс. температура
3499,24684,2005-10-20,-18.1,Мин. температура
3499,24684,2005-11-20,-33.2,Макс. температура
3499,24684,2006-03-24,-24.4,Мин. температура
3499,24684,2006-05-13,-4.8,Мин. температура
3499,24684,2006-05-18,4.0,Макс. температура
3499,24684,2006-05-28,-0.2,Мин. температура
3499,24684,2006-05-29,17.6,Макс. температура
3499,24684,2006-06-23,22.7,Макс. температура
3499,24684,2006-07-17,15.2,Мин. температура
3499,24684,2006-08-10,21.1,Макс. температура
3499,24684,2006-09-11,-3.5,Мин. температура
3499,24684,2006-10-13,-12.0,Макс. температура
3499,24684,2006-10-13,-29.7,Мин. температура
3499,24684,2006-10-14,-27.6,Мин. температура
3499,24684,2006-12-03,-48.2,Мин. температура
3499,24684,2006-12-12,-46.6,Макс. температура
3499,24684,2006-12-19,-50.7,Макс. температура
3499,24684,2007-01-10,-56.7,Мин. температура
3499,24684,2007-01-27,-39.3,Макс. температура
3499,24684,2007-02-01,-53.0,Мин. температура
3499,24684,2007-02-16,-35.2,Макс. температура
3499,24684,2007-03-17,-3.3,Макс. температура
3499,24684,2007-03-23,-10.1,Макс. температура
3499,24684,2007-04-08,-2.0,Макс. температура
3499,24684,2007-05-26,3.2,Мин. температура
3499,24684,2007-05-30,19.2,Макс. температура
3499,24684,2007-07-02,15.2,Макс. температура
3499,24684,2007-07-19,19.8,Макс. температура
3499,24684,2007-09-12,13.2,Макс. температура
3499,24684,2007-09-23,-7.8,Мин. температура
3499,24684,2007-10-03,-5.2,Мин. температура
3499,24684,2007-10-20,-4.6,Макс. температура
3499,24684,2007-12-24,-29.4,Макс. температура
3499,24684,2008-01-30,-48.8,Мин. температура
3499,24684,2008-02-06,-41.0,Макс. температура
3499,24684,2008-03-01,-21.5,Макс. температура
3499,24684,2008-05-01,-0.4,Макс. температура
3499,24684,2008-06-09,7.7,Мин. температура
3499,24684,2008-07-31,12.2,Мин. температура
3499,24684,2008-08-23,5.8,Мин. температура
3499,24684,2008-08-29,7.0,Мин. температура
3499,24684,2008-08-31,15.6,Макс. температура
3499,24684,2008-10-29,-16.3,Макс. температура
3499,24684,2008-12-24,-39.3,Макс. температура
3499,24684,2009-01-04,-48.2,Мин. температура
3499,24684,2009-01-15,-46.6,Макс. температура
3499,24684,2009-04-26,2.8,Макс. температура
3499,24684,2009-06-07,15.3,Мин. температура
3499,24684,2009-06-23,3.0,Мин. температура
3499,24684,2009-08-05,6.2,Мин. температура
3499,24684,2009-09-03,-0.8,Мин. температура
3499,24684,2009-09-27,-2.8,Мин. температура
3499,24684,2009-10-23,-11.5,Мин. температура
3499,24684,2009-11-19,-39.8,Мин. температура
3499,24684,2009-11-27,-43.3,Макс. температура
3499,24684,2009-12-30,-39.4,Макс. температура
3499,24684,2010-04-06,-39.3,Мин. температура
3499,24684,2010-04-09,-27.9,Мин. температура
3499,24684,2010-05-02,-1.9,Мин. температура
3499,24684,2010-05-07,-5.8,Мин. температура
3499,24684,2010-05-17,10.2,Макс. температура
3499,24684,2010-07-23,9.2,Мин. температура
3499,24684,2010-08-08,12.8,Макс. температура
3499,24684,2010-08-17,14.2,Макс. температура
3499,24684,2010-10-03,-10.8,Мин. температура
3499,24684,2010-10-14,-19.9,Мин. температура
3499,24684,2010-12-25,-57.1,Мин. температура
3499,24684,2010-12-28,-37.6,Макс. температура
3499,24684,2011-02-10,-55.8,Мин. температура
3499,24684,2011-02-27,-28.5,Макс. температура
3499,24684,2011-06-03,-1.2,Мин. температура
3499,24684,2011-06-25,21.1,Макс. температура
3499,24684,2011-08-13,8.1,Макс. температура
3499,24684,2011-08-27,2.8,Мин. температура
3499,24684,2011-08-28,14.6,Макс. температура
3499,24684,2011-09-22,-5.8,Мин. температура
3499,24684,2011-10-06,-0.8,Макс. температура
3499,24684,2011-10-26,-25.7,Мин. температура
3499,24684,2011-12-31,-54.8,Мин. температура
3499,24684,2012-01-07,-44.0,Макс. температура
3499,24684,2012-02-21,-48.2,Мин. температура
3499,24684,2012-04-18,1.7,Макс. температура
3499,24684,2012-05-10,19.1,Макс. температура
3499,24684,2012-05-19,6.4,Макс. температура
3499,24684,2012-06-14,14.2,Мин. температура
3499,24684,2012-07-14,10.1,Мин. температура
3499,24684,2012-09-10,-4.6,Мин. температура
3499,24684,2012-10-09,-3.5,Макс. температура
3499,24684,2012-10-21,-12.8,Мин. температура
3499,24684,2013-01-07,-49.8,Мин. температура
3499,24684,2013-01-21,-40.0,Макс. температура
3499,24684,2013-03-09,-46.0,Мин. температура
3499,24684,2013-04-03,-35.4,Мин. температура
3499,24684,2013-06-30,8.9,Мин. температура
3499,24684,2013-09-28,0.3,Макс. температура
3499,24684,2013-10-21,-23.6,Мин. температура
3499,24684,2013-11-03,-30.1,Мин. температура
3499,24684,2013-11-09,-28.5,Мин. температура
3499,24684,2013-12-09,-29.4,Макс. температура
3499,24684,2013-12-23,-48.0,Мин. температура
3499,24684,2014-01-27,-44.0,Макс. температура
3499,24684,2014-01-29,-45.5,Мин. температура
3499,24684,2014-01-30,-44.0,Мин. температура
3499,24684,2014-02-11,-30.0,Мин. температура
3499,24684,2014-03-01,-33.4,Макс. температура
3499,24684,2014-03-09,-20.8,Макс. температура
3499,24684,2014-06-14,7.2,Мин. температура
3499,24684,2014-06-25,8.3,Мин. температура
3499,24684,2014-07-17,12.6,Мин. температура
3499,24684,2014-07-28,12.8,Макс. температура
3499,24684,2014-09-13,1.0,Мин. температура
3499,24684,2005-02-06,-24.2,Макс. температура
3499,24684,2005-03-05,-20.6,Макс. температура
3499,24684,2005-03-10,-24.0,Макс. температура
3499,24684,2005-03-12,-25.7,Макс. температура
3499,24684,2005-06-13,8.2,Мин. температура
3499,24684,2005-07-26,8.8,Мин. температура
3499,24684,2005-08-22,15.8,Макс. температура
3499,24684,2005-08-30,20.5,Макс. температура
3499,24684,2005-10-01,1.0,Макс. температура
3499,24684,2005-10-06,-4.0,Макс. температура
3499,24684,2005-11-09,-21.6,Макс. температура
3499,24684,2005-11-11,-26.5,Мин. температура
3499,24684,2005-11-30,-30.7,Макс. температура
3499,24684,2006-01-15,-53.5,Мин. температура
3499,24684,2006-01-27,-31.7,Макс. температура
3499,24684,2006-01-28,-36.6,Макс. температура
3499,24684,2006-01-28,-42.6,Мин. температура
3499,24684,2006-02-22,-36.1,Макс. температура
3499,24684,2006-02-24,-36.4,Макс. температура
3499,24684,2006-03-12,-45.7,Мин. температура
3499,24684,2006-03-13,-27.1,Макс. температура
3499,24684,2006-03-23,-11.8,Макс. температура
3499,24684,2006-04-24,-0.6,Макс. температура
3499,24684,2006-05-07,6.8,Макс. температура
3499,24684,2006-05-31,0.9,Мин. температура
3499,24684,2006-06-02,5.2,Мин. температура
3499,24684,2006-06-27,12.2,Макс. температура
3499,24684,2006-06-27,2.0,Мин. температура
3499,24684,2006-09-06,13.9,Макс. температура
3499,24684,2006-09-09,0.1,Мин. температура
3499,24684,2006-09-20,8.9,Макс. температура
3499,24684,2006-12-04,-43.8,Мин. температура
3499,24684,2007-02-06,-55.1,Мин. температура
3499,24684,2007-04-13,2.6,Макс. температура
3499,24684,2007-05-18,0.1,Мин. температура
3499,24684,2007-09-03,15.4,Макс. температура
3499,24684,2007-09-18,-2.7,Мин. температура
3499,24684,2007-10-21,-5.6,Макс. температура
3499,24684,2008-01-05,-52.4,Мин. температура
3499,24684,2008-01-09,-45.2,Мин. температура
3499,24684,2008-01-16,-53.5,Мин. температура
3499,24684,2008-05-01,-18.2,Мин. температура
3499,24684,2008-05-21,6.1,Макс. температура
3499,24684,2008-06-23,20.5,Макс. температура
3499,24684,2008-08-02,12.9,Макс. температура
3499,24684,2008-10-16,-4.8,Макс. температура
3499,24684,2008-10-25,-28.6,Мин. температура
3499,24684,2008-11-22,-34.4,Мин. температура
3499,24684,2008-12-16,-46.0,Макс. температура
3499,24684,2009-01-12,-51.6,Мин. температура
3499,24684,2009-02-12,-44.3,Мин. температура
3499,24684,2009-03-06,-41.3,Мин. температура
3499,24684,2009-03-20,-5.3,Макс. температура
3499,24684,2009-04-17,1.4,Макс. температура
3499,24684,2009-05-11,-3.8,Мин. температура
3499,24684,2009-05-20,10.6,Макс. температура
3499,24684,2009-07-20,26.8,Макс. температура
3499,24684,2009-07-21,5.2,Мин. температура
3499,24684,2009-09-11,12.7,Макс. температура
3499,24684,2009-09-19,10.2,Макс. температура
3499,24684,2009-10-22,1.7,Макс. температура
3499,24684,2009-11-04,-27.9,Макс. температура
3499,24684,2009-12-16,-29.3,Макс. температура
3499,24684,2009-12-20,-30.2,Макс. температура
3499,24684,2009-12-22,-32.6,Макс. температура
3499,24684,2009-12-25,-46.4,Макс. температура
3499,24684,2010-02-07,-30.4,Макс. температура
3499,24684,2010-04-11,-9.0,Макс. температура
3499,24684,2010-04-30,4.4,Макс. температура
3499,24684,2010-05-10,14.1,Макс. температура
3499,24684,2010-05-19,14.6,Макс. температура
3499,24684,2010-06-21,20.0,Макс. температура
3499,24684,2010-06-25,5.9,Мин. температура
3499,24684,2010-07-06,26.2,Макс. температура
3499,24684,2010-08-04,11.5,Макс. температура
3499,24684,2010-08-26,20.2,Макс. температура
3499,24684,2010-09-08,8.5,Макс. температура
3499,24684,2010-10-31,-33.1,Мин. температура
3499,24684,2010-11-08,-30.4,Макс. температура
3499,24684,2010-11-12,-32.7,Макс. температура
3499,24684,2010-11-21,-26.6,Макс. температура
3499,24684,2010-11-22,-35.6,Мин. температура
3499,24684,2011-01-06,-50.4,Макс. температура
3499,24684,2011-02-09,-44.5,Макс. температура
3499,24684,2011-02-11,-44.0,Макс. температура
3499,24684,2011-03-26,-7.5,Макс. температура
3499,24684,2011-04-01,-17.2,Мин. температура
3499,24684,2011-05-04,-1.7,Макс. температура
3499,24684,2011-05-22,15.4,Макс. температура
3499,24684,2011-05-31,3.8,Мин. температура
3499,24684,2011-06-17,5.0,Мин. температура
3499,24684,2011-07-28,30.6,Макс. температура
3499,24684,2011-08-20,5.4,Мин. температура
3499,24684,2011-08-31,10.3,Макс. температура
3499,24684,2011-10-19,-22.4,Мин. температура
3499,24684,2011-12-01,-49.5,Мин. температура
3499,24684,2011-12-02,-49.9,Мин. температура
3499,24684,2011-12-15,-35.7,Макс. температура
3499,24684,2012-01-03,-49.6,Мин. температура
3499,24684,2012-02-14,-41.1,Мин. температура
3499,24684,2012-03-03,-41.0,Мин. температура
3499,24684,2012-07-18,6.4,Мин. температура
3499,24684,2012-08-07,11.8,Макс. температура
3499,24684,2012-12-09,-43.1,Мин. температура
3499,24684,2012-12-22,-45.5,Мин. температура
3499,24684,2013-02-21,-36.3,Макс. температура
3499,24684,2013-03-21,-33.5,Мин. температура
3499,24684,2013-04-07,-7.8,Макс. температура
3499,24684,2013-04-09,-24.4,Мин. температура
3499,24684,2013-04-27,-19.2,Мин. температура
3499,24684,2013-05-02,-0.5,Мин. температура
3499,24684,2013-05-03,0.2,Мин. температура
3499,24684,2013-05-21,6.7,Макс. температура
3499,24684,2013-09-08,3.0,Мин. температура
3499,24684,2013-11-14,-30.5,Макс. температура
3499,24684,2014-01-01,-24.3,Макс. температура
3499,24684,2014-02-14,-20.1,Макс. температура
3499,24684,2014-02-28,-33.9,Макс. температура
3499,24684,2014-03-02,-49.3,Мин. температура
3499,24684,2005-02-02,-37.3,Мин. температура
3499,24684,2005-02-04,-24.6,Макс. температура
3499,24684,2005-03-16,-16.1,Макс. температура
3499,24684,2005-04-09,-5.0,Макс. температура
3499,24684,2005-04-11,-21.4,Мин. температура
3499,24684,2005-04-18,-22.7,Мин. температура
3499,24684,2005-06-10,1.8,Мин. температура
3499,24684,2005-06-17,9.0,Макс. температура
3499,24684,2005-06-27,10.4,Мин. температура
3499,24684,2005-07-30,14.6,Макс. температура
3499,24684,2005-10-03,-3.0,Макс. температура
3499,24684,2005-10-08,-21.0,Мин. температура
3499,24684,2005-10-25,-12.9,Макс. температура
3499,24684,2005-12-15,-48.8,Мин. температура
3499,24684,2006-02-09,-52.1,Мин. температура
3499,24684,2006-02-14,-36.7,Макс. температура
3499,24684,2006-03-14,-24.3,Макс. температура
3499,24684,2006-03-20,-21.5,Макс. температура
3499,24684,2006-04-01,-35.3,Мин. температура
3499,24684,2006-04-06,-34.0,Мин. температура
3499,24684,2006-05-22,6.8,Макс. температура
3499,24684,2006-07-01,7.3,Мин. температура
3499,24684,2006-07-28,13.6,Мин. температура
3499,24684,2006-08-01,8.4,Мин. температура
3499,24684,2006-08-18,16.8,Макс. температура
3499,24684,2006-08-25,6.1,Мин. температура
3499,24684,2006-08-30,1.2,Мин. температура
3499,24684,2006-10-28,-27.9,Мин. температура
3499,24684,2006-11-05,-14.0,Макс. температура
3499,24684,2006-11-21,-35.1,Мин. температура
3499,24684,2006-12-11,-48.2,Мин. температура
3499,24684,2006-12-24,-48.6,Мин. температура
3499,24684,2007-01-01,-41.7,Макс. температура
3499,24684,2007-02-01,-44.0,Макс. температура
3499,24684,2007-02-07,-53.7,Мин. температура
3499,24684,2007-02-10,-31.9,Макс. температура
3499,24684,2007-02-28,-47.0,Мин. температура
3499,24684,2007-04-12,1.9,Макс. температура
3499,24684,2007-05-04,-12.4,Мин. температура
3499,24684,2007-05-25,-1.8,Мин. температура
3499,24684,2007-05-29,6.9,Мин. температура
3499,24684,2007-06-17,3.8,Мин. температура
3499,24684,2007-06-21,4.7,Мин. температура
3499,24684,2007-07-09,1.8,Мин. температура
3499,24684,2007-08-11,13.9,Мин. температура
3499,24684,2007-08-12,17.8,Макс. температура
3499,24684,2007-09-06,11.7,Макс. температура
3499,24684,2007-09-26,2.9,Макс. температура
3499,24684,2007-10-09,-12.7,Мин. температура
3499,24684,2008-01-27,-53.8,Мин. температура
3499,24684,2008-02-09,-41.2,Макс. температура
3499,24684,2008-02-13,-55.1,Мин. температура
3499,24684,2008-02-21,-50.7,Мин. температура
3499,24684,2008-02-24,-38.4,Макс. температура
3499,24684,2008-02-26,-53.4,Мин. температура
3499,24684,2008-03-19,-33.4,Мин. температура
3499,24684,2008-03-21,-7.0,Макс. температура
3499,24684,2008-07-25,23.8,Макс. температура
3499,24684,2008-08-01,15.9,Макс. температура
3499,24684,2008-08-19,21.0,Макс. температура
3499,24684,2008-08-22,16.6,Макс. температура
3499,24684,2008-09-13,11.8,Макс. температура
3499,24684,2008-10-19,-13.3,Макс. температура
3499,24684,2008-11-24,-29.0,Мин. температура
3499,24684,2008-12-13,-45.6,Макс. температура
3499,24684,2008-12-18,-47.0,Макс. температура
3499,24684,2008-12-19,-52.0,Макс. температура
3499,24684,2008-12-25,-39.8,Макс. температура
3499,24684,2009-01-23,-53.1,Мин. температура
3499,24684,2009-02-16,-49.6,Мин. температура
3499,24684,2009-03-20,-27.2,Мин. температура
3499,24684,2009-04-19,-12.0,Мин. температура
3499,24684,2009-04-26,-9.1,Мин. температура
3499,24684,2009-07-24,5.2,Мин. температура
3499,24684,2009-08-18,17.0,Макс. температура
3499,24684,2009-08-30,-1.0,Мин. температура
3499,24684,2009-09-07,4.0,Мин. температура
3499,24684,2009-09-14,-1.0,Мин. температура
3499,24684,2009-09-24,-2.4,Мин. температура
3499,24684,2009-10-19,-16.4,Мин. температура
3499,24684,2009-11-19,-29.8,Макс. температура
3499,24684,2010-01-28,-36.9,Макс. температура
3499,24684,2010-02-08,-32.6,Макс. температура
3499,24684,2010-02-17,-38.7,Макс. температура
3499,24684,2010-03-05,-47.2,Мин. температура
3499,24684,2010-03-11,-27.3,Макс. температура
3499,24684,2010-06-22,16.2,Макс. температура
3499,24684,2010-09-14,1.1,Мин. температура
3499,24684,2010-09-20,-9.3,Мин. температура
3499,24684,2010-10-20,-27.6,Мин. температура
3499,24684,2010-10-24,-32.3,Мин. температура
3499,24684,2010-10-31,-25.5,Макс. температура
3499,24684,2010-11-23,-33.8,Мин. температура
3499,24684,2010-11-29,-50.4,Макс. температура
3499,24684,2010-12-05,-54.0,Мин. температура
3499,24684,2010-12-08,-32.0,Макс. температура
3499,24684,2011-01-26,-45.4,Мин. температура
3499,24684,2011-03-01,-44.1,Мин. температура
3499,24684,2011-03-07,-16.4,Макс. температура
3499,24684,2011-03-08,-33.7,Мин. температура
3499,24684,2011-03-14,-34.4,Мин. температура
3499,24684,2011-03-20,-10.3,Макс. температура
3499,24684,2011-04-06,-33.2,Мин. температура
3499,24684,2011-05-01,-0.8,Макс. температура
3499,24684,2011-05-04,-15.7,Мин. температура
3499,24684,2011-05-15,-0.1,Мин. температура
3499,24684,2011-05-17,7.5,Макс. температура
3499,24684,2011-05-23,4.6,Мин. температура
3499,24684,2011-06-06,3.4,Мин. температура
3499,24684,2011-06-19,-0.5,Мин. температура
3499,24684,2011-06-23,20.8,Макс. температура
3499,24684,2011-07-03,8.6,Мин. температура
3499,24684,2011-11-15,-44.5,Мин. температура
3499,24684,2011-12-03,-40.5,Макс. температура
3499,24684,2011-12-11,-47.5,Мин. температура
3499,24684,2011-12-19,-42.6,Мин. температура
3499,24684,2012-01-02,-50.4,Мин. температура
3499,24684,2012-01-12,-53.6,Мин. температура
3499,24684,2012-01-31,-51.0,Мин. температура
3499,24684,2005-02-23,-44.8,Мин. температура
3499,24684,2005-04-10,-24.0,Мин. температура
3499,24684,2005-05-05,13.0,Макс. температура
3499,24684,2005-06-13,23.3,Макс. температура
3499,24684,2005-07-11,20.5,Макс. температура
3499,24684,2005-07-20,11.8,Мин. температура
3499,24684,2005-08-16,-0.4,Мин. температура
3499,24684,2005-08-27,-3.2,Мин. температура
3499,24684,2005-09-25,-1.6,Мин. температура
3499,24684,2005-10-06,-12.2,Мин. температура
3499,24684,2005-12-09,-34.8,Макс. температура
3499,24684,2005-12-19,-43.2,Мин. температура
3499,24684,2005-12-28,-42.2,Макс. температура
3499,24684,2006-03-24,-13.8,Макс. температура
3499,24684,2006-04-09,-11.0,Макс. температура
3499,24684,2006-04-09,-28.1,Мин. температура
3499,24684,2006-04-28,-0.2,Макс. температура
3499,24684,2006-05-02,-8.4,Мин. температура
3499,24684,2006-06-23,10.8,Мин. температура
3499,24684,2006-07-24,-2.8,Мин. температура
3499,24684,2006-09-01,13.4,Макс. температура
3499,24684,2006-11-03,-18.5,Макс. температура
3499,24684,2007-02-03,-41.2,Макс. температура
3499,24684,2007-02-05,-55.1,Мин. температура
3499,24684,2007-02-20,-49.7,Мин. температура
3499,24684,2007-03-22,-32.5,Мин. температура
3499,24684,2007-06-06,15.3,Макс. температура
3499,24684,2007-06-15,1.4,Мин. температура
3499,24684,2007-08-01,10.3,Мин. температура
3499,24684,2007-08-06,3.9,Мин. температура
3499,24684,2007-08-11,16.0,Макс. температура
3499,24684,2007-08-17,20.7,Макс. температура
3499,24684,2007-10-04,-7.2,Мин. температура
3499,24684,2007-11-22,-43.8,Мин. температура
3499,24684,2008-01-09,-38.0,Макс. температура
3499,24684,2008-01-30,-42.0,Макс. температура
3499,24684,2008-02-29,-18.3,Макс. температура
3499,24684,2008-04-08,-27.0,Мин. температура
3499,24684,2008-04-11,-13.2,Макс. температура
3499,24684,2008-04-30,-1.1,Макс. температура
3499,24684,2008-07-22,11.0,Мин. температура
3499,24684,2008-10-21,-23.9,Мин. температура
3499,24684,2008-12-05,-36.9,Мин. температура
3499,24684,2009-02-13,-32.2,Макс. температура
3499,24684,2009-02-18,-54.6,Мин. температура
3499,24684,2009-03-12,-39.4,Мин. температура
3499,24684,2009-03-17,-9.9,Макс. температура
3499,24684,2009-04-05,-27.5,Мин. температура
3499,24684,2009-04-28,-14.6,Мин. температура
3499,24684,2009-05-02,-3.6,Мин. температура
3499,24684,2009-05-20,1.0,Мин. температура
3499,24684,2009-06-12,8.5,Мин. температура
3499,24684,2009-06-13,23.6,Макс. температура
3499,24684,2009-10-13,-5.5,Макс. температура
3499,24684,2009-11-05,-38.8,Мин. температура
3499,24684,2009-11-06,-31.7,Макс. температура
3499,24684,2009-11-17,-38.8,Мин. температура
3499,24684,2009-12-03,-47.4,Макс. температура
3499,24684,2010-01-15,-38.3,Макс. температура
3499,24684,2010-02-19,-52.3,Мин. температура
3499,24684,2010-03-21,-36.5,Мин. температура
3499,24684,2010-04-07,-14.8,Макс. температура
3499,24684,2010-04-08,-16.0,Макс. температура
