gidro_num,identifier,dt,temp,temptype
3246,30493,2005-02-09,-25.2,Мин. температура
3246,30493,2005-02-17,-25.0,Мин. температура
3246,30493,2005-04-01,-12.7,Мин. температура
3246,30493,2005-04-15,-1.3,Макс. температура
3246,30493,2005-04-27,-3.7,Мин. температура
3246,30493,2005-05-02,3.5,Макс. температура
3246,30493,2005-05-13,8.3,Макс. температура
3246,30493,2005-05-16,-1.1,Мин. температура
3246,30493,2005-06-08,14.7,Макс. температура
3246,30493,2005-07-17,13.3,Макс. температура
3246,30493,2005-07-28,5.4,Мин. температура
3246,30493,2005-08-01,30.7,Макс. температура
3246,30493,2005-08-09,18.3,Макс. температура
3246,30493,2005-09-16,3.1,Макс. температура
3246,30493,2005-10-31,,Макс. температура
3246,30493,2005-11-25,-15.6,Макс. температура
3246,30493,2005-12-01,-42.2,Мин. температура
3246,30493,2005-12-29,-25.1,Макс. температура
3246,30493,2006-01-12,-43.1,Мин. температура
3246,30493,2006-01-24,-32.9,Мин. температура
3246,30493,2006-01-30,-25.0,Макс. температура
3246,30493,2006-01-31,-29.2,Макс. температура
3246,30493,2006-02-16,-25.0,Макс. температура
3246,30493,2006-03-29,-6.8,Макс. температура
3246,30493,2006-04-26,1.4,Макс. температура
3246,30493,2006-06-09,6.3,Мин. температура
3246,30493,2006-06-27,6.9,Мин. температура
3246,30493,2006-07-13,8.5,Мин. температура
3246,30493,2006-08-20,9.9,Макс. температура
3246,30493,2006-09-11,-2.3,Мин. температура
3246,30493,2006-09-15,-2.2,Мин. температура
3246,30493,2006-10-30,-6.8,Макс. температура
3246,30493,2006-11-03,-25.8,Мин. температура
3246,30493,2006-11-19,-32.2,Мин. температура
3246,30493,2006-11-26,-21.0,Макс. температура
3246,30493,2006-12-11,-22.7,Макс. температура
3246,30493,2006-12-16,-25.4,Макс. температура
3246,30493,2007-01-03,-22.8,Мин. температура
3246,30493,2007-03-06,-16.6,Макс. температура
3246,30493,2007-03-13,-22.6,Мин. температура
3246,30493,2007-04-28,8.1,Макс. температура
3246,30493,2007-05-03,-10.2,Мин. температура
3246,30493,2007-05-18,3.0,Мин. температура
3246,30493,2007-05-20,12.0,Макс. температура
3246,30493,2007-05-28,0.8,Мин. температура
3246,30493,2007-06-05,6.8,Мин. температура
3246,30493,2007-06-07,27.0,Макс. температура
3246,30493,2007-06-22,8.2,Мин. температура
3246,30493,2007-07-23,19.5,Макс. температура
3246,30493,2007-08-01,22.0,Макс. температура
3246,30493,2007-08-07,11.3,Мин. температура
3246,30493,2007-08-18,11.8,Мин. температура
3246,30493,2007-08-28,3.3,Мин. температура
3246,30493,2007-08-30,19.3,Макс. температура
3246,30493,2007-09-09,23.5,Макс. температура
3246,30493,2007-09-16,16.5,Макс. температура
3246,30493,2007-09-26,9.4,Макс. температура
3246,30493,2007-09-28,8.6,Макс. температура
3246,30493,2007-11-06,-8.0,Мин. температура
3246,30493,2007-12-25,-38.5,Мин. температура
3246,30493,2008-01-04,-36.0,Мин. температура
3246,30493,2008-03-08,-4.1,Макс. температура
3246,30493,2008-03-19,-20.9,Мин. температура
3246,30493,2008-03-25,-1.5,Макс. температура
3246,30493,2008-03-29,1.2,Макс. температура
3246,30493,2008-04-20,-7.6,Мин. температура
3246,30493,2008-05-17,1.3,Мин. температура
3246,30493,2008-06-03,4.4,Мин. температура
3246,30493,2008-06-15,11.8,Мин. температура
3246,30493,2008-06-24,7.9,Мин. температура
3246,30493,2008-07-04,14.3,Мин. температура
3246,30493,2008-07-07,7.4,Мин. температура
3246,30493,2008-07-22,7.8,Мин. температура
3246,30493,2008-07-29,8.4,Мин. температура
3246,30493,2008-09-05,-0.4,Мин. температура
3246,30493,2008-09-28,-3.9,Мин. температура
3246,30493,2008-10-04,2.3,Макс. температура
3246,30493,2008-10-28,-7.5,Мин. температура
3246,30493,2008-11-04,-26.6,Мин. температура
3246,30493,2008-11-11,-12.2,Макс. температура
3246,30493,2008-11-17,-26.7,Мин. температура
3246,30493,2008-11-22,-31.5,Мин. температура
3246,30493,2008-12-11,-42.1,Мин. температура
3246,30493,2009-01-02,-13.8,Макс. температура
3246,30493,2009-01-15,-33.2,Мин. температура
3246,30493,2009-01-18,-22.6,Макс. температура
3246,30493,2009-03-04,-7.8,Макс. температура
3246,30493,2009-03-21,-13.5,Макс. температура
3246,30493,2009-04-06,-14.3,Мин. температура
3246,30493,2009-04-29,-1.6,Мин. температура
3246,30493,2009-05-28,17.8,Макс. температура
3246,30493,2009-09-04,20.2,Макс. температура
3246,30493,2009-10-16,1.4,Макс. температура
3246,30493,2010-03-23,-10.0,Макс. температура
3246,30493,2010-04-22,5.6,Макс. температура
3246,30493,2010-06-03,1.6,Мин. температура
3246,30493,2010-08-27,5.0,Мин. температура
3246,30493,2010-08-31,10.4,Мин. температура
3246,30493,2010-10-04,4.0,Макс. температура
3246,30493,2010-10-09,-11.0,Мин. температура
3246,30493,2010-10-15,-8.2,Макс. температура
3246,30493,2010-11-28,-38.8,Мин. температура
3246,30493,2010-12-06,-16.8,Макс. температура
3246,30493,2011-02-02,-10.3,Макс. температура
3246,30493,2011-02-13,-21.8,Макс. температура
3246,30493,2011-05-04,7.4,Макс. температура
3246,30493,2011-05-05,7.9,Макс. температура
3246,30493,2011-05-19,4.3,Макс. температура
3246,30493,2011-06-04,16.6,Макс. температура
3246,30493,2011-09-03,-5.6,Мин. температура
3246,30493,2011-09-07,4.4,Мин. температура
3246,30493,2011-09-23,-0.6,Мин. температура
3246,30493,2011-11-03,-4.4,Макс. температура
3246,30493,2011-11-05,-22.3,Мин. температура
3246,30493,2011-11-07,-7.3,Макс. температура
3246,30493,2011-11-14,-17.2,Макс. температура
3246,30493,2011-11-29,-22.1,Макс. температура
3246,30493,2011-12-03,-15.8,Макс. температура
3246,30493,2011-12-17,-26.8,Мин. температура
3246,30493,2005-01-05,-23.2,Макс. температура
3246,30493,2005-01-08,-32.0,Мин. температура
3246,30493,2005-01-11,-26.5,Мин. температура
3246,30493,2005-01-15,-34.1,Мин. температура
3246,30493,2005-02-24,-22.1,Макс. температура
3246,30493,2005-04-19,3.0,Макс. температура
3246,30493,2005-05-28,-3.3,Мин. температура
3246,30493,2005-07-02,22.9,Макс. температура
3246,30493,2005-08-04,6.8,Мин. температура
3246,30493,2005-09-13,15.2,Макс. температура
3246,30493,2005-11-06,-26.6,Мин. температура
3246,30493,2006-01-13,-42.6,Мин. температура
3246,30493,2006-02-06,-23.7,Макс. температура
3246,30493,2006-02-17,-37.1,Мин. температура
3246,30493,2006-04-27,-5.1,Мин. температура
3246,30493,2006-06-06,9.7,Макс. температура
3246,30493,2006-07-17,19.5,Макс. температура
3246,30493,2006-11-13,-14.2,Макс. температура
3246,30493,2006-11-27,-21.2,Макс. температура
3246,30493,2006-11-29,-42.2,Мин. температура
3246,30493,2006-12-09,-36.5,Мин. температура
3246,30493,2007-01-10,-18.5,Макс. температура
3246,30493,2007-02-17,-36.4,Мин. температура
3246,30493,2007-03-21,-26.6,Мин. температура
3246,30493,2007-03-29,-9.3,Макс. температура
3246,30493,2007-04-19,-8.9,Мин. температура
3246,30493,2007-04-30,-1.2,Мин. температура
3246,30493,2007-05-17,9.2,Макс. температура
3246,30493,2007-07-11,4.1,Мин. температура
3246,30493,2007-09-02,12.7,Макс. температура
3246,30493,2007-10-27,-26.6,Мин. температура
3246,30493,2007-12-11,-17.2,Макс. температура
3246,30493,2007-12-12,-28.7,Мин. температура
3246,30493,2007-12-22,-27.3,Макс. температура
3246,30493,2007-12-24,-40.6,Мин. температура
3246,30493,2008-02-04,-29.3,Мин. температура
3246,30493,2008-02-26,-28.7,Мин. температура
3246,30493,2008-04-28,-10.3,Мин. температура
3246,30493,2008-05-11,-1.6,Мин. температура
3246,30493,2008-07-12,13.9,Мин. температура
3246,30493,2008-07-16,7.2,Мин. температура
3246,30493,2008-08-24,13.9,Макс. температура
3246,30493,2008-10-26,-6.7,Макс. температура
3246,30493,2008-11-13,-15.4,Макс. температура
3246,30493,2008-11-17,-21.8,Макс. температура
3246,30493,2008-12-04,-33.6,Мин. температура
3246,30493,2008-12-12,-22.8,Макс. температура
3246,30493,2008-12-17,-29.2,Макс. температура
3246,30493,2008-12-27,-18.9,Макс. температура
3246,30493,2008-12-31,-19.5,Макс. температура
3246,30493,2009-01-23,-31.6,Мин. температура
3246,30493,2009-04-01,-18.4,Мин. температура
3246,30493,2009-04-03,2.0,Макс. температура
3246,30493,2009-04-19,3.2,Макс. температура
3246,30493,2009-05-14,11.3,Макс. температура
3246,30493,2009-07-04,8.2,Мин. температура
3246,30493,2009-07-27,7.6,Мин. температура
3246,30493,2009-09-11,4.0,Мин. температура
3246,30493,2009-09-12,14.0,Макс. температура
3246,30493,2009-09-30,-1.5,Мин. температура
3246,30493,2009-11-10,-34.0,Мин. температура
3246,30493,2009-12-02,-28.5,Макс. температура
3246,30493,2010-03-12,-16.3,Макс. температура
3246,30493,2010-04-29,-3.3,Мин. температура
3246,30493,2010-05-01,-5.6,Мин. температура
3246,30493,2010-06-03,27.7,Макс. температура
3246,30493,2010-07-15,10.0,Мин. температура
3246,30493,2010-07-20,14.8,Мин. температура
3246,30493,2010-08-25,26.3,Макс. температура
3246,30493,2010-10-01,-1.1,Макс. температура
3246,30493,2010-10-16,-9.6,Мин. температура
3246,30493,2010-11-08,-4.7,Макс. температура
3246,30493,2010-12-11,-34.1,Макс. температура
3246,30493,2010-12-27,-23.5,Мин. температура
3246,30493,2011-01-03,-18.6,Макс. температура
3246,30493,2011-01-28,-25.2,Макс. температура
3246,30493,2011-01-30,-26.5,Мин. температура
3246,30493,2011-03-14,-14.3,Макс. температура
3246,30493,2011-05-23,-0.6,Мин. температура
3246,30493,2011-06-10,7.4,Мин. температура
3246,30493,2011-07-22,28.9,Макс. температура
3246,30493,2011-07-22,10.1,Мин. температура
3246,30493,2011-08-07,23.3,Макс. температура
3246,30493,2011-08-15,6.6,Мин. температура
3246,30493,2011-08-17,16.2,Макс. температура
3246,30493,2011-09-22,3.2,Мин. температура
3246,30493,2011-10-16,-11.3,Мин. температура
3246,30493,2011-10-25,-16.6,Мин. температура
3246,30493,2011-11-27,-34.0,Мин. температура
3246,30493,2012-01-04,-17.3,Макс. температура
3246,30493,2012-01-13,-42.0,Мин. температура
3246,30493,2012-01-25,-44.8,Мин. температура
3246,30493,2012-01-28,-23.6,Макс. температура
3246,30493,2012-02-03,-16.1,Макс. температура
3246,30493,2012-02-11,-33.5,Мин. температура
3246,30493,2012-03-05,-32.3,Мин. температура
3246,30493,2012-03-24,-11.6,Макс. температура
3246,30493,2012-04-06,-5.5,Макс. температура
3246,30493,2012-05-22,1.8,Мин. температура
3246,30493,2012-06-01,26.4,Макс. температура
3246,30493,2012-08-09,12.0,Макс. температура
3246,30493,2012-10-24,-6.2,Макс. температура
3246,30493,2012-10-26,-13.3,Мин. температура
3246,30493,2012-10-31,-15.2,Макс. температура
3246,30493,2012-11-01,-13.3,Макс. температура
3246,30493,2012-12-24,-37.5,Мин. температура
3246,30493,2013-06-26,13.6,Макс. температура
3246,30493,2013-09-05,17.2,Макс. температура
3246,30493,2013-09-19,-2.2,Мин. температура
3246,30493,2013-09-26,-3.6,Мин. температура
3246,30493,2013-11-10,-19.2,Макс. температура
3246,30493,2013-12-07,-30.5,Мин. температура
3246,30493,2013-12-30,-37.9,Мин. температура
3246,30493,2014-02-24,-7.6,Макс. температура
3246,30493,2014-04-06,7.1,Макс. температура
3246,30493,2014-05-16,13.6,Макс. температура
3246,30493,2014-06-10,4.8,Мин. температура
3246,30493,2014-06-17,8.2,Мин. температура
3246,30493,2014-06-26,9.7,Мин. температура
3246,30493,2005-02-02,-24.8,Мин. температура
3246,30493,2005-02-05,-23.8,Макс. температура
3246,30493,2005-02-10,-25.4,Мин. температура
3246,30493,2005-02-19,-23.9,Макс. температура
3246,30493,2005-03-30,-5.0,Макс. температура
3246,30493,2005-04-07,-1.9,Макс. температура
3246,30493,2005-04-10,-17.9,Мин. температура
3246,30493,2005-05-19,-2.0,Мин. температура
3246,30493,2005-06-12,2.7,Мин. температура
3246,30493,2005-06-30,25.3,Макс. температура
3246,30493,2005-09-16,-5.0,Мин. температура
3246,30493,2005-10-14,-2.6,Макс. температура
3246,30493,2005-10-29,,Мин. температура
3246,30493,2005-12-25,-28.3,Макс. температура
3246,30493,2006-01-10,-23.9,Макс. температура
3246,30493,2006-01-28,-39.2,Мин. температура
3246,30493,2006-01-31,-32.8,Мин. температура
3246,30493,2006-03-19,-29.2,Мин. температура
3246,30493,2006-03-27,-26.8,Мин. температура
3246,30493,2006-04-16,-24.0,Мин. температура
3246,30493,2006-05-08,-1.8,Мин. температура
3246,30493,2006-07-11,16.5,Макс. температура
3246,30493,2006-11-11,-12.0,Макс. температура
3246,30493,2006-11-21,-23.6,Макс. температура
3246,30493,2006-11-28,-25.2,Макс. температура
3246,30493,2007-01-28,-16.5,Макс. температура
3246,30493,2007-02-18,-39.4,Мин. температура
3246,30493,2007-04-08,-5.9,Мин. температура
3246,30493,2007-04-10,-17.1,Мин. температура
3246,30493,2007-05-05,-4.6,Мин. температура
3246,30493,2007-05-06,-4.1,Мин. температура
3246,30493,2007-05-14,1.3,Мин. температура
3246,30493,2007-05-24,7.7,Макс. температура
3246,30493,2007-06-26,10.1,Мин. температура
3246,30493,2007-12-23,-36.1,Мин. температура
3246,30493,2008-02-11,-31.0,Мин. температура
3246,30493,2008-02-25,-33.4,Мин. температура
3246,30493,2008-03-17,-3.7,Макс. температура
3246,30493,2008-04-22,-10.4,Мин. температура
3246,30493,2008-05-08,-0.9,Мин. температура
3246,30493,2008-05-17,13.2,Макс. температура
