gidro_num,identifier,dt,temp,temptype
3201,30173,2019-11-27,-25.8,Мин. температура
3201,30173,2019-12-10,-24.0,Макс. температура
3201,30173,2019-12-29,-39.5,Макс. температура
3201,30173,2020-01-16,-31.4,Мин. температура
3201,30173,2020-03-07,-17.3,Мин. температура
3201,30173,2020-03-16,6.3,Макс. температура
3201,30173,2020-03-28,0.8,Макс. температура
3201,30173,2020-05-13,5.0,Макс. температура
3201,30173,2020-08-01,24.9,Макс. температура
3201,30173,2020-11-27,-9.3,Макс. температура
3201,30173,2020-12-18,-41.9,Мин. температура
3201,30173,2021-02-01,-39.8,Макс. температура
3201,30173,2021-03-03,-45.7,Мин. температура
3201,30173,2021-05-10,1.2,Мин. температура
3201,30173,2021-05-21,11.7,Макс. температура
3201,30173,2021-07-05,13.3,Мин. температура
3201,30173,2021-08-15,32.3,Макс. температура
3201,30173,2021-08-26,22.5,Макс. температура
3201,30173,2021-09-01,23.4,Макс. температура
3201,30173,2021-09-23,2.2,Мин. температура
3201,30173,2021-10-07,3.3,Макс. температура
3201,30173,2021-11-04,-5.9,Макс. температура
3201,30173,2021-11-09,3.6,Макс. температура
3201,30173,2021-11-22,-35.0,Мин. температура
3201,30173,2021-11-29,-2.6,Макс. температура
3201,30173,2022-01-08,-20.1,Макс. температура
3201,30173,2022-02-20,-15.6,Макс. температура
3201,30173,2022-03-08,-30.0,Мин. температура
3201,30173,2022-06-07,4.8,Мин. температура
3201,30173,2022-07-28,14.0,Мин. температура
3201,30173,2022-09-20,10.2,Макс. температура
3201,30173,2022-10-08,3.8,Макс. температура
3201,30173,2022-12-07,-33.3,Мин. температура
3201,30173,2022-12-23,-41.8,Мин. температура
3201,30173,2023-02-19,-29.7,Мин. температура
3201,30173,2023-08-26,-1.6,Мин. температура
3201,30173,2023-09-15,3.6,Мин. температура
3201,30173,2023-10-13,16.2,Макс. температура
3201,30173,2023-10-17,3.2,Макс. температура
3201,30173,2023-12-21,-25.1,Макс. температура
3201,30173,2023-12-23,-31.1,Мин. температура
3201,30173,2024-01-12,-43.0,Мин. температура
3201,30173,2024-02-16,-44.2,Мин. температура
3201,30173,2024-02-20,-23.0,Мин. температура
3201,30173,2024-03-08,-3.0,Макс. температура
3201,30173,2024-06-08,-1.0,Мин. температура
3201,30173,2024-08-20,15.2,Мин. температура
3201,30173,2024-08-31,6.6,Мин. температура
3201,30173,2024-09-25,20.0,Макс. температура
3201,30173,2024-10-16,3.1,Макс. температура
3201,30173,2024-11-12,-24.8,Мин. температура
3201,30173,2024-11-13,-23.2,Мин. температура
3201,30173,2024-11-27,-28.4,Макс. температура
3201,30173,2019-10-01,4.1,Макс. температура
3201,30173,2019-10-13,1.2,Макс. температура
3201,30173,2019-10-22,-1.9,Макс. температура
3201,30173,2019-10-27,-12.8,Мин. температура
3201,30173,2019-12-12,-22.8,Макс. температура
3201,30173,2020-01-08,-5.9,Макс. температура
3201,30173,2020-01-13,-26.9,Мин. температура
3201,30173,2020-02-02,-30.6,Мин. температура
3201,30173,2020-02-27,-29.8,Мин. температура
3201,30173,2020-03-01,-4.6,Макс. температура
3201,30173,2020-03-22,-25.1,Мин. температура
3201,30173,2020-03-30,-15.0,Мин. температура
3201,30173,2020-05-29,4.4,Мин. температура
3201,30173,2020-08-19,23.3,Макс. температура
3201,30173,2020-10-01,2.0,Макс. температура
3201,30173,2020-10-07,-8.2,Мин. температура
3201,30173,2020-12-21,-38.6,Мин. температура
3201,30173,2020-12-29,-23.2,Мин. температура
3201,30173,2021-02-06,-29.0,Макс. температура
3201,30173,2021-02-12,-17.0,Макс. температура
3201,30173,2021-05-07,-1.4,Мин. температура
3201,30173,2021-06-12,8.5,Мин. температура
3201,30173,2021-08-29,1.6,Мин. температура
3201,30173,2021-10-29,-10.7,Мин. температура
3201,30173,2021-11-27,-21.6,Мин. температура
3201,30173,2022-02-03,-25.0,Макс. температура
3201,30173,2022-02-06,-22.0,Макс. температура
3201,30173,2022-03-09,-19.8,Мин. температура
3201,30173,2022-03-24,3.8,Макс. температура
3201,30173,2022-04-08,-7.6,Мин. температура
3201,30173,2022-07-07,14.7,Макс. температура
3201,30173,2022-07-18,15.6,Мин. температура
3201,30173,2022-08-06,18.9,Макс. температура
3201,30173,2022-08-24,5.1,Мин. температура
3201,30173,2022-11-03,-6.2,Макс. температура
3201,30173,2022-12-02,-22.8,Макс. температура
3201,30173,2022-12-29,-34.3,Мин. температура
3201,30173,2023-03-04,5.0,Макс. температура
3201,30173,2023-03-22,-38.3,Мин. температура
3201,30173,2023-07-17,4.8,Мин. температура
3201,30173,2023-07-18,15.8,Мин. температура
3201,30173,2023-07-20,17.0,Макс. температура
3201,30173,2023-08-06,11.4,Мин. температура
3201,30173,2023-08-07,10.4,Мин. температура
3201,30173,2023-08-24,-0.2,Мин. температура
3201,30173,2023-09-03,17.0,Макс. температура
3201,30173,2023-09-08,-0.4,Мин. температура
3201,30173,2023-11-02,-31.8,Мин. температура
3201,30173,2023-11-17,-6.0,Макс. температура
3201,30173,2024-02-24,-16.2,Макс. температура
3201,30173,2024-02-28,-20.0,Макс. температура
3201,30173,2024-03-21,8.0,Макс. температура
3201,30173,2024-04-26,-4.6,Мин. температура
3201,30173,2024-04-28,6.6,Макс. температура
3201,30173,2024-04-29,6.8,Макс. температура
3201,30173,2024-05-04,13.5,Макс. температура
3201,30173,2024-05-18,8.0,Макс. температура
3201,30173,2024-06-04,20.8,Макс. температура
3201,30173,2024-09-20,-0.2,Мин. температура
3201,30173,2024-10-11,-4.2,Мин. температура
3201,30173,2024-10-20,-1.1,Макс. температура
3201,30173,2024-10-25,-1.3,Макс. температура
3201,30173,2024-11-03,-8.9,Макс. температура
3201,30173,2024-11-24,-13.8,Мин. температура
3201,30173,2019-12-15,-13.4,Макс. температура
3201,30173,2019-12-23,-30.6,Макс. температура
3201,30173,2020-01-14,-35.9,Мин. температура
3201,30173,2020-01-18,-16.6,Макс. температура
3201,30173,2020-02-03,-24.8,Макс. температура
3201,30173,2020-02-09,-8.0,Макс. температура
3201,30173,2020-04-09,15.8,Макс. температура
3201,30173,2020-05-22,3.0,Мин. температура
3201,30173,2020-07-05,18.4,Макс. температура
3201,30173,2020-07-10,9.4,Мин. температура
3201,30173,2020-07-29,18.9,Макс. температура
3201,30173,2020-08-27,-6.0,Мин. температура
3201,30173,2020-10-20,-3.6,Мин. температура
3201,30173,2020-10-28,-5.8,Макс. температура
3201,30173,2020-11-16,-23.2,Мин. температура
3201,30173,2021-03-14,-13.7,Мин. температура
3201,30173,2021-03-25,-17.3,Мин. температура
3201,30173,2021-03-29,3.1,Макс. температура
3201,30173,2021-04-23,-15.8,Мин. температура
3201,30173,2021-05-08,1.0,Мин. температура
3201,30173,2021-07-02,9.1,Мин. температура
3201,30173,2021-07-12,8.5,Мин. температура
3201,30173,2021-07-17,10.7,Мин. температура
3201,30173,2021-08-07,19.9,Макс. температура
3201,30173,2021-09-20,1.8,Мин. температура
3201,30173,2021-10-24,-2.0,Мин. температура
3201,30173,2021-11-13,-7.2,Макс. температура
3201,30173,2022-01-13,-27.2,Макс. температура
3201,30173,2022-03-05,-8.5,Макс. температура
3201,30173,2022-03-27,-17.6,Мин. температура
3201,30173,2022-04-23,-9.6,Мин. температура
3201,30173,2022-04-24,4.6,Макс. температура
3201,30173,2022-06-03,25.0,Макс. температура
3201,30173,2022-06-19,30.2,Макс. температура
3201,30173,2022-07-17,18.8,Мин. температура
3201,30173,2022-07-31,27.8,Макс. температура
3201,30173,2022-08-13,10.6,Мин. температура
3201,30173,2022-09-05,11.8,Макс. температура
3201,30173,2022-09-23,-0.2,Мин. температура
3201,30173,2022-09-26,5.2,Макс. температура
3201,30173,2022-10-23,-14.1,Мин. температура
3201,30173,2022-11-25,-23.4,Макс. температура
3201,30173,2023-01-26,-34.8,Макс. температура
3201,30173,2023-03-25,3.2,Макс. температура
3201,30173,2023-04-03,-23.5,Мин. температура
3201,30173,2023-05-09,-4.0,Мин. температура
3201,30173,2023-05-23,2.2,Мин. температура
3201,30173,2023-05-25,18.4,Макс. температура
3201,30173,2023-06-01,20.8,Макс. температура
3201,30173,2023-06-12,10.4,Мин. температура
3201,30173,2023-06-13,13.8,Макс. температура
3201,30173,2023-08-04,29.6,Макс. температура
3201,30173,2023-10-21,4.2,Макс. температура
3201,30173,2024-02-09,-26.9,Макс. температура
3201,30173,2024-05-23,1.8,Мин. температура
3201,30173,2024-05-30,28.8,Макс. температура
3201,30173,2024-06-03,7.0,Мин. температура
3201,30173,2024-07-14,11.8,Мин. температура
3201,30173,2024-08-14,13.1,Мин. температура
3201,30173,2024-09-01,16.3,Макс. температура
3201,30173,2024-12-01,-31.9,Мин. температура
3201,30173,2024-12-25,-14.8,Макс. температура
3201,30173,2019-10-30,-9.1,Мин. температура
3201,30173,2019-11-04,-0.2,Макс. температура
3201,30173,2019-11-10,-3.0,Макс. температура
3201,30173,2019-11-22,-35.7,Мин. температура
3201,30173,2019-11-29,-31.2,Мин. температура
3201,30173,2020-01-27,-25.6,Мин. температура
3201,30173,2020-04-24,-2.1,Мин. температура
3201,30173,2020-04-26,16.9,Макс. температура
3201,30173,2020-05-20,13.2,Макс. температура
3201,30173,2020-07-07,5.7,Мин. температура
3201,30173,2020-07-30,12.4,Мин. температура
3201,30173,2020-11-09,-14.0,Макс. температура
3201,30173,2020-12-16,-33.0,Макс. температура
3201,30173,2021-01-03,-41.9,Мин. температура
3201,30173,2021-02-15,-28.7,Макс. температура
3201,30173,2021-02-16,-41.4,Мин. температура
3201,30173,2021-02-21,-42.9,Мин. температура
3201,30173,2021-04-14,4.6,Макс. температура
3201,30173,2021-05-14,16.6,Макс. температура
3201,30173,2021-06-26,16.2,Мин. температура
3201,30173,2021-06-29,22.0,Макс. температура
3201,30173,2021-07-17,29.9,Макс. температура
3201,30173,2021-07-24,19.2,Макс. температура
3201,30173,2021-10-04,1.8,Макс. температура
3201,30173,2021-10-15,-3.8,Макс. температура
3201,30173,2021-11-23,-37.4,Мин. температура
3201,30173,2021-12-15,-41.0,Макс. температура
3201,30173,2021-12-16,-30.8,Макс. температура
3201,30173,2022-01-14,-31.5,Макс. температура
3201,30173,2022-02-02,-39.6,Мин. температура
3201,30173,2022-02-28,-7.0,Макс. температура
3201,30173,2022-03-08,-4.9,Макс. температура
3201,30173,2022-04-28,5.8,Макс. температура
3201,30173,2022-05-31,10.5,Макс. температура
3201,30173,2022-06-24,31.6,Макс. температура
3201,30173,2022-07-03,14.4,Мин. температура
3201,30173,2022-07-25,12.8,Мин. температура
3201,30173,2022-07-30,26.8,Макс. температура
3201,30173,2022-08-09,15.2,Макс. температура
3201,30173,2022-08-30,11.6,Макс. температура
3201,30173,2022-09-01,1.6,Мин. температура
3201,30173,2022-09-14,-0.1,Мин. температура
3201,30173,2022-10-09,3.8,Макс. температура
