gidro_num,identifier,dt,temp,temptype
3355,24725,1985-01-21,-37.4,Макс. температура
3355,24725,1985-05-13,-4.0,Мин. температура
3355,24725,1985-06-09,17.3,Макс. температура
3355,24725,1985-06-15,21.8,Макс. температура
3355,24725,1985-06-26,21.6,Макс. температура
3355,24725,1985-07-26,8.3,Мин. температура
3355,24725,1985-09-02,5.0,Мин. температура
3355,24725,1985-09-17,1.0,Макс. температура
3355,24725,1985-10-27,-1.2,Макс. температура
3355,24725,1985-12-02,-31.5,Мин. температура
3355,24725,1986-01-13,-40.2,Мин. температура
3355,24725,1986-02-07,-11.9,Макс. температура
3355,24725,1986-03-17,-14.3,Мин. температура
3355,24725,1986-03-20,-4.6,Макс. температура
3355,24725,1986-04-02,-5.3,Макс. температура
3355,24725,1986-05-05,-12.8,Мин. температура
3355,24725,1986-06-25,27.8,Макс. температура
3355,24725,1986-08-20,17.3,Макс. температура
3355,24725,1986-08-21,19.3,Макс. температура
3355,24725,1986-08-27,9.8,Мин. температура
3355,24725,1986-08-30,17.4,Макс. температура
3355,24725,1986-10-18,-2.7,Мин. температура
3355,24725,1986-12-05,-15.8,Мин. температура
3355,24725,1987-01-03,-42.2,Макс. температура
3355,24725,1987-01-31,-23.6,Макс. температура
3355,24725,1987-02-01,-30.0,Мин. температура
3355,24725,1987-04-25,-6.5,Мин. температура
3355,24725,1987-06-23,12.4,Макс. температура
3355,24725,1987-07-19,13.2,Мин. температура
3355,24725,1987-09-04,10.5,Макс. температура
3355,24725,1987-11-23,-40.0,Макс. температура
3355,24725,1987-11-27,-29.7,Макс. температура
3355,24725,1987-12-06,-23.2,Мин. температура
3355,24725,1987-12-30,-45.5,Мин. температура
3355,24725,1988-01-04,-37.0,Мин. температура
3355,24725,1988-01-26,-26.5,Макс. температура
3355,24725,1988-03-18,-17.8,Макс. температура
3355,24725,1988-06-21,13.8,Макс. температура
3355,24725,1988-07-26,19.9,Мин. температура
3355,24725,1988-09-10,9.9,Макс. температура
3355,24725,1988-09-16,13.0,Макс. температура
3355,24725,1988-09-17,11.8,Макс. температура
3355,24725,1988-11-14,-27.4,Мин. температура
3355,24725,1988-11-24,-21.1,Макс. температура
3355,24725,1988-12-04,-23.2,Мин. температура
3355,24725,1988-12-10,-37.9,Мин. температура
3355,24725,1989-01-10,-22.0,Макс. температура
3355,24725,1989-01-14,-12.7,Макс. температура
3355,24725,1989-03-07,-9.1,Макс. температура
3355,24725,1989-03-17,-8.7,Макс. температура
3355,24725,1989-04-04,2.5,Макс. температура
3355,24725,1989-04-13,-10.9,Мин. температура
3355,24725,1989-06-03,5.7,Мин. температура
3355,24725,1989-06-21,5.2,Мин. температура
3355,24725,1989-07-02,10.9,Макс. температура
3355,24725,1989-07-09,3.5,Мин. температура
3355,24725,1989-07-30,11.0,Мин. температура
3355,24725,1989-07-31,7.7,Мин. температура
3355,24725,1989-08-11,10.8,Макс. температура
3355,24725,1989-08-20,21.7,Макс. температура
3355,24725,1989-11-16,-32.6,Мин. температура
3355,24725,1989-12-14,-31.3,Мин. температура
3355,24725,1990-04-06,-9.4,Мин. температура
3355,24725,1990-05-07,2.4,Мин. температура
3355,24725,1990-05-21,15.2,Макс. температура
3355,24725,1990-07-04,14.0,Макс. температура
3355,24725,1990-07-20,7.1,Мин. температура
3355,24725,1990-08-24,18.1,Макс. температура
3355,24725,1990-09-19,11.7,Макс. температура
3355,24725,1990-11-29,-33.0,Мин. температура
3355,24725,1990-11-30,-14.4,Макс. температура
3355,24725,1991-01-14,-29.5,Макс. температура
3355,24725,1991-01-21,-31.2,Мин. температура
3355,24725,1991-02-04,-23.3,Макс. температура
3355,24725,1991-04-01,1.9,Макс. температура
3355,24725,1991-05-06,-1.6,Мин. температура
