gidro_num,identifier,dt,temp,temptype
3560,24725,2005-01-09,-32.5,Макс. температура
3560,24725,2005-01-11,-35.8,Макс. температура
3560,24725,2005-02-07,-30.1,Мин. температура
3560,24725,2005-02-11,-25.2,Макс. температура
3560,24725,2005-02-17,-33.1,Мин. температура
3560,24725,2005-05-07,1.8,Мин. температура
3560,24725,2005-06-25,7.9,Мин. температура
3560,24725,2005-07-26,30.7,Макс. температура
3560,24725,2005-07-29,19.3,Макс. температура
3560,24725,2005-08-09,12.0,Мин. температура
3560,24725,2005-10-27,-7.0,Мин. температура
3560,24725,2006-01-07,-22.5,Макс. температура
3560,24725,2006-01-26,-36.1,Макс. температура
3560,24725,2006-02-24,-18.6,Макс. температура
3560,24725,2006-03-13,-1.1,Макс. температура
3560,24725,2006-04-19,-7.4,Мин. температура
3560,24725,2006-04-22,0.9,Макс. температура
3560,24725,2006-04-25,-11.5,Мин. температура
3560,24725,2006-06-22,12.6,Мин. температура
3560,24725,2006-07-16,11.8,Мин. температура
3560,24725,2006-08-06,23.8,Макс. температура
3560,24725,2006-09-16,7.8,Мин. температура
3560,24725,2006-11-05,-17.8,Макс. температура
3560,24725,2006-11-24,-22.8,Макс. температура
3560,24725,2006-12-04,-24.2,Макс. температура
3560,24725,2007-01-19,-21.2,Мин. температура
3560,24725,2007-01-27,-15.2,Макс. температура
3560,24725,2007-02-21,-35.1,Макс. температура
3560,24725,2007-06-02,1.1,Мин. температура
3560,24725,2007-09-07,16.1,Макс. температура
3560,24725,2007-10-05,-4.2,Мин. температура
3560,24725,2007-11-05,-2.0,Мин. температура
3560,24725,2007-11-18,-23.2,Макс. температура
3560,24725,2007-11-22,-25.3,Мин. температура
3560,24725,2007-12-11,-16.0,Мин. температура
3560,24725,2007-12-18,-39.1,Макс. температура
3560,24725,2008-02-07,-12.3,Макс. температура
3560,24725,2008-02-13,-20.8,Макс. температура
3560,24725,2008-02-13,-32.6,Мин. температура
3560,24725,2008-03-12,-4.0,Макс. температура
3560,24725,2008-05-09,-5.1,Мин. температура
3560,24725,2008-06-04,19.5,Макс. температура
3560,24725,2008-06-30,24.8,Макс. температура
3560,24725,2008-09-12,6.5,Макс. температура
3560,24725,2008-09-20,6.7,Макс. температура
3560,24725,2008-10-08,-0.4,Мин. температура
3560,24725,2008-10-28,-2.7,Мин. температура
3560,24725,2008-11-07,-15.0,Макс. температура
3560,24725,2008-11-09,-0.2,Макс. температура
3560,24725,2008-11-30,-22.1,Макс. температура
3560,24725,2009-01-04,-14.7,Макс. температура
3560,24725,2009-02-01,-45.7,Мин. температура
3560,24725,2009-02-02,-36.8,Макс. температура
3560,24725,2009-03-02,-20.6,Мин. температура
3560,24725,2009-04-16,-6.3,Мин. температура
3560,24725,2009-05-18,3.9,Макс. температура
3560,24725,2009-06-18,7.7,Мин. температура
3560,24725,2009-06-26,17.7,Макс. температура
3560,24725,2009-06-29,12.2,Мин. температура
3560,24725,2009-07-05,20.9,Макс. температура
3560,24725,2009-07-14,28.0,Макс. температура
3560,24725,2009-09-01,18.0,Макс. температура
3560,24725,2009-09-16,3.0,Мин. температура
3560,24725,2009-09-28,5.0,Мин. температура
3560,24725,2009-10-16,-4.6,Мин. температура
3560,24725,2010-01-13,-31.9,Макс. температура
