gidro_num,identifier,dt,temp,temptype
3214,24959,2005-03-16,-23.5,Мин. температура
3214,24959,2005-05-27,3.4,Мин. температура
3214,24959,2005-08-18,9.0,Мин. температура
3214,24959,2005-10-22,-9.0,Макс. температура
3214,24959,2005-10-22,-16.4,Мин. температура
3214,24959,2006-01-05,-39.5,Макс. температура
3214,24959,2006-02-10,-34.4,Макс. температура
3214,24959,2006-02-16,-41.9,Мин. температура
3214,24959,2006-03-03,-30.1,Мин. температура
3214,24959,2006-03-19,-30.0,Мин. температура
3214,24959,2006-03-27,-12.5,Макс. температура
3214,24959,2006-04-01,-1.9,Макс. температура
3214,24959,2006-05-01,1.1,Мин. температура
3214,24959,2006-05-24,13.5,Макс. температура
3214,24959,2006-06-17,14.0,Мин. температура
3214,24959,2006-07-22,7.4,Мин. температура
3214,24959,2006-09-11,-1.1,Мин. температура
3214,24959,2007-01-08,-34.5,Макс. температура
3214,24959,2007-01-09,-37.9,Макс. температура
3214,24959,2007-02-08,-43.6,Мин. температура
3214,24959,2007-02-26,-27.9,Макс. температура
3214,24959,2007-05-13,-1.3,Мин. температура
3214,24959,2007-06-09,9.9,Мин. температура
3214,24959,2007-06-13,17.3,Макс. температура
3214,24959,2007-10-02,2.5,Макс. температура
3214,24959,2007-10-03,-5.0,Мин. температура
3214,24959,2007-10-16,2.1,Макс. температура
3214,24959,2007-12-06,-11.7,Макс. температура
3214,24959,2007-12-12,-36.3,Мин. температура
3214,24959,2007-12-20,-37.1,Макс. температура
3214,24959,2008-03-04,-24.9,Мин. температура
3214,24959,2008-05-05,0.2,Мин. температура
3214,24959,2008-05-29,7.9,Мин. температура
3214,24959,2008-06-11,18.6,Макс. температура
3214,24959,2008-06-12,11.4,Мин. температура
3214,24959,2008-06-22,13.0,Мин. температура
3214,24959,2008-08-13,21.2,Макс. температура
3214,24959,2008-10-20,-2.7,Макс. температура
3214,24959,2008-10-21,-0.9,Макс. температура
3214,24959,2008-11-20,-33.0,Макс. температура
3214,24959,2009-01-09,-37.3,Макс. температура
3214,24959,2009-02-24,-32.7,Макс. температура
