gidro_num,identifier,dt,temp,temptype
3272,31062,2019-09-29,3.1,Макс. температура
3272,31062,2019-10-09,-2.4,Мин. температура
3272,31062,2019-10-25,-11.7,Мин. температура
3272,31062,2019-11-03,-12.9,Макс. температура
3272,31062,2019-11-11,-32.6,Мин. температура
3272,31062,2019-11-24,-23.7,Макс. температура
3272,31062,2019-11-30,-23.4,Макс. температура
3272,31062,2019-12-02,-26.9,Макс. температура
3272,31062,2019-12-03,-26.5,Мин. температура
3272,31062,2019-12-04,-33.0,Мин. температура
3272,31062,2020-01-05,-35.1,Мин. температура
3272,31062,2020-03-16,-14.8,Макс. температура
3272,31062,2020-04-30,3.6,Макс. температура
3272,31062,2020-05-02,-1.6,Мин. температура
3272,31062,2020-05-07,-4.3,Мин. температура
3272,31062,2020-06-11,12.0,Макс. температура
3272,31062,2020-06-11,5.2,Мин. температура
3272,31062,2020-08-30,17.4,Макс. температура
3272,31062,2020-09-15,13.4,Макс. температура
3272,31062,2020-09-17,14.6,Макс. температура
3272,31062,2020-12-09,-42.3,Мин. температура
3272,31062,2021-01-07,-46.2,Мин. температура
3272,31062,2021-03-08,-17.5,Макс. температура
3272,31062,2021-04-01,-21.3,Мин. температура
3272,31062,2021-04-02,-19.7,Мин. температура
3272,31062,2021-04-07,-3.6,Макс. температура
3272,31062,2021-04-11,-7.6,Мин. температура
3272,31062,2021-05-18,7.2,Макс. температура
3272,31062,2021-05-24,9.4,Макс. температура
3272,31062,2021-06-20,3.0,Мин. температура
3272,31062,2021-06-26,7.1,Мин. температура
3272,31062,2021-06-29,30.6,Макс. температура
3272,31062,2021-08-09,1.8,Мин. температура
3272,31062,2021-10-25,-10.2,Мин. температура
3272,31062,2021-10-31,-10.2,Макс. температура
3272,31062,2021-11-08,-23.0,Мин. температура
3272,31062,2021-12-18,-48.2,Мин. температура
3272,31062,2021-12-22,-48.2,Мин. температура
3272,31062,2022-02-04,-26.9,Макс. температура
3272,31062,2022-06-30,9.5,Мин. температура
