gidro_num,identifier,dt,temp,temptype
3237,30198,1995-01-10,-37.2,Мин. температура
3237,30198,1995-03-29,-18.9,Мин. температура
3237,30198,1995-04-27,-12.0,Мин. температура
3237,30198,1995-05-30,-0.6,Мин. температура
3237,30198,1995-08-04,10.1,Мин. температура
3237,30198,1995-10-22,3.4,Макс. температура
3237,30198,1995-12-20,-19.4,Макс. температура
3237,30198,1996-01-10,-19.3,Макс. температура
3237,30198,1996-01-26,-21.7,Макс. температура
3237,30198,1996-02-06,-25.9,Макс. температура
3237,30198,1996-02-08,-25.8,Макс. температура
3237,30198,1996-02-20,-24.3,Мин. температура
3237,30198,1996-03-07,-6.4,Макс. температура
3237,30198,1996-04-01,-23.1,Мин. температура
3237,30198,1996-04-07,-25.5,Мин. температура
3237,30198,1996-04-10,1.0,Макс. температура
3237,30198,1996-06-14,28.9,Макс. температура
3237,30198,1996-06-26,24.6,Макс. температура
3237,30198,1996-07-10,34.7,Макс. температура
3237,30198,1996-07-10,11.0,Мин. температура
3237,30198,1996-08-02,3.8,Мин. температура
3237,30198,1996-08-28,12.3,Макс. температура
3237,30198,1996-12-03,-33.2,Мин. температура
3237,30198,1996-12-18,-31.3,Макс. температура
3237,30198,1997-01-04,-27.7,Макс. температура
3237,30198,1997-01-25,-30.3,Макс. температура
3237,30198,1997-02-06,-37.5,Мин. температура
3237,30198,1997-02-12,-10.5,Макс. температура
3237,30198,1997-03-31,-9.5,Макс. температура
3237,30198,1997-04-03,-8.7,Мин. температура
3237,30198,1997-04-06,-6.4,Мин. температура
3237,30198,1997-04-26,4.7,Макс. температура
3237,30198,1997-12-25,-31.6,Мин. температура
3237,30198,1998-01-11,-44.6,Мин. температура
3237,30198,1998-01-22,-35.3,Мин. температура
3237,30198,1998-01-29,-30.4,Мин. температура
3237,30198,1998-02-19,-7.9,Макс. температура
3237,30198,1998-03-21,-8.0,Макс. температура
3237,30198,1998-04-19,5.3,Макс. температура
3237,30198,1998-04-27,4.4,Макс. температура
3237,30198,1998-05-17,4.2,Макс. температура
3237,30198,1998-06-01,6.2,Мин. температура
3237,30198,1998-06-14,28.2,Макс. температура
3237,30198,1998-08-07,28.8,Макс. температура
3237,30198,1998-08-14,28.2,Макс. температура
3237,30198,1998-10-07,-19.2,Мин. температура
3237,30198,1998-11-01,-14.0,Макс. температура
3237,30198,1998-12-11,-19.8,Макс. температура
3237,30198,1998-12-28,-29.0,Макс. температура
3237,30198,1999-02-17,-41.0,Мин. температура
3237,30198,1999-02-25,-8.9,Макс. температура
3237,30198,1999-02-28,-14.2,Макс. температура
3237,30198,1999-03-27,-11.7,Макс. температура
3237,30198,1999-04-22,-4.6,Мин. температура
3237,30198,1999-04-23,-7.6,Мин. температура
3237,30198,1999-05-01,-15.9,Мин. температура
3237,30198,1999-07-29,4.8,Мин. температура
3237,30198,1999-08-04,10.6,Мин. температура
3237,30198,1999-09-06,19.6,Макс. температура
3237,30198,1999-09-13,5.7,Макс. температура
3237,30198,1999-10-13,-10.5,Мин. температура
3237,30198,2000-01-12,-36.2,Макс. температура
3237,30198,2000-01-20,-45.8,Мин. температура
3237,30198,2000-02-29,-10.4,Макс. температура
3237,30198,2000-03-26,-5.1,Макс. температура
3237,30198,2000-03-26,-26.0,Мин. температура
3237,30198,2000-04-06,-20.6,Мин. температура
3237,30198,2000-07-09,25.8,Макс. температура
3237,30198,2000-08-04,26.8,Макс. температура
3237,30198,2000-08-17,17.7,Макс. температура
3237,30198,2000-09-14,-2.0,Мин. температура
3237,30198,2000-10-02,-9.2,Мин. температура
3237,30198,2000-11-12,-16.4,Макс. температура
