gidro_num,identifier,dt,temp,temptype
3414,24266,1985-02-08,-44.6,Мин. температура
3414,24266,1985-02-19,-41.5,Мин. температура
3414,24266,1985-03-30,-4.5,Макс. температура
3414,24266,1985-04-11,-14.4,Макс. температура
3414,24266,1985-05-02,3.9,Макс. температура
3414,24266,1985-05-16,-2.5,Мин. температура
3414,24266,1985-07-23,17.3,Макс. температура
3414,24266,1985-12-01,-43.4,Мин. температура
3414,24266,1985-12-17,-44.3,Мин. температура
3414,24266,1986-01-10,-44.3,Макс. температура
3414,24266,1986-02-18,-47.7,Мин. температура
3414,24266,1986-03-21,-33.3,Мин. температура
3414,24266,1986-03-31,-31.9,Мин. температура
3414,24266,1986-04-03,-28.2,Мин. температура
3414,24266,1986-05-03,-2.0,Мин. температура
3414,24266,1986-06-05,2.1,Мин. температура
3414,24266,1986-06-14,24.8,Макс. температура
3414,24266,1986-07-23,8.0,Мин. температура
3414,24266,1986-08-22,17.1,Макс. температура
3414,24266,1986-09-08,-5.6,Мин. температура
3414,24266,1986-10-12,1.9,Макс. температура
3414,24266,1987-01-03,-52.6,Макс. температура
3414,24266,1987-01-04,-55.1,Мин. температура
3414,24266,1987-02-07,-52.0,Мин. температура
3414,24266,1987-02-24,-39.3,Макс. температура
3414,24266,1987-03-06,-31.4,Макс. температура
3414,24266,1987-03-13,-36.5,Мин. температура
3414,24266,1987-04-13,-28.3,Мин. температура
3414,24266,1987-07-06,25.1,Макс. температура
3414,24266,1987-08-26,-4.3,Мин. температура
3414,24266,1987-09-04,8.9,Макс. температура
3414,24266,1987-09-04,1.0,Мин. температура
3414,24266,1987-10-30,-22.2,Макс. температура
3414,24266,1987-11-02,-34.5,Мин. температура
3414,24266,1988-01-24,-55.6,Макс. температура
3414,24266,1988-02-17,-43.1,Мин. температура
3414,24266,1988-02-24,-47.7,Мин. температура
3414,24266,1988-03-24,-6.6,Макс. температура
3414,24266,1988-06-24,6.0,Мин. температура
3414,24266,1988-06-26,8.9,Мин. температура
3414,24266,1988-07-23,30.3,Макс. температура
3414,24266,1988-08-13,4.3,Мин. температура
3414,24266,1988-09-06,8.0,Макс. температура
3414,24266,1988-10-03,8.5,Макс. температура
3414,24266,1988-10-15,-10.6,Макс. температура
3414,24266,1988-10-15,-18.7,Мин. температура
3414,24266,1988-11-08,-40.6,Мин. температура
3414,24266,1988-11-27,-38.8,Мин. температура
3414,24266,1988-12-24,-50.3,Мин. температура
3414,24266,1989-01-07,-55.8,Мин. температура
3414,24266,1989-02-03,-39.4,Макс. температура
3414,24266,1989-03-06,-39.4,Мин. температура
3414,24266,1989-03-18,-13.6,Макс. температура
3414,24266,1989-04-06,-6.3,Макс. температура
3414,24266,1989-08-07,5.6,Мин. температура
3414,24266,1989-08-13,20.7,Макс. температура
3414,24266,1989-09-03,4.4,Мин. температура
3414,24266,1989-10-05,-12.6,Мин. температура
3414,24266,1989-10-12,-11.0,Макс. температура
3414,24266,1989-12-07,-42.6,Мин. температура
3414,24266,1989-12-13,-46.8,Мин. температура
3414,24266,1990-01-13,-45.8,Мин. температура
3414,24266,1990-01-28,-46.7,Макс. температура
3414,24266,1990-03-07,-11.0,Макс. температура
3414,24266,1990-03-27,-3.4,Макс. температура
3414,24266,1990-04-04,0.5,Макс. температура
3414,24266,1990-07-29,20.5,Макс. температура
3414,24266,1990-08-13,3.2,Мин. температура
3414,24266,1990-08-16,16.0,Макс. температура
3414,24266,1990-09-02,-2.6,Мин. температура
3414,24266,1990-10-11,-1.0,Макс. температура
3414,24266,1990-10-20,-23.1,Макс. температура
3414,24266,1991-02-02,-46.8,Мин. температура
3414,24266,1991-03-16,-45.3,Мин. температура
3414,24266,1991-05-05,2.2,Макс. температура
3414,24266,1991-06-05,0.3,Мин. температура
3414,24266,1991-07-08,13.7,Мин. температура
3414,24266,1991-07-13,14.7,Мин. температура
