gidro_num,identifier,dt,temp,temptype
1578,25400,1995-01-12,-30.1,Макс. температура
1578,25400,1995-02-18,-21.9,Мин. температура
1578,25400,1995-04-14,-8.8,Макс. температура
1578,25400,1995-05-07,2.0,Макс. температура
1578,25400,1995-06-01,4.5,Мин. температура
1578,25400,1995-06-26,10.1,Мин. температура
1578,25400,1995-07-01,9.3,Мин. температура
1578,25400,1995-07-10,8.6,Мин. температура
1578,25400,1995-07-24,22.4,Макс. температура
1578,25400,1995-08-14,18.9,Макс. температура
1578,25400,1995-08-21,8.1,Мин. температура
1578,25400,1995-09-11,19.0,Макс. температура
1578,25400,1995-10-06,-2.7,Макс. температура
1578,25400,1995-10-20,-2.4,Макс. температура
1578,25400,1996-01-24,-42.6,Мин. температура
1578,25400,1996-05-08,-2.9,Макс. температура
1578,25400,1996-05-21,13.2,Макс. температура
1578,25400,1996-07-10,7.8,Мин. температура
1578,25400,1996-08-07,4.5,Мин. температура
1578,25400,1996-08-31,5.9,Макс. температура
1578,25400,1996-09-01,1.0,Мин. температура
1578,25400,1996-10-26,-20.5,Мин. температура
1578,25400,1996-11-01,-20.0,Макс. температура
1578,25400,1996-11-11,-35.3,Мин. температура
1578,25400,1996-12-09,-40.1,Макс. температура
1578,25400,1996-12-13,-44.5,Макс. температура
1578,25400,1996-12-19,-35.2,Макс. температура
1578,25400,1997-02-07,-32.2,Макс. температура
1578,25400,1997-03-27,-16.7,Макс. температура
1578,25400,1997-04-04,-32.1,Мин. температура
1578,25400,1997-05-04,-1.5,Макс. температура
1578,25400,1997-06-05,20.8,Макс. температура
1578,25400,1997-10-13,-11.2,Мин. температура
1578,25400,1997-12-02,-45.5,Макс. температура
1578,25400,1997-12-07,-40.1,Макс. температура
1578,25400,1997-12-10,-41.9,Макс. температура
1578,25400,1997-12-14,-48.8,Мин. температура
1578,25400,1997-12-29,-47.2,Мин. температура
1578,25400,1998-01-27,-32.3,Макс. температура
1578,25400,1998-03-27,-36.8,Мин. температура
1578,25400,1998-04-23,-10.4,Макс. температура
1578,25400,1998-04-24,-20.2,Мин. температура
1578,25400,1998-06-12,15.1,Макс. температура
1578,25400,1998-06-15,18.0,Макс. температура
1578,25400,1998-08-05,18.4,Макс. температура
1578,25400,1998-08-16,4.2,Мин. температура
1578,25400,1998-08-25,2.5,Мин. температура
1578,25400,1998-09-12,3.8,Мин. температура
1578,25400,1998-11-08,-24.9,Макс. температура
1578,25400,1999-01-21,-38.0,Макс. температура
1578,25400,1999-01-29,-33.6,Мин. температура
1578,25400,1999-02-01,-27.0,Макс. температура
1578,25400,1999-04-11,-13.5,Макс. температура
1578,25400,1999-08-30,19.3,Макс. температура
1578,25400,1999-10-11,-6.8,Макс. температура
1578,25400,1999-10-17,-12.8,Мин. температура
1578,25400,1999-11-28,-32.3,Макс. температура
1578,25400,1999-12-09,-43.1,Макс. температура
1578,25400,1999-12-12,-42.1,Макс. температура
1578,25400,2000-01-26,-45.2,Мин. температура
1578,25400,2000-04-25,-6.1,Макс. температура
1578,25400,2000-05-28,5.6,Макс. температура
1578,25400,2000-06-01,14.0,Макс. температура
1578,25400,2000-07-18,23.7,Макс. температура
1578,25400,2000-07-27,24.8,Макс. температура
1578,25400,2000-08-05,10.4,Мин. температура
1578,25400,2000-08-11,4.6,Мин. температура
1578,25400,2000-08-30,17.6,Макс. температура
1578,25400,2000-09-10,0.2,Мин. температура
1578,25400,2000-11-19,-20.1,Макс. температура
1578,25400,2001-01-11,-27.5,Макс. температура
1578,25400,2001-02-16,-35.3,Мин. температура
1578,25400,2001-03-22,-22.6,Мин. температура
1578,25400,2001-03-31,-6.1,Макс. температура
1578,25400,2001-04-08,-24.8,Мин. температура
1578,25400,2001-05-07,11.4,Макс. температура
1578,25400,2001-05-09,0.1,Мин. температура
1578,25400,2001-05-16,-6.1,Мин. температура
1578,25400,2001-06-26,21.8,Макс. температура
1578,25400,2001-07-15,13.7,Мин. температура
