gidro_num,identifier,dt,temp,temptype
3527,24585,2019-10-03,-3.0,Макс. температура
3527,24585,2019-10-25,-11.1,Макс. температура
3527,24585,2019-11-12,-46.3,Макс. температура
3527,24585,2020-01-06,-37.1,Макс. температура
3527,24585,2020-01-07,-40.4,Мин. температура
3527,24585,2020-03-11,-22.1,Макс. температура
3527,24585,2020-04-15,-12.0,Мин. температура
3527,24585,2020-05-18,-2.4,Мин. температура
3527,24585,2020-05-23,3.7,Мин. температура
3527,24585,2020-06-25,26.4,Макс. температура
3527,24585,2020-09-11,18.0,Макс. температура
3527,24585,2020-09-18,11.9,Макс. температура
3527,24585,2020-09-18,-1.0,Мин. температура
3527,24585,2020-09-21,12.7,Макс. температура
3527,24585,2020-09-25,11.6,Макс. температура
3527,24585,2020-10-09,1.9,Макс. температура
3527,24585,2020-10-11,-0.9,Макс. температура
3527,24585,2020-11-21,-28.1,Макс. температура
3527,24585,2020-12-20,-50.6,Мин. температура
3527,24585,2020-12-21,-42.5,Макс. температура
3527,24585,2020-12-29,-48.7,Макс. температура
3527,24585,2021-01-05,-43.3,Мин. температура
3527,24585,2021-02-03,-47.5,Мин. температура
3527,24585,2021-03-19,-39.7,Мин. температура
3527,24585,2021-03-21,-12.4,Макс. температура
3527,24585,2021-05-05,-6.4,Мин. температура
3527,24585,2021-05-13,0.8,Мин. температура
3527,24585,2021-08-04,20.8,Макс. температура
3527,24585,2021-08-04,1.5,Мин. температура
3527,24585,2021-09-09,-0.1,Мин. температура
3527,24585,2021-11-04,-26.5,Мин. температура
3527,24585,2021-12-23,-54.7,Макс. температура
3527,24585,2021-12-29,-47.6,Макс. температура
3527,24585,2022-01-02,-47.6,Макс. температура
3527,24585,2022-01-14,-36.8,Макс. температура
3527,24585,2022-02-16,-39.1,Макс. температура
3527,24585,2022-02-17,-38.5,Макс. температура
3527,24585,2022-03-16,-14.0,Макс. температура
3527,24585,2022-03-29,-9.6,Макс. температура
3527,24585,2022-04-07,-5.7,Макс. температура
3527,24585,2022-05-02,9.3,Макс. температура
3527,24585,2022-05-10,1.1,Мин. температура
3527,24585,2022-06-13,21.0,Макс. температура
3527,24585,2022-07-20,15.2,Мин. температура
3527,24585,2022-09-02,11.9,Макс. температура
3527,24585,2022-09-19,5.5,Макс. температура
3527,24585,2022-09-23,-2.7,Мин. температура
3527,24585,2022-11-10,-36.9,Мин. температура
3527,24585,2022-12-31,-42.0,Мин. температура
3527,24585,2023-01-07,-51.3,Макс. температура
3527,24585,2023-01-18,-45.4,Макс. температура
3527,24585,2023-01-25,-45.6,Макс. температура
3527,24585,2023-01-30,-50.4,Мин. температура
3527,24585,2023-02-16,-47.5,Мин. температура
3527,24585,2023-03-03,-51.4,Мин. температура
3527,24585,2023-03-27,-8.5,Макс. температура
3527,24585,2023-04-05,-14.3,Мин. температура
3527,24585,2023-04-29,9.0,Макс. температура
3527,24585,2023-04-30,-8.1,Мин. температура
3527,24585,2023-05-11,13.4,Макс. температура
3527,24585,2023-06-02,21.9,Макс. температура
3527,24585,2023-06-10,5.4,Мин. температура
3527,24585,2023-06-25,33.3,Макс. температура
3527,24585,2023-07-11,17.6,Макс. температура
3527,24585,2023-07-17,6.9,Мин. температура
3527,24585,2023-07-29,21.7,Макс. температура
3527,24585,2023-08-04,23.9,Макс. температура
3527,24585,2023-10-01,3.3,Макс. температура
3527,24585,2023-12-02,-31.2,Макс. температура
3527,24585,2024-01-17,-53.7,Мин. температура
3527,24585,2024-02-03,-23.4,Макс. температура
3527,24585,2024-03-26,-21.5,Мин. температура
3527,24585,2024-03-29,1.1,Макс. температура
3527,24585,2024-06-03,5.4,Мин. температура
3527,24585,2024-06-05,5.1,Мин. температура
3527,24585,2024-08-23,-1.8,Мин. температура
3527,24585,2024-12-15,-41.3,Мин. температура
