gidro_num,identifier,dt,temp,temptype
3330,24557,2019-10-10,-2.2,Макс. температура
3330,24557,2019-10-11,-10.1,Мин. температура
3330,24557,2019-12-06,-42.6,Мин. температура
3330,24557,2019-12-17,-39.6,Мин. температура
3330,24557,2020-01-23,-27.6,Макс. температура
3330,24557,2020-02-11,-16.4,Макс. температура
3330,24557,2020-02-29,-10.5,Макс. температура
3330,24557,2020-03-02,-12.5,Макс. температура
3330,24557,2020-03-06,-14.5,Мин. температура
3330,24557,2020-06-18,29.2,Макс. температура
3330,24557,2020-06-25,13.8,Мин. температура
3330,24557,2020-07-07,22.4,Макс. температура
3330,24557,2020-07-20,29.4,Макс. температура
3330,24557,2020-07-30,11.6,Мин. температура
3330,24557,2020-08-29,5.0,Мин. температура
3330,24557,2020-09-28,2.4,Мин. температура
3330,24557,2020-10-24,-7.8,Мин. температура
3330,24557,2020-10-28,-20.8,Мин. температура
3330,24557,2020-11-05,-20.9,Мин. температура
3330,24557,2021-01-04,-47.8,Мин. температура
3330,24557,2021-01-08,-38.1,Макс. температура
3330,24557,2021-04-22,-1.6,Макс. температура
3330,24557,2021-05-07,9.9,Макс. температура
3330,24557,2021-06-20,12.6,Мин. температура
3330,24557,2021-07-14,26.1,Макс. температура
3330,24557,2021-07-23,15.2,Мин. температура
3330,24557,2021-09-25,3.3,Мин. температура
3330,24557,2021-10-14,-5.8,Макс. температура
3330,24557,2021-12-27,-51.2,Мин. температура
3330,24557,2022-02-19,-32.0,Макс. температура
3330,24557,2022-03-27,-20.2,Мин. температура
3330,24557,2022-04-02,-10.2,Мин. температура
3330,24557,2022-06-21,11.2,Мин. температура
3330,24557,2022-12-01,-44.1,Мин. температура
3330,24557,2023-02-06,-46.0,Мин. температура
3330,24557,2023-02-18,-23.6,Макс. температура
3330,24557,2023-02-26,-20.1,Макс. температура
3330,24557,2023-03-17,-17.9,Мин. температура
3330,24557,2023-03-22,-37.7,Мин. температура
3330,24557,2023-04-17,5.0,Макс. температура
3330,24557,2023-05-06,-3.8,Мин. температура
3330,24557,2023-06-11,25.9,Макс. температура
3330,24557,2023-07-26,12.7,Мин. температура
3330,24557,2023-08-09,25.5,Макс. температура
3330,24557,2023-08-19,12.6,Мин. температура
3330,24557,2023-08-30,28.0,Макс. температура
3330,24557,2023-09-17,6.1,Макс. температура
3330,24557,2023-10-05,-2.4,Мин. температура
3330,24557,2023-12-07,-45.1,Макс. температура
3330,24557,2024-02-09,-41.1,Мин. температура
3330,24557,2024-02-13,-37.0,Мин. температура
3330,24557,2024-03-03,-22.0,Макс. температура
3330,24557,2024-03-19,-7.9,Макс. температура
3330,24557,2024-03-20,13.2,Макс. температура
3330,24557,2024-03-28,-21.1,Мин. температура
3330,24557,2024-06-12,14.0,Мин. температура
3330,24557,2024-07-06,22.0,Макс. температура
3330,24557,2024-07-07,24.1,Макс. температура
3330,24557,2024-07-08,12.2,Мин. температура
3330,24557,2024-08-02,19.4,Макс. температура
3330,24557,2024-08-10,23.0,Макс. температура
3330,24557,2024-09-04,13.5,Макс. температура
3330,24557,2024-09-15,8.7,Макс. температура
3330,24557,2024-09-24,2.0,Макс. температура
3330,24557,2024-10-11,-0.1,Макс. температура
3330,24557,2024-11-20,-33.9,Мин. температура
3330,24557,2024-12-03,-27.0,Макс. температура
3330,24557,2019-10-20,-1.4,Мин. температура
3330,24557,2019-12-24,-43.0,Мин. температура
3330,24557,2020-01-03,-43.6,Мин. температура
3330,24557,2020-01-20,-24.0,Макс. температура
3330,24557,2020-02-22,-22.5,Мин. температура
3330,24557,2020-05-23,5.5,Мин. температура
3330,24557,2020-06-13,20.7,Макс. температура
3330,24557,2020-06-28,28.8,Макс. температура
3330,24557,2020-07-05,19.4,Макс. температура
3330,24557,2020-07-20,17.1,Мин. температура
3330,24557,2020-08-05,13.1,Мин. температура
3330,24557,2020-08-22,15.4,Макс. температура
3330,24557,2020-11-05,-17.8,Макс. температура
3330,24557,2020-11-09,-23.4,Макс. температура
3330,24557,2020-11-10,-27.2,Мин. температура
3330,24557,2020-11-20,-20.9,Макс. температура
3330,24557,2020-12-17,-42.9,Макс. температура
3330,24557,2021-02-08,-30.5,Макс. температура
3330,24557,2021-04-10,-9.3,Мин. температура
3330,24557,2021-06-05,11.0,Мин. температура
3330,24557,2021-07-28,26.2,Макс. температура
3330,24557,2021-09-06,1.5,Мин. температура
3330,24557,2021-09-07,19.0,Макс. температура
