gidro_num,identifier,dt,temp,temptype
3443,24371,2019-10-11,-6.8,Макс. температура
3443,24371,2019-11-01,-20.4,Мин. температура
3443,24371,2019-11-04,-21.2,Мин. температура
3443,24371,2019-12-04,-44.6,Макс. температура
3443,24371,2019-12-11,-43.9,Мин. температура
3443,24371,2019-12-18,-45.4,Макс. температура
3443,24371,2020-02-11,-29.0,Макс. температура
3443,24371,2020-03-06,-31.0,Мин. температура
3443,24371,2020-03-29,-29.3,Мин. температура
3443,24371,2020-05-17,16.2,Макс. температура
3443,24371,2020-07-23,8.9,Мин. температура
3443,24371,2020-09-18,-4.5,Мин. температура
3443,24371,2020-11-10,-33.5,Макс. температура
3443,24371,2020-11-16,-30.6,Мин. температура
3443,24371,2020-11-24,-27.6,Макс. температура
3443,24371,2020-11-26,-25.7,Мин. температура
3443,24371,2020-12-02,-25.4,Мин. температура
3443,24371,2021-01-08,-33.7,Мин. температура
3443,24371,2021-05-04,-0.7,Мин. температура
3443,24371,2021-05-09,8.0,Макс. температура
3443,24371,2021-06-04,5.4,Мин. температура
3443,24371,2021-07-16,23.5,Макс. температура
3443,24371,2021-07-18,7.2,Мин. температура
3443,24371,2021-08-03,-0.3,Мин. температура
3443,24371,2021-09-15,16.5,Макс. температура
3443,24371,2021-11-15,-22.0,Макс. температура
3443,24371,2021-12-07,-47.7,Мин. температура
3443,24371,2022-02-18,-44.6,Мин. температура
3443,24371,2022-03-02,-24.5,Макс. температура
3443,24371,2022-03-04,-35.2,Мин. температура
3443,24371,2022-03-18,-35.9,Мин. температура
3443,24371,2022-03-29,-8.9,Макс. температура
3443,24371,2022-03-30,-33.1,Мин. температура
3443,24371,2022-04-02,-6.1,Макс. температура
3443,24371,2022-04-05,-8.8,Макс. температура
3443,24371,2022-05-15,-4.7,Мин. температура
3443,24371,2022-06-03,8.1,Мин. температура
3443,24371,2022-07-31,14.8,Мин. температура
3443,24371,2022-08-16,22.6,Макс. температура
3443,24371,2022-09-20,0.8,Макс. температура
3443,24371,2022-09-22,-5.8,Мин. температура
3443,24371,2022-09-30,0.2,Макс. температура
3443,24371,2022-10-01,-2.2,Макс. температура
3443,24371,2022-11-05,-22.5,Макс. температура
3443,24371,2022-11-25,-40.3,Мин. температура
3443,24371,2022-12-13,-39.8,Мин. температура
3443,24371,2023-01-08,-47.1,Мин. температура
3443,24371,2023-01-24,-48.5,Мин. температура
3443,24371,2023-02-03,-36.3,Макс. температура
3443,24371,2023-03-04,-19.5,Макс. температура
3443,24371,2023-03-21,-36.2,Мин. температура
3443,24371,2023-05-20,-6.6,Мин. температура
3443,24371,2023-06-10,5.1,Мин. температура
3443,24371,2023-06-24,10.9,Мин. температура
3443,24371,2023-07-12,26.5,Макс. температура
3443,24371,2023-08-25,17.5,Макс. температура
3443,24371,2023-10-25,-17.2,Макс. температура
3443,24371,2023-11-01,-12.4,Мин. температура
3443,24371,2023-12-16,-46.5,Мин. температура
3443,24371,2024-01-18,-44.5,Мин. температура
3443,24371,2024-01-29,-36.7,Макс. температура
3443,24371,2024-02-04,-45.4,Мин. температура
3443,24371,2024-04-13,-9.9,Макс. температура
