gidro_num,identifier,dt,temp,temptype
3218,30198,2015-01-11,-28.2,Макс. температура
3218,30198,2015-01-15,-25.3,Макс. температура
3218,30198,2015-01-20,-36.6,Мин. температура
3218,30198,2015-02-01,-27.1,Мин. температура
3218,30198,2015-03-31,-7.4,Мин. температура
3218,30198,2015-04-16,-3.0,Мин. температура
3218,30198,2015-04-25,-5.9,Мин. температура
3218,30198,2015-06-01,1.8,Мин. температура
3218,30198,2015-07-05,28.1,Макс. температура
3218,30198,2015-07-29,2.3,Мин. температура
3218,30198,2015-08-09,32.6,Макс. температура
3218,30198,2015-08-31,4.7,Мин. температура
3218,30198,2015-09-30,-8.7,Мин. температура
3218,30198,2015-11-06,-24.7,Мин. температура
3218,30198,2015-11-29,-21.8,Макс. температура
3218,30198,2016-01-24,-22.4,Макс. температура
3218,30198,2016-01-29,-39.6,Мин. температура
3218,30198,2016-04-01,-1.0,Макс. температура
3218,30198,2016-04-17,9.4,Макс. температура
3218,30198,2016-05-05,7.1,Макс. температура
3218,30198,2016-06-10,3.1,Мин. температура
3218,30198,2016-06-30,22.8,Макс. температура
3218,30198,2016-07-10,6.7,Мин. температура
3218,30198,2016-07-19,4.4,Мин. температура
3218,30198,2016-08-01,10.8,Мин. температура
3218,30198,2016-10-12,-4.8,Макс. температура
3218,30198,2016-12-01,-17.7,Макс. температура
3218,30198,2016-12-20,-31.2,Макс. температура
3218,30198,2017-01-08,-21.1,Макс. температура
3218,30198,2017-01-23,-33.7,Мин. температура
3218,30198,2017-01-25,-25.9,Мин. температура
3218,30198,2017-02-08,-16.9,Макс. температура
3218,30198,2017-02-10,-38.0,Мин. температура
3218,30198,2017-02-18,-22.6,Макс. температура
3218,30198,2017-04-07,-17.1,Мин. температура
3218,30198,2017-04-27,-1.3,Мин. температура
3218,30198,2017-05-04,4.6,Макс. температура
3218,30198,2017-05-10,1.6,Мин. температура
3218,30198,2017-06-19,29.3,Макс. температура
3218,30198,2017-07-30,25.7,Макс. температура
3218,30198,2017-09-24,8.9,Макс. температура
3218,30198,2017-10-04,-9.5,Мин. температура
3218,30198,2017-12-10,-22.8,Макс. температура
3218,30198,2017-12-30,-44.2,Мин. температура
3218,30198,2018-01-07,-28.4,Мин. температура
3218,30198,2018-01-17,-30.0,Макс. температура
3218,30198,2018-07-08,14.5,Мин. температура
3218,30198,2018-07-10,27.7,Макс. температура
3218,30198,2018-09-27,22.3,Макс. температура
3218,30198,2018-10-22,-4.3,Мин. температура
3218,30198,2018-11-15,-28.7,Мин. температура
3218,30198,2018-11-16,-18.6,Макс. температура
3218,30198,2018-12-27,-42.4,Мин. температура
3218,30198,2018-12-30,-33.1,Макс. температура
3218,30198,2019-02-05,-30.0,Макс. температура
3218,30198,2019-03-03,-6.7,Макс. температура
3218,30198,2019-03-23,-5.3,Макс. температура
3218,30198,2019-04-01,3.0,Макс. температура
3218,30198,2019-05-08,1.9,Мин. температура
3218,30198,2019-07-15,25.0,Макс. температура
3218,30198,2019-07-25,2.3,Мин. температура
3218,30198,2019-08-03,5.1,Мин. температура
3218,30198,2019-09-02,-0.7,Мин. температура
3218,30198,2019-09-15,-5.5,Мин. температура
3218,30198,2019-09-18,-0.5,Мин. температура
3218,30198,2019-09-28,9.4,Макс. температура
3218,30198,2019-10-09,-4.5,Мин. температура
3218,30198,2019-10-14,0.9,Макс. температура
3218,30198,2019-11-03,-19.6,Мин. температура
3218,30198,2019-11-11,-15.2,Мин. температура
3218,30198,2019-11-13,-16.7,Макс. температура
3218,30198,2019-11-29,-20.5,Макс. температура
3218,30198,2020-04-06,2.9,Макс. температура
3218,30198,2020-05-05,13.8,Макс. температура
3218,30198,2020-05-08,0.1,Мин. температура
3218,30198,2020-05-09,1.6,Мин. температура
3218,30198,2020-05-16,16.5,Макс. температура
3218,30198,2020-05-17,16.8,Макс. температура
3218,30198,2020-07-01,32.5,Макс. температура
3218,30198,2020-07-16,31.2,Макс. температура
3218,30198,2020-08-29,-2.8,Мин. температура
3218,30198,2020-10-30,-23.6,Мин. температура
3218,30198,2020-11-14,0.3,Макс. температура
3218,30198,2020-11-24,-9.3,Макс. температура
3218,30198,2020-12-24,-32.0,Макс. температура
3218,30198,2020-12-24,-36.1,Мин. температура
3218,30198,2021-01-11,-19.3,Макс. температура
3218,30198,2021-02-24,-45.1,Мин. температура
3218,30198,2021-03-08,-28.9,Мин. температура
3218,30198,2021-03-30,1.4,Макс. температура
3218,30198,2021-04-26,8.9,Макс. температура
3218,30198,2021-05-08,-0.7,Мин. температура
3218,30198,2021-05-23,-4.0,Мин. температура
3218,30198,2021-07-11,13.3,Мин. температура
3218,30198,2021-08-09,9.6,Мин. температура
3218,30198,2021-10-05,-3.0,Мин. температура
3218,30198,2021-10-16,-4.6,Макс. температура
3218,30198,2021-11-12,-1.7,Макс. температура
3218,30198,2022-01-04,-43.3,Мин. температура
3218,30198,2022-01-12,-35.2,Мин. температура
3218,30198,2022-02-27,-19.1,Мин. температура
3218,30198,2022-03-08,-5.8,Макс. температура
3218,30198,2022-04-02,-7.1,Мин. температура
3218,30198,2022-06-26,29.5,Макс. температура
3218,30198,2022-08-05,11.9,Мин. температура
3218,30198,2022-08-24,18.6,Макс. температура
3218,30198,2022-11-04,-6.1,Макс. температура
3218,30198,2022-11-21,-18.2,Макс. температура
3218,30198,2022-11-24,-18.7,Макс. температура
3218,30198,2022-12-07,-32.0,Мин. температура
3218,30198,2022-12-21,-45.2,Мин. температура
3218,30198,2023-01-04,-25.8,Мин. температура
3218,30198,2023-01-14,-35.7,Мин. температура
3218,30198,2023-02-09,-21.3,Макс. температура
3218,30198,2023-02-14,-20.2,Макс. температура
3218,30198,2023-03-02,-9.2,Макс. температура
3218,30198,2023-04-22,-15.6,Мин. температура
3218,30198,2023-05-15,-3.8,Мин. температура
3218,30198,2023-09-15,-0.8,Мин. температура
3218,30198,2015-02-10,-37.4,Мин. температура
3218,30198,2015-02-27,-26.5,Мин. температура
3218,30198,2015-03-11,-34.2,Мин. температура
3218,30198,2015-04-08,-27.5,Мин. температура
3218,30198,2015-05-01,1.6,Мин. температура
3218,30198,2015-05-11,20.9,Макс. температура
3218,30198,2015-05-20,12.4,Макс. температура
3218,30198,2015-06-23,8.0,Мин. температура
3218,30198,2015-06-26,23.6,Макс. температура
3218,30198,2015-07-04,27.5,Макс. температура
3218,30198,2015-07-11,29.8,Макс. температура
3218,30198,2015-07-15,9.4,Мин. температура
3218,30198,2015-07-19,9.4,Мин. температура
3218,30198,2015-10-12,-7.1,Мин. температура
3218,30198,2015-11-09,-8.8,Макс. температура
3218,30198,2015-11-28,-37.8,Мин. температура
3218,30198,2015-12-09,-19.4,Мин. температура
3218,30198,2015-12-21,-19.6,Макс. температура
3218,30198,2016-01-08,-11.2,Макс. температура
3218,30198,2016-02-16,-42.5,Мин. температура
3218,30198,2016-05-18,-2.3,Мин. температура
3218,30198,2016-05-24,-0.3,Мин. температура
3218,30198,2016-06-04,0.1,Мин. температура
3218,30198,2016-06-29,3.3,Мин. температура
3218,30198,2016-07-08,9.3,Мин. температура
3218,30198,2016-12-16,-29.6,Мин. температура
3218,30198,2017-01-06,-20.1,Мин. температура
3218,30198,2017-02-02,-19.0,Мин. температура
3218,30198,2017-02-27,-18.3,Мин. температура
3218,30198,2017-03-08,-28.5,Мин. температура
3218,30198,2017-03-16,4.1,Макс. температура
3218,30198,2017-03-16,-16.8,Мин. температура
3218,30198,2017-04-17,2.8,Макс. температура
3218,30198,2017-04-22,-4.2,Мин. температура
3218,30198,2017-05-23,5.4,Макс. температура
3218,30198,2017-06-15,15.8,Макс. температура
3218,30198,2017-06-26,10.3,Мин. температура
3218,30198,2017-07-18,17.7,Макс. температура
3218,30198,2017-08-03,29.3,Макс. температура
3218,30198,2017-08-07,29.2,Макс. температура
3218,30198,2017-10-28,-2.6,Макс. температура
