gidro_num,identifier,dt,temp,temptype
3258,30393,2019-09-28,-3.1,Мин. температура
3258,30393,2019-10-23,-3.3,Макс. температура
3258,30393,2019-12-05,-30.3,Мин. температура
3258,30393,2019-12-06,-30.6,Мин. температура
3258,30393,2020-01-18,-24.4,Макс. температура
3258,30393,2020-02-15,-19.7,Мин. температура
3258,30393,2020-02-25,-14.2,Мин. температура
3258,30393,2020-03-13,-11.4,Макс. температура
3258,30393,2020-04-15,-5.9,Мин. температура
3258,30393,2020-06-13,19.4,Макс. температура
3258,30393,2020-07-04,8.9,Мин. температура
3258,30393,2020-07-16,15.2,Мин. температура
3258,30393,2020-08-11,20.3,Макс. температура
3258,30393,2020-08-12,20.0,Макс. температура
3258,30393,2020-08-24,18.9,Макс. температура
3258,30393,2020-11-15,-9.9,Макс. температура
3258,30393,2021-01-25,-38.6,Мин. температура
3258,30393,2021-01-26,-33.1,Макс. температура
3258,30393,2021-02-24,-25.5,Макс. температура
3258,30393,2021-03-31,-0.2,Макс. температура
3258,30393,2021-04-29,0.7,Макс. температура
3258,30393,2021-05-26,9.6,Макс. температура
3258,30393,2021-06-22,26.3,Макс. температура
3258,30393,2021-06-23,25.6,Макс. температура
3258,30393,2021-06-27,13.5,Мин. температура
3258,30393,2021-06-29,26.5,Макс. температура
3258,30393,2021-07-15,18.1,Макс. температура
3258,30393,2021-09-13,11.3,Макс. температура
3258,30393,2021-09-25,8.2,Макс. температура
3258,30393,2021-10-01,-5.3,Мин. температура
3258,30393,2021-11-08,-9.0,Макс. температура
3258,30393,2021-12-19,-35.4,Мин. температура
3258,30393,2022-02-07,-31.9,Мин. температура
3258,30393,2022-02-23,-11.2,Мин. температура
3258,30393,2022-03-13,-11.8,Макс. температура
3258,30393,2022-04-20,-9.2,Мин. температура
3258,30393,2022-05-27,12.2,Макс. температура
3258,30393,2022-06-25,14.0,Мин. температура
3258,30393,2022-06-28,13.3,Мин. температура
3258,30393,2022-07-16,17.5,Мин. температура
3258,30393,2022-08-07,7.6,Мин. температура
3258,30393,2022-09-19,1.4,Макс. температура
3258,30393,2022-10-11,-0.6,Макс. температура
