gidro_num,identifier,dt,temp,temptype
3489,24684,1995-01-14,-46.5,Мин. температура
3489,24684,1995-01-20,-56.5,Мин. температура
3489,24684,1995-02-24,-31.2,Макс. температура
3489,24684,1995-03-08,-33.0,Мин. температура
3489,24684,1995-03-18,-39.9,Мин. температура
3489,24684,1995-05-19,0.3,Мин. температура
3489,24684,1995-05-27,2.7,Мин. температура
3489,24684,1995-07-23,8.3,Мин. температура
3489,24684,1995-08-13,16.4,Макс. температура
3489,24684,1995-08-31,-1.1,Мин. температура
3489,24684,1995-09-30,-14.2,Мин. температура
3489,24684,1995-10-26,-11.3,Макс. температура
3489,24684,1995-10-27,-10.1,Макс. температура
3489,24684,1995-11-11,-17.6,Макс. температура
3489,24684,1996-01-06,-30.7,Макс. температура
3489,24684,1996-02-08,-32.9,Мин. температура
3489,24684,1996-02-19,-39.8,Макс. температура
3489,24684,1996-03-15,-19.5,Макс. температура
3489,24684,1996-03-29,-14.6,Макс. температура
3489,24684,1996-04-21,-4.5,Макс. температура
3489,24684,1996-05-03,5.3,Макс. температура
3489,24684,1996-08-08,20.7,Макс. температура
3489,24684,1996-09-05,7.4,Макс. температура
3489,24684,1996-10-01,-3.6,Мин. температура
3489,24684,1996-12-25,-28.8,Макс. температура
3489,24684,1997-01-07,-38.4,Макс. температура
3489,24684,1997-02-01,-22.9,Макс. температура
3489,24684,1997-02-03,-47.3,Мин. температура
3489,24684,1997-03-08,-26.2,Макс. температура
3489,24684,1997-06-14,2.9,Мин. температура
3489,24684,1997-06-21,26.4,Макс. температура
3489,24684,1997-06-23,10.2,Мин. температура
3489,24684,1997-07-04,24.5,Макс. температура
3489,24684,1997-09-25,3.3,Макс. температура
3489,24684,1997-10-01,3.7,Макс. температура
3489,24684,1997-10-05,-16.7,Мин. температура
3489,24684,1997-10-10,-13.7,Мин. температура
3489,24684,1997-10-12,-11.6,Мин. температура
3489,24684,1997-10-20,-13.7,Макс. температура
3489,24684,1997-10-30,-16.2,Макс. температура
3489,24684,1997-12-05,-51.7,Макс. температура
3489,24684,1997-12-24,-54.1,Мин. температура
3489,24684,1998-01-27,-51.6,Мин. температура
3489,24684,1998-01-29,-46.0,Макс. температура
3489,24684,1998-02-18,-54.5,Мин. температура
3489,24684,1998-03-05,-48.5,Мин. температура
3489,24684,1998-03-10,-13.6,Макс. температура
3489,24684,1998-04-04,-10.6,Макс. температура
3489,24684,1998-04-08,-8.7,Макс. температура
3489,24684,1998-04-12,-9.5,Макс. температура
3489,24684,1998-04-14,-30.0,Мин. температура
3489,24684,1998-04-26,-25.7,Мин. температура
3489,24684,1998-08-10,6.2,Мин. температура
3489,24684,1998-10-04,1.3,Макс. температура
3489,24684,1998-10-17,-15.2,Макс. температура
3489,24684,1998-11-15,-24.8,Макс. температура
3489,24684,1998-12-05,-52.7,Мин. температура
3489,24684,1998-12-12,-50.4,Макс. температура
3489,24684,1999-01-04,-34.7,Мин. температура
3489,24684,1999-02-08,-45.5,Макс. температура
3489,24684,1999-02-18,-37.8,Макс. температура
3489,24684,1999-03-03,-25.5,Макс. температура
3489,24684,1999-03-24,-45.1,Мин. температура
3489,24684,1999-04-02,-31.5,Мин. температура
3489,24684,1999-05-13,9.6,Макс. температура
3489,24684,1999-07-01,23.2,Макс. температура
3489,24684,1999-07-04,5.1,Мин. температура
3489,24684,1999-09-02,0.5,Мин. температура
3489,24684,1999-09-24,-6.1,Мин. температура
3489,24684,1999-11-04,-24.0,Мин. температура
3489,24684,1999-11-21,-39.9,Макс. температура
3489,24684,1999-11-29,-46.9,Мин. температура
3489,24684,1999-12-19,-42.4,Макс. температура
3489,24684,1999-12-26,-47.8,Мин. температура
3489,24684,2000-01-16,-44.5,Макс. температура
3489,24684,2000-02-08,-33.8,Макс. температура
3489,24684,2000-02-20,-45.3,Мин. температура
3489,24684,2000-04-15,4.2,Макс. температура
3489,24684,2000-04-18,1.0,Макс. температура
3489,24684,2000-06-18,3.2,Мин. температура
3489,24684,2000-08-04,15.7,Макс. температура
3489,24684,2000-08-23,12.1,Макс. температура
3489,24684,2000-08-25,0.4,Мин. температура
3489,24684,2000-08-26,12.9,Макс. температура
3489,24684,2000-09-21,-0.1,Мин. температура
3489,24684,2000-11-08,-45.7,Мин. температура
3489,24684,2000-11-11,-33.1,Макс. температура
3489,24684,2001-01-08,-52.3,Макс. температура
3489,24684,2001-01-24,-51.9,Мин. температура
3489,24684,2001-02-12,-29.6,Макс. температура
3489,24684,2001-03-08,-45.1,Мин. температура
3489,24684,2001-03-27,-7.2,Макс. температура
3489,24684,2001-04-20,-13.5,Мин. температура
3489,24684,2001-06-30,4.7,Мин. температура
3489,24684,2001-07-16,19.6,Макс. температура
3489,24684,2001-07-22,7.8,Мин. температура
3489,24684,2001-08-14,2.1,Мин. температура
3489,24684,2001-09-29,-0.8,Макс. температура
3489,24684,2001-10-10,-1.8,Макс. температура
3489,24684,2001-10-21,-14.2,Макс. температура
3489,24684,2001-10-23,-28.1,Мин. температура
3489,24684,2001-10-26,-20.5,Макс. температура
3489,24684,2002-02-13,-32.1,Макс. температура
3489,24684,2002-04-28,-1.0,Макс. температура
3489,24684,2002-05-28,10.6,Макс. температура
3489,24684,2002-09-10,16.0,Макс. температура
3489,24684,2002-11-08,-18.9,Макс. температура
3489,24684,2002-11-16,-19.0,Макс. температура
3489,24684,2002-11-19,-36.0,Мин. температура
3489,24684,2003-02-21,-34.1,Макс. температура
3489,24684,2003-03-03,-45.4,Мин. температура
3489,24684,2003-03-14,-36.4,Мин. температура
3489,24684,2003-03-22,-39.0,Мин. температура
3489,24684,2003-05-23,-3.7,Мин. температура
3489,24684,2003-07-01,15.0,Мин. температура
3489,24684,2003-08-27,4.3,Мин. температура
3489,24684,2003-11-29,-51.9,Мин. температура
3489,24684,2003-12-28,-50.8,Мин. температура
3489,24684,2004-01-20,-44.4,Макс. температура
3489,24684,1995-01-27,-46.7,Мин. температура
3489,24684,1995-02-20,-27.5,Макс. температура
3489,24684,1995-02-20,-40.4,Мин. температура
3489,24684,1995-04-03,-12.6,Макс. температура
3489,24684,1995-04-12,-8.4,Макс. температура
3489,24684,1995-04-16,-4.9,Макс. температура
3489,24684,1995-05-03,-10.8,Мин. температура
3489,24684,1995-05-23,5.5,Макс. температура
3489,24684,1995-06-24,21.5,Макс. температура
3489,24684,1995-08-07,22.8,Макс. температура
3489,24684,1995-08-09,24.0,Макс. температура
3489,24684,1995-08-10,18.6,Макс. температура
3489,24684,1995-08-15,21.4,Макс. температура
3489,24684,1995-09-07,-1.9,Мин. температура
3489,24684,1996-01-03,-50.2,Мин. температура
3489,24684,1996-01-30,-32.8,Макс. температура
3489,24684,1996-01-30,-40.3,Мин. температура
3489,24684,1996-02-10,-42.5,Мин. температура
3489,24684,1996-02-12,-37.2,Макс. температура
3489,24684,1996-02-12,-48.4,Мин. температура
3489,24684,1996-02-22,-33.5,Макс. температура
3489,24684,1996-04-12,-8.8,Макс. температура
3489,24684,1996-06-24,29.5,Макс. температура
3489,24684,1996-06-29,25.8,Макс. температура
3489,24684,1996-07-18,18.0,Макс. температура
3489,24684,1996-10-05,0.5,Макс. температура
3489,24684,1996-10-14,-4.4,Макс. температура
3489,24684,1996-11-04,-41.8,Мин. температура
3489,24684,1996-12-07,-55.4,Мин. температура
3489,24684,1996-12-29,-38.4,Мин. температура
3489,24684,1997-01-11,-39.7,Макс. температура
3489,24684,1997-02-10,-49.2,Мин. температура
3489,24684,1997-03-02,-41.6,Мин. температура
3489,24684,1997-03-23,-37.7,Мин. температура
3489,24684,1997-06-08,19.9,Макс. температура
3489,24684,1997-10-22,-9.9,Макс. температура
3489,24684,1998-01-23,-47.9,Макс. температура
3489,24684,1998-02-04,-47.6,Макс. температура
3489,24684,1998-02-28,-27.1,Макс. температура
3489,24684,1998-03-13,-23.0,Макс. температура
3489,24684,1998-04-06,-9.8,Макс. температура
3489,24684,1998-05-28,-2.6,Мин. температура
3489,24684,1998-07-08,8.6,Мин. температура
3489,24684,1998-07-09,27.4,Макс. температура
3489,24684,1998-07-10,16.4,Мин. температура
3489,24684,1998-09-07,5.8,Мин. температура
3489,24684,1998-10-03,-10.0,Мин. температура
3489,24684,1998-10-10,-9.3,Макс. температура
3489,24684,1998-10-29,-24.6,Макс. температура
3489,24684,1998-12-09,-52.1,Мин. температура
3489,24684,1998-12-28,-35.3,Мин. температура
3489,24684,1999-01-31,-24.9,Мин. температура
3489,24684,1999-02-17,-42.5,Макс. температура
3489,24684,1999-02-26,-48.5,Мин. температура
3489,24684,1999-03-13,-21.6,Макс. температура
3489,24684,1999-05-12,13.2,Макс. температура
3489,24684,1999-09-09,4.4,Макс. температура
3489,24684,1999-10-07,-6.5,Макс. температура
3489,24684,1999-10-29,-31.6,Мин. температура
3489,24684,1999-12-03,-51.0,Мин. температура
3489,24684,1999-12-10,-46.4,Мин. температура
3489,24684,1999-12-21,-44.2,Мин. температура
3489,24684,2000-01-08,-32.0,Макс. температура
3489,24684,2000-02-01,-36.1,Макс. температура
3489,24684,2000-03-04,-29.4,Макс. температура
3489,24684,2000-03-31,-37.4,Мин. температура
3489,24684,2000-04-16,-13.7,Мин. температура
3489,24684,2000-05-23,10.8,Макс. температура
3489,24684,2000-07-06,16.9,Макс. температура
3489,24684,2000-07-06,9.0,Мин. температура
3489,24684,2000-07-18,14.6,Мин. температура
3489,24684,2000-08-05,8.4,Мин. температура
3489,24684,2000-08-17,17.7,Макс. температура
3489,24684,2000-09-22,2.5,Макс. температура
3489,24684,2000-10-23,-24.8,Мин. температура
3489,24684,2000-11-01,-32.7,Мин. температура
3489,24684,2000-11-25,-47.9,Мин. температура
3489,24684,2000-12-06,-45.4,Мин. температура
3489,24684,2000-12-15,-48.8,Мин. температура
3489,24684,2001-01-01,-36.1,Макс. температура
3489,24684,2001-01-02,-49.1,Мин. температура
3489,24684,2001-02-10,-41.6,Макс. температура
3489,24684,2001-03-23,-32.4,Мин. температура
3489,24684,2001-04-14,-2.8,Макс. температура
3489,24684,2001-05-09,-1.1,Мин. температура
3489,24684,2001-07-08,19.1,Макс. температура
3489,24684,2001-07-30,11.0,Мин. температура
3489,24684,2001-08-11,18.3,Макс. температура
3489,24684,2001-08-13,17.8,Макс. температура
3489,24684,2001-09-27,-15.8,Мин. температура
3489,24684,2001-10-10,-19.9,Мин. температура
3489,24684,2001-12-04,-33.3,Макс. температура
3489,24684,2001-12-06,-42.6,Мин. температура
3489,24684,2002-01-12,-35.5,Макс. температура
3489,24684,2002-03-10,-41.3,Мин. температура
3489,24684,2002-03-24,-11.5,Макс. температура
3489,24684,2002-04-13,-1.6,Макс. температура
3489,24684,2002-05-16,-4.8,Мин. температура
3489,24684,2002-07-06,9.4,Мин. температура
3489,24684,2002-08-01,8.0,Мин. температура
3489,24684,2002-08-15,4.2,Мин. температура
