gidro_num,identifier,dt,temp,temptype
3250,30493,1995-01-10,-31.9,Мин. температура
3250,30493,1995-01-17,-33.6,Мин. температура
3250,30493,1995-01-28,-23.8,Макс. температура
3250,30493,1995-02-09,-32.9,Мин. температура
3250,30493,1995-03-03,-32.4,Мин. температура
3250,30493,1995-05-28,14.7,Макс. температура
3250,30493,1995-06-12,5.4,Мин. температура
3250,30493,1995-06-19,26.4,Макс. температура
3250,30493,1995-07-04,3.7,Мин. температура
3250,30493,1995-07-23,18.7,Макс. температура
3250,30493,1995-08-01,5.3,Мин. температура
3250,30493,1995-09-05,2.3,Мин. температура
3250,30493,1995-09-24,-3.9,Мин. температура
3250,30493,1995-10-24,-13.7,Мин. температура
3250,30493,1995-11-13,-17.5,Макс. температура
3250,30493,1995-11-17,-29.6,Мин. температура
3250,30493,1995-11-28,-28.3,Мин. температура
3250,30493,1995-12-11,-33.1,Мин. температура
3250,30493,1996-02-09,-19.9,Макс. температура
3250,30493,1996-02-10,-13.8,Макс. температура
3250,30493,1996-02-11,-15.6,Макс. температура
3250,30493,1996-04-05,-12.7,Мин. температура
3250,30493,1996-05-17,3.3,Мин. температура
3250,30493,1996-07-05,26.3,Макс. температура
3250,30493,1996-07-27,3.5,Мин. температура
3250,30493,1996-08-08,9.2,Мин. температура
3250,30493,1996-08-12,26.3,Макс. температура
3250,30493,1996-08-24,20.3,Макс. температура
3250,30493,1996-09-04,11.6,Макс. температура
3250,30493,1996-11-09,-33.3,Мин. температура
3250,30493,1996-12-12,-42.0,Мин. температура
3250,30493,1996-12-13,-32.2,Макс. температура
3250,30493,1996-12-17,-35.8,Мин. температура
3250,30493,1997-02-08,-31.7,Мин. температура
3250,30493,1997-03-13,-30.2,Мин. температура
3250,30493,1997-03-29,-13.1,Макс. температура
3250,30493,1997-04-05,-11.6,Мин. температура
3250,30493,1997-05-03,-4.3,Мин. температура
3250,30493,1997-05-17,5.0,Макс. температура
3250,30493,1997-08-29,8.9,Мин. температура
3250,30493,1997-10-21,-4.5,Мин. температура
3250,30493,1997-11-03,-8.2,Макс. температура
3250,30493,1997-12-01,-33.3,Макс. температура
3250,30493,1997-12-10,-42.2,Мин. температура
3250,30493,1997-12-30,-36.1,Макс. температура
3250,30493,1998-02-01,-25.1,Мин. температура
3250,30493,1998-02-10,-23.4,Макс. температура
3250,30493,1998-02-11,-41.0,Мин. температура
3250,30493,1998-04-02,-25.4,Мин. температура
3250,30493,1998-04-10,-10.9,Мин. температура
3250,30493,1998-05-08,1.1,Макс. температура
3250,30493,1998-06-10,7.0,Мин. температура
3250,30493,1998-07-03,8.5,Мин. температура
3250,30493,1998-09-09,13.6,Макс. температура
3250,30493,1998-09-09,1.6,Мин. температура
3250,30493,1998-09-16,15.9,Макс. температура
3250,30493,1998-09-26,-6.6,Мин. температура
3250,30493,1998-10-21,-22.4,Мин. температура
3250,30493,1998-11-09,-15.5,Макс. температура
3250,30493,1998-11-25,-25.0,Макс. температура
3250,30493,1998-12-07,-39.0,Мин. температура
3250,30493,1999-03-17,-14.6,Макс. температура
3250,30493,1999-03-24,-9.7,Макс. температура
3250,30493,1999-05-20,13.9,Макс. температура
3250,30493,1999-05-22,12.4,Макс. температура
3250,30493,1999-07-09,20.0,Макс. температура
3250,30493,1999-07-17,12.7,Мин. температура
3250,30493,1999-09-12,1.1,Мин. температура
3250,30493,1999-10-19,-9.0,Макс. температура
3250,30493,1999-10-27,-6.5,Макс. температура
3250,30493,1999-11-02,-4.3,Макс. температура
3250,30493,1999-11-06,-4.4,Макс. температура
3250,30493,1999-11-19,-18.4,Макс. температура
3250,30493,1999-11-20,-31.2,Мин. температура
3250,30493,2000-02-06,-15.7,Макс. температура
3250,30493,2000-02-10,-24.1,Мин. температура
3250,30493,2000-03-18,-27.0,Мин. температура
3250,30493,2000-04-09,-24.7,Мин. температура
3250,30493,2000-04-22,-0.1,Макс. температура
3250,30493,2000-05-20,-7.5,Мин. температура
3250,30493,2000-05-26,5.5,Мин. температура
3250,30493,2000-06-21,25.3,Макс. температура
3250,30493,2000-07-16,18.6,Макс. температура
3250,30493,2000-08-05,20.6,Макс. температура
3250,30493,2000-08-24,-1.0,Мин. температура
3250,30493,2000-10-26,-14.5,Мин. температура
3250,30493,2000-11-12,-31.8,Мин. температура
3250,30493,2001-04-19,-5.0,Макс. температура
3250,30493,2001-05-13,-0.5,Мин. температура
3250,30493,2001-05-21,-1.1,Мин. температура
3250,30493,2001-06-10,1.9,Мин. температура
3250,30493,2001-07-10,25.7,Макс. температура
3250,30493,2001-07-14,24.2,Макс. температура
3250,30493,2001-08-05,9.3,Мин. температура
3250,30493,2001-09-08,10.3,Макс. температура
3250,30493,2001-09-15,8.3,Макс. температура
3250,30493,2001-09-19,-4.8,Мин. температура
3250,30493,2001-10-21,-0.8,Макс. температура
3250,30493,2001-12-08,-30.3,Мин. температура
3250,30493,2001-12-22,-14.2,Макс. температура
3250,30493,2002-01-23,-39.0,Мин. температура
3250,30493,2002-02-02,-24.6,Мин. температура
3250,30493,2002-04-17,-9.7,Мин. температура
3250,30493,2002-05-27,9.5,Мин. температура
3250,30493,2002-06-27,7.9,Мин. температура
3250,30493,2002-10-08,6.5,Макс. температура
3250,30493,2002-10-22,-11.6,Макс. температура
3250,30493,2002-12-07,-33.5,Макс. температура
3250,30493,2003-01-15,-30.5,Мин. температура
3250,30493,2003-02-20,-11.9,Макс. температура
3250,30493,2003-04-26,2.5,Макс. температура
3250,30493,2003-05-30,6.9,Макс. температура
3250,30493,2003-07-07,5.9,Мин. температура
3250,30493,2003-07-16,11.7,Мин. температура
