gidro_num,identifier,dt,temp,temptype
3271,24966,2015-03-15,-24.2,Мин. температура
3271,24966,2015-07-29,21.0,Макс. температура
3271,24966,2015-08-13,11.7,Мин. температура
3271,24966,2015-12-22,-38.7,Макс. температура
3271,24966,2016-02-17,-44.1,Мин. температура
3271,24966,2016-05-07,-4.8,Мин. температура
3271,24966,2016-06-11,28.7,Макс. температура
3271,24966,2016-07-04,25.2,Макс. температура
3271,24966,2016-11-03,-26.6,Мин. температура
3271,24966,2016-11-05,-23.1,Макс. температура
3271,24966,2016-11-14,-22.2,Мин. температура
3271,24966,2017-03-25,-12.3,Мин. температура
3271,24966,2017-04-03,-7.3,Мин. температура
3271,24966,2017-04-29,10.6,Макс. температура
3271,24966,2017-07-19,15.2,Мин. температура
3271,24966,2017-07-27,9.2,Мин. температура
3271,24966,2017-09-05,2.6,Мин. температура
3271,24966,2017-11-22,-30.7,Макс. температура
3271,24966,2017-12-09,-30.7,Макс. температура
3271,24966,2017-12-20,-44.5,Мин. температура
3271,24966,2018-02-09,-28.1,Макс. температура
3271,24966,2018-02-25,-42.9,Мин. температура
3271,24966,2018-06-28,20.6,Макс. температура
3271,24966,2018-08-31,20.8,Макс. температура
3271,24966,2018-09-15,0.3,Мин. температура
3271,24966,2018-09-27,0.7,Мин. температура
3271,24966,2018-09-30,-1.2,Мин. температура
3271,24966,2018-10-27,-5.8,Макс. температура
3271,24966,2018-11-27,-37.5,Мин. температура
3271,24966,2019-01-19,-39.5,Макс. температура
3271,24966,2019-01-26,-31.5,Макс. температура
3271,24966,2019-02-16,-41.2,Мин. температура
3271,24966,2019-02-19,-25.7,Макс. температура
3271,24966,2019-02-21,-21.1,Макс. температура
3271,24966,2019-03-03,-35.7,Мин. температура
3271,24966,2019-03-13,-6.4,Макс. температура
3271,24966,2019-04-07,-14.2,Мин. температура
3271,24966,2019-05-07,-0.8,Мин. температура
3271,24966,2019-05-29,1.8,Мин. температура
3271,24966,2019-09-22,-0.7,Мин. температура
3271,24966,2019-10-17,-2.0,Макс. температура
3271,24966,2019-10-19,2.3,Макс. температура
3271,24966,2020-01-02,-39.3,Мин. температура
3271,24966,2020-01-15,-35.0,Мин. температура
3271,24966,2020-03-31,-1.8,Макс. температура
3271,24966,2020-04-06,-14.3,Мин. температура
3271,24966,2020-04-30,6.4,Макс. температура
3271,24966,2020-05-15,14.1,Макс. температура
3271,24966,2020-06-08,7.3,Мин. температура
3271,24966,2020-07-06,18.0,Макс. температура
3271,24966,2020-07-13,14.8,Мин. температура
3271,24966,2020-07-25,10.3,Мин. температура
3271,24966,2020-08-02,9.1,Мин. температура
3271,24966,2020-08-04,9.5,Мин. температура
3271,24966,2020-08-11,20.5,Макс. температура
3271,24966,2020-10-02,6.7,Макс. температура
3271,24966,2020-10-21,-3.4,Макс. температура
3271,24966,2020-11-01,-21.0,Макс. температура
3271,24966,2020-12-04,-17.3,Мин. температура
3271,24966,2020-12-20,-45.9,Мин. температура
3271,24966,2021-03-16,-22.2,Мин. температура
3271,24966,2021-03-28,1.1,Макс. температура
3271,24966,2021-06-30,30.2,Макс. температура
3271,24966,2021-07-05,29.9,Макс. температура
3271,24966,2021-07-29,12.6,Мин. температура
3271,24966,2021-08-03,23.9,Макс. температура
3271,24966,2021-08-08,17.1,Мин. температура
3271,24966,2021-08-13,25.2,Макс. температура
3271,24966,2021-09-07,19.2,Макс. температура
3271,24966,2021-10-06,4.1,Макс. температура
3271,24966,2021-10-14,-8.0,Мин. температура
3271,24966,2021-10-23,-0.2,Макс. температура
3271,24966,2022-02-17,-27.9,Макс. температура
3271,24966,2022-02-27,-22.9,Макс. температура
3271,24966,2022-03-28,-25.2,Мин. температура
3271,24966,2022-04-01,-24.3,Мин. температура
3271,24966,2022-05-27,-1.5,Мин. температура
3271,24966,2022-06-27,14.1,Мин. температура
3271,24966,2022-07-03,11.4,Мин. температура
3271,24966,2022-07-04,16.1,Мин. температура
3271,24966,2022-07-05,19.6,Мин. температура
3271,24966,2022-09-25,6.2,Мин. температура
3271,24966,2022-10-14,-4.7,Мин. температура
3271,24966,2022-10-17,-3.7,Мин. температура
3271,24966,2022-10-18,-5.7,Мин. температура
3271,24966,2022-10-29,-9.8,Мин. температура
3271,24966,2023-02-01,-35.5,Макс. температура
3271,24966,2023-03-15,-8.2,Мин. температура
3271,24966,2023-04-21,4.7,Макс. температура
3271,24966,2023-06-08,8.1,Мин. температура
3271,24966,2023-06-13,8.7,Мин. температура
3271,24966,2023-06-26,15.8,Мин. температура
3271,24966,2023-07-17,21.7,Макс. температура
3271,24966,2023-08-02,17.0,Макс. температура
3271,24966,2023-08-06,11.4,Мин. температура
3271,24966,2023-08-08,20.5,Макс. температура
3271,24966,2023-09-17,-1.0,Мин. температура
3271,24966,2023-09-23,7.4,Макс. температура
3271,24966,2023-09-24,1.8,Мин. температура
3271,24966,2023-10-05,-2.5,Мин. температура
3271,24966,2023-10-18,-5.0,Мин. температура
3271,24966,2023-11-07,-21.0,Макс. температура
3271,24966,2023-11-13,-19.8,Макс. температура
3271,24966,2023-12-21,-42.1,Макс. температура
3271,24966,2023-12-29,-44.3,Макс. температура
3271,24966,2024-03-21,5.2,Макс. температура
3271,24966,2024-06-01,9.4,Мин. температура
3271,24966,2024-07-06,10.4,Мин. температура
3271,24966,2024-08-15,4.3,Мин. температура
