gidro_num,identifier,dt,temp,temptype
3156,24923,2005-01-24,-26.7,Макс. температура
3156,24923,2005-02-12,-27.2,Мин. температура
3156,24923,2005-03-31,1.8,Макс. температура
3156,24923,2005-04-08,7.6,Макс. температура
3156,24923,2005-05-16,1.2,Мин. температура
3156,24923,2005-05-19,12.4,Макс. температура
3156,24923,2005-06-17,4.4,Мин. температура
3156,24923,2005-08-19,14.3,Макс. температура
3156,24923,2005-09-17,2.7,Мин. температура
3156,24923,2005-10-01,2.6,Макс. температура
3156,24923,2005-10-18,-7.0,Макс. температура
3156,24923,2005-10-21,-16.5,Мин. температура
3156,24923,2005-10-31,1.1,Макс. температура
3156,24923,2005-11-14,-27.2,Мин. температура
3156,24923,2006-01-16,-48.1,Мин. температура
3156,24923,2006-03-15,-2.5,Макс. температура
3156,24923,2006-05-04,8.1,Макс. температура
3156,24923,2006-05-15,1.6,Макс. температура
3156,24923,2006-05-15,-2.5,Мин. температура
3156,24923,2006-06-10,6.2,Мин. температура
3156,24923,2006-06-14,2.6,Мин. температура
3156,24923,2006-06-20,27.7,Макс. температура
3156,24923,2006-08-02,10.9,Мин. температура
3156,24923,2006-08-05,12.5,Мин. температура
3156,24923,2006-08-16,23.8,Макс. температура
3156,24923,2006-08-31,7.9,Макс. температура
3156,24923,2006-09-15,6.6,Мин. температура
3156,24923,2006-10-17,-2.9,Макс. температура
3156,24923,2006-11-26,-26.8,Макс. температура
3156,24923,2006-12-15,-39.0,Мин. температура
3156,24923,2007-01-28,-9.9,Макс. температура
3156,24923,2007-03-18,-19.6,Мин. температура
3156,24923,2007-05-08,-1.0,Мин. температура
3156,24923,2007-05-19,4.8,Мин. температура
3156,24923,2007-07-01,32.7,Макс. температура
3156,24923,2007-07-17,13.5,Макс. температура
3156,24923,2007-08-14,18.0,Макс. температура
3156,24923,2007-09-28,9.1,Макс. температура
3156,24923,2007-10-02,3.4,Макс. температура
3156,24923,2007-10-06,0.8,Макс. температура
3156,24923,2007-10-08,-4.5,Мин. температура
3156,24923,2007-10-26,-14.9,Мин. температура
3156,24923,2007-12-16,-30.1,Мин. температура
3156,24923,2008-03-24,2.2,Макс. температура
3156,24923,2008-06-05,25.6,Макс. температура
3156,24923,2008-06-30,29.3,Макс. температура
3156,24923,2008-09-29,-3.4,Мин. температура
3156,24923,2008-10-16,-0.3,Макс. температура
3156,24923,2008-10-31,0.2,Макс. температура
3156,24923,2008-11-12,-13.8,Макс. температура
3156,24923,2008-11-12,-23.3,Мин. температура
3156,24923,2008-12-08,-43.4,Мин. температура
3156,24923,2008-12-12,-20.0,Макс. температура
3156,24923,2008-12-28,-13.6,Макс. температура
3156,24923,2009-01-21,-32.8,Макс. температура
3156,24923,2009-03-07,-29.0,Мин. температура
3156,24923,2009-03-23,-7.8,Макс. температура
3156,24923,2009-05-01,4.1,Макс. температура
3156,24923,2009-05-07,-3.0,Мин. температура
3156,24923,2009-05-22,0.8,Мин. температура
3156,24923,2009-07-19,29.9,Макс. температура
3156,24923,2009-07-30,8.4,Мин. температура
3156,24923,2009-10-08,5.9,Макс. температура
3156,24923,2009-10-24,-10.5,Мин. температура
3156,24923,2010-02-07,-39.0,Мин. температура
3156,24923,2010-02-14,-16.9,Макс. температура
3156,24923,2010-03-22,-7.8,Макс. температура
3156,24923,2010-04-13,-3.1,Макс. температура
3156,24923,2010-05-25,20.7,Макс. температура
3156,24923,2010-06-24,10.9,Мин. температура
3156,24923,2010-06-28,22.7,Макс. температура
3156,24923,2010-07-28,24.5,Макс. температура
3156,24923,2010-07-28,12.4,Мин. температура
3156,24923,2010-08-08,4.6,Мин. температура
3156,24923,2010-09-27,0.0,Мин. температура
3156,24923,2010-10-29,-5.2,Макс. температура
3156,24923,2010-11-01,-23.2,Мин. температура
3156,24923,2010-11-06,-3.5,Макс. температура
3156,24923,2010-11-17,2.2,Макс. температура
3156,24923,2011-01-21,-26.6,Макс. температура
3156,24923,2011-03-19,-10.0,Макс. температура
3156,24923,2011-04-30,4.4,Мин. температура
3156,24923,2011-06-15,23.4,Макс. температура
3156,24923,2011-07-18,21.7,Макс. температура
