gidro_num,identifier,dt,temp,temptype
3882,25017,2005-01-02,-44.5,Мин. температура
3882,25017,2005-05-08,-8.6,Макс. температура
3882,25017,2005-05-08,-14.0,Мин. температура
3882,25017,2005-05-11,-6.3,Макс. температура
3882,25017,2005-08-12,8.9,Макс. температура
3882,25017,2005-08-15,17.1,Макс. температура
3882,25017,2005-09-06,7.0,Макс. температура
3882,25017,2005-10-03,-0.5,Макс. температура
3882,25017,2005-10-10,-3.7,Макс. температура
3882,25017,2005-10-31,-23.6,Мин. температура
3882,25017,2005-11-14,-30.1,Мин. температура
3882,25017,2005-11-28,-21.7,Мин. температура
3882,25017,2005-12-05,-23.4,Макс. температура
3882,25017,2006-01-06,-43.7,Мин. температура
3882,25017,2006-01-16,-40.1,Мин. температура
3882,25017,2006-02-18,-35.6,Мин. температура
3882,25017,2006-06-22,11.4,Макс. температура
3882,25017,2006-08-25,9.3,Макс. температура
3882,25017,2006-10-07,-0.2,Макс. температура
3882,25017,2006-11-02,-9.4,Макс. температура
3882,25017,2006-11-27,-13.4,Макс. температура
3882,25017,2007-01-18,-41.8,Мин. температура
3882,25017,2007-02-04,-33.2,Макс. температура
3882,25017,2007-04-01,-16.3,Макс. температура
3882,25017,2007-06-02,3.0,Мин. температура
3882,25017,2007-06-03,2.6,Макс. температура
3882,25017,2007-06-14,20.7,Макс. температура
3882,25017,2007-07-11,24.0,Макс. температура
3882,25017,2007-07-25,14.6,Мин. температура
3882,25017,2007-08-13,8.0,Мин. температура
3882,25017,2007-08-21,14.0,Макс. температура
3882,25017,2007-10-12,-9.2,Мин. температура
3882,25017,2007-11-14,-27.8,Мин. температура
3882,25017,2007-11-27,-27.0,Мин. температура
3882,25017,2007-12-08,-26.5,Мин. температура
3882,25017,2007-12-20,-35.6,Мин. температура
3882,25017,2008-02-04,-34.4,Мин. температура
3882,25017,2008-03-14,-38.9,Мин. температура
3882,25017,2008-03-28,-24.6,Мин. температура
3882,25017,2008-04-01,-5.8,Макс. температура
3882,25017,2008-04-09,-26.9,Мин. температура
3882,25017,2008-06-10,-1.0,Мин. температура
3882,25017,2008-06-18,18.9,Макс. температура
3882,25017,2008-07-02,14.9,Макс. температура
3882,25017,2008-07-22,13.7,Макс. температура
3882,25017,2008-08-23,11.8,Мин. температура
3882,25017,2008-08-27,9.8,Макс. температура
3882,25017,2008-09-17,4.2,Макс. температура
3882,25017,2008-09-27,5.4,Макс. температура
3882,25017,2008-09-27,1.0,Мин. температура
3882,25017,2008-10-28,-19.5,Мин. температура
3882,25017,2008-12-12,-44.9,Мин. температура
3882,25017,2009-01-11,-40.0,Мин. температура
3882,25017,2009-02-15,-46.7,Мин. температура
3882,25017,2009-02-23,-28.2,Макс. температура
3882,25017,2009-04-10,-20.8,Макс. температура
3882,25017,2009-06-10,10.6,Макс. температура
3882,25017,2009-07-24,16.5,Макс. температура
3882,25017,2009-08-01,4.2,Мин. температура
3882,25017,2009-08-02,14.2,Макс. температура
3882,25017,2009-09-12,6.2,Макс. температура
3882,25017,2009-09-27,-6.0,Мин. температура
3882,25017,2009-10-05,-1.3,Макс. температура
3882,25017,2009-11-23,-16.8,Макс. температура
3882,25017,2009-12-16,-27.5,Мин. температура
