observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2022-05-22,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-05-22 06:00:00,6,,190.0,5.0,,18.4,3.8,
2022-04-21,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-04-21 21:00:00,21,,,0.0,,-8.3,-8.9,
2022-01-17,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-17 18:00:00,18,,,0.0,,-41.3,-43.8,
2021-06-27,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-06-27 12:00:00,12,80.0,,0.0,,18.6,15.9,
2021-10-18,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-10-18 18:00:00,18,,190.0,2.0,,-0.6,-3.4,
2021-01-02,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-01-02 12:00:00,12,71.0,220.0,2.0,,-30.8,-33.9,
2022-11-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-03 06:00:00,6,85.0,230.0,5.0,,-2.4,-4.6,
2022-01-20,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-20 12:00:00,12,,,0.0,,-24.4,-26.9,
2020-10-13,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-10-13 03:00:00,3,,250.0,4.0,,-1.9,-7.6,
2019-12-28,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-12-28 06:00:00,6,71.0,190.0,1.0,,-35.3,-39.0,
2020-10-02,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-10-02 12:00:00,12,,,0.0,,4.3,-2.5,
2020-09-22,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-09-22 03:00:00,3,,30.0,4.0,,10.4,7.5,
2020-12-20,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-12-20 06:00:00,6,85.0,300.0,3.0,12.0,-8.5,-15.0,
2019-12-15,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-12-15 18:00:00,18,71.0,300.0,4.0,,-15.0,-18.4,
2020-03-11,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-11 06:00:00,6,,160.0,2.0,,-18.8,-26.7,
2021-04-21,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-04-21 00:00:00,0,,270.0,3.0,,-5.2,-9.7,
2020-02-08,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-02-08 00:00:00,0,85.0,180.0,2.0,,-7.8,-9.2,
2022-08-13,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-08-13 03:00:00,3,2.0,230.0,2.0,,14.4,11.8,
2021-01-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-01-10 21:00:00,21,71.0,,0.0,,-28.4,-31.5,
2020-07-06,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-07-06 15:00:00,15,,,0.0,,15.6,13.1,
2021-12-16,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-12-16 09:00:00,9,71.0,220.0,5.0,,-21.7,-25.7,
2022-07-26,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-07-26 21:00:00,21,,210.0,2.0,,20.1,16.1,
2022-11-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-12 15:00:00,15,36.0,230.0,7.0,12.0,-1.8,-6.7,
2022-07-19,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-07-19 03:00:00,3,,30.0,4.0,,21.8,12.5,
2022-04-17,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-04-17 12:00:00,12,,170.0,3.0,,4.5,0.0,
2022-01-07,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-07 06:00:00,6,,,,,,,
2020-09-02,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-09-02 06:00:00,6,2.0,200.0,4.0,,17.6,9.6,
2021-06-25,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-06-25 03:00:00,3,,250.0,5.0,,25.1,16.5,
2021-12-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-12-03 21:00:00,21,85.0,200.0,3.0,,-1.5,-3.8,
2021-08-11,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-08-11 06:00:00,6,2.0,10.0,2.0,,24.2,12.6,
2020-09-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-09-23 21:00:00,21,45.0,,0.0,,2.1,1.8,
2020-03-26,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-26 12:00:00,12,,280.0,2.0,,-6.5,-14.8,
2022-07-16,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-07-16 21:00:00,21,47.0,,0.0,,15.0,14.9,
2021-12-25,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-12-25 12:00:00,12,,,,,,,
2021-08-07,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-08-07 18:00:00,18,5.0,,0.0,,12.9,11.2,
2020-07-29,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-07-29 21:00:00,21,,10.0,4.0,,13.4,10.9,
2020-03-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-23 00:00:00,0,26.0,200.0,4.0,,1.9,-0.3,
2020-03-05,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-03-05 12:00:00,12,,180.0,2.0,,-4.2,-10.1,
2022-04-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-04-10 06:00:00,6,,140.0,1.0,,5.0,-9.3,
2022-07-04,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-07-04 21:00:00,21,80.0,20.0,2.0,,16.0,15.9,
