observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2020-12-04,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-12-04 09:00:00,9,71.0,280.0,3.0,,-12.9,-14.9,
2021-12-22,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-12-22 06:00:00,6,,270.0,2.0,,-33.0,-36.8,
2020-04-20,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-04-20 18:00:00,18,,260.0,3.0,,-1.6,-9.8,
2020-08-26,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-08-26 21:00:00,21,4.0,120.0,2.0,,7.5,0.4,
2022-11-16,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-11-16 09:00:00,9,73.0,70.0,4.0,,-28.0,-31.4,
2022-10-06,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-10-06 09:00:00,9,,360.0,2.0,,-1.2,-9.2,
2022-01-10,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-01-10 03:00:00,3,2.0,170.0,3.0,,-25.2,-28.2,
2021-11-05,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-11-05 21:00:00,21,71.0,240.0,8.0,13.0,-13.4,-15.0,
2020-06-09,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-06-09 00:00:00,0,,10.0,4.0,12.0,11.5,10.2,10.0
2021-12-12,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-12-12 09:00:00,9,,,,,,,
2020-11-03,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-11-03 12:00:00,12,71.0,230.0,4.0,,-5.0,-5.7,
2021-04-16,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-04-16 00:00:00,0,73.0,180.0,7.0,15.0,-5.0,-6.3,
2022-05-31,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-05-31 09:00:00,9,,60.0,3.0,,18.2,-7.5,
2020-04-12,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-04-12 00:00:00,0,2.0,270.0,4.0,,-1.8,-4.6,
2021-08-02,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-08-02 03:00:00,3,,60.0,4.0,,24.8,8.2,
2021-04-08,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-04-08 18:00:00,18,86.0,40.0,4.0,,-9.1,-10.2,
2021-04-17,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-04-17 15:00:00,15,36.0,250.0,6.0,14.0,-15.0,-20.1,
2022-06-01,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-06-01 15:00:00,15,,120.0,3.0,,13.2,3.0,
2020-04-11,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-04-11 03:00:00,3,,240.0,4.0,,2.2,-8.8,
2020-09-06,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-09-06 03:00:00,3,,80.0,2.0,,12.5,7.6,
2021-06-12,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-06-12 00:00:00,0,,200.0,4.0,,9.3,0.0,1.0
2022-07-16,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-07-16 09:00:00,9,10.0,240.0,7.0,11.0,12.3,11.5,
2022-03-29,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-03-29 15:00:00,15,,250.0,4.0,,-10.9,-18.9,
2022-02-12,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-02-12 18:00:00,18,2.0,260.0,2.0,,-25.1,-28.1,
2020-05-31,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-05-31 03:00:00,3,,180.0,3.0,,14.1,0.4,
2020-05-28,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-05-28 18:00:00,18,,230.0,2.0,,0.3,-5.6,
2020-09-14,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-09-14 21:00:00,21,,90.0,1.0,,9.5,2.7,
2020-05-31,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-05-31 00:00:00,0,,200.0,2.0,,11.9,2.7,2.0
2022-05-03,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-05-03 15:00:00,15,,100.0,8.0,13.0,-0.5,-7.4,
2019-10-14,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2019-10-14 18:00:00,18,,290.0,2.0,,-3.0,-6.4,
2019-10-05,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2019-10-05 00:00:00,0,84.0,130.0,3.0,,-0.7,-0.7,
2022-08-01,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-08-01 21:00:00,21,4.0,50.0,3.0,,14.2,13.0,
2020-05-16,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2020-05-16 21:00:00,21,,310.0,3.0,,6.0,4.9,
2021-05-15,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2021-05-15 06:00:00,6,,,,,,,
2019-11-06,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2019-11-06 09:00:00,9,,120.0,3.0,,-22.4,-24.9,
2022-09-04,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-09-04 18:00:00,18,,160.0,1.0,,2.7,0.9,
2022-07-13,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-07-13 06:00:00,6,,300.0,2.0,,16.1,3.9,
2022-06-22,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-06-22 21:00:00,21,,210.0,2.0,,19.0,1.8,
2022-05-27,ЧЕРНЫШЕВСКИЙ (24724),Республика Саха /Якутия/,24724,ЧЕРНЫШЕВСКИЙ,2022-05-27 00:00:00,0,,20.0,3.0,,1.4,-7.5,-0.0
