observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-07-03,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-07-03 00:00:00,0,,,,,,,
2023-05-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-05-07 18:00:00,18,,,,,,,
2023-01-12,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-12 12:00:00,12,,,,,,,
2023-08-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-08-07 12:00:00,12,,,,,,,
2023-12-25,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-12-25 00:00:00,0,0.0,,,,,-25.0,
2024-01-24,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-01-24 00:00:00,0,,,,,,,
2024-10-29,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-10-29 00:00:00,0,0.0,,,,,-1.5,
2023-10-24,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-10-24 00:00:00,0,,,,,,,
2023-12-12,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-12-12 12:00:00,12,,,,,-33.0,,
2024-03-30,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-03-30 12:00:00,12,,,,,-8.5,,
2023-04-30,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-30 00:00:00,0,,,,,,,
2023-03-18,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-03-18 12:00:00,12,,,,,,,
2023-02-22,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-22 18:00:00,18,,,,,,,
2023-01-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-07 06:00:00,6,,,,,,,
2024-03-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-03-07 00:00:00,0,99.0,,,,,-25.0,
2024-12-05,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-12-05 00:00:00,0,0.0,,,,,-36.0,
2023-01-18,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-18 18:00:00,18,,,,,,,
2023-10-12,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-10-12 12:00:00,12,,,,,,,
2023-12-18,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-12-18 12:00:00,12,,,,,-34.0,,
2024-02-16,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-02-16 12:00:00,12,,,,,,,
2024-07-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-07-07 00:00:00,0,0.0,,,,,9.0,
2023-02-20,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-20 00:00:00,0,99.0,,,,,-25.0,
2024-01-15,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-01-15 12:00:00,12,,,,,,,
2024-05-09,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-05-09 12:00:00,12,,,,,,,
2024-03-01,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-03-01 12:00:00,12,,,,,-8.5,,
2023-05-25,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-05-25 18:00:00,18,,,,,,,
2023-01-11,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-11 06:00:00,6,,,,,,,
2024-02-15,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-02-15 00:00:00,0,0.0,,,,,-40.0,
2024-04-20,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-04-20 12:00:00,12,,,,,,,
2023-05-01,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-05-01 00:00:00,0,0.0,,,,,-3.0,
2023-03-23,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-03-23 18:00:00,18,,,,,,,
2023-07-28,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-07-28 00:00:00,0,0.0,,,,,11.0,
2024-04-14,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-04-14 12:00:00,12,,,,,4.5,,
2024-05-24,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-05-24 00:00:00,0,,,,,,,
2023-02-02,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-02 18:00:00,18,,,,,,,
2023-01-23,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-23 18:00:00,18,,,,,,,
2023-07-18,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-07-18 12:00:00,12,,,,,24.5,,
2023-04-01,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-01 00:00:00,0,0.0,,,,,-16.0,
2023-02-05,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-05 06:00:00,6,,,,,,,
2023-01-02,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-02 00:00:00,0,0.0,,,,,-29.0,
2023-10-27,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-10-27 00:00:00,0,99.0,,,,,-5.0,
2024-02-13,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-02-13 12:00:00,12,,,,,-28.5,,
2024-09-20,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-09-20 00:00:00,0,,,,,,,
2024-07-03,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-07-03 12:00:00,12,,,,,,,
2024-06-16,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-06-16 00:00:00,0,0.0,,,,,11.0,
2023-05-30,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-05-30 06:00:00,6,,,,,,,
2024-12-18,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-12-18 12:00:00,12,,,,,-10.5,,
2024-08-11,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-08-11 12:00:00,12,,,,,,,
2023-04-25,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-25 00:00:00,0,0.0,,,,,-10.0,
2023-04-16,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-16 12:00:00,12,,,,,,,
2023-04-07,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-07 12:00:00,12,,,,,,,
2024-10-28,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-10-28 12:00:00,12,,,,,,,
2024-07-15,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-07-15 12:00:00,12,,,,,26.5,,
2024-06-03,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-06-03 12:00:00,12,,,,,19.0,,
2023-05-20,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-05-20 06:00:00,6,,,,,,,
2023-04-11,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-11 18:00:00,18,,,,,,,
2023-02-03,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-03 00:00:00,0,0.0,,,,,-19.0,
2023-01-11,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-11 00:00:00,0,,,,,,,
2023-01-05,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-01-05 00:00:00,0,99.0,,,,,-35.0,
2023-02-17,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-17 18:00:00,18,,,,,,,
2023-12-02,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-12-02 12:00:00,12,,,,,-32.0,,
2023-02-28,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-02-28 18:00:00,18,,,,,,,
2024-02-26,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-02-26 12:00:00,12,,,,,,,
2023-04-19,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2023-04-19 06:00:00,6,,,,,,,
2024-01-24,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-01-24 12:00:00,12,,,,,,,
2024-12-02,НЮЯ (24934),Республика Саха /Якутия/,24934,НЮЯ,2024-12-02 00:00:00,0,,,,,,,
