observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2024-07-10,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-07-10 00:00:00,0,61.0,90.0,2.0,,15.7,14.4,15.0
2023-12-20,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-12-20 18:00:00,18,10.0,,0.0,,-39.9,-44.2,
2023-08-22,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-08-22 12:00:00,12,,,0.0,,13.0,11.3,
2024-03-11,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-03-11 09:00:00,9,,,0.0,,-20.8,-23.4,
2024-01-10,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-01-10 12:00:00,12,,,0.0,,-49.7,-55.1,
2023-11-10,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-11-10 21:00:00,21,,,0.0,,-37.6,-41.4,
2024-11-22,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-11-22 00:00:00,0,,30.0,1.0,,-24.9,-27.5,
2024-04-26,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-04-26 00:00:00,0,71.0,310.0,3.0,,-5.3,-10.0,
2022-09-03,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-09-03 15:00:00,15,,190.0,1.0,,2.3,2.0,
2022-05-01,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-05-01 12:00:00,12,,,0.0,,6.0,-6.1,
2023-02-21,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-02-21 09:00:00,9,,40.0,1.0,,-28.2,-30.7,
2023-08-06,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-08-06 18:00:00,18,,,0.0,,9.3,8.5,
2023-12-17,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-12-17 15:00:00,15,10.0,,0.0,,-46.6,-51.6,
2022-11-03,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-11-03 15:00:00,15,,,0.0,,-17.1,-17.7,
2022-01-16,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-01-16 03:00:00,3,,,0.0,,-30.6,-33.0,
2023-07-27,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-07-27 21:00:00,21,,,,,,,
2023-11-04,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-11-04 03:00:00,3,,160.0,1.0,,-27.1,-29.8,
2022-07-29,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-07-29 09:00:00,9,,150.0,1.0,,34.9,14.9,
2022-03-13,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-03-13 09:00:00,9,,,0.0,,-12.8,-20.0,
2022-03-06,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-03-06 06:00:00,6,,,0.0,,-12.2,-18.4,
2023-02-06,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-02-06 00:00:00,0,10.0,,0.0,,-46.4,-48.1,
2023-02-17,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-02-17 09:00:00,9,,,0.0,,-34.0,-36.2,
2024-07-14,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-07-14 18:00:00,18,98.0,30.0,3.0,,17.6,12.7,
2022-07-15,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2022-07-15 18:00:00,18,,,0.0,,16.0,15.7,
2023-07-05,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2023-07-05 21:00:00,21,,350.0,1.0,,16.8,12.8,
2024-12-16,ЫТЫК-КЮЁЛЬ (24766),Республика Саха /Якутия/,24766,ЫТЫК-КЮЁЛЬ,2024-12-16 09:00:00,9,,,0.0,,-39.6,-44.0,
