observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2023-04-18,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-18 00:00:00,0,,40.0,6.0,10.0,-18.4,-20.4,
2023-05-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-05-04 21:00:00,21,,220.0,6.0,,-20.1,-22.1,
2024-01-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-04 00:00:00,0,,310.0,2.0,,-34.4,-36.3,
2023-08-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-08-06 00:00:00,0,,360.0,4.0,,0.7,0.6,0.0
2023-04-20,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-20 06:00:00,6,2.0,40.0,5.0,,-20.9,-23.6,
2024-05-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-26 15:00:00,15,,100.0,4.0,,3.1,1.8,
2023-09-16,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-09-16 06:00:00,6,10.0,350.0,3.0,,3.6,3.4,
2024-11-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-14 00:00:00,0,2.0,160.0,3.0,,-23.7,-26.4,
2023-12-25,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-12-25 00:00:00,0,,240.0,3.0,,-27.7,-28.1,
2024-11-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-07 06:00:00,6,36.0,140.0,7.0,11.0,-17.2,-19.6,
